timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.37700465 -0.423933  ],-3.17087,"[[-0.09737596  0.01979632  0.09891138  0.04795134]
 [ 0.00088525 -0.00081538  0.          0.        ]]","[ 1.22274568  2.54274769 -0.12078432  0.99118409  0.85317499  0.41431685
  0.11387137  0.39125684  0.69711878 -0.50473106  0.        ]",[ 2.27207851 -0.41994107],[ 3.76766551 -0.67733822],-0.128626756705
1,[-0.37700465 -0.423933  ],-3.12691,"[[-0.05765747 -0.00714446  0.09891138  0.04795134]
 [ 3.95778552 -2.68431376  0.          0.        ]]","[ 1.2269971   2.54300313 -0.06267252  0.88135534  0.85317474  0.41431677
  0.18199176  0.02474344  0.7002895  -0.45926873  0.        ]",[ 2.26019478 -0.25759235],[ 3.51439255  0.02678037],-0.126309221036
2,[-0.37700465 -0.423933  ],-3.0554,"[[ 0.06040272 -0.0592487   0.09891138  0.04795134]
 [ 7.83532475 -2.52662787  0.          0.        ]]","[ 1.22677267  2.54037502  0.11049121  0.66907407  0.85317449  0.41431669
  0.24874589  0.04628024  0.70196151 -0.29768945  0.        ]",[ 1.93964458 -0.4606334 ],[ 1.61601057 -1.50358101],-0.118518825146
3,[-0.37700465 -0.423933  ],-2.90989,"[[  0.25526027  -0.1490217    0.09891138   0.04795134]
 [ 11.63777571  -6.43762065   0.           0.        ]]","[ 1.18449733  2.52621124  0.39246204  0.30518607  0.85317424  0.4143166
  0.31420733 -0.48788497  0.67333701 -0.03682553  0.        ]",[ 1.3860116  -0.53747869],[ 1.27706023  0.09885126],-0.107795299558
4,[-0.37700465 -0.423933  ],-2.64899,"[[  0.52539606  -0.27258119   0.09891138   0.04795134]
 [ 15.36342307  -5.92001358   0.           0.        ]]","[ 1.04282976  2.48698698  0.75797882 -0.18708564  0.85317398  0.41431652
  0.37834655 -0.41718985  0.57119853  0.30888002  0.        ]",[ 0.2259596  -1.39762521],[-0.59402636 -2.11985368],-0.0986858406639
5,[-0.37700465 -0.423933  ],-2.46286,"[[  0.80605449  -0.42952046   0.09891138   0.04795134]
 [ 12.71124621  -9.76111764   0.           0.        ]]","[ 0.80396978  2.40514393  1.0808574  -0.78726863  0.85317373  0.41431644
  0.33268764 -0.94180957  0.40393589  0.60526505  0.        ]",[-0.79664475 -1.88581586],[-0.45452022 -2.17056304],-0.0972283083224
6,[-0.37700465 -0.423933  ],-2.38631,"[[  1.0397322   -0.66252127   0.09891138   0.04795134]
 [ 10.66330693 -13.52642398   0.           0.        ]]","[ 0.54696476  2.22188782  1.28735851 -1.59722697  0.85317348  0.41431635
  0.29743105 -1.45607633  0.25903359  0.72520486  0.        ]",[-1.00848031 -1.87544906],[-0.73850252 -1.4029253 ],-0.0955218972795
7,[-0.37700465 -0.423933  ],-2.31091,"[[  1.22158089  -0.97007763   0.09891138   0.04795134]
 [  7.53183617 -17.21695754   0.           0.        ]]","[ 0.31983416  1.88305928  1.40090978 -2.45264467  0.85317323  0.41431627
  0.2435208  -1.96012964  0.16441645  0.6793664   0.        ]",[-0.48424762 -2.03498745],[-0.62774777 -1.67941815],-0.0844806363349
8,[-0.37700465 -0.423933  ],-2.31481,"[[  1.34580717  -1.35071577   0.09891138   0.04795134]
 [  4.89930223 -20.83485239   0.           0.        ]]","[ 0.15522764  1.35642833  1.45250243 -3.06804326  0.85317297  0.41431619
  0.19820006 -2.45426035  0.09867753  0.47239291  0.        ]",[ 0.1104022  -2.05133677],[ 0.17916149 -2.27881547],-0.0592911776488
9,[-0.37700465 -0.423933  ],-2.30316,"[[  1.44992987  -1.80300207   0.09891138   0.04795134]
 [  5.51082139 -24.3819407    0.           0.        ]]","[ 0.01348966  0.67571403  1.47878332 -3.05695407  0.85317272  0.4143161
  0.20872771 -2.93871795 -0.03390738  0.16949955  0.        ]",[ 0.78567833 -1.95099604],[ 0.06566833 -1.5699874 ],-0.0210751559038
10,[-0.37700465 -0.423933  ],-2.29959,"[[  1.56164844  -2.32552442   0.09891138   0.04795134]
 [  5.66046851 -27.85870861   0.           0.        ]]","[-0.14055423 -0.01491737  1.48942787 -2.05933243  0.85317247  0.41431602
  0.21130394 -3.413568   -0.30569152 -0.14714784  0.        ]",[ 1.66390574 -1.39661121],[ 0.7854663 -1.3887275],-0.0303730093832
11,[-0.37700465 -0.423933  ],-2.78851,"[[  1.70492202  -2.91689142   0.09891138   0.04795134]
 [  8.65710707 -31.26660703   0.           0.        ]]","[ -3.38073457e-01  -4.54783920e-01   1.47630746e+00   2.09830201e-03
   8.53172214e-01   4.14315937e-01   2.62892909e-01  -3.87900774e+00
  -7.34511188e-01  -3.82958899e-01   0.00000000e+00]",[ 2.0825603  -0.03585631],[ 2.05200907  0.72891831],-0.0900693392347
12,[-0.37700465 -0.423933  ],-2.78939,"[[  1.91608393  -3.20287943   0.09891138   0.04795134]
 [ 12.44631646  -1.38974963   0.           0.        ]]","[-0.62112998 -0.49009493  1.40286765  1.16018307  0.85317196  0.41431585
  0.32812648  0.20156038 -0.96629525 -0.45106753  0.        ]",[ 1.67568457 -1.51432955],[ 2.65732271 -1.32373173],-0.119511724337
13,[-0.37700465 -0.423933  ],-2.69281,"[[  2.20226636  -3.16032652   0.09891138   0.04795134]
 [ 16.15946501   3.64200748   0.           0.        ]]","[-0.96933119 -0.4926784   1.20647733  0.9868527   0.85317171  0.41431577
  0.39205061  0.88879541 -0.90048368 -0.43035083  0.        ]",[ 1.47881532 -1.83887935],[ 0.09088681 -1.89368787],-0.110990627352
14,[-0.37700465 -0.423933  ],-2.60153,"[[  2.52585622  -3.09217855   0.09891138   0.04795134]
 [ 16.19936912   2.869977     0.           0.        ]]","[-1.28179709 -0.49109176  0.86951657  0.70910972  0.85317146  0.41431569
  0.39273751  0.78335159 -0.84424424 -0.36108435  0.        ]",[ 1.52217042 -1.91871905],[ 0.7423696  -1.77466634],-0.100634766888
15,[-0.37700465 -0.423933  ],-2.54756,"[[  2.87611578  -3.04776035   0.09891138   0.04795134]
 [ 18.81786121   1.62011188   0.           0.        ]]","[-1.48726147 -0.4862669   0.4069451   0.52850225  0.8531712   0.4143156
  0.43781643  0.61264536 -0.83857808 -0.28672376  0.        ]",[ 1.63775992 -1.94889081],[ 2.09197386 -1.18434788],-0.0959856917039
16,[-0.37700465 -0.423933  ],-2.46428,"[[  3.28845959  -3.02428149   0.09891138   0.04795134]
 [ 22.40457113   0.80432261   0.           0.        ]]","[-1.5208095  -0.48251124 -0.19287362  0.43331741  0.85317095  0.41431552
  0.49956384  0.50122507 -0.87461479 -0.23034046  0.        ]",[ 1.67707157 -1.98392594],[ 1.84977961 -1.93202764],-0.0977054109667
17,[-0.37700465 -0.423933  ],-2.49635,"[[  3.77182542  -3.01300785   0.09891138   0.04795134]
 [ 25.92029914   0.37287148   0.           0.        ]]","[-1.27010183 -0.48041241 -0.84300768  0.38770354  0.8531707   0.41431544
  0.56008923  0.44229754 -0.93867271 -0.20777886  0.        ]",[ 1.82469285 -1.92538857],[ 3.5041001  -1.20182022],-0.104641076591
18,[-0.37700465 -0.423933  ],-2.56575,"[[  4.32480766  -3.00788594   0.09891138   0.04795134]
 [ 29.36644308   0.16564592   0.           0.        ]]","[-0.67571207 -0.47939557 -1.3368423   0.36700152  0.85317045  0.41431535
  0.61941668  0.41399467 -1.01027105 -0.23209615  0.        ]",[ 1.91827643 -1.75025117],[ 2.11080101 -1.18829362],-0.114276454764
19,[-0.37700465 -0.423933  ],-2.65417,"[[  4.94602839  -3.00564104   0.09891138   0.04795134]
 [ 32.74437379   0.07148213   0.           0.        ]]","[ 0.1668763  -0.4789374  -1.40582485  0.35793236  0.85317019  0.41431527
  0.67756978  0.40113373 -1.06019187 -0.30508137  0.        ]",[ 1.90959907 -1.58648515],[ 1.73369509 -0.82052469],-0.123124547841
20,[-0.37700465 -0.423933  ],-2.66277,"[[  5.63413685  -3.00449121   0.09891138   0.04795134]
 [ 36.05543773   0.04335901   0.           0.        ]]","[ 0.94817842 -0.47869974 -0.86516073  0.35328824  0.85316994  0.41431519
  0.7345717   0.3972926  -1.0574334  -0.40555877  0.        ]",[ 1.87685621 -1.50332642],[ 1.8958857  -1.62850942],-0.127392701721
21,[-0.37700465 -0.423933  ],-2.69203,"[[  6.38780893e+00  -3.00404272e+00   9.89113835e-02   4.79513386e-02]
 [  3.93009553e+01   9.09823497e-03   0.00000000e+00   0.00000000e+00]]","[ 1.2217357  -0.47860644  0.17515987  0.35147695  0.85316969  0.41431511
  0.79044517  0.3926132  -0.98820517 -0.48513632  0.        ]",[ 1.53034306 -1.61038208],[ 0.27887425 -1.11465423],-0.123977584025
22,[-0.37700465 -0.423933  ],-2.65347,"[[  7.17710014e+00  -3.00396427e+00   9.89113835e-02   4.79513386e-02]
 [  3.96270793e+01   8.26774230e-04   0.00000000e+00   0.00000000e+00]]","[ 0.712747   -0.47859001  1.16592761  0.35116009  0.85316943  0.41431502
  0.79605939  0.39148341 -0.88321548 -0.48937783  0.        ]",[ 1.33316898 -1.7850616 ],[ 0.70331933 -2.11026128],-0.112916564186
23,[-0.37700465 -0.423933  ],-2.69379,"[[  7.98971008e+00  -3.00396722e+00   9.89113835e-02   4.79513386e-02]
 [  4.16272487e+01  -6.20534329e-04   0.00000000e+00   0.00000000e+00]]","[-0.34026731 -0.47859052  1.47599005  0.35117192  0.85316918  0.41431494
  0.83049337  0.39128566 -0.80528649 -0.4079285   0.        ]",[ 1.50477135 -1.86640441],[ 1.29051746 -0.89424976],-0.0992402518579
