timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[ 0.01583023 -0.02449393 -0.17684717 -0.1556181 ]
 [ 0.00243242 -0.00280948  0.          0.        ]]",-5.92213,[-0.39142749 -0.41230524],"[ 1.22803163  2.55140592  0.0488975   0.80103023 -1.52401532 -1.34671277
  0.10689154  0.39021253  2.82941399  1.38358157  0.        ]",[-6.38044119 -3.30035925],[-6.42819938 -2.78800219],-0.417194562995
1,"[[-0.02379669 -0.06426196 -0.17684717 -0.1556181 ]
 [-3.9519653  -3.96080706  0.          0.        ]]",-5.80601,[-0.39142749 -0.41230524],"[ 1.22781288  2.54871705 -0.00928534  0.64030653 -1.52401433 -1.34671202
  0.03746016 -0.15076758  2.82601472  1.27596009  0.        ]",[-6.09449625 -3.04137278],[-6.82364858 -3.16349578],-0.412203711208
2,"[[-0.1417276  -0.18240394 -0.17684717 -0.1556181 ]
 [-7.82825181 -7.84046118  0.          0.        ]]",-5.73103,[-0.39142749 -0.41230524],"[ 1.21434578  2.52660472 -0.18175923  0.16623697 -1.52401333 -1.34671128
 -0.03059975 -0.68103962  2.77732648  0.960979    0.        ]",[-5.48130608 -2.71700263],[-4.40068045 -2.47978698],-0.394745846602
3,"[[ -0.3364182   -0.37736809  -0.17684717  -0.1556181 ]
 [-11.62826637 -11.64326416   0.           0.        ]]",-5.15397,[-0.39142749 -0.41230524],"[ 1.15072615  2.44475566 -0.45906829 -0.5906503  -1.52401234 -1.34671054
 -0.09732048 -1.2008073   2.57773542  0.4867133   0.        ]",[-4.45807648 -2.35599375],[-3.92284921 -1.67634756],-0.357985314209
4,"[[ -0.60636423  -0.64763144  -0.17684717  -0.1556181 ]
 [-15.35419054 -15.37060393   0.           0.        ]]",-4.32563,[-0.39142749 -0.41230524],"[ 0.9818072   2.24365397 -0.81114807 -1.54069533 -1.52401135 -1.3467098
 -0.16274032 -1.71025986  2.10370582  0.00719802  0.        ]",[-3.11133862 -1.93807709],[-4.18995961 -1.8215315 ],-0.293351112905
5,"[[ -0.95010859  -0.9916978   -0.17684717  -0.1556181 ]
 [-19.00853091 -19.02377733   0.           0.        ]]",-3.50577,[-0.39142749 -0.41230524],"[ 0.64991949  1.86276345 -1.16883619 -2.48601656 -1.52401036 -1.34670905
 -0.2269033  -2.20957392  1.34214266 -0.18254129  0.        ]",[-2.00033903 -1.52542782],[-1.48536001 -0.78130394],-0.197163425487
6,"[[ -1.36624618  -1.39940842  -0.17684717  -0.1556181 ]
 [-22.59381087 -21.73814328   0.           0.        ]]",-2.72406,[-0.39142749 -0.41230524],"[ 0.12683407  1.28937252 -1.41210648 -3.0863731  -1.52400936 -1.34670831
 -0.2898537  -2.58056994  0.56410844  0.2042095   0.        ]",[-1.63639414 -1.59988022],[-2.60527008 -2.23455809],-0.0964117860463
7,"[[ -1.85340768  -1.86955041  -0.17684717  -0.1556181 ]
 [-26.11112854 -25.26425495   0.           0.        ]]",-2.41098,[-0.39142749 -0.41230524],"[-0.53933177  0.58179696 -1.38446802 -2.96643042 -1.52400837 -1.34670757
 -0.35161082 -3.06251259  0.27075182  1.07579708  0.        ]",[-2.20909357 -2.24627137],[-2.00717173 -1.64485216],-0.132854363684
8,"[[ -2.41023998  -2.40951387  -0.17684717  -0.1556181 ]
 [-29.56065216 -28.72067633   0.           0.        ]]",-3.11744,[-0.39142749 -0.41230524],"[-1.18257666 -0.10230379 -0.95503667 -1.80413618 -1.52400738 -1.34670683
 -0.41217759 -3.53492608  0.71431473  1.73966733  0.        ]",[-2.9528358  -1.55812836],[-2.77656303 -2.05658973],-0.228745732438
9,"[[ -3.03536383  -3.01793021  -0.17684717  -0.1556181 ]
 [-32.93936716 -26.41795231   0.           0.        ]]",-3.60625,[-0.39142749 -0.41230524],"[-1.52823012 -0.4806532  -0.13003409  0.40108365 -1.52400639 -1.34670608
 -0.4715011  -3.22018385  1.25980158  1.50101701  0.        ]",[-2.94553494  0.27118602],[-3.70098848  0.61220581],-0.250946979582
10,"[[ -3.72732108  -3.20615113  -0.17684717  -0.1556181 ]
 [-36.24552174   0.33308286   0.           0.        ]]",-3.29139,[-0.39142749 -0.41230524],"[-1.30563553 -0.48910552  0.83738274  1.16112383 -1.5240054  -1.34670534
 -0.52955058  0.43612608  1.22701657  1.27362496  0.        ]",[-2.96421385 -0.44263163],[-1.57681849 -1.09332032],-0.230300270928
11,"[[ -4.48475534  -3.15010365  -0.17684717  -0.1556181 ]
 [-39.48717207   3.70457593   0.           0.        ]]",-3.102,[-0.39142749 -0.41230524],"[-0.46581319 -0.492221    1.45614966  0.93454992 -1.5240044  -1.3467046
 -0.58646748  0.89693881  1.20858101  1.29325187  0.        ]",[-2.99354768 -0.8758142 ],[-3.06891636 -0.5054316 ],-0.229902259184
12,"[[ -5.30638082  -3.08368348  -0.17684717  -0.1556181 ]
 [-42.66478427   2.71900103   0.           0.        ]]",-3.14978,[-0.39142749 -0.41230524],"[ 0.61962369 -0.48972462  1.24251538  0.66596116 -1.52400341 -1.34670386
 -0.64225997  0.76223096  1.19831441  1.2791273   0.        ]",[-2.92731261 -1.01296103],[-3.24839535 -0.9309052 ],-0.22782489649
13,"[[ -6.19092716  -3.04255118  -0.17684717  -0.1556181 ]
 [-45.77946653   1.46929533   0.           0.        ]]",-3.3693,[-0.39142749 -0.41230524],"[ 1.22232602 -0.48481687  0.16093223  0.50007355 -1.52400242 -1.34670311
 -0.69694752  0.59142198  1.13500202  1.27881202  0.        ]",[-2.99245572 -1.10387218],[-2.2614806  -0.14423615],-0.221535365012
14,"[[ -7.13714819  -3.01917841  -0.17684717  -0.1556181 ]
 [-48.83246375   0.87004084   0.           0.        ]]",-3.49024,[-0.39142749 -0.41230524],"[ 0.75414002 -0.48088576 -1.08133686  0.4060941  -1.52400143 -1.34670237
 -0.75055198  0.5095162   1.07496173  1.3620405   0.        ]",[-3.00834465 -0.93947625],[-3.86846263 -1.77969874],-0.222371135058
15,"[[ -8.14382299  -3.00877612  -0.17684717  -0.1556181 ]
 [-51.82504279   0.27948258   0.           0.        ]]",-3.57836,[-0.39142749 -0.41230524],"[-0.54891689 -0.47887061 -1.38147061  0.36435127 -1.52400043 -1.34670163
 -0.80309559  0.42879903  1.11188267  1.48705639  0.        ]",[-3.21863794 -0.90136707],[-2.92741836 -0.85296937],-0.236104764548
16,"[[ -9.20975495  -3.00530467  -0.17684717  -0.1556181 ]
 [-54.75837826   0.09875676   0.           0.        ]]",-3.52315,[-0.39142749 -0.41230524],"[-1.5041926  -0.4781617  -0.2876508   0.35043349 -1.52399944 -1.34670089
 -0.85459897  0.40409746  1.24360758  1.51847794  0.        ]",[-3.2307744 -0.8371163],[-4.05420396 -0.64206047],-0.250824212722
17,"[[ -1.03337710e+01  -3.00385463e+00  -1.76847172e-01  -1.55618100e-01]
 [ -5.76336438e+01   5.03322424e-02   0.00000000e+00   0.00000000e+00]]",-3.46877,[-0.39142749 -0.41230524],"[-1.00327176 -0.47786013  1.18403387  0.34462188 -1.52399845 -1.34670015
 -0.90508273  0.39747874  1.33544865  1.39702959  0.        ]",[-2.94092393 -0.78876436],[-2.5103495   0.35249451],-0.250302284301
