timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.38600451 -0.42072153],-3.62148,"[[-0.01524927 -0.05709442  0.07269787  0.17004094]
 [ 0.00121046 -0.00345942  0.          0.        ]]","[  1.22763738e+00   2.54456740e+00   1.51890541e-03   6.76770116e-01
   6.24105692e-01   1.46741557e+00   1.04673994e-01   3.90467669e-01
   9.05822617e-01  -1.46181038e+00   0.00000000e+00]",[ 3.37874889 -0.33636528],[ 3.85465148 -0.41903761],-0.225822932174
1,[-0.38600451 -0.42072153],-3.59182,"[[ 0.0244717  -0.07382581  0.07269787  0.17004094]
 [ 3.95771164 -1.66413824  0.          0.        ]]","[ 1.22738365  2.54290036  0.05983569  0.60892098  0.62410553  1.46741471
  0.17357846  0.16358243  0.90687573 -1.40682823  0.        ]",[ 3.33357549 -0.29403841],[ 2.21817763 -0.40271882],-0.220780467624
2,[-0.38600451 -0.42072153],-3.45016,"[[ 0.14253723 -0.12279215  0.07269787  0.17004094]
 [ 7.83593078 -3.22727649  0.          0.        ]]","[ 1.21377916  2.53559252  0.23248382  0.41090502  0.62410537  1.46741385
  0.24111959 -0.04997662  0.9000984  -1.24292021  0.        ]",[ 3.12622356 -0.36501873],[ 2.39022301 -0.19869574],-0.205382496848
3,[-0.38600451 -0.42072153],-3.34506,"[[  0.3373946   -0.19460458   0.07269787   0.17004094]
 [ 11.63715818  -3.95153277   0.           0.        ]]","[ 1.1498653   2.51834317  0.50995027  0.12279249  0.62410521  1.46741298
  0.30731988 -0.14892595  0.85560268 -0.96874995  0.        ]",[ 2.74288416 -0.62668598],[ 3.37126789 -1.71726615],-0.178192888219
4,[-0.38600451 -0.42072153],-2.85093,"[[  0.60753527  -0.31259083   0.07269787   0.17004094]
 [ 15.3645262   -7.83410958   0.           0.        ]]","[ 0.98045167  2.47337316  0.86206537 -0.34109198  0.62410505  1.46741212
  0.37223386 -0.67937134  0.73205201 -0.62746431  0.        ]",[ 2.18742347 -0.82032084],[ 1.4865292  -1.15511897],-0.140373508269
5,[-0.38600451 -0.42072153],-2.34554,"[[  0.95148605  -0.50745401   0.07269787   0.17004094]
 [ 19.01845833 -11.63943675   0.           0.        ]]","[ 0.64790297  2.35548938  1.21949198 -1.06621632  0.62410488  1.46741126
  0.43586891 -1.19926241  0.49893547 -0.2919602   0.        ]",[ 1.33682847 -1.23696971],[ 1.35891276 -1.52351057],-0.0942440290969
6,[-0.38600451 -0.42072153],-1.85324,"[[  1.36779595  -0.77766119   0.07269787   0.17004094]
 [ 22.60074532 -15.36869484   0.           0.        ]]","[ 0.12421476  2.11012366  1.46203104 -1.94264987  0.62410472  1.4674104
  0.49825621 -1.70876003  0.14256197 -0.03389468  0.        ]",[ 0.55835766 -1.56682765],[ 0.93701581 -1.93574406],-0.0403546874415
7,[-0.38600451 -0.42072153],-1.68434,"[[  1.85255012  -1.12170126   0.07269787   0.17004094]
 [ 25.86400402 -19.02291809   0.           0.        ]]","[-0.5387842   1.68695815  1.43428456 -2.75228694  0.62410456  1.46740954
  0.55508745 -2.20800489 -0.30425467  0.05352627  0.        ]",[ 0.700629   -1.99353874],[ 1.000521   -1.20549951],-0.0186023065962
8,[-0.38600451 -0.42072153],-1.66751,"[[  2.40443506  -1.53808693   0.07269787   0.17004094]
 [ 29.31323397 -22.60347358   0.           0.        ]]","[-1.1778584   1.07677689  1.01085883 -3.15308549  0.6241044   1.46740868
  0.61515747 -2.69718303 -0.74679583 -0.10266874  0.        ]",[ 1.32079053 -2.31733108],[ 1.16644153 -2.97533395],-0.077852972111
9,[-0.38600451 -0.42072153],-2.23927,"[[  3.02463239  -2.02535949   0.07269787   0.17004094]
 [ 32.69536747 -26.11195373   0.           0.        ]]","[-1.52727233  0.35970295  0.19524399 -2.74257447  0.62410424  1.46740782
  0.67405894 -3.17651113 -1.03467134 -0.49934656  0.        ]",[ 1.84158814 -1.86044812],[ 2.14301365 -0.74632408],-0.130368076329
10,[-0.38600451 -0.42072153],-2.86692,"[[  3.71180366  -2.57202345   0.07269787   0.17004094]
 [ 36.01059294 -28.54646748   0.           0.        ]]","[-1.31802448 -0.25293498 -0.76868269 -1.28287775  0.62410408  1.46740696
  0.73179516 -3.50910938 -1.02227075 -0.99240861  0.        ]",[ 1.78477108 -0.58877039],[ 1.90827398 -0.28790181],-0.166431143132
11,[-0.38600451 -0.42072153],-3.15921,"[[  4.46461011  -3.0753659    0.07269787   0.17004094]
 [ 39.25921747 -11.99301962   0.           0.        ]]","[-0.49345892 -0.48955292 -1.39952565  0.63972921  0.62410392  1.4674061
  0.78837146 -1.24755655 -0.82332522 -1.27648793  0.        ]",[ 1.92729604 -0.05769366],[ 1.46722631 -0.3187676 ],-0.179248585589
12,[-0.38600451 -0.42072153],-2.95796,"[[  5.28173003  -3.1436188    0.07269787   0.17004094]
 [ 42.44196645   1.33928928   0.           0.        ]]","[ 0.59068406 -0.49288171 -1.21275602  0.91690701  0.62410376  1.46740524
  0.84380048  0.57391942 -0.76105706 -1.3061879   0.        ]",[ 2.48024106 -0.58165199],[ 2.11922762 -0.1426085 ],-0.178733658658
