timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.13952322 -0.25608051],-1.28303,"[[-0.01410299  0.08481164  0.0089456  -0.08897914]
 [-0.00041834 -0.00105259  0.          0.        ]]","[ 1.14995244  2.16606117  0.00596634  1.05220521  0.09496001 -0.76010952
 -0.054565    0.35965199  1.26980498  0.82802425  0.        ]",[-1.89582479 -1.89704299],[-2.05846361 -1.47729777],-0.222257081981
1,[-0.13952322 -0.25608051],-1.36275,"[[-0.05378638  0.04507837  0.0089456  -0.08897914]
 [-3.95475691 -3.95908905  0.          0.        ]]","[ 1.14809333  2.16961766 -0.05343299  0.92508992  0.0949599  -0.76010809
 -0.19095428 -0.18271651  1.27081163  0.72515268  0.        ]",[-1.7217288  -1.75028181],[-1.32730373 -2.31212496],-0.21724231283
2,[-0.13952322 -0.25608051],-1.33783,"[[-0.17177205 -0.07302969  0.0089456  -0.08897914]
 [-7.83091991 -7.83878857  0.          0.        ]]","[ 1.12980162  2.16731825 -0.22892658  0.54667587  0.09495979 -0.76010667
 -0.32464715 -0.71435006  1.23665259  0.42181292  0.        ]",[-1.36066449 -1.5800302 ],[ 0.08671737 -2.02627958],-0.201447857229
3,[-0.13952322 -0.25608051],-1.08434,"[[ -3.23381074e-01  -2.67977815e-01   8.94560113e-03  -8.89791409e-02]
 [ -7.33170173e+00  -1.16433359e+01   0.00000000e+00   0.00000000e+00]]","[ 1.07864609  2.12156349 -0.44887084 -0.06831605  0.09495967 -0.76010524
 -0.30742813 -1.23568339  1.09478516  0.02173699  0.        ]",[-0.83967459 -1.39482999],[-0.84657042 -1.53740652],-0.177239961134
4,[-0.13952322 -0.25608051],-0.900624,"[[ -5.02153664e-01  -5.38246381e-01   8.94560113e-03  -8.89791409e-02]
 [ -1.05350838e+01  -1.53710824e+01   0.00000000e+00   0.00000000e+00]]","[ 0.97994298  1.97516034 -0.69381994 -0.86295332  0.09495956 -0.76010381
 -0.4179161  -1.74648768  0.77684524 -0.38290127  0.        ]",[-0.28626847 -1.08294201],[ 0.69342043 -1.89171213],-0.144817874898
5,[-0.13952322 -0.25608051],-0.584117,"[[ -6.83242671e-01  -8.82350416e-01   8.94560113e-03  -8.89791409e-02]
 [ -7.58378818e+00  -1.90271184e+01   0.00000000e+00   0.00000000e+00]]","[ 0.84072297  1.66592754 -0.91848286 -1.69527002  0.09495944 -0.76010239
 -0.3161218  -2.24745652  0.29303543 -0.62702985  0.        ]",[ 0.26390329 -0.75172496],[ 2.1841547  -1.63252409],-0.108936833834
6,[-0.13952322 -0.25608051],-0.236042,"[[ -7.93728387e-01  -1.29885144e+00   8.94560113e-03  -8.89791409e-02]
 [ -3.47850118e+00  -2.26110055e+01   0.00000000e+00   0.00000000e+00]]","[ 0.73827316  1.15800944 -1.04079271 -2.30767551  0.09495933 -0.76010096
 -0.17452494 -2.73852494 -0.17336402 -0.57458147  0.        ]",[ 0.41305533 -0.6309337 ],[ 0.58946602 -0.39295147],-0.0779403905049
7,[-0.13952322 -0.25608051],-0.0799887,"[[ -8.39228386e-01  -1.76219567e+00   8.94560113e-03  -8.89791409e-02]
 [ -1.07939851e+00  -2.37196882e+01   0.00000000e+00   0.00000000e+00]]","[ 0.69257972  0.52252999 -1.08745433 -2.36693382  0.09495922 -0.76009954
 -0.09177659 -2.89041318 -0.49125289 -0.28536389  0.        ]",[ 0.27631217 -0.63055164],[ 1.31329413 -0.47698938],-0.0556352479085
8,[-0.13952322 -0.25608051],-0.0707225,"[[ -8.20910251e-01  -2.25083138e+00   8.94560113e-03  -8.89791409e-02]
 [  2.89822943e+00  -2.51390833e+01   0.00000000e+00   0.00000000e+00]]","[ 0.71120856 -0.08490226 -1.06893678 -1.71227767  0.0949591  -0.76009811
  0.0454172  -3.08486954 -0.59548018  0.12101608  0.        ]",[ 0.12309696 -0.51279056],[ 0.37113299 -0.05585776],-0.051172261447
9,[-0.13952322 -0.25608051],-0.193314,"[[ -7.48792847e-01  -2.75083837e+00   8.94560113e-03  -8.89791409e-02]
 [  4.30900796e+00  -2.48625217e+01   0.00000000e+00   0.00000000e+00]]","[ 0.78143185 -0.49457987 -0.99252945 -0.44053324  0.09495899 -0.76009668
  0.09407683 -3.04693634 -0.5078612   0.53710048  0.        ]",[-0.03271508 -0.32950503],[-1.14243257 -0.23978199],-0.0709486930642
