timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.31594792 -0.35789505],-1.48904,"[[ 0.05555601  0.07577563  0.08112483  0.03128214]
 [-0.00146914 -0.00116705  0.          0.        ]]","[ 1.19880359  2.45535659  0.109563    1.15907137  0.70290871  0.27721291
  0.01554376  0.38309232  0.80399599 -0.03616049  0.        ]",[ 0.61188865 -1.74192619],[-0.01568589 -2.74279425],-0.128274464849
1,[-0.31594792 -0.35789505],-1.36128,"[[ 0.05491977  0.03602492  0.08112483  0.03128214]
 [-0.06195787 -3.96070784  0.          0.        ]]","[ 1.19885077  2.45865508  0.10862382  1.00914703  0.70290825  0.27721278
  0.01426046 -0.15951367  0.80780245 -0.07355273  0.        ]",[ 0.68014944 -1.48740101],[ 0.83817806 -0.0298996 ],-0.129239201056
2,[-0.31594792 -0.35789505],-1.53461,"[[ 0.08696079 -0.04360328  0.08112483  0.03128214]
 [ 3.25501479 -4.00196998  0.          0.        ]]","[ 1.195716    2.45819838  0.15586919  0.70841348  0.70290779  0.27721265
  0.08463117 -0.16516807  0.80875715 -0.09051887  0.        ]",[ 0.61005789 -1.51576376],[ 1.09344493 -1.68227235],-0.129626505459
3,[-0.31594792 -0.35789505],-1.54838,"[[ 0.19112086 -0.16259066  0.08112483  0.03128214]
 [ 7.14803253 -7.88381837  0.          0.        ]]","[ 1.17580535  2.43997139  0.30829523  0.26156026  0.70290732  0.27721251
  0.16722288 -0.69712735  0.79813281 -0.01799668  0.        ]",[ 0.37290281 -1.38932002],[ 0.65304009 -2.78568656],-0.127339067558
4,[-0.31594792 -0.35789505],-1.38087,"[[  0.35859796  -0.3584376    0.08112483   0.03128214]
 [  9.5915548  -11.68817246   0.           0.        ]]","[ 1.11315906  2.36498464  0.54630663 -0.45219244  0.70290686  0.27721238
  0.21906302 -1.21846622  0.76363002  0.09043561  0.        ]",[ 0.10691464 -1.25787759],[ 0.24246647 -0.85417074],-0.122574404179
5,[-0.31594792 -0.35789505],-1.29249,"[[  0.55816279  -0.62381472   0.08112483   0.03128214]
 [ 10.36236527 -14.83901112   0.           0.        ]]","[ 0.99151603  2.17920146  0.81043185 -1.33362958  0.7029064   0.27721225
  0.23541595 -1.65024733  0.69414679  0.17925871  0.        ]",[-0.14368466 -1.21663046],[-0.95007853 -2.46956838],-0.114379746032
6,[-0.31594792 -0.35789505],-1.3166,"[[  0.72565315  -0.95735957   0.08112483   0.03128214]
 [  6.39966342 -18.50332161   0.           0.        ]]","[ 0.85331135  1.82789729  1.00851827 -2.21587318  0.70290593  0.27721212
  0.15134561 -2.15239044  0.59652372  0.1404973   0.        ]",[-0.05686636 -1.16887975],[ 1.03075689 -2.28491981],-0.101219785426
7,[-0.31594792 -0.35789505],-1.10034,"[[  0.89208244  -1.36348651   0.08112483   0.03128214]
 [ 10.23059605 -22.09728902   0.           0.        ]]","[ 0.68735905  1.27728909  1.17816327 -2.82375197  0.70290547  0.27721199
  0.23262027 -2.64488913  0.43470515  0.03002957  0.        ]",[ 0.12025016 -1.15678501],[-0.32242045 -1.38502525],-0.079730628328
8,[-0.31594792 -0.35789505],-0.871701,"[[  1.08186355  -1.84076392   0.08112483   0.03128214]
 [  8.75220389 -25.61876356   0.           0.        ]]","[ 0.46920299  0.5738276   1.33257715 -2.76779845  0.702905    0.27721186
  0.20125548 -3.12744675  0.17376783 -0.09768898  0.        ]",[ 0.34198111 -1.02281094],[ 0.28880373 -1.45020449],-0.0493371382235
9,[-0.31594792 -0.35789505],-0.674941,"[[  1.26663331  -2.38777571   0.08112483   0.03128214]
 [  9.72152185 -29.07089986   0.           0.        ]]","[ 0.23437811 -0.11452811  1.43792471 -1.71247997  0.70290454  0.27721172
  0.22181987 -3.60049333 -0.20247614 -0.2334029   0.        ]",[ 0.56741184 -0.65549588],[-0.00155598 -0.44518305],-0.0350990947222
10,[-0.31594792 -0.35789505],-0.820357,"[[  1.45906426  -2.98110314   0.08112483   0.03128214]
 [  9.52232189 -30.25792567   0.           0.        ]]","[-0.02501483 -0.49871761  1.49656204  0.26940202  0.70290408  0.27721159
  0.21759365 -3.76313319 -0.67257969 -0.29051424  0.        ]",[ 0.6001274  -0.12431076],[ 0.77617643 -0.23968549],-0.0769415264812
11,[-0.31594792 -0.35789505],-0.944291,"[[  1.67846784  -3.24686033   0.08112483   0.03128214]
 [ 12.40824848  -0.27129937   0.           0.        ]]","[-0.32713749 -0.50960775  1.4972171   1.27002145  0.70290361  0.27721146
  0.27881971  0.34608417 -0.89215716 -0.29116445  0.        ]",[ 1.13571978 -0.8003965 ],[ 1.62352684  0.79389495],-0.102186570208
12,[-0.31594792 -0.35789505],-0.791825,"[[  1.96389666  -3.18026308   0.08112483   0.03128214]
 [ 16.12219136   5.31466919   0.           0.        ]]","[-0.70739344 -0.51673533  1.39301936  1.01913297  0.70290315  0.27721133
  0.35761248  1.11155661 -0.80094544 -0.29325879  0.        ]",[ 1.07357454 -1.13476551],[-0.79309219 -0.77543206],-0.0915895237977
13,[-0.31594792 -0.35789505],-0.727139,"[[  2.25163177  -3.09433082   0.08112483   0.03128214]
 [ 12.66283886   3.25428458   0.           0.        ]]","[-1.04735614 -0.51618567  1.17618143  0.69460812  0.70290269  0.2772112
  0.28422061  0.8292111  -0.72066577 -0.23972015  0.        ]",[ 1.00175738 -1.1486454 ],[ 1.52365457 -0.81492347],-0.07935894726
