timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[-0.03629019 -0.09501242  0.07992717 -0.17124186]
 [ 0.00123616  0.00120422  0.          0.        ]]",-1.7413,[-0.31036234 -0.35132223],"[ 1.20260983  2.45704751 -0.02467012  0.50113193  0.69633906 -1.4757744
  0.02356595  0.38317481  0.80610058  1.33967482  0.        ]",[-2.37175989 -2.31685877],[-2.0848589  -2.12471952],-0.200325683998
1,"[[-0.07594094 -0.134701    0.07992717 -0.17124186]
 [-3.95315587 -3.95687562  0.          0.        ]]",-1.74072,[-0.31036234 -0.35132223],"[ 1.19953903  2.45026203 -0.08314018  0.35299848  0.6963386  -1.47577231
 -0.06042436 -0.15948097  0.79303581  1.23493365  0.        ]",[-2.11415291 -2.02198267],[-1.16136017 -1.74748568],-0.189748506966
2,"[[-0.19389592 -0.25276513  0.07992717 -0.17124186]
 [-7.82947817 -7.83660565  0.          0.        ]]",-1.36973,[-0.31036234 -0.35132223],"[ 1.17764978  2.41640133 -0.25568207 -0.0820631   0.69633814 -1.47577023
 -0.14275649 -0.69139478  0.71687712  0.93286447  0.        ]",[-1.45813322 -1.68856728],[-2.27105428 -2.09098174],-0.157154242563
3,"[[ -0.38861201  -0.44765284   0.07992717  -0.17124186]
 [-11.62960416 -11.63947471   0.           0.        ]]",-1.11669,[-0.31036234 -0.35132223],"[ 1.10059054  2.31690883 -0.53073963 -0.76879662  0.69633768 -1.47576814
 -0.22347022 -1.21277013  0.47899643  0.49271671  0.        ]",[-0.32093683 -1.28140712],[ 0.14669938 -2.5538451 ],-0.100650424523
4,"[[ -0.61306988  -0.71785821   0.07992717  -0.17124186]
 [-10.81904186 -15.36861462   0.           0.        ]]",-0.69267,[-0.31036234 -0.35132223],"[ 0.95213278  2.09597964 -0.8209451  -1.61391533  0.69633722 -1.47576605
 -0.20625396 -1.72403532  0.0321531   0.11830847  0.        ]",[ 0.70137399 -0.91762662],[-0.186095   -0.97678086],-0.0288222786858
5,"[[ -0.83469969  -1.06097755   0.07992717  -0.17124186]
 [-11.34247416 -18.93142517   0.           0.        ]]",-0.552379,[-0.31036234 -0.35132223],"[  7.49931552e-01   1.70077495e+00  -1.06571207e+00  -2.42197289e+00
   6.96336760e-01  -1.47576397e+00  -2.17371450e-01  -2.21249344e+00
  -5.49027484e-01   1.75351534e-03   0.00000000e+00]",[ 1.04234648 -0.95903504],[ 1.73315649 -0.8122615 ],-0.0484222168238
6,"[[ -1.0196208   -1.4681215    0.07992717  -0.17124186]
 [ -7.16354894 -21.77348064   0.           0.        ]]",-0.756278,[-0.31036234 -0.35132223],"[ 0.54603821  1.12625848 -1.22938949 -2.87998846  0.6963363  -1.47576188
 -0.12861183 -2.60213164 -1.06192221  0.22086978  0.        ]",[ 1.00007915 -1.2292273 ],[ 1.2984575  -1.78368853],-0.11645654829
7,"[[ -1.1217894   -1.93899902   0.07992717  -0.17124186]
 [ -3.06685236 -25.30247044   0.           0.        ]]",-1.09843,[-0.31036234 -0.35132223],"[ 0.42233396  0.43713168 -1.30171779 -2.64793197  0.69633584 -1.47575979
 -0.04159873 -3.08594218 -1.30154042  0.66425195  0.        ]",[ 0.79858369 -1.40497386],[ 0.06292178 -1.58273799],-0.163055711026
8,"[[ -1.18004782  -2.47975007   0.07992717  -0.17124186]
 [ -2.75996035 -28.76110527   0.           0.        ]]",-1.61225,[-0.31036234 -0.35132223],"[ 0.34891229 -0.20205532 -1.3367896  -1.45156947  0.69633538 -1.47575771
 -0.03508038 -3.56009803 -1.23441943  1.17320367  0.        ]",[ 0.19418721 -1.33537722],[-0.50525462 -0.63975109],-0.19140892183
9,"[[ -1.25478984  -3.0746752    0.07992717  -0.17124186]
 [ -4.70716111 -25.13903334   0.           0.        ]]",-1.70022,[-0.31036234 -0.35132223],"[ 0.25213949 -0.51336265 -1.37498411  0.6063513   0.69633492 -1.47575562
 -0.07643857 -3.06350177 -0.87106831  1.54841745  0.        ]",[-0.62253863 -0.70774627],[-1.15620621 -0.36571672],-0.199639036309
10,"[[-1.38770801 -3.23951213  0.07992717 -0.17124186]
 [-8.57209402  1.30312798  0.          0.        ]]",-1.66873,[-0.31036234 -0.35132223],"[ 0.07447983 -0.50955911 -1.42343241  1.22492661  0.69633446 -1.47575353
 -0.15852907  0.56167576 -0.71669424  1.58505369  0.        ]",[-0.21988614 -1.06000376],[-1.16683302 -0.79435873],-0.195498950978
11,"[[ -1.59717031  -3.16729012   0.07992717  -0.17124186]
 [-12.36158016   4.33240911   0.           0.        ]]",-1.71392,[-0.31036234 -0.35132223],"[-0.21323785 -0.51620538 -1.44760397  0.95413871  0.696334   -1.47575145
 -0.23901709  0.97698461 -0.76845582  1.57249464  0.        ]",[-0.08591168 -1.28442335],[ 1.45426751 -1.71766116],-0.196625821127
12,"[[-1.80222213 -3.09223535  0.07992717 -0.17124186]
 [-8.1576166   2.99862916  0.          0.        ]]",-1.59314,[-0.31036234 -0.35132223],"[-0.49344162 -0.51488227 -1.40873821  0.67221632  0.69633354 -1.47574936
 -0.14972541  0.79412489 -0.81714449  1.58059214  0.        ]",[ 0.0178427  -1.43562913],[ 0.48573998 -2.72960698],-0.200070218717
13,"[[-1.94445872 -3.04685918  0.07992717 -0.17124186]
 [-6.07298683  1.62134663  0.          0.        ]]",-1.728,[-0.31036234 -0.35132223],"[-0.68070257 -0.51001488 -1.34619298  0.50217823  0.69633308 -1.47574727
 -0.1054481   0.6053012  -0.84199229  1.59570128  0.        ]",[ 0.04483348 -1.53085506],[ 1.14548289 -1.37919286],-0.203074864315
14,"[[-2.02498767 -3.02361029  0.07992717 -0.17124186]
 [-1.99350025  0.78780863  0.          0.        ]]",-1.63733,[-0.31036234 -0.35132223],"[-0.78244537 -0.50633674 -1.29836376  0.41531904  0.69633262 -1.47574519
 -0.01880028  0.49102412 -0.85247129  1.60681618  0.        ]",[ 0.06757884 -1.59036291],[ 0.01878428 -2.13090263],-0.204862938823
15,"[[-2.06371571 -3.0126358   0.07992717 -0.17124186]
 [-1.87968125  0.36053868  0.          0.        ]]",-1.57808,[-0.31036234 -0.35132223],"[-0.83001719 -0.50432233 -1.27227624  0.37439779  0.69633216 -1.4757431
 -0.01638277  0.4324458  -0.85686946  1.6128016   0.        ]",[ 0.05961211 -1.6192168 ],[-0.37361488 -2.57769873],-0.205757228448
16,"[[-2.11577787 -3.00770311  0.07992717 -0.17124186]
 [-3.32172836  0.15879739  0.          0.        ]]",-1.76482,[-0.31036234 -0.35132223],"[-0.89241198 -0.50335876 -1.23414004  0.35602355  0.6963317  -1.47574101
 -0.04701168  0.40478715 -0.85470403  1.61798662  0.        ]",[ 0.03003444 -1.64792919],[ 0.52164615 -0.94613114],-0.206198639155
17,"[[-2.16083039 -3.00549991  0.07992717 -0.17124186]
 [-1.19062491  0.07205711  0.          0.        ]]",-1.72348,[-0.31036234 -0.35132223],"[-0.94484669 -0.50291661 -1.19837189  0.34782047  0.69633124 -1.47573893
 -0.00174724  0.39289497 -0.85100524  1.62169899  0.        ]",[ 0.03748814 -1.6716032 ],[ 0.05647135 -1.24571299],-0.206396719143
18,"[[-2.18216311 -3.00457385  0.07992717 -0.17124186]
 [-0.94347019  0.02760604  0.          0.        ]]",-1.72377,[-0.31036234 -0.35132223],"[-0.96913715 -0.50272847 -1.18056122  0.34437315  0.69633078 -1.47573684
  0.0035023   0.38680059 -0.84910723  1.62337065  0.        ]",[ 0.0341004  -1.68209648],[-0.46947805 -1.05429053],-0.206473905887
19,"[[-2.21949507 -3.00421918  0.07992717 -0.17124186]
 [-2.7835931   0.01056821  0.          0.        ]]",-1.58738,[-0.31036234 -0.35132223],"[-1.01077153 -0.5026559  -1.14807445  0.34305288  0.69633032 -1.47573475
 -0.03558176  0.38446453 -0.84476093  1.62566002  0.        ]",[ 0.00677247 -1.69861174],[-1.80368982 -1.87133979],-0.206484561953
20,"[[ -2.31433888e+00  -3.00408346e+00   7.99271671e-02  -1.71241864e-01]
 [ -6.68777770e+00   4.04218850e-03   0.00000000e+00   0.00000000e+00]]",-1.67759,[-0.31036234 -0.35132223],"[-1.11119081 -0.50262791 -1.05827593  0.34254756  0.69632986 -1.47573267
 -0.11850634  0.38356962 -0.83284655  1.63032448  0.        ]",[-0.06080248 -1.7404629 ],[ 0.38629917 -1.81290911],-0.20634710323
21,"[[ -2.43142041e+00  -3.00403150e+00   7.99271671e-02  -1.71241864e-01]
 [ -5.02591327e+00   1.54980452e-03   0.00000000e+00   0.00000000e+00]]",-1.56949,[-0.31036234 -0.35132223],"[-1.22348099 -0.50261701 -0.93403968  0.34235397  0.6963294  -1.47573058
 -0.08320839  0.38322772 -0.8175799   1.63429971  0.        ]",[-0.10054663 -1.79463065],[ 0.27042776 -2.70762399],-0.20597055565
22,"[[ -2.52019771e+00  -3.00401158e+00   7.99271671e-02  -1.71241864e-01]
 [ -3.85571628e+00   5.93257514e-04   0.00000000e+00   0.00000000e+00]]",-1.66535,[-0.31036234 -0.35132223],"[-1.29914702 -0.50261266 -0.8309495   0.3422797   0.69632894 -1.47572849
 -0.05835343  0.38309639 -0.80576701  1.63599107  0.        ]",[-0.13299386 -1.83483064],[-0.9233948  -1.30831403],-0.205540459436
23,"[[ -2.63322790e+00  -3.00400402e+00   7.99271671e-02  -1.71241864e-01]
 [ -7.43537420e+00   2.23434929e-04   0.00000000e+00   0.00000000e+00]]",-1.56581,[-0.31036234 -0.35132223],"[-1.38262134 -0.50261084 -0.69000873  0.34225137  0.69632848 -1.47572641
 -0.13438518  0.38304549 -0.79059921  1.6364721   0.        ]",[-0.21255715 -1.88190043],[-0.95979201 -2.06635094],-0.204817357369
24,"[[ -2.81858613e+00  -3.00400116e+00   7.99271671e-02  -1.71241864e-01]
 [ -1.10882747e+01   8.48362577e-05   0.00000000e+00   0.00000000e+00]]",-1.63028,[-0.31036234 -0.35132223],"[-1.4857919  -0.50260997 -0.43989983  0.34224056  0.69632802 -1.47572432
 -0.2119726   0.38302629 -0.76590711  1.63322084  0.        ]",[-0.32961842 -1.94997609],[-1.50219988 -1.13750887],-0.203227495681
25,"[[ -3.07787406e+00  -3.00400007e+00   7.99271671e-02  -1.71241864e-01]
 [ -1.48280558e+01   3.31913869e-05   0.00000000e+00   0.00000000e+00]]",-1.47194,[-0.31036234 -0.35132223],"[-1.55437268 -0.50260947 -0.06510897  0.34223632  0.69632756 -1.47572223
 -0.29140535  0.38301901 -0.73318018  1.62050186  0.        ]",[-0.48103881 -2.02400923],[-1.19441683 -2.30454576],-0.200240822122
26,"[[ -3.41121480e+00  -3.00399962e+00   7.99271671e-02  -1.71241864e-01]
 [ -1.84938026e+01   1.43806419e-05   0.00000000e+00   0.00000000e+00]]",-1.4977,[-0.31036234 -0.35132223],"[-1.50730185 -0.5026091   0.42237925  0.3422345   0.6963271  -1.47572015
 -0.36926559  0.38301624 -0.6973861   1.59152859  0.        ]",[-0.65093243 -2.08977509],[-0.33184931 -1.99987351],-0.19534644703
27,"[[ -3.79060020e+00  -3.00399939e+00   7.99271671e-02  -1.71241864e-01]
 [ -1.94415785e+01   9.07049964e-06   0.00000000e+00   0.00000000e+00]]",-1.23864,[-0.31036234 -0.35132223],"[-1.27652303 -0.50260877  0.92166286  0.34223346  0.69632664 -1.47571806
 -0.38939616  0.38301532 -0.66980072  1.54520011  0.        ]",[-0.71454334 -2.10741711],[-1.12113816 -3.24566714],-0.188899834935
28,"[[ -4.21529504e+00  -3.00399927e+00   7.99271671e-02  -1.71241864e-01]
 [ -2.30159939e+01   3.96724619e-06   0.00000000e+00   0.00000000e+00]]",-1.25403,[-0.31036234 -0.35132223],"[-0.83507178 -0.50260847  1.327223    0.34223286  0.69632618 -1.47571597
 -0.46531652  0.38301442 -0.66002032  1.48440315  0.        ]",[-0.79882377 -2.07020283],[-0.58384714 -2.63630235],-0.18161474149
29,"[[ -4.69423662e+00  -3.00399919e+00   7.99271671e-02  -1.71241864e-01]
 [ -2.48719788e+01   4.40485706e-06   0.00000000e+00   0.00000000e+00]]",-1.31954,[-0.31036234 -0.35132223],"[-0.20187523 -0.50260817  1.50574132  0.34223236  0.69632572 -1.47571389
 -0.50473739  0.38301429 -0.67753158  1.41760767  0.        ]",[-0.82178795 -1.97245693],[-1.66067946 -1.15344531],-0.174951931248
30,"[[ -5.22646085e+00  -3.00399912e+00   7.99271671e-02  -1.71241864e-01]
 [ -2.83388916e+01   3.23376807e-06   0.00000000e+00   0.00000000e+00]]",-1.33337,[-0.31036234 -0.35132223],"[ 0.50193498 -0.50260787  1.31507414  0.34223193  0.69632526 -1.4757118
 -0.57837435  0.38301393 -0.72743148  1.36306233  0.        ]",[-0.74591881 -1.79828668],[-0.35283257 -0.72320354],-0.171497178537
31,"[[ -5.80162610e+00  -3.00370547e+00   7.99271671e-02  -1.71241864e-01]
 [ -2.91748471e+01   2.02887597e-02   0.00000000e+00   0.00000000e+00]]",-1.21781,[-0.31036234 -0.35132223],"[ 1.04654707 -0.50254751  0.71304796  0.34113887  0.6963248  -1.47570972
 -0.59612971  0.38579487 -0.80146183  1.34365282  0.        ]",[-0.56667817 -1.57571208],[ 0.29224089 -3.09004088],-0.173669064096
32,"[[ -6.36771900e+00  -3.00363454e+00   7.99271671e-02  -1.71241864e-01]
 [ -2.74402235e+01  -5.34310321e-03   0.00000000e+00   0.00000000e+00]]",-1.47047,[-0.31036234 -0.35132223],"[ 1.19859871 -0.5025327  -0.09577428  0.34087471  0.69632434 -1.47570763
 -0.55928592  0.38228056 -0.87240976  1.37059084  0.        ]",[-0.29559714 -1.37627518],[-1.63080382 -0.98345864],-0.180963745029
33,"[[ -6.95079802e+00  -3.00375279e+00   7.99271671e-02  -1.71241864e-01]
 [ -3.08562943e+01  -5.47262085e-03   0.00000000e+00   0.00000000e+00]]",-1.51265,[-0.31036234 -0.35132223],"[ 0.90716844 -0.50255664 -0.88552058  0.34131466  0.69632388 -1.47570554
 -0.63184301  0.38226261 -0.91981993  1.43729723  0.        ]",[-0.0909245  -1.24664938],[-0.53748318 -2.22607148],-0.19098413198
34,"[[ -7.58314653e+00  -3.00385814e+00   7.99271671e-02  -1.71241864e-01]
 [ -3.23735010e+01  -4.51525939e-03   0.00000000e+00   0.00000000e+00]]",-1.69563,[-0.31036234 -0.35132223],"[ 0.1924703  -0.50257792 -1.39426492  0.34170654  0.69632342 -1.47570346
 -0.66406813  0.38239366 -0.92409206  1.52838412  0.        ]",[-0.00911168 -1.28758037],[-0.55159904 -1.15581646],-0.200754115736
35,"[[ -8.24609857e+00  -3.00392851e+00   7.99271671e-02  -1.71241864e-01]
 [ -3.39165610e+01  -2.58253549e-03   0.00000000e+00   0.00000000e+00]]",-1.73997,[-0.31036234 -0.35132223],"[-0.70431798 -0.50259204 -1.33600023  0.3419683   0.69632296 -1.47570137
 -0.69684234  0.38265845 -0.87490193  1.60729803  0.        ]",[-0.16987322 -1.53932393],[ 0.36434503 -1.15359992],-0.206189313545
36,"[[ -8.90321959e+00  -3.00396601e+00   7.99271671e-02  -1.71241864e-01]
 [ -3.18025861e+01  -1.28797867e-03   0.00000000e+00   0.00000000e+00]]",-1.72861,[-0.31036234 -0.35132223],"[-1.37364612 -0.50259943 -0.70697016  0.34210771  0.6963225  -1.47569928
 -0.65194098  0.38283573 -0.79238077  1.63651039  0.        ]",[-0.39137083 -1.85034955],[-1.80470807 -0.27462711],-0.204915561377
37,"[[ -9.57267935  -3.00321487   0.07992717  -0.17124186]
 [-35.13229354   0.05255372   0.           0.        ]]",-1.34112,[-0.31036234 -0.35132223],"[-1.54210001 -0.50244516  0.24660246  0.33931201  0.69632204 -1.4756972
 -0.72266369  0.39021721 -0.70939334  1.60426114  0.        ]",[-0.71799356 -2.05419111],[-0.5750603  -3.20131858],-0.197324126267
38,"[[ -1.02911913e+01  -3.00303752e+00   7.99271671e-02  -1.71241864e-01]
 [ -3.67136316e+01  -1.42800156e-02   0.00000000e+00   0.00000000e+00]]",-1.32017,[-0.31036234 -0.35132223],"[-1.07068367 -0.5024084   1.15446546  0.33865185  0.69632158 -1.47569511
 -0.75625089  0.38105413 -0.66125792  1.51529828  0.        ]",[-0.81453037 -2.05448413],[-1.24638337 -1.99839118],-0.185153264967
39,"[[ -1.10578966e+01  -3.00339703e+00   7.99271671e-02  -1.71241864e-01]
 [ -3.99461225e+01  -1.76306637e-02   0.00000000e+00   0.00000000e+00]]",-1.08249,[-0.31036234 -0.35132223],"[-0.09084829 -0.50248202  1.50311605  0.33998961  0.69632112 -1.47569302
 -0.82490861  0.38059456 -0.68273802  1.40763575  0.        ]",[-0.86541349 -1.91164339],[-1.06490979 -3.10871749],-0.174098874901
40,"[[ -1.18886096e+01  -3.00368573e+00   7.99271671e-02  -1.71241864e-01]
 [ -4.31146211e+01  -1.10454132e-02   0.00000000e+00   0.00000000e+00]]",-1.23996,[-0.31036234 -0.35132223],"[ 0.89844348 -0.50254094  0.95511951  0.34106388  0.69632066 -1.47569094
 -0.89220704  0.38149721 -0.77510075  1.34489965  0.        ]",[-0.70365322 -1.62923598],[-1.22464371 -1.88104493],-0.172229011302
