timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[-0.07022167 -0.03422747  0.05047946  0.09788894]
 [-0.00310385 -0.0035295   0.          0.        ]]",-3.67843,[-0.3788186  -0.40886903],"[ 1.22686497  2.54903534 -0.07933496  0.76347343  0.44304336  0.85392352
  0.11548628  0.39057155  1.06171385 -0.93605723  0.        ]",[ 2.74668312 -0.14855734],[ 2.42390343 -0.60007755],-0.196775268647
1,"[[-0.03058335 -0.05815258  0.05047946  0.09788894]
 [ 3.95375876 -2.38105184  0.          0.        ]]",-3.66041,[-0.3788186  -0.40886903],"[ 1.22962514  2.54735194 -0.0212477   0.66628822  0.44304327  0.85392326
  0.18388358  0.06584709  1.06455928 -0.88774373  0.        ]",[ 2.7100153  -0.04392108],[ 2.96307501 -0.64512585],-0.193772797092
2,"[[ 0.0874076  -0.13094511  0.05047946  0.09788894]
 [ 7.83242388 -4.88982942  0.          0.        ]]",-3.53236,[-0.3788186  -0.40886903],"[ 1.22499323  2.53689954  0.15172092  0.37166544  0.44304318  0.85392299
  0.25092918 -0.27680434  1.06451058 -0.74519937  0.        ]",[ 2.45141077 -0.06830725],[ 2.75651503  0.46126983],-0.184711850449
3,"[[  0.28218539  -0.20945927   0.05047946   0.09788894]
 [ 11.6327127   -2.96797009   0.           0.        ]]",-3.49389,[-0.3788186  -0.40886903],"[ 1.17559131  2.51667635  0.43222584  0.0570828   0.44304308  0.85392273
  0.31661998 -0.01431473  1.0353009  -0.47374473  0.        ]",[ 1.84292066 -0.61739028],[ 2.62200394 -1.23193959],-0.167216078252
4,"[[  0.55223799  -0.30796957   0.05047946   0.09788894]
 [ 15.36016182  -6.87001545   0.           0.        ]]",-3.18469,[-0.3788186  -0.40886903],"[ 1.02476402  2.47836012  0.7934074  -0.33001969  0.44304299  0.85392247
  0.38105169 -0.54726025  0.9274236  -0.10583762  0.        ]",[ 0.99969834 -1.01864362],[ 2.14337047 -0.89429863],-0.142639235423
5,"[[  0.89610043  -0.47954326   0.05047946   0.09788894]
 [ 19.0139802  -10.27592039   0.           0.        ]]",-2.8231,[-0.3788186  -0.40886903],"[ 0.71135926  2.37837106  1.16950401 -0.97353972  0.44304289  0.85392221
  0.44421063 -1.01244219  0.70357662  0.26469016  0.        ]",[ 0.00169755 -1.54789114],[ 0.34744155 -1.95726897],-0.115260640436
6,"[[  1.28641805  -0.72274331   0.05047946   0.09788894]
 [ 20.01451686 -14.03148976   0.           0.        ]]",-2.32967,[-0.3788186  -0.40886903],"[ 0.23563935  2.16969566  1.43207734 -1.78712327  0.4430428   0.85392195
  0.46150557 -1.52538115  0.37707117  0.53841284  0.        ]",[-0.79058719 -1.90931964],[-1.27589664 -2.51616429],-0.0906232507152
7,"[[  1.6430621   -1.0402889    0.05047946   0.09788894]
 [ 15.66423776 -17.71088952   0.           0.        ]]",-2.08513,[-0.3788186  -0.40886903],"[-0.25205934  1.79858163  1.48718248 -2.60491388  0.44304271  0.85392169
  0.38630758 -2.02791572  0.0845508   0.60094263  0.        ]",[-0.58444822 -2.25061846],[-1.05687143 -1.81704133],-0.0721574654499
8,"[[  1.9135528   -1.43069738   0.05047946   0.09788894]
 [ 11.39874502 -21.31805791   0.           0.        ]]",-2.00537,[-0.3788186  -0.40886903],"[-0.61687783  1.24146272  1.40565622 -3.12400155  0.44304261  0.85392142
  0.3125752  -2.52058313 -0.06756583  0.45758062  0.        ]",[-0.10990411 -2.41320705],[-0.80727866 -2.46313747],-0.049211456337
9,"[[  2.1072133   -1.89254136   0.05047946   0.09788894]
 [  7.97834548 -24.85466259   0.           0.        ]]",-2.1191,[-0.3788186  -0.40886903],"[-0.85878205  0.54818066  1.28490914 -2.95516797  0.44304252  0.85392116
  0.25345091 -3.00361037 -0.12541178  0.15228948  0.        ]",[ 0.34154439 -2.21660876],[ 0.38366588 -3.06151224],-0.0129204312805
