timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.37822154 -0.36638156],-4.64714,"[[-0.03522111  0.05227658 -0.0911807   0.19137127]
 [-0.00143558  0.00405741  0.          0.        ]]","[ 1.22139675  2.54296428 -0.0254428   1.11245862 -0.79618598  1.65193972
  0.08302249  0.39018644  2.17120925 -1.56676022  0.        ]",[-0.19261083 -0.93405914],[-1.12021457 -1.35352032],-0.35765661315
1,[-0.37822154 -0.36638156],-4.60188,"[[-0.07492461  0.01264451 -0.0911807   0.19137127]
 [-3.9557516  -3.95407794  0.          0.        ]]","[ 1.21837694  2.54491515 -0.083735    0.95366537 -0.79618568  1.65193828
  0.0115263  -0.15138165  2.16798324 -1.67363578  0.        ]",[-0.48806548 -0.79171818],[-0.41319537 -0.19192767],-0.364313613453
2,[-0.37822154 -0.36638156],-4.75729,"[[-0.16965193 -0.0732704  -0.0911807   0.19137127]
 [-5.51180471 -4.63514311  0.          0.        ]]","[ 1.20241838  2.54095327 -0.22194093  0.60949217 -0.79618538  1.65193684
 -0.016608   -0.24456771  2.13561737 -1.91817343  0.        ]",[-0.68639308 -0.83020806],[-0.76016242 -0.92948643],-0.378168959661
3,[-0.37822154 -0.36638156],-4.75708,"[[-0.30895212 -0.20196754 -0.0911807   0.19137127]
 [-8.40860563 -8.22261195  0.          0.        ]]","[ 1.15683987  2.51412675 -0.42078574  0.09876959 -0.79618507  1.6519354
 -0.06898375 -0.7354197   2.02610538 -2.26243999  0.        ]",[-1.08189178 -0.70131493],[ -6.55268328e-01  -4.61642573e-04],-0.394568073449
4,[-0.37822154 -0.36638156],-4.77225,"[[ -0.50146683  -0.36479453  -0.0911807    0.19137127]
 [-10.83482651  -8.06061401   0.           0.        ]]","[ 1.05215489  2.44498623 -0.68055465 -0.52728403 -0.79618477  1.65193396
 -0.11285115 -0.71325422  1.77562724 -2.66436579  0.        ]",[-1.21302915 -0.65202129],[-1.77583337 -0.47023193],-0.408715962355
5,[-0.37822154 -0.36638156],-4.56639,"[[ -0.75570388  -0.54307042  -0.0911807    0.19137127]
 [-14.57652866  -9.76127269   0.           0.        ]]","[ 0.84618319  2.3262944  -0.98214055 -1.16877071 -0.79618446  1.65193252
 -0.18050319 -0.94594497  1.33654209 -3.02384115  0.        ]",[-1.07607734 -0.41439062],[-0.75500609  0.04287407],-0.413926930528
6,[-0.37822154 -0.36638156],-4.39305,"[[ -1.07432137  -0.73463814  -0.0911807    0.19137127]
 [-17.27630959  -9.39666294   0.           0.        ]]","[ 0.49878372  2.15290198 -1.26663456 -1.78436516 -0.79618416  1.65193109
 -0.2293167  -0.89605718  0.71082489 -3.19481828  0.        ]",[-0.82018024 -0.31275806],[ 0.29009231 -0.88222032],-0.402347177648
7,[-0.37822154 -0.36638156],-4.04962,"[[ -1.40490695  -0.9557496   -0.0911807    0.19137127]
 [-15.78734543 -12.70344916   0.           0.        ]]","[ 0.06885237  1.90194084 -1.42398575 -2.37139783 -0.79618386  1.65192965
 -0.20239533 -1.34850453  0.0645807  -3.03670561  0.        ]",[-0.50586158 -0.09560767],[ 0.08257304 -0.22503515],-0.368620635818
8,[-0.37822154 -0.36638156],-3.61918,"[[ -1.71426158  -1.21622805  -0.0911807    0.19137127]
 [-15.1502983  -13.34225327   0.           0.        ]]","[-0.35680133  1.55256762 -1.4290648  -2.85668655 -0.79618355  1.65192821
 -0.19087711 -1.43590732 -0.4027726  -2.58125646  0.        ]",[-0.57955235 -0.25641328],[-1.27902596  1.18138753],-0.314890777053
9,[-0.37822154 -0.36638156],-3.01935,"[[ -2.05399504  -1.44067527  -0.0911807    0.19137127]
 [-18.81078632  -9.11648436   0.           0.        ]]","[-0.80115702  1.22201553 -1.27581694 -3.07216378 -0.79618325  1.65192677
 -0.25706079 -0.85771995 -0.61859332 -1.97860249  0.        ]",[-0.77051997 -0.67997527],[-0.39340787 -0.6896411 ],-0.248858565814
10,[-0.37822154 -0.36638156],-2.27523,"[[ -2.44211328  -1.64857381  -0.0911807    0.19137127]
 [-19.99725478 -11.66485098   0.           0.        ]]","[-1.21639384  0.90663305 -0.92040215 -3.09392783 -0.79618294  1.65192533
 -0.27851276 -1.20639724 -0.54807633 -1.34187607  0.        ]",[-0.77271658 -0.81641895],[-0.40333655 -1.83748007],-0.173518659666
11,[-0.37822154 -0.36638156],-1.75518,"[[ -2.85412918  -1.91926209  -0.0911807    0.19137127]
 [-21.20055975 -15.39155185   0.           0.        ]]","[-1.48411759  0.50565454 -0.39057752 -2.86509002 -0.79618264  1.65192389
 -0.30026914 -1.71629812 -0.14936808 -0.86646954  0.        ]",[-0.71122712 -0.66608453],[-0.72469307 -0.43818263],-0.109946244022
12,[-0.37822154 -0.36638156],-2.08845,"[[ -3.30274773  -2.24142305  -0.0911807    0.19137127]
 [-23.65319588 -16.81979702   0.           0.        ]]","[-1.52290491  0.07995093  0.26230035 -2.23781478 -0.79618234  1.65192245
 -0.34461416 -1.9117143   0.40760011 -0.79319088  0.        ]",[-0.58934397 -0.18642896],[-0.69462607 -0.24603369],-0.125266399371
13,[-0.37822154 -0.36638156],-2.65719,"[[ -3.79873883  -2.58423363  -0.0911807    0.19137127]
 [-25.93819492 -17.45920922   0.           0.        ]]","[-1.25308612 -0.26541775  0.92462216 -1.21757843 -0.79618203  1.65192101
 -0.3859282  -1.99919886  0.77750337 -1.13038708  0.        ]",[-0.39287394  0.42707324],[ 0.83326516  0.6350442 ],-0.186284565429
14,[-0.37822154 -0.36638156],-2.82294,"[[ -4.27927086  -2.90470838  -0.0911807    0.19137127]
 [-22.12734073 -14.59796066   0.           0.        ]]","[-0.73910764 -0.45304605  1.36107258 -0.03783974 -0.79618173  1.65191957
 -0.3170256  -1.60771048  0.7469277  -1.51455938  0.        ]",[-0.24831434  0.62998253],[-0.86200899  0.18213797],-0.220714008034
15,[-0.37822154 -0.36638156],-2.81544,"[[ -4.75166726  -3.11388652  -0.0911807    0.19137127]
 [-25.10206939  -2.8009957    0.           0.        ]]","[-0.10502538 -0.49491734  1.49572243  0.79191513 -0.79618142  1.65191813
 -0.37081038  0.00639506  0.55371684 -1.63755082  0.        ]",[-0.413845    0.37963122],[-0.19832635 -0.12299537],-0.221692077236
16,[-0.37822154 -0.36638156],-2.80432,"[[ -5.25659831  -3.10434599  -0.0911807    0.19137127]
 [-25.39014721   2.07348252   0.           0.        ]]","[ 0.55599998 -0.49444624  1.28442077  0.75368706 -0.79618112  1.65191669
 -0.3760189   0.6733396   0.52789658 -1.64105786  0.        ]",[-0.67904389 -0.07080939],[-0.6018125  -0.48444388],-0.220703109869
17,[-0.37822154 -0.36638156],-2.7777,"[[ -5.78326485  -3.06199225  -0.0911807    0.19137127]
 [-27.27025025   1.8796213    0.           0.        ]]","[ 1.05318292 -0.49068671  0.73124066  0.58419257 -0.79618082  1.65191525
 -0.4100122   0.64681455  0.50918272 -1.65616467  0.        ]",[-0.64612246 -0.05711931],[-0.74442584 -0.01175901],-0.221386085531
18,[-0.37822154 -0.36638156],-2.80577,"[[ -6.35282521  -3.02523827  -0.0911807    0.19137127]
 [-29.67775907   1.79608753   0.           0.        ]]","[ 1.21890422 -0.48522109 -0.07598264  0.43756014 -0.79618051  1.65191381
 -0.45354131  0.63538493  0.46406841 -1.65479331  0.        ]",[-0.67193311 -0.10791573],[-1.50751466 -0.17832852],-0.219018468774
19,[-0.37822154 -0.36638156],-2.75819,"[[ -6.98021034  -2.99675413  -0.0911807    0.19137127]
 [-33.0495187    1.05483807   0.           0.        ]]","[ 0.90001804 -0.47958195 -0.91764003  0.32434299 -0.79618021  1.65191238
 -0.51450465  0.53396414  0.41089362 -1.60758521  0.        ]",[-0.63584059 -0.06198606],[-0.82946864 -0.06692985],-0.211321907527
20,[-0.37822154 -0.36638156],-2.57677,"[[ -7.66758647  -2.97851946  -0.0911807    0.19137127]
 [-35.67933056   0.76961632   0.           0.        ]]","[ 0.09674462 -0.47533084 -1.41870111  0.25210549 -0.7961799   1.65191094
 -0.5620531   0.49493884  0.39416763 -1.5100153   0.        ]",[-0.59679031  0.00768617],[-0.27834996  0.59796725],-0.199735663338
21,[-0.37822154 -0.36638156],-2.57872,"[[ -8.38514188  -2.93951468  -0.0911807    0.19137127]
 [-36.07486766   3.12305833   0.           0.        ]]","[-0.85906911 -0.46456519 -1.24156408  0.0983434  -0.7961796   1.6519095
 -0.56920448  0.81694571  0.42542529 -1.40220445  0.        ]",[-0.75724345 -0.16033956],[-0.10253781 -0.91812186],-0.189443284648
22,[-0.37822154 -0.36638156],-2.53746,"[[ -9.1035475   -2.91413665  -0.0911807    0.19137127]
 [-35.76675932  -0.572918     0.           0.        ]]","[ -1.47013759e+00  -4.56342864e-01  -4.37948965e-01  -1.05749728e-03
  -7.96179296e-01   1.65190806e+00  -5.63633520e-01   3.11247580e-01
   5.34587739e-01  -1.33540894e+00   0.00000000e+00]",[-0.76280183  0.00323889],[-0.32374794  0.1637358 ],-0.188521666885
