timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.37678605 -0.38331306],-3.21497,"[[ 0.06892195 -0.07609436  0.0456365  -0.0905934 ]
 [-0.00445341  0.0036777   0.          0.        ]]","[ 1.22012295  2.54193934  0.12725016  0.5989349   0.39357551 -0.78090413
  0.08706593  0.3904026   1.10906654  0.87561022  0.        ]",[-2.86997032 -2.13196301],[-2.60889001 -3.37271723],-0.190487867333
1,[-0.37678605 -0.38331306],-3.00164,"[[ 0.02915859 -0.11573395  0.0456365  -0.0905934 ]
 [-3.9587268  -3.95444998  0.          0.        ]]","[ 1.22281529  2.53616284  0.06887004  0.44037787  0.39357541 -0.78090384
  0.01599833 -0.15115497  1.10740486  0.76860516  0.        ]",[-2.63818431 -1.86171436],[-3.96707888 -1.91268971],-0.184181186108
2,[-0.37678605 -0.38331306],-2.97212,"[[-0.08890655 -0.23375004  0.0456365  -0.0905934 ]
 [-7.83492169 -7.83422813  0.          0.        ]]","[ 1.21794487  2.50497692 -0.10451377 -0.02639956  0.39357531 -0.78090356
 -0.05366602 -0.68199256  1.06380828  0.45520156  0.        ]",[-1.96367967 -1.48541951],[-1.55098365 -1.66860909],-0.165078098905
3,[-0.37678605 -0.38331306],-2.67384,"[[ -0.2837301   -0.4285907    0.0456365   -0.0905934 ]
 [-11.63490227 -11.63714648   0.           0.        ]]","[ 1.1681589   2.40878919 -0.38551299 -0.76568767  0.3935752  -0.78090328
 -0.12196062 -1.20231368  0.87227664 -0.01816714  0.        ]",[-1.02793074 -0.96793461],[-1.38481456 -1.01574893],-0.133943840852
4,[-0.37678605 -0.38331306],-2.13706,"[[ -0.55380909  -0.69873278   0.0456365   -0.0905934 ]
 [-15.3608615  -15.36459314   0.           0.        ]]","[ 1.01687763  2.18997479 -0.74713446 -1.68057724  0.3935751  -0.78090299
 -0.18892488 -1.71230773  0.40819542 -0.50039699  0.        ]",[-0.2401025  -0.48003846],[-1.03354296  0.65515782],-0.0993534406993
5,[-0.37678605 -0.38331306],-1.77358,"[[ -0.89770378  -0.97692415   0.0456365   -0.0905934 ]
 [-19.01651189 -12.46413388   0.           0.        ]]","[ 0.70306993  1.87659434 -1.12341871 -2.42617098  0.393575   -0.78090271
 -0.25462552 -1.31546134 -0.2908205  -0.72036732  0.        ]",[ 0.23792523 -0.48158771],[ 0.12674341  0.35495012],-0.0939648900398
6,[-0.37678605 -0.38331306],-1.75176,"[[ -1.26925449  -1.20961876   0.0456365   -0.0905934 ]
 [-18.1414129  -10.81082393   0.           0.        ]]","[ 0.25207014  1.56304023 -1.37771093 -2.85496443  0.3935749  -0.78090243
 -0.23889786 -1.08925227 -0.96193267 -0.55183288  0.        ]",[ 0.7112022  -0.90750897],[ 0.91003481 -2.36916638],-0.12571624439
7,[-0.37678605 -0.38331306],-2.02924,"[[ -1.59236459  -1.46341305   0.0456365   -0.0905934 ]
 [-14.18285303 -14.55616336   0.           0.        ]]","[-0.18807686  1.1886602  -1.44369725 -3.09108943  0.39357479 -0.78090214
 -0.16775309 -1.60169434 -1.38685202 -0.09844945  0.        ]",[ 0.94765842 -1.53745162],[ 1.68461866 -2.82593241],-0.158510223547
8,[-0.37678605 -0.38331306],-2.20849,"[[ -1.83352     -1.79137297   0.0456365   -0.0905934 ]
 [ -9.94678612 -18.22761516   0.           0.        ]]","[-0.51711706  0.69297897 -1.39359512 -3.01686358  0.39357469 -0.78090186
 -0.09162086 -2.10402552 -1.47706113  0.44089198  0.        ]",[ 0.79729325 -2.12761688],[ 1.47547356 -2.85225438],-0.174935535806
9,[-0.37678605 -0.38331306],-2.24589,"[[ -1.99079231  -2.19203343   0.0456365   -0.0905934 ]
 [ -5.79415681 -21.82643153   0.           0.        ]]","[-0.72166773  0.14060869 -1.31627599 -2.36337437  0.39357459 -0.78090158
 -0.0169882  -2.59641627 -1.26722742  0.85475604  0.        ]",[ 0.27635857 -2.4221127 ],[ 0.80925006 -3.07455338],-0.170398381375
10,[-0.37678605 -0.38331306],-2.22316,"[[ -2.0734038   -2.66395429   0.0456365   -0.0905934 ]
 [ -2.47783307 -25.35387877   0.           0.        ]]","[-0.82385013 -0.32476926 -1.26223452 -0.94287229  0.39357449 -0.78090129
  0.04261406 -3.07903883 -0.87194886  1.01252993  0.        ]",[-0.72858816 -1.61123753],[-0.34682984 -1.36614604],-0.14506855935
