timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.23606192 -0.30586976],-1.83145,"[[ 0.03386194  0.00950406 -0.02553821 -0.04829777]
 [ 0.0049724   0.0030593   0.          0.        ]]","[ 1.182576    2.35718926  0.07929097  0.872871   -0.22300816 -0.4090922
 -0.03287462  0.37683751  1.59554646  0.52326561  0.        ]",[-2.45984411 -1.91700363],[-2.83103422 -1.99049181],-0.242052449491
1,[-0.23606192 -0.30586976],-1.78588,"[[-0.00571465 -0.03014775 -0.02553821 -0.04829777]
 [-3.94947136 -3.95505462  0.          0.        ]]","[ 1.1833419   2.35658512  0.0205261   0.73163253 -0.223008   -0.40909188
 -0.13044613 -0.16660417  1.59621264  0.41886383  0.        ]",[-2.32055855 -1.76534104],[-1.60999895 -0.01990427],-0.239502782603
2,[-0.23606192 -0.30586976],-1.75826,"[[-0.12361097 -0.10923877 -0.02553821 -0.04829777]
 [-7.82725575 -3.95405145  0.          0.        ]]","[ 1.1728432   2.34858703 -0.1540926   0.45063779 -0.22300784 -0.40909155
 -0.22612614 -0.16646632  1.5685159   0.14518544  0.        ]",[-2.10698867 -1.70203257],[-3.32477691 -2.32075692],-0.232048932267
3,[-0.23606192 -0.30586976],-1.69106,"[[ -0.31827918  -0.22724692  -0.02553821  -0.04829777]
 [-11.6269601   -7.83382403   0.           0.        ]]","[ 1.11411815  2.31992767 -0.43571806  0.03642472 -0.22300768 -0.40909123
 -0.31987959 -0.69915198  1.43790969 -0.27239806  0.        ]",[-1.59906638 -1.46573567],[-1.9695142  -1.95838404],-0.218261092115
4,[-0.23606192 -0.30586976],-1.50573,"[[ -0.58819168  -0.42207884  -0.02553821  -0.04829777]
 [-15.35202291 -11.63665945   0.           0.        ]]","[ 0.95166969  2.22990331 -0.79499627 -0.6203403  -0.22300752 -0.40909091
 -0.41179131 -1.22127313  1.07962471 -0.76937141  0.        ]",[-0.74752182 -1.15976393],[-0.04134294 -1.63030633],-0.195017318542
5,[-0.23606192 -0.30586976],-1.06571,"[[ -0.89382473  -0.69222396  -0.02553821  -0.04829777]
 [-15.21195097 -15.36538659   0.           0.        ]]","[ 0.66834084  2.02330634 -1.12856838 -1.43467226 -0.22300736 -0.40909058
 -0.40833485 -1.73321651  0.46873284 -1.09321859  0.        ]",[ 0.03314462 -0.83120131],[ 1.68947106 -0.72138714],-0.164260987418
6,[-0.23606192 -0.30586976],-0.758416,"[[ -1.15536253  -1.02514659  -0.02553821  -0.04829777]
 [-10.95606716 -17.91835819   0.           0.        ]]","[ 0.3611085   1.65939719 -1.32974736 -2.20605827 -0.2230072  -0.40909026
 -0.30332501 -2.08372729 -0.16403405 -1.04160496  0.        ]",[ 0.36558193 -0.61845201],[-0.29805232 -0.89930912],-0.133407646427
7,[-0.23606192 -0.30586976],-0.423943,"[[ -1.38416487  -1.41567451  -0.02553821  -0.04829777]
 [-11.92126457 -21.1237372    0.           0.        ]]","[ 0.06050964  1.13066979 -1.43027501 -2.68055926 -0.22300705 -0.40908994
 -0.32714005 -2.52380636 -0.63670958 -0.65791837  0.        ]",[ 0.34685618 -0.68558085],[ 0.49748898 -0.40531974],-0.105287503573
8,[-0.23606192 -0.30586976],-0.376295,"[[ -1.60050803  -1.85005416  -0.02553821  -0.04829777]
 [ -9.72030177 -22.31027417   0.           0.        ]]","[-0.2362569   0.50667969 -1.45540519 -2.58531546 -0.22300689 -0.40908961
 -0.27283326 -2.68669979 -0.80837354 -0.09220951  0.        ]",[ 0.09369922 -0.7931968 ],[ 0.32242842 -1.47902636],-0.0842166459267
9,[-0.23606192 -0.30586976],-0.310734,"[[ -1.78021431e+00  -2.33155362e+00  -2.55382083e-02  -4.82977671e-02]
 [ -8.25514352e+00  -2.58279561e+01   0.00000000e+00   0.00000000e+00]]","[-0.48191099 -0.09364287 -1.42361176 -1.74122846 -0.22300673 -0.40908929
 -0.23668173 -3.16964247 -0.62062348  0.39778976  0.        ]",[-0.55274034 -0.65319943],[-0.7681338  -1.87098299],-0.0706889314953
