timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[-0.00863212  0.00379847 -0.07764697  0.04758048]
 [-0.0044948   0.00208792  0.          0.        ]]",-3.37478,[-0.35042468 -0.32977188],"[ 1.21776149  2.53412266  0.01582824  0.90018608 -0.66301658  0.41632844
  0.07059539  0.38791054  2.04427653 -0.35303014  0.        ]",[-2.84993482 -1.99509907],[-3.54753776 -1.28164358],-0.291781567718
1,"[[-0.04839618 -0.03587258 -0.07764697  0.04758048]
 [-3.9587518  -3.95600674  0.          0.        ]]",-3.42365,[-0.35042468 -0.32977188],"[ 1.21619484  2.53315262 -0.04267985  0.7439103  -0.66301631  0.4163283
 -0.00385515 -0.15351435  2.04039512 -0.46006447  0.        ]",[-2.74239492 -1.81622458],[-2.58727961 -1.01624116],-0.293688129289
2,"[[-0.16646131 -0.15391953 -0.07764697  0.04758048]
 [-7.83488343 -7.83575791  0.          0.        ]]",-3.52754,[-0.35042468 -0.32977188],"[ 1.19871872  2.51619451 -0.21537848  0.2811611  -0.66301603  0.41632816
 -0.07683475 -0.68422261  1.99039936 -0.77296464  0.        ]",[-2.45837545 -1.63628721],[-5.13871807 -2.33230463],-0.297546357188
3,"[[ -0.36128276  -0.34879059  -0.07764697   0.04758048]
 [-11.63471438 -11.63865934   0.           0.        ]]",-3.5246,[-0.35042468 -0.32977188],"[ 1.12864321  2.44280444 -0.49180631 -0.46133684 -0.66301576  0.41632802
 -0.14837776 -1.20441816  1.7890697  -1.24376097  0.        ]",[-1.93687212 -1.3402524 ],[-2.59364763 -1.76420908],-0.297886835608
4,"[[ -0.63135562  -0.61896285  -0.07764697   0.04758048]
 [-15.36041857 -15.366099     0.           0.        ]]",-3.28371,[-0.35042468 -0.32977188],"[ 0.9515451   2.25277351 -0.84034261 -1.40075869 -0.66301549  0.41632788
 -0.21852511 -1.71429021  1.3133106  -1.71898341  0.        ]",[-1.50399685 -0.97719973],[-0.71945608 -1.65218234],-0.285973269888
5,"[[ -0.96408553  -0.9629442   -0.07764697   0.04758048]
 [-17.90450683 -19.01979238   0.           0.        ]]",-2.76619,[-0.35042468 -0.32977188],"[ 0.62410765  1.88369261 -1.18081619 -2.34906815 -0.66301522  0.41632774
 -0.26642505 -2.21407249  0.56609042 -1.90298479  0.        ]",[-1.04643822 -0.61523104],[-1.15936599  0.02204837],-0.251959016804
6,"[[ -1.35836402  -1.33866208  -0.07764697   0.04758048]
 [-21.51159995 -18.55346096   0.           0.        ]]",-2.2405,[-0.35042468 -0.32977188],"[ 0.12778498  1.36648825 -1.41044903 -2.94913272 -0.66301495  0.4163276
 -0.33433919 -2.15028    -0.1823581  -1.56419113  0.        ]",[-0.92822212 -0.6404897 ],[-0.79940316 -0.56549112],-0.192641736648
7,"[[ -1.81611564  -1.72848455  -0.07764697   0.04758048]
 [-24.25473504 -20.42250076   0.           0.        ]]",-1.6261,[-0.35042468 -0.32977188],"[-0.49889116  0.77946516 -1.39946445 -3.00592107 -0.66301468  0.41632747
 -0.38598675 -2.40593937 -0.54740403 -0.79539407  0.        ]",[-0.9287672  -0.85094601],[-1.60479741 -0.84994986],-0.112156694581
8,"[[ -2.33616767  -2.16661406  -0.07764697   0.04758048]
 [-27.73910979 -23.38060181   0.           0.        ]]",-1.19983,[-0.35042468 -0.32977188],"[-1.12036581  0.16657133 -1.0330128  -2.37589438 -0.66301441  0.41632733
 -0.45159034 -2.81056729 -0.29011984 -0.04216699  0.        ]",[-0.94288176 -0.9633655 ],[-0.08622049 -1.46380654],-0.01890504525
9,"[[ -2.88892599  -2.66928565  -0.07764697   0.04758048]
 [-27.53705342 -26.87512154   0.           0.        ]]",-1.38917,[-0.35042468 -0.32977188],"[-1.50082045 -0.33286569 -0.3394608  -0.90725943 -0.66301414  0.41632719
 -0.44778588 -3.2885664   0.31001114  0.06293515  0.        ]",[-1.00978351 -0.35832888],[-0.17313221  0.38677654],-0.063158924701
