timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.31590608 -0.32867777],-0.849233,"[[ 0.08629297  0.04338149  0.1962371  -0.03038444]
 [ 0.00458472 -0.00094992  0.          0.        ]]","[ 1.20011832  2.47895286  0.15394954  1.04438563  1.70396486 -0.25972028
  0.02560273  0.38425493 -0.07803833  0.50702768  0.        ]",[ 1.3026911  -1.66598797],[ 1.01372874 -2.49482761],-0.0546678732808
1,[-0.31590608 -0.32867777],-0.890577,"[[  1.26089707e-01   3.61939981e-03   1.96237095e-01  -3.03844449e-02]
 [  3.96190685e+00  -3.96205328e+00   0.00000000e+00   0.00000000e+00]]","[ 1.19429576  2.48034385  0.21237849  0.89227774  1.70396222 -0.25972017
  0.10684152 -0.15799849 -0.0812872   0.54023972  0.        ]",[ 1.27842641 -1.49614382],[ 1.10191312 -1.78607144],-0.0584411924972
2,[-0.31590608 -0.32867777],-0.990718,"[[ 0.24424729 -0.11457757  0.1962371  -0.03038444]
 [ 7.84093632 -7.84469342  0.          0.        ]]","[ 1.1642873   2.47053524  0.38376772  0.44092689  1.70395958 -0.25972006
  0.18647306 -0.68951057 -0.09801713  0.63757269  0.        ]",[ 1.17362678 -1.51884127],[-0.17333258 -1.50971862],-0.0694939345979
3,[-0.31590608 -0.32867777],-0.941672,"[[  0.39264534  -0.30963734   0.1962371   -0.03038444]
 [  7.00165186 -11.64860269   0.           0.        ]]","[ 1.10021892  2.4091791   0.59168446 -0.28763221  1.70395694 -0.25971995
  0.16924353 -1.21024416 -0.12956102  0.71291587  0.        ]",[ 1.16051817 -1.61385059],[ 0.80518145 -1.02036064],-0.0779847089793
4,[-0.31590608 -0.32867777],-0.730229,"[[  0.56326259  -0.58003364   0.1962371   -0.03038444]
 [ 10.04995151 -15.37854986   0.           0.        ]]","[ 0.99203595  2.23559552  0.81511434 -1.21882669  1.7039543  -0.25971984
  0.23182126 -1.72085112 -0.18709231  0.74783842  0.        ]",[ 1.18803048 -1.73620319],[ 1.79914135 -2.11504828],-0.0819513656018
5,[-0.31590608 -0.32867777],-0.634411,"[[  0.8019767   -0.92428688   0.1962371   -0.03038444]
 [ 13.80903668 -19.03448311   0.           0.        ]]","[ 0.78469036  1.88538295  1.08796636 -2.17604094  1.70395167 -0.25971973
  0.30899053 -2.22132306 -0.30893591  0.80573903  0.        ]",[ 1.17882478 -1.88059258],[ 1.13582222 -2.63609505],-0.0905488187661
6,[-0.31590608 -0.32867777],-0.651421,"[[  1.11513328  -1.34092505   0.1962371   -0.03038444]
 [ 17.49449909 -22.6172334    0.           0.        ]]","[ 0.4324268   1.32491671  1.35262754 -2.84763997  1.70394903 -0.25971962
  0.3846484  -2.71177212 -0.52056517  0.86209597  0.        ]",[ 1.12902904 -2.094558  ],[ 1.01419493 -2.27858493],-0.10562943103
7,[-0.31590608 -0.32867777],-0.861107,"[[  1.50127711  -1.82849658   0.1962371   -0.03038444]
 [ 21.10801049 -26.12805402   0.           0.        ]]","[-0.0790615   0.6026086   1.49971744 -2.82192545  1.70394639 -0.25971951
  0.45882918 -3.19236803 -0.82926662  0.85566474  0.        ]",[ 1.31509793 -2.17184091],[ 1.59078547 -1.81980038],-0.127401339728
8,[-0.31590608 -0.32867777],-1.38401,"[[  1.95898193  -2.38557896   0.1962371   -0.03038444]
 [ 24.65072765 -29.56866343   0.           0.        ]]","[-0.69734586 -0.10474989  1.39341946 -1.74679842  1.70394375 -0.2597194
  0.53155661 -3.66334395 -1.20505358  0.71005064  0.        ]",[ 1.7181834  -1.91012192],[ 2.11957366 -1.02296064],-0.154714518163
9,[-0.31590608 -0.32867777],-1.75456,"[[  2.48683676  -3.01079134   0.1962371   -0.03038444]
 [ 28.12325633 -27.14195043   0.           0.        ]]","[-1.26968878 -0.49961141  0.92588008  0.37931585  1.70394111 -0.25971929
  0.60284313 -3.3311285  -1.56196963  0.36458949  0.        ]",[ 2.50768733 -1.2362709 ],[ 1.9028873   0.24853087],-0.183920084147
