timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.34904611 -0.33457521],-1.5991,"[[-0.09056521 -0.04113797  0.19640209 -0.10807798]
 [ 0.00106463  0.00496714  0.          0.        ]]","[ 1.21057317  2.52657671 -0.10627874  0.73250896  1.70517938 -0.93204575
  0.06062361  0.38831068 -0.07419516  0.77215695  0.        ]",[ 0.5227071  -1.87501764],[ 0.58007612 -1.52558497],-0.0854686563947
1,[-0.34904611 -0.33457521],-1.61059,"[[-0.06750517 -0.08077641  0.19640209 -0.10807798]
 [ 2.29728902 -3.95560785  0.          0.        ]]","[ 1.21308673  2.52291538 -0.07242717  0.57633468  1.70517747 -0.93204525
  0.10389252 -0.15331276 -0.07475489  0.77630596  0.        ]",[ 0.56875861 -1.64461684],[ 0.82921433 -1.70209252],-0.0859461332291
2,[-0.34904611 -0.33457521],-1.64449,"[[ 0.01091187 -0.19884319  0.19640209 -0.10807798]
 [ 5.53363851 -7.83812041  0.          0.        ]]","[ 1.2161492   2.49801249  0.0429743   0.11507523  1.70517556 -0.93204475
  0.1648767  -0.68426078 -0.07868423  0.80607902  0.        ]",[ 0.72697085 -1.47068   ],[ 0.66405591 -0.51569189],-0.0893802910942
3,[-0.34904611 -0.33457521],-1.56345,"[[ 0.14685119 -0.37454515  0.19640209 -0.10807798]
 [ 8.0519242  -9.72576433  0.          0.        ]]","[ 1.20136566  2.42287445  0.24238303 -0.54935285  1.70517365 -0.93204425
  0.21233002 -0.94240276 -0.09394714  0.8840612   0.        ]",[ 0.83790982 -1.53356123],[ 0.51081821 -1.3192004 ],-0.0983563259527
4,[-0.34904611 -0.33457521],-1.47341,"[[  0.32658238  -0.6068618    0.19640209  -0.10807798]
 [  9.91500578 -13.49331106   0.           0.        ]]","[ 1.14323192  2.25747942  0.4993289  -1.35640291  1.70517174 -0.93204375
  0.24743698 -1.45762784 -0.13775478  0.98385289  0.        ]",[ 1.02448142 -1.58237886],[ 1.1022403 -2.1739174],-0.109803850881
5,[-0.34904611 -0.33457521],-1.42671,"[[  0.56262495  -0.91378471   0.19640209  -0.10807798]
 [ 13.67681465 -17.18657147   0.           0.        ]]","[ 1.00334688  1.93846924  0.81240511 -2.23089539  1.70516983 -0.93204325
  0.31832266 -1.96269239 -0.23484437  1.10045979  0.        ]",[ 1.10918486 -1.8046279 ],[ 1.729814   -2.44571341],-0.123872838078
6,[-0.34904611 -0.33457521],-1.4766,"[[  0.87316357  -1.29383215   0.19640209  -0.10807798]
 [ 17.36491057 -20.80595659   0.           0.        ]]","[ 0.72236268  1.42773078  1.15545772 -2.90224394  1.70516792 -0.93204275
  0.38781932 -2.45765159 -0.41451583  1.23698103  0.        ]",[ 1.11349118 -2.14828753],[ 2.35690589 -2.65298833],-0.143353083711
7,[-0.34904611 -0.33457521],-1.73017,"[[  1.2567413   -1.74553867   0.19640209  -0.10807798]
 [ 20.98098154 -24.35270762   0.           0.        ]]","[ 0.26179025  0.75047873  1.42748158 -2.9925607   1.70516602 -0.93204225
  0.45595877 -2.94267392 -0.69799586  1.3358455   0.        ]",[ 1.13684976 -2.51926899],[ 1.26550687 -2.08384622],-0.166252370079
8,[-0.34904611 -0.33457521],-2.16219,"[[  1.71193122  -2.26746685   0.19640209  -0.10807798]
 [ 24.52628365 -27.82844326   0.           0.        ]]","[-0.3591215   0.04215418  1.4848651  -2.13282961  1.70516411 -0.93204175
  0.52276466 -3.41797933 -1.0741635   1.31509504  0.        ]",[ 1.22225821 -2.76727033],[ 1.65999972 -2.25998759],-0.189507417211
9,[-0.34904611 -0.33457521],-2.46557,"[[  2.23732447  -2.85821815   0.19640209  -0.10807798]
 [ 28.00133167 -31.23546665   0.           0.        ]]","[-1.0187162  -0.44001649  1.18432911 -0.2088596   1.7051622  -0.93204125
  0.58824669 -3.88388121 -1.47453964  1.09290636  0.        ]",[ 1.66004372 -2.49616885],[ 2.03565377 -2.65602274],-0.208638597817
10,[-0.34904611 -0.33457521],-2.40823,"[[  2.8315323   -3.16367956   0.19640209  -0.10807798]
 [ 31.40782186  -2.58320978   0.           0.        ]]","[-1.48007018 -0.50003401  0.47621703  0.98204016  1.70516029 -0.93204075
  0.65243682  0.03437764 -1.62445798  0.91315586  0.        ]",[ 2.34492302 -2.63085914],[ 2.31711612 -1.87896902],-0.21368974973
11,[-0.34904611 -0.33457521],-2.37435,"[[  3.4931788   -3.14026886   0.19640209  -0.10807798]
 [ 34.7456154    2.92191747   0.           0.        ]]","[-1.46144155 -0.50040181 -0.48024475  0.88963228  1.70515838 -0.93204025
  0.71533242  0.78721569 -1.61522114  0.99725534  0.        ]",[ 2.46501613 -2.5783267 ],[ 1.75443505 -1.57191529],-0.217576711709
12,[-0.34904611 -0.33457521],-2.3088,"[[  4.22091451  -3.08271742   0.19640209  -0.10807798]
 [ 38.0170298    2.50136399   0.           0.        ]]","[-0.81661394 -0.49777952 -1.27140185  0.66258013  1.70515647 -0.93203976
  0.77697717  0.72970374 -1.6963015   1.06824785  0.        ]",[ 2.72782946 -2.29670691],[ 2.92652094 -2.63250139],-0.230902463076
13,[-0.34904611 -0.33457521],-2.2296,"[[  5.01342791  -3.04350966   0.19640209  -0.10807798]
 [ 41.22362454   1.44620097   0.           0.        ]]","[ 0.24466036 -0.49312549 -1.37947661  0.5082923   1.70515456 -0.93203926
  0.83740044  0.58540758 -1.78974777  1.01920146  0.        ]",[ 2.91708088 -2.05400085],[ 2.999607   -2.36644904],-0.238473477894
14,[-0.34904611 -0.33457521],-2.04554,"[[  5.86943647  -3.02243247   0.19640209  -0.10807798]
 [ 44.36676291   0.72618385   0.           0.        ]]","[ 1.09969586 -0.48966571 -0.56514921  0.42558113  1.70515265 -0.93203876
  0.89662792  0.48694342 -1.79443048  0.90025478  0.        ]",[ 2.74403691 -1.99530268],[ 3.79449712 -2.82796159],-0.232603538529
15,[-0.34904611 -0.33457521],-1.94362,"[[  6.78768381  -3.01222164   0.19640209  -0.10807798]
 [ 47.44770826   0.33888769   0.           0.        ]]","[ 1.04417163 -0.48774929  0.73871412  0.38558439  1.70515074 -0.93203826
  0.9546834   0.43397963 -1.69681703  0.8283237   0.        ]",[ 2.48558068 -2.17064404],[ 3.21538172 -1.95592099],-0.217554455008
16,[-0.34904611 -0.33457521],-2.04663,"[[  7.76693833  -3.00755706   0.19640209  -0.10807798]
 [ 50.4676816    0.15120547   0.           0.        ]]","[-0.04478615 -0.48682162  1.4939318   0.36733013  1.70514883 -0.93203776
  1.01158989  0.40831351 -1.58114528  0.88356664  0.        ]",[ 2.16016054 -2.64855886],[ 1.19863239 -2.33097057],-0.20709656453
17,[-0.34904611 -0.33457521],-2.33131,"[[  8.80599259  -3.00550494   0.19640209  -0.10807798]
 [ 53.42788085   0.06545251   0.           0.        ]]","[-1.28985142 -0.48640306  0.88108055  0.35930298  1.70514692 -0.93203726
  1.06736996  0.39658645 -1.56481547  1.02842961  0.        ]",[ 2.08684731 -2.94628167],[ 1.10085292 -2.40255395],-0.213974027235
18,[-0.34904611 -0.33457521],-2.38401,"[[  9.90366293e+00  -3.00462545e+00   1.96402092e-01  -1.08077976e-01]
 [  5.63294839e+01   2.77238883e-02   0.00000000e+00   0.00000000e+00]]","[-1.39056635 -0.48622165 -0.6516591   0.35586337  1.70514501 -0.93203676
  1.12204579  0.39142684 -1.68036462  1.11697775  0.        ]",[ 2.49315476 -2.66247249],[ 2.43393506 -2.57166753],-0.232222191168
19,[-0.34904611 -0.33457521],-2.23696,"[[  1.10587890e+01  -3.00425566e+00   1.96402092e-01  -1.08077976e-01]
 [  5.91736479e+01   1.15549612e-02   0.00000000e+00   0.00000000e+00]]","[-0.07760008 -0.48614492 -1.44275993  0.35441719  1.7051431  -0.93203626
  1.17563918  0.38921558 -1.80907387  1.03725072  0.        ]",[ 2.9364059  -2.12548518],[ 3.58112785 -2.31631939],-0.241694429018
20,[-0.34904611 -0.33457521],-2.07053,"[[  1.22702335e+01  -3.00410238e+00   1.96402092e-01  -1.08077976e-01]
 [  6.19615086e+01   4.75818122e-03   0.00000000e+00   0.00000000e+00]]","[ 1.15611444 -0.48611296 -0.40284347  0.35381771  1.70514119 -0.93203576
  1.22817153  0.38828597 -1.7887666   0.87053349  0.        ]",[ 2.72154212 -1.98890781],[ 2.25679133 -1.88386057],-0.230447210963
