timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[-0.09407999 -0.09168779 -0.1970972  -0.14599898]
 [-0.00494641  0.00413658  0.          0.        ]]",-4.14035,[-0.29912439 -0.34859374],"[ 1.19900145  2.46630304 -0.11010896  0.51491414 -1.69532437 -1.26100337
  0.02949284  0.38402653  2.91779451  1.03520997  0.        ]",[-4.40393257 -2.78448915],[-4.09455793 -2.72691951],-0.421135885069
1,"[[-0.13385316 -0.1313183  -0.1970972  -0.14599898]
 [-3.95921498 -3.95400113  0.          0.        ]]",-4.2098,[-0.29912439 -0.34859374],"[ 1.19275712  2.45971004 -0.1684501   0.36610246 -1.69532158 -1.26100198
 -0.05328827 -0.15831679  2.8993704   0.93101983  0.        ]",[-4.19515276 -2.52647161],[-3.04084707 -3.21348989],-0.415540173737
2,"[[-0.25192809 -0.24932551 -0.1970972  -0.14599898]
 [-7.83541426 -7.83378805  0.          0.        ]]",-3.84882,[-0.29912439 -0.34859374],"[ 1.16152957  2.42638114 -0.33945778 -0.07150397 -1.69531878 -1.26100059
 -0.13443502 -0.68992435  2.80781757  0.63316974  0.        ]",[-3.82272625 -2.22720838],[-3.37977083 -1.67155836],-0.396325890141
3,"[[ -0.44676167  -0.44415744  -0.1970972   -0.14599898]
 [-11.63541589 -11.63671317   0.           0.        ]]",-3.44597,[-0.29912439 -0.34859374],"[ 1.06961859  2.32764499 -0.60933024 -0.76280235 -1.69531599 -1.2609992
 -0.2139866  -1.2109996   2.54756752  0.20693103  0.        ]",[-3.28041649 -1.86376667],[-3.40510428 -2.16138689],-0.35685988857
4,"[[ -0.71685131  -0.7142909   -0.1970972   -0.14599898]
 [-15.36141605 -15.36416472   0.           0.        ]]",-2.64881,[-0.29912439 -0.34859374],"[ 0.86535796  2.10747516 -0.94149878 -1.61445791 -1.69531319 -1.26099781
 -0.29198898 -1.72173172  2.02168196 -0.17685217  0.        ]",[-2.55355239 -1.38634574],[-2.7041711 -0.6151587],-0.289221972441
5,"[[ -1.06074514  -1.04294066  -0.1970972   -0.14599898]
 [-19.01615956 -17.49363641   0.           0.        ]]",-1.80236,[-0.29912439 -0.34859374],"[ 0.49864858  1.7312952  -1.25999176 -2.40346807 -1.6953104  -1.26099642
 -0.36849961 -2.01350714  1.27270069 -0.23867226  0.        ]",[-1.88973582 -0.98389947],[-3.13952782 -0.3726595 ],-0.193423990944
6,"[[ -1.477033    -1.40411782  -0.1970972   -0.14599898]
 [-22.60103369 -18.62023164   0.           0.        ]]",-1.30499,[-0.29912439 -0.34859374],"[-0.04604761  1.22682806 -1.44143695 -2.8654083  -1.6953076  -1.26099503
 -0.44354753 -2.16786752  0.58418624  0.21407511  0.        ]",[-1.6824441  -0.98330933],[-2.04623223 -1.98716301],-0.101795389321
7,"[[ -1.96432505  -1.81252075  -0.1970972   -0.14599898]
 [-26.11693897 -22.20804091   0.           0.        ]]",-1.19092,[-0.29912439 -0.34859374],"[-0.70459803  0.62153453 -1.33505812 -2.80790664 -1.69530481 -1.26099364
 -0.51715158 -2.65945782  0.35464401  1.05715544  0.        ]",[-1.8249042  -1.25101805],[-1.04859727 -1.49333915],-0.138092189863
8,"[[ -2.52126144  -2.29196536  -0.1970972   -0.14599898]
 [-29.56540289 -25.72475607   0.           0.        ]]",-1.85498,[-0.29912439 -0.34859374],"[-1.29849059 -0.00705853 -0.82970688 -1.97700554 -1.69530201 -1.26099225
 -0.58934373 -3.14130021  0.78819316  1.71285219  0.        ]",[-2.01601315 -1.06527746],[-1.30859986 -0.74006824],-0.234539863144
9,"[[ -3.14648104  -2.83072657  -0.1970972   -0.14599898]
 [-32.94479022 -28.14357505   0.           0.        ]]",-2.54491,[-0.29912439 -0.34859374],"[-1.55565793 -0.44287063  0.03582123 -0.29493527 -1.69529922 -1.26099086
 -0.66008974 -3.4727039   1.36423701  1.56493475  0.        ]",[-1.87563074 -0.37570053],[ 0.04450105  0.34774119],-0.27030352395
10,"[[ -3.79707384  -3.23238091  -0.1970972   -0.14599898]
 [-32.11628339  -5.16470857   0.           0.        ]]",-1.69488,[-0.29912439 -0.34859374],"[-1.2695938  -0.50830449  0.92860465  1.20347617 -1.69529642 -1.26098947
 -0.64274482 -0.32418832  1.32557211  1.15435019  0.        ]",[-1.94662488 -0.44401908],[-1.04535427 -0.19744677],-0.236273129384
11,"[[ -4.4727396   -3.20882168  -0.1970972   -0.14599898]
 [-35.43940462   4.2356074    0.           0.        ]]",-1.50141,[-0.29912439 -0.34859374],"[-0.5029355  -0.51108124  1.46292818  1.11473274 -1.69529363 -1.26098808
 -0.7123129   0.96382269  1.28507852  1.18897508  0.        ]",[-2.32297158 -0.86420077],[-2.10417964 -0.22313103],-0.234241539179
12,"[[ -5.21421394  -3.12219667  -0.1970972   -0.14599898]
 [-38.69717519   3.96533734   0.           0.        ]]",-1.6225,[-0.29912439 -0.34859374],"[ 0.48872002 -0.51417389  1.32307753  0.78760249 -1.69529083 -1.26098669
 -0.78051282  0.92679011  1.30413625  1.20204422  0.        ]",[-2.38122749 -0.95060253],[-2.324222   -0.49125376],-0.23717551116
13,"[[ -6.02019658  -3.06125056  -0.1970972   -0.14599898]
 [-41.89043692   2.20909519   0.           0.        ]]",-1.85927,[-0.29912439 -0.34859374],"[ 1.1576435  -0.50963696  0.41244843  0.55762996 -1.69528804 -1.2609853
 -0.84736219  0.686153    1.27301009  1.19136189  0.        ]",[-2.29560304 -0.88653743],[-1.93147137 -1.53855359],-0.233120011352
14,"[[ -6.88940976  -3.02987748  -0.1970972   -0.14599898]
 [-45.02044683   1.05241232   0.           0.        ]]",-2.06555,[-0.29912439 -0.34859374],"[ 0.95912574 -0.50514429 -0.8126768   0.43963281 -1.69528524 -1.26098391
 -0.91288732  0.52766638  1.21451314  1.24365263  0.        ]",[-2.14034653 -0.79343688],[-2.22972336 -2.10073413],-0.230710384442
15,"[[ -7.82060132  -3.01530145  -0.1970972   -0.14599898]
 [-48.0884853    0.47579705   0.           0.        ]]",-2.1406,[-0.29912439 -0.34859374],"[-0.12921632 -0.50255954 -1.44709921  0.38494487 -1.69528245 -1.26098252
 -0.97711499  0.44865947  1.21824775  1.35608071  0.        ]",[-2.05339456 -0.71326786],[-2.35757516 -1.33604349],-0.239546642711
16,"[[ -8.81254428  -3.00881678  -0.1970972   -0.14599898]
 [-51.09578884   0.20784188   0.           0.        ]]",-2.18269,[-0.29912439 -0.34859374],"[-1.30494926 -0.50130826 -0.81995105  0.36064669 -1.69527965 -1.26098113
 -1.0400711   0.41194457  1.31923263  1.4268166   0.        ]",[-2.07196212 -0.69601744],[-1.76229243 -0.5942977 ],-0.255081384452
17,"[[ -9.86403598  -3.00558531  -0.1970972   -0.14599898]
 [-54.0435579    0.11834704   0.           0.        ]]",-1.9926,[-0.29912439 -0.34859374],"[-1.42462874 -0.50066134  0.65652049  0.348546   -1.69527686 -1.26097974
 -1.10178074  0.39968196  1.43764178  1.36464225  0.        ]",[-2.1787219  -0.78004599],[-2.65822712 -0.73035196],-0.262674451425
