timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[ 0.05267697  0.02045278 -0.12457345  0.10816521]
 [-0.00494503  0.00212243  0.          0.        ]]",-3.9523,[-0.34474239 -0.32758394],"[ 1.21130731  2.51674182  0.10564118  0.95634264 -1.06833117  0.94669541
  0.0580901   0.38655989  2.39482286 -0.74227109  0.        ]",[-2.40799689 -2.04841661],[-3.1687614  -2.96501924],-0.34734562853
1,"[[ 0.012904   -0.01921759 -0.12457345  0.10816521]
 [-3.95919194 -3.95597328  0.          0.        ]]",-3.87062,[-0.34474239 -0.32758394],"[ 1.21310706  2.51677279  0.04707147  0.80195844 -1.06833042  0.94669482
 -0.01885541 -0.15490806  2.3980722  -0.8491851   0.        ]",[-2.42399812 -1.82367575],[-3.83260029 -1.63027376],-0.35142905061
2,"[[-0.10516976 -0.13726388 -0.12457345  0.10816521]
 [-7.83530373 -7.83572659  0.          0.        ]]",-4.03376,[-0.34474239 -0.32758394],"[ 1.20559028  2.50284217 -0.12662296  0.34420286 -1.06832967  0.94669423
 -0.09428048 -0.68565864  2.36909973 -1.16485467  0.        ]",[-2.25563502 -1.5729574 ],[-2.48417291 -1.55451283],-0.361214496224
3,"[[ -0.29999927  -0.33213436  -0.12457345   0.10816521]
 [-11.63509661 -11.63863216   0.           0.        ]]",-4.16171,[-0.34474239 -0.32758394],"[ 1.15153665  2.43451307 -0.40738689 -0.39225852 -1.06832893  0.94669365
 -0.16822047 -1.2058959   2.19988254 -1.65007471  0.        ]",[-1.83379149 -1.18406045],[-1.29210303 -2.13951846],-0.369434099192
4,"[[ -0.5700792   -0.60230613  -0.12457345   0.10816521]
 [-15.36073996 -15.36607801   0.           0.        ]]",-3.79089,[-0.34474239 -0.32758394],"[ 0.99481327  2.25131219 -0.76718236 -1.32819796 -1.06832818  0.94669306
 -0.24071759 -1.71580893  1.75727945 -2.16193928  0.        ]",[-1.56658983 -0.85825306],[ 0.57412615 -0.55999921],-0.36422856173
5,"[[ -0.85146941  -0.92882574  -0.12457345   0.10816521]
 [-12.78696686 -17.27948404   0.           0.        ]]",-3.4768,[-0.34474239 -0.32758394],"[ 0.74210342  1.91115898 -1.0803731  -2.2403553  -1.06832743  0.94669248
 -0.19063452 -1.97755987  1.11087118 -2.39315479  0.        ]",[-1.36929727 -0.66961527],[-1.51908868 -2.16209773],-0.335792937313
6,"[[ -1.1443922   -1.31069301  -0.12457345   0.10816521]
 [-16.49347198 -20.89514554   0.           0.        ]]",-2.84898,[-0.34474239 -0.32758394],"[ 0.40335366  1.39533049 -1.31349223 -2.88424878 -1.06832669  0.94669189
 -0.26275926 -2.47217648  0.44231635 -2.20753929  0.        ]",[-1.13369036 -0.44493541],[-1.63369284 -0.28855997],-0.280827188393
7,"[[ -1.51074283  -1.73588846  -0.12457345   0.10816521]
 [-20.1297725  -21.62193467   0.           0.        ]]",-2.19458,[-0.34474239 -0.32758394],"[-0.08497144  0.7588056  -1.44277256 -2.96223241 -1.06832594  0.94669131
 -0.33351788 -2.57159464 -0.01768296 -1.59741413  0.        ]",[-1.07783103 -0.41351283],[-1.96002064 -0.18745617],-0.197592525473
8,"[[ -1.94911138  -2.17145692  -0.12457345   0.10816521]
 [-23.69526606 -21.93387792   0.           0.        ]]",-1.49688,[-0.34474239 -0.32758394],"[-0.67796905  0.15350782 -1.34123455 -2.33391647 -1.0683252   0.94669072
 -0.40289866 -2.61426163  0.02154704 -0.86802536  0.        ]",[-1.02216172 -0.37067252],[-1.3903087  -1.38570287],-0.112902866764
9,"[[ -2.45808225  -2.64548516  -0.12457345   0.10816521]
 [-27.19009211 -25.45732359   0.           0.        ]]",-1.38957,[-0.34474239 -0.32758394],"[-1.23869411 -0.32103437 -0.9024736  -0.9758147  -1.06832445  0.94669013
 -0.4709043  -3.09625555  0.50491201 -0.5298274   0.        ]",[-0.88091427 -0.02730006],[-0.31860906 -1.21919339],-0.112980281893
10,"[[ -3.00916617  -3.11211287  -0.12457345   0.10816521]
 [-27.91467774 -10.8244754    0.           0.        ]]",-1.83768,[-0.34474239 -0.32758394],"[-1.53684523 -0.50242747 -0.16649632  0.76203315 -1.0683237   0.94668955
 -0.48500382 -1.09449818  0.83909773 -0.74637789  0.        ]",[-0.68296099  0.1224907 ],[-1.68757135 -1.1281799 ],-0.163103420303
11,"[[ -3.60163275  -3.16277925  -0.12457345   0.10816521]
 [-31.32079823   1.96446762   0.           0.        ]]",-1.84257,[-0.34474239 -0.32758394],"[-1.40535168 -0.50274449  0.68226889  0.95919787 -1.06832296  0.94668896
 -0.55128333  0.6550139   0.83784737 -0.91407095  0.        ]",[-0.89169413 -0.29472262],[-0.11186892 -0.17817229],-0.17537352935
