timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[-0.00869325  0.05177138  0.09026395  0.01893171]
 [ 0.00102698  0.00025173  0.          0.        ]]",-3.1046,[-0.38885689 -0.46675712],"[ 1.23088871  2.53763508  0.00743811  1.11697253  0.78620229  0.16859919
  0.12248581  0.39148561  0.75954485 -0.0755119   0.        ]",[ 1.10630548 -0.90512079],[ 0.95017383 -0.95900407],-0.120574915668
1,"[[ 0.02905478  0.01366253  0.09026395  0.01893171]
 [ 3.76125036 -3.79847194  0.          0.        ]]",-3.09232,[-0.38885689 -0.46675712],"[ 1.23035681  2.5395221   0.06279893  0.96166828  0.78620208  0.16859916
  0.18673096 -0.12715876  0.75925925 -0.04364952  0.        ]",[ 1.1834408  -0.61304611],[ 0.67236541 -0.29428265],-0.120129096
2,"[[ 0.13022415 -0.07325368  0.09026395  0.01893171]
 [ 6.34707786 -4.88950637  0.          0.        ]]",-3.1436,[-0.38885689 -0.46675712],"[ 1.21923088  2.53559418  0.21065587  0.60751864  0.78620188  0.16859913
  0.230911   -0.27611899  0.75239243  0.0557504   0.        ]",[ 0.91791427 -0.73124158],[ 1.11579826 -1.22375546],-0.118711464983
3,"[[  0.29561203  -0.20981499   0.09026395   0.01893171]
 [ 10.1789625   -8.75372572   0.           0.        ]]",-3.14173,[-0.38885689 -0.46675712],"[ 1.17095577  2.50640502  0.44749079  0.05665874  0.78620168  0.1685991
  0.29638051 -0.80370553  0.72347242  0.22055883  0.        ]",[ 0.60733694 -0.71358389],[ 1.10819673 -0.9949632 ],-0.116656958014
4,"[[  0.53687832  -0.42269117   0.09026395   0.01893171]
 [ 13.93520446 -12.52127973   0.           0.        ]]",-3.06903,[-0.38885689 -0.46675712],"[ 1.03638111  2.40620544  0.7703677  -0.76678127  0.78620147  0.16859908
  0.36055763 -1.31809389  0.64532926  0.43496007  0.        ]",[ 0.09301512 -0.85163665],[-0.21852612  0.28436871],-0.114092060114
5,"[[  0.80414169  -0.65932421   0.09026395   0.01893171]
 [ 12.79494223 -11.14659804   0.           0.        ]]",-2.89636,[-0.38885689 -0.46675712],"[ 0.80740395  2.22185238  1.07659516 -1.59197121  0.78620127  0.16859905
  0.34107565 -1.13040646  0.51309798  0.64168013  0.        ]",[-0.74055153 -1.5296967 ],[-0.9728346 -1.0668925],-0.111771347431
6,"[[  1.01890047  -0.9197524    0.09026395   0.01893171]
 [  8.69445638 -14.88382635   0.           0.        ]]",-2.72385,[-0.38885689 -0.46675712],"[ 0.57310649  1.94226724  1.26917421 -2.337653    0.78620107  0.16859902
  0.27101683 -1.64065394  0.38601188  0.71122267  0.        ]",[-0.75903755 -1.66971397],[-1.27297988 -2.59493665],-0.105245728929
7,"[[  1.15137437  -1.25418648   0.09026395   0.01893171]
 [  4.56640742 -18.54745005   0.           0.        ]]",-2.76362,[-0.38885689 -0.46675712],"[ 0.41121269  1.4954671   1.3598078  -2.96905879  0.78620086  0.16859899
  0.20048708 -2.14085101  0.29460886  0.57467347  0.        ]",[-0.41593105 -1.75953937],[-0.084564   -1.58881311],-0.085559303861
8,"[[  1.23843683e+00  -1.66117733e+00   9.02639533e-02   1.89317125e-02]
 [  4.14108528e+00  -2.21396715e+01   0.00000000e+00   0.00000000e+00]]",-2.62047,[-0.38885689 -0.46675712],"[ 0.29925705  0.88652657  1.4066708  -3.15508591  0.78620066  0.16859897
  0.19322021 -2.63129774  0.160802    0.3131055   0.        ]",[-0.01680817 -1.90769386],[-1.00164295 -1.29606398],-0.0524402235488
9,"[[  1.28071130e+00  -2.13929557e+00   9.02639533e-02   1.89317125e-02]
 [  9.94518980e-02  -2.56604984e+01   0.00000000e+00   0.00000000e+00]]",-2.5017,[-0.38885689 -0.46675712],"[  2.43609077e-01   2.07071846e-01   1.42565637e+00  -2.53034633e+00
   7.86200457e-01   1.68598937e-01   1.24166906e-01  -3.11199445e+00
  -9.17217521e-02  -1.29437269e-03   0.00000000e+00]",[ 0.75130522 -1.8100543 ],[ 0.67867973 -3.23837427],-0.0120471260537
