timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.21807519 -0.28770825],-1.16358,"[[-0.00194886  0.00280642  0.03965799 -0.03839226]
 [-0.00042923  0.00226822  0.          0.        ]]","[ 1.18017872  2.33738901  0.02549785  0.84230965  0.34370018 -0.32405638
 -0.03656395  0.37525658  1.09932315  0.3734982   0.        ]",[-1.20162988 -1.72845101],[-2.16471585 -0.36955788],-0.174592598398
1,[-0.21807519 -0.28770825],-1.33029,"[[-0.04164215 -0.01181496  0.03965799 -0.03839226]
 [-3.95573239 -1.45953922  0.          0.        ]]","[ 1.17898432  2.33728296 -0.03348324  0.79081337  0.3436999  -0.32405612
 -0.13732601  0.17448444  1.0974806   0.29159537  0.        ]",[-1.08503938 -1.63223577],[-1.11479124 -1.01995742],-0.172445694789
2,[-0.21807519 -0.28770825],-1.43154,"[[-0.15964702 -0.08042849  0.03965799 -0.03839226]
 [-7.83186052 -5.3887208   0.          0.        ]]","[ 1.16264861  2.33270668 -0.2078935   0.54946104  0.34369962 -0.32405586
 -0.23607106 -0.36516927  1.06585251  0.02772356  0.        ]",[-0.72965831 -1.43027067],[-1.15623096 -2.84715712],-0.165956920235
3,[-0.21807519 -0.28770825],-1.25513,"[[ -0.3544066   -0.22684509   0.03965799  -0.03839226]
 [-11.6315027   -9.2400935    0.           0.        ]]","[ 1.09451058  2.30038259 -0.48742678  0.04031219  0.34369934 -0.3240556
 -0.33286759 -0.89413577  0.91571343 -0.40957329  0.        ]",[-0.12398062 -1.21814167],[-0.34890515 -1.60577623],-0.15668571315
4,[-0.21807519 -0.28770825],-1.02778,"[[ -0.59856712  -0.44953314   0.03965799  -0.03839226]
 [-12.78085228 -13.01610179   0.           0.        ]]","[ 0.94052824  2.19394816 -0.80911505 -0.69803978  0.34369906 -0.32405534
 -0.36214726 -1.41274949  0.55123157 -0.87580835  0.        ]",[ 0.68154836 -0.94939631],[ 0.52841565 -0.08324925],-0.149692704832
5,[-0.21807519 -0.28770825],-0.911506,"[[ -0.83068366  -0.71058223   0.03965799  -0.03839226]
 [-10.43862895 -13.08855104   0.           0.        ]]","[ 0.73132156  1.98801048 -1.0691299  -1.46488084  0.34369878 -0.32405508
 -0.30247825 -1.42269692  0.04566287 -1.14070308  0.        ]",[ 1.25796962 -0.8049612 ],[ 1.3460617  -1.01464991],-0.148672955903
6,[-0.21807519 -0.28770825],-0.777599,"[[ -0.99769113  -1.0094921    0.03965799  -0.03839226]
 [ -6.27603875 -16.79008864   0.           0.        ]]","[ 0.54919454  1.66223762 -1.22048329 -2.14914729  0.3436985  -0.32405482
 -0.19643491 -1.93107814 -0.43045984 -1.14006074  0.        ]",[ 1.27623177 -0.6702593 ],[-0.66381122 -1.33495642],-0.148788241073
7,[-0.21807519 -0.28770825],-0.54119,"[[ -1.14833289  -1.38167788   0.03965799  -0.03839226]
 [ -8.78016134 -20.41640635   0.           0.        ]]","[ 0.36691909  1.16526906 -1.32729213 -2.6267439   0.34369822 -0.32405456
 -0.260228   -2.42912175 -0.85994402 -0.89815216  0.        ]",[ 1.25193751 -0.70118099],[ 1.44835319  0.09350652],-0.146016851899
8,[-0.21807519 -0.28770825],-0.492748,"[[ -1.28251801  -1.7822409    0.03965799  -0.03839226]
 [ -4.6518199  -19.6424526    0.           0.        ]]","[ 0.19364285  0.59098084 -1.39663307 -2.61108594  0.34369794 -0.3240543
 -0.15505704 -2.32281282 -1.10338852 -0.48555622  0.        ]",[ 1.1648488  -0.77820218],[ 0.90978928 -0.84567146],-0.137709331294
9,[-0.21807519 -0.28770825],-0.458436,"[[ -1.33851982  -2.20478801   0.03965799  -0.03839226]
 [ -0.96051824 -22.60235607   0.           0.        ]]","[ 0.11905858  0.03888222 -1.41804876 -2.00509361  0.34369766 -0.32405404
 -0.06101982 -2.72932059 -1.08053163 -0.07331088  0.        ]",[ 0.77765977 -0.63409996],[ 0.62313287 -2.04545633],-0.11895223508
10,[-0.21807519 -0.28770825],-0.380961,"[[ -1.3328053   -2.6920737    0.03965799  -0.03839226]
 [  1.52384297 -26.11447934   0.           0.        ]]","[  1.26718727e-01  -4.06111371e-01  -1.41606681e+00  -6.97968334e-01
   3.43697383e-01  -3.24053777e-01   2.27017690e-03  -3.21166043e+00
  -8.38580053e-01   2.74008742e-01   0.00000000e+00]",[ 0.17422818 -0.23157841],[ 0.74471093 -1.65145333],-0.0898052823146
11,[-0.21807519 -0.28770825],-0.490202,"[[ -1.27305241  -3.1665955    0.03965799  -0.03839226]
 [  4.44245569 -10.3025863    0.           0.        ]]","[ 0.20613404 -0.54905483 -1.39256019  0.92047964  0.3436971  -0.32405352
  0.07662289 -1.04001751 -0.55601144  0.4365777   0.        ]",[ 0.18631616 -0.20738381],[ 0.98859057  1.18505198],-0.0668277616453
12,[-0.21807519 -0.28770825],-0.359185,"[[-1.14580601 -3.19686801  0.03965799 -0.03839226]
 [ 8.26924723  3.17192794  0.          0.        ]]","[ 0.37009395 -0.54730093 -1.32573326  1.02700636  0.34369682 -0.32405326
  0.1741118   0.81060183 -0.47249266  0.47100183  0.        ]",[ 0.43212375 -0.61005545],[ 0.1723951  -0.03097546],-0.0625877678724
13,[-0.21807519 -0.28770825],-0.366911,"[[-0.97521447 -3.12065059  0.03965799 -0.03839226]
 [ 8.78814636  3.86232211  0.          0.        ]]","[ 0.57503523 -0.54918844 -1.20203478  0.75867629  0.34369655 -0.324053
  0.18733083  0.90542095 -0.54548259  0.43189081  0.        ]",[ 0.45924884 -0.7055338 ],[-0.4774589  -0.05039455],-0.0654283184141
14,[-0.21807519 -0.28770825],-0.391544,"[[-0.82016441 -3.04617424  0.03965799 -0.03839226]
 [ 6.72373743  3.58623603  0.          0.        ]]","[ 0.74197584 -0.54293846 -1.05850313  0.49687831  0.34369627 -0.32405274
  0.13473901  0.86750154 -0.59587646  0.37266795  0.        ]",[ 0.45513847 -0.75675499],[ 0.00715382  0.00665034],-0.065977935138
15,[-0.21807519 -0.28770825],-0.369082,"[[-0.68674131 -2.97489749  0.03965799 -0.03839226]
 [ 6.61891926  3.54158919  0.          0.        ]]","[ 0.8677079  -0.5294959  -0.91397129  0.24805045  0.34369599 -0.32405247
  0.13206863  0.86136855 -0.62599592  0.30228016  0.        ]",[ 0.45169878 -0.81937063],[ 0.29932458 -0.50032484],-0.0649476103023
16,[-0.21807519 -0.28770825],-0.331784,"[[-0.54378826 -2.9246452   0.03965799 -0.03839226]
 [ 7.67287691  1.49048     0.          0.        ]]","[ 0.98134189 -0.51566819 -0.7406019   0.07432864  0.34369571 -0.32405221
  0.15891857  0.57966379 -0.62959275  0.23895286  0.        ]",[ 0.42135477 -0.76622403],[ 0.19923964 -1.49525343],-0.0622641572366
17,[-0.21807519 -0.28770825],-0.362415,"[[-0.38394166 -2.93485865  0.03965799 -0.03839226]
 [ 8.30967042 -2.49853011  0.          0.        ]]","[ 1.0798155  -0.51876743 -0.52834281  0.10949562  0.34369543 -0.32405195
  0.17514107  0.03180341 -0.60657449  0.22538908  0.        ]",[ 0.3553471  -0.58310771],[ 0.89104907 -0.50198202],-0.0588377443166
18,[-0.21807519 -0.28770825],-0.350811,"[[ -0.18400251  -3.00427348   0.03965799  -0.03839226]
 [ 11.67308196  -3.52740903   0.           0.        ]]","[ 1.1569003  -0.53591486 -0.24353626  0.35031457  0.34369515 -0.32405169
  0.26082548 -0.10950535 -0.57639921  0.26581845  0.        ]",[ 0.28781915 -0.50108761],[ 0.54773909 -0.6280302 ],-0.0571017792262
19,[-0.21807519 -0.28770825],-0.35748,"[[  0.06890164  -3.02965965   0.03965799  -0.03839226]
 [ 13.61082651   0.02690248   0.           0.        ]]","[ 1.17689639 -0.54046911  0.13075123  0.43902744  0.34369487 -0.32405143
  0.31019029  0.37865284 -0.55299413  0.26937054  0.        ]",[ 0.16536243 -0.65283793],[ 1.22467006 -1.13467461],-0.0545441999455
20,[-0.21807519 -0.28770825],-0.316794,"[[  0.37813986  -3.02265783   0.03965799  -0.03839226]
 [ 17.30068849   0.47022686   0.           0.        ]]","[ 1.08278393 -0.53930455  0.57717531  0.4145311   0.34369459 -0.32405117
  0.40419118  0.43953983 -0.51742072  0.24654028  0.        ]",[ 0.02664112 -0.76128238],[-0.43054116 -0.18935691],-0.0490913229743
21,[-0.21807519 -0.28770825],-0.301986,"[[  0.70361401  -3.01340383   0.03965799  -0.03839226]
 [ 15.25354641   0.40200681   0.           0.        ]]","[ 0.85280132 -0.53765777  0.99006617  0.38218713  0.34369431 -0.32405091
  0.35203881  0.43016993 -0.47261712  0.23748236  0.        ]",[-0.07893697 -0.84943545],[ 0.29300799 -1.99098316],-0.0433753662333
22,[-0.21807519 -0.28770825],-0.313817,"[[  1.01729474  -3.00796348   0.03965799  -0.03839226]
 [ 16.11166934   0.17293799   0.           0.        ]]","[ 0.52633546 -0.5366322   1.29285472  0.36319007  0.34369403 -0.32405065
  0.37389967  0.39870862 -0.43043726  0.24756188  0.        ]",[-0.1126337  -0.92931068],[ 0.27991999 -1.29604702],-0.0393571504797
23,[-0.21807519 -0.28770825],-0.314774,"[[  1.34744767  -3.0056447    0.03965799  -0.03839226]
 [ 16.90099338   0.07290398   0.           0.        ]]","[ 0.10705634 -0.53618193  1.47786315  0.3550972   0.34369375 -0.32405039
  0.39400783  0.38496933 -0.39398719  0.27488327  0.        ]",[-0.0836936  -1.01008773],[-0.72447823 -0.37949426],-0.0377889786362
24,[-0.21807519 -0.28770825],-0.341897,"[[  1.6533308   -3.00401598   0.03965799  -0.03839226]
 [ 13.69799311   0.07573078   0.           0.        ]]","[-0.31189783 -0.53586091  1.50971954  0.34941415  0.34369347 -0.32405013
  0.31240922  0.38535725 -0.36962925  0.31096734  0.        ]",[-0.03007064 -1.06775069],[ 0.30349417 -2.03174269],-0.0389028396432
25,[-0.21807519 -0.28770825],-0.367301,"[[  1.93662611e+00  -3.00345646e+00   3.96579925e-02  -3.83922564e-02]
 [  1.46284391e+01   4.24025637e-04   0.00000000e+00   0.00000000e+00]]","[-0.69135488 -0.53574942  1.41641898  0.34746196  0.34369319 -0.32404987
  0.33611263  0.37501408 -0.35768455  0.35009813  0.        ]",[ 0.04636241 -1.11323726],[ 0.70441748 -1.23105957],-0.0418870772833
26,[-0.21807519 -0.28770825],-0.347277,"[[  2.25427220e+00  -3.00359724e+00   3.96579925e-02  -3.83922564e-02]
 [  1.71278403e+01  -9.94105889e-03   0.00000000e+00   0.00000000e+00]]","[-1.06872168 -0.53577688  1.18090963  0.34795277  0.34369291 -0.32404961
  0.39978614  0.37359019 -0.35739794  0.39586908  0.        ]",[ 0.11835864 -1.15395546],[-0.03612976 -1.10885544],-0.0466623313875
27,[-0.21807519 -0.28770825],-0.35943,"[[  2.59199175e+00  -3.00377668e+00   3.96579925e-02  -3.83922564e-02]
 [  1.66457221e+01  -7.37968431e-03   0.00000000e+00   0.00000000e+00]]","[-1.37368324 -0.53581199  0.80480497  0.34857847  0.34369263 -0.32404935
  0.38750353  0.37394167 -0.37143599  0.44199059  0.        ]",[ 0.16273756 -1.17210293],[ 0.94316283 -1.65418323],-0.0524752315991
28,[-0.21807519 -0.28770825],-0.304689,"[[  2.95906695e+00  -3.00388971e+00   3.96579925e-02  -3.83922564e-02]
 [  2.00504509e+01  -4.08379882e-03   0.00000000e+00   0.00000000e+00]]","[-1.55377794 -0.53583389  0.29820146  0.34897252  0.34369235 -0.32404909
  0.47424085  0.37439403 -0.40154232  0.48332651  0.        ]",[ 0.24628213 -1.16177785],[-0.66229987 -2.26474404],-0.0587714081145
