timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
16,"[[ -9.19085035  -3.00636248  -0.14067523  -0.11418658]
 [-53.95304158   0.10992575   0.           0.        ]]",-2.19735,[-0.3667199  -0.34126404],"[-1.50423903 -0.48259793 -0.31285326  0.35475469 -1.21008892 -0.98974123
 -0.91784339  0.40367806  0.95385986  1.16668854  0.        ]",[-2.21427107 -0.70273727],[-3.72205853  1.0210228 ],-0.195946610995
17,"[[-10.29891691  -2.96444055  -0.14067523  -0.11418658]
 [-56.8439255    4.06920104   0.           0.        ]]",-2.38246,[-0.3667199  -0.34126404],"[-1.04683253 -0.47268757  1.15635813  0.19034102 -1.21008815 -0.98974073
 -0.97118807  0.9453915   1.06885608  1.07860146  0.        ]",[-2.22062564 -0.96440709],[-1.84235397 -2.43943055],-0.200848103829
18,"[[ -1.14642287e+01  -2.92356531e+00  -1.40675234e-01  -1.14186581e-01]
 [ -5.96778626e+01   3.19272448e-02   0.00000000e+00   0.00000000e+00]]",-2.30653,[-0.3667199  -0.34126404],"[ 0.46356561 -0.46049334  1.34050394  0.03121389 -1.21008738 -0.98974022
 -1.02348188  0.39300559  1.05114732  0.88064234  0.        ]",[-1.87901568 -0.70797312],[-1.59150146 -0.26235554],-0.185797920427
19,"[[-12.68565792  -2.93332275  -0.14067523  -0.11418658]
 [-62.45582359  -1.00419128   0.           0.        ]]",-2.32737,[-0.3667199  -0.34126404],"[ 1.21121545 -0.46363015 -0.14693363  0.06907911 -1.21008662 -0.98973972
 -1.0747427   0.25124222  0.83329876  0.84406058  0.        ]",[-2.0764966  -0.76600081],[-2.52904154 -0.55583141],-0.159882297914
20,"[[-13.96209666  -2.97525591  -0.14067523  -0.11418658]
 [-65.17901035  -3.18194256   0.           0.        ]]",-2.27166,[-0.3667199  -0.34126404],"[ 0.08020064 -0.47549625 -1.42038294  0.23265167 -1.21008585 -0.98973921
 -1.12499272 -0.04672107  0.76262068  1.07092502  0.        ]",[-2.2107687  -0.59136945],[-3.48462676 -0.11379868],-0.170155263702
21,"[[-15.29245745  -3.0239556   -0.14067523  -0.11418658]
 [-67.84808072  -0.72246488   0.           0.        ]]",-2.31976,[-0.3667199  -0.34126404],"[-1.42432023 -0.48596872 -0.56564719  0.42405009 -1.21008508 -0.98973871
 -1.17424407  0.28978848  0.93893601  1.15644769  0.        ]",[-2.24861479 -0.61175233],[-2.3426327  -0.43431931],-0.193701302572
22,"[[-16.6756671   -3.02335824  -0.14067523  -0.11418658]
 [-70.46417058   0.40605758   0.           0.        ]]",-2.27092,[-0.3667199  -0.34126404],"[-0.94396217 -0.48586175  1.23960724  0.42169463 -1.21008431 -0.9897382
 -1.2225177   0.4441946   1.03554592  1.02474055  0.        ]",[-1.98220336 -0.5901078 ],[-1.51069674 -0.67705953],-0.193597955326
23,"[[-18.11067915  -3.01490538  -0.14067523  -0.11418658]
 [-73.02849124   0.3790529    0.           0.        ]]",-2.24479,[-0.3667199  -0.34126404],"[ 0.86078658 -0.48429232  1.01877068  0.38838362 -1.21008354 -0.9897377
 -1.26983597  0.44049964  0.93296783  0.88856701  0.        ]",[-1.96512735 -0.61046857],[-2.72140226  0.08866751],-0.173469450585
24,"[[-19.59646804  -3.00384743  -0.14067523  -0.11418658]
 [-75.54201497   0.72566712   0.           0.        ]]",-2.38847,[-0.3667199  -0.34126404],"[ 0.85327764 -0.48207665 -0.97123406  0.34486107 -1.21008277 -0.98973719
 -1.31621681  0.48792383  0.78256031  0.9849542   0.        ]",[-2.2159791  -0.69381171],[-2.56412873 -1.64266687],-0.165102348431
25,"[[-21.13202925  -3.00511575  -0.14067523  -0.11418658]
 [-78.00591603  -0.85032143   0.           0.        ]]",-2.26112,[-0.3667199  -0.34126404],"[-1.06264636 -0.48233996 -1.08581112  0.34984961 -1.21008201 -0.98973669
 -1.36168188  0.27229432  0.87410732  1.16456962  0.        ]",[-2.33839226 -0.63762754],[-3.76955631 -0.42653413],-0.188217125247
