timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[ 0.04354058 -0.0101755  -0.17097762 -0.03975664]
 [-0.0016703   0.00395042  0.          0.        ]]",-3.80693,[-0.33775058 -0.33050293],"[ 1.20936335  2.50544427  0.0922512   0.83261397 -1.47003899 -0.33505605
  0.05140751  0.38586398  2.74902943  0.45692198  0.        ]",[-4.03701162 -2.69991231],[-3.99553506 -1.83118572],-0.383807139305
1,"[[  3.83244120e-03  -4.98096757e-02  -1.70977616e-01  -3.97566411e-02]
 [ -3.95598470e+00  -3.95418097e+00   0.00000000e+00   0.00000000e+00]]",-3.79764,[-0.33775058 -0.33050293],"[ 1.21066089  2.50364837  0.03372624  0.67959217 -1.47003735 -0.33505592
 -0.02715372 -0.15550709  2.74932264  0.35031977  0.        ]",[-3.86115098 -2.42986751],[-4.69053398 -2.56147339],-0.382473813315
2,"[[-0.11417797 -0.16782046 -0.17097762 -0.03975664]
 [-7.83218084 -7.83396721  0.          0.        ]]",-3.75388,[-0.33775058 -0.33050293],"[ 1.20167865  2.48435631 -0.13990138  0.22669473 -1.47003571 -0.33505579
 -0.10416297 -0.68616243  2.71177478  0.03670411  0.        ]",[-3.53277206 -2.11871839],[-4.49326129 -2.40737583],-0.375989489036
3,"[[ -0.30894613  -0.36265604  -0.17097762  -0.03975664]
 [-11.63209034 -11.6369014    0.           0.        ]]",-3.6145,[-0.33775058 -0.33050293],"[ 1.14528973  2.40757053 -0.42021912 -0.49845617 -1.47003407 -0.33505566
 -0.17965661 -1.20630578  2.52994652 -0.4408835   0.        ]",[-2.94488144 -1.68873787],[-2.26684291 -1.48652641],-0.357277060608
4,"[[ -0.57896744  -0.63279345  -0.17097762  -0.03975664]
 [-15.35789061 -15.3643715    0.           0.        ]]",-3.23288,[-0.33775058 -0.33050293],"[ 0.98562053  2.21396599 -0.77865033 -1.41256035 -1.47003243 -0.33505553
 -0.2536779  -1.71612615  2.07573093 -0.93529178  0.        ]",[-2.13826418 -1.13503146],[-1.88105659 -1.4335903 ],-0.316158363388
5,"[[ -0.92278443  -0.97673644  -0.17097762  -0.03975664]
 [-19.01209233 -19.01767249   0.           0.        ]]",-2.45176,[-0.33775058 -0.33050293],"[ 0.66328298  1.84258829 -1.1474318  -2.32911168 -1.47003079 -0.3350554
 -0.32627671 -2.2157995   1.32535764 -1.15488469  0.        ]",[-1.55285299 -0.71961188],[-1.45200416 -0.32695833],-0.243123680303
6,"[[ -1.33899466  -1.36627601  -0.17097762  -0.03975664]
 [-22.59736965 -19.9331362    0.           0.        ]]",-1.65352,[-0.33775058 -0.33050293],"[ 0.14700438  1.30561187 -1.40687672 -2.91039422 -1.47002915 -0.33505526
 -0.39750618 -2.34100595  0.54369154 -0.81863847  0.        ]",[-1.44782686 -0.68922538],[-0.6214744  -0.84604141],-0.140401612473
7,"[[ -1.81118782  -1.79456346  -0.17097762  -0.03975664]
 [-24.61558342 -22.88573373   0.           0.        ]]",-1.14149,[-0.33775058 -0.33050293],"[-0.49900018  0.66569385 -1.40391286 -2.89458534 -1.47002751 -0.33505513
 -0.43760238 -2.74483618  0.19390995 -0.01272971  0.        ]",[-1.47645283 -0.87930739],[-2.5317559  -1.40808373],-0.0494791387854
8,"[[ -2.33839521  -2.28743021  -0.17097762  -0.03975664]
 [-28.09376496 -26.38931512   0.           0.        ]]",-1.22412,[-0.33775058 -0.33050293],"[-1.12914086  0.0108036  -1.03286048 -2.04071714 -1.47002587 -0.335055
 -0.50670412 -3.22402086  0.52649708  0.70564788  0.        ]",[-1.74838161 -0.81260526],[-2.34926035 -1.08031628],-0.120237301518
9,"[[ -2.93447496  -2.84967953  -0.17097762  -0.03975664]
 [-31.50235084 -29.82443143   0.           0.        ]]",-1.73512,[-0.33775058 -0.33050293],"[-1.52161618 -0.44217302 -0.27511304 -0.23973677 -1.47002423 -0.33505487
 -0.57442316 -3.69383364  1.12425667  0.65903678  0.        ]",[-1.66607046 -0.1269218 ],[-2.74389452  0.95981523],-0.1842776632
