timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[ -1.81652075e-03   3.76666044e-02  -1.46297763e-01   7.10246000e-02]
 [ -2.54090034e-03  -4.71891989e-05   0.00000000e+00   0.00000000e+00]]",-2.7362,[-0.16269575 -0.25767472],"[ 1.17073339  2.24953239  0.02463159  0.90168474 -1.25941298  0.61222272
 -0.03281168  0.36615378  2.46444896 -0.47940709  0.        ]",[-2.28478479 -2.10608768],[-0.90272494 -2.87038812],-0.362521733093
1,"[[ -3.76809982e-02  -2.04823543e-03  -1.46297763e-01   7.10246000e-02]
 [ -3.57202656e+00  -3.95824971e+00   0.00000000e+00   0.00000000e+00]]",-2.61473,[-0.16269575 -0.25767472],"[ 1.16975428  2.25051794 -0.0287706   0.77041942 -1.25940979  0.61222189
 -0.13971257 -0.17706751  2.46378141 -0.57608827  0.        ]",[-2.2225225  -1.95212805],[-2.45657076 -2.24778949],-0.364830756646
2,"[[-0.14808819 -0.1201396  -0.14629776  0.0710246 ]
 [-7.45578434 -7.83795792  0.          0.        ]]",-2.58214,[-0.16269575 -0.25767472],"[ 1.15564022  2.24032631 -0.19241582  0.38097451 -1.2594066   0.61222107
 -0.25602545 -0.70951593  2.42725319 -0.86689629  0.        ]",[-2.06728649 -1.764171  ],[-2.08391357 -0.97278195],-0.369593757383
3,"[[ -0.33540272  -0.313973    -0.14629776   0.0710246 ]
 [-11.26308539 -11.53305485   0.           0.        ]]",-2.69065,[-0.16269575 -0.25767472],"[ 1.09390294  2.18144445 -0.46288842 -0.24380621 -1.25940341  0.61222024
 -0.37004852 -1.21662672  2.25527942 -1.31829295  0.        ]",[-1.79613316 -1.50595498],[-1.51826721 -2.02011469],-0.36994597964
4,"[[ -0.59811544  -0.5820544   -0.14629776   0.0710246 ]
 [-14.99599609 -15.26261351   0.           0.        ]]",-2.3633,[-0.16269575 -0.25767472],"[ 0.93137887  2.01789831 -0.81130634 -1.04020331 -1.25940021  0.61221942
 -0.48184363 -1.72846298  1.82400461 -1.79463552  0.        ]",[-1.31062257 -1.10465753],[-3.4080574  -1.15887218],-0.354694375612
5,"[[ -0.93476366  -0.92398294  -0.14629776   0.0710246 ]
 [-18.65707366 -18.91798115   0.           0.        ]]",-2.02334,[-0.16269575 -0.25767472],"[ 0.61097884  1.68922395 -1.17079803 -1.86094465 -1.25939702  0.61221859
 -0.59148731 -2.23011003  1.10142404 -2.02142276  0.        ]",[-0.71795982 -0.60397565],[-0.7711381  -2.53664856],-0.310574963414
6,"[[ -1.33485052  -1.33829058  -0.14629776   0.0710246 ]
 [-21.34321565 -22.50075876   0.           0.        ]]",-1.15157,[-0.16269575 -0.25767472],"[ 0.11430191  1.16345466 -1.42076297 -2.43973872 -1.25939383  0.61221777
 -0.67193283 -2.72178358  0.3295358  -1.70419581  0.        ]",[-0.64879048 -0.35905725],[-1.14323588 -0.43297903],-0.229359977077
7,"[[ -1.79724863  -1.8010089   -0.14629776   0.0710246 ]
 [-24.88514106 -23.76679838   0.           0.        ]]",-0.445765,[-0.16269575 -0.25767472],"[-0.51754234  0.51569033 -1.4239987  -2.44146039 -1.25939064  0.61221694
 -0.77800774 -2.89550559 -0.01846614 -0.90786172  0.        ]",[-0.70604002 -0.30724344],[-0.32145115 -0.41869081],-0.122569773311
8,"[[ -2.30284688  -2.28823159  -0.14629776   0.0710246 ]
 [-25.67191138 -24.95161114   0.           0.        ]]",-0.177396,[-0.16269575 -0.25767472],"[-1.12951769 -0.09064397 -1.08045248 -1.71375325 -1.25938745  0.61221612
 -0.80156923 -3.05807463  0.28918757 -0.22696041  0.        ]",[-0.74740571 -0.25029787],[-0.94965339 -0.86364526],-0.0754105006563
9,"[[ -2.84896321  -2.81659873  -0.14629776   0.0710246 ]
 [-28.92848341 -27.87555994   0.           0.        ]]",-0.661082,[-0.16269575 -0.25767472],"[-1.52808966 -0.50054268 -0.40228983 -0.27837377 -1.25938426  0.6122153
 -0.89909788 -3.45930111  0.84468326 -0.22660164  0.        ]",[-0.77113932 -0.12750995],[-0.60140409 -0.79694937],-0.144815609537
10,"[[ -3.44568701  -3.23599744  -0.14629776   0.0710246 ]
 [-30.73685225  -5.72333249   0.           0.        ]]",-0.915506,[-0.16269575 -0.25767472],"[-1.52343822 -0.56819202  0.47331189  1.08882498 -1.25938107  0.61221447
 -0.95325448 -0.41925488  0.92754434 -0.63208056  0.        ]",[-0.57743317 -0.20538574],[-0.01182701 -1.57124919],-0.174035709686
11,"[[ -4.05478265  -3.21642457  -0.14629776   0.0710246 ]
 [-30.17477828   4.24221463   0.           0.        ]]",-0.717782,[-0.16269575 -0.25767472],"[-1.05068256 -0.57052784  1.20612312  1.0243501  -1.25937788  0.61221365
 -0.93641934  0.94835948  0.88198517 -0.61591548  0.        ]",[-0.65387362 -0.44760132],[-0.01760094  0.24254031],-0.167776568428
12,"[[ -4.65298393  -3.12032     -0.14629776   0.0710246 ]
 [-29.6470958    5.24071215   0.           0.        ]]",-0.812786,[-0.16269575 -0.25767472],"[-0.28983321 -0.57416049  1.51408852  0.70687601 -1.25937469  0.61221282
 -0.92061424  1.08538542  0.91216111 -0.58978226  0.        ]",[-0.80970192 -0.58532655],[ 0.20982501 -1.45115921],-0.169716844989
13,"[[ -5.23170306  -3.05069718  -0.14629776   0.0710246 ]
 [-28.2295197    2.13806155   0.           0.        ]]",-0.702865,[-0.16269575 -0.25767472],"[ 0.47625629 -0.56864839  1.32035317  0.47711965 -1.2593715   0.612212
 -0.87815807  0.65959405  0.92020371 -0.61787562  0.        ]",[-0.83730483 -0.51569247],[-1.81127013  0.25596346],-0.172324729774
14,"[[ -5.83041019  -2.99818927  -0.14629776   0.0710246 ]
 [-31.62984953   3.10954485   0.           0.        ]]",-0.782382,[-0.16269575 -0.25767472],"[ 1.03181056 -0.55997995  0.67888481  0.30474436 -1.25936831  0.61221117
 -0.97999188  0.7929138   0.88195761 -0.65642833  0.        ]",[-0.80872923 -0.49956346],[-0.94261576 -1.05811401],-0.170325429686
15,"[[ -6.49417095  -2.97633793  -0.14629776   0.0710246 ]
 [-34.73590132  -0.91096972   0.           0.        ]]",-0.773512,[-0.16269575 -0.25767472],"[ 1.14015914 -0.55523489 -0.2845688   0.23336626 -1.25936512  0.61221035
 -1.07301204  0.24116008  0.79945312 -0.63934755  0.        ]",[-0.67523968 -0.30523497],[-0.41951033 -1.06710408],-0.159896919043
16,"[[ -7.19865653  -3.01894072  -0.14629776   0.0710246 ]
 [-35.70932323  -1.20422277   0.           0.        ]]",-0.646078,[-0.16269575 -0.25767472],"[ 0.63222829 -0.56386614 -1.15350474  0.37273825 -1.25936193  0.61220952
 -1.10216243  0.20091539  0.75964804 -0.52684961  0.        ]",[-0.64432895 -0.27013117],[-1.00361831 -0.68618734],-0.148175278179
17,"[[ -7.94547445  -3.02347172  -0.14629776   0.0710246 ]
 [-38.96164144   0.29494455   0.           0.        ]]",-0.63959,[-0.16269575 -0.25767472],"[-0.33395175 -0.56463402 -1.45579451  0.38760834 -1.25935874  0.6122087
 -1.19956245  0.40665285  0.80033185 -0.42555838  0.        ]",[-0.65227568 -0.29329562],[ 0.03788777 -0.36573399],-0.147368837623
18,"[[ -8.71546322  -3.01547344  -0.14629776   0.0710246 ]
 [-38.04030899   0.40374185   0.           0.        ]]",-0.781607,[-0.16269575 -0.25767472],"[-1.2541646  -0.56325708 -0.94269954  0.36136353 -1.25935555  0.61220788
 -1.17196698  0.42158315  0.87465769 -0.37637687  0.        ]",[-0.68182456 -0.3337892 ],[-0.93009851 -2.02162118],-0.154212011626
19,"[[ -9.50566165  -3.00947141  -0.14629776   0.0710246 ]
 [-40.969772     0.21087367   0.           0.        ]]",-0.831669,[-0.16269575 -0.25767472],"[-1.58218682 -0.56216474  0.1476824   0.34168632 -1.25935236  0.61220705
 -1.25969749  0.39511443  0.96655215 -0.3984518   0.        ]",[-0.69790554 -0.36764443],[-0.0413125  -1.52588488],-0.166644414829
