timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[ 0.01646858  0.06425049  0.10099043 -0.19141199]
 [ 0.00021645 -0.00259334  0.          0.        ]]",-3.45041,[-0.38541931 -0.41380537],"[ 1.22906755  2.54861823  0.04892519  1.16178908  0.88023392 -1.65635637
  0.11115087  0.39042805  0.6726728   1.77195928  0.        ]",[-3.6229341  -2.23828983],[-4.97567395 -1.68057318],-0.229297169824
1,"[[-0.02320221  0.02448673  0.10099043 -0.19141199]
 [-3.95413286 -3.96059774  0.          0.        ]]",-3.40065,[-0.38541931 -0.41380537],"[ 1.22888236  2.55129844 -0.00930282  1.00063778  0.88023363 -1.65635521
  0.04226698 -0.15026889  0.67534949  1.66409009  0.        ]",[-3.09385014 -1.74019933],[-3.98455447 -1.24659415],-0.218376831779
2,"[[-0.1411756  -0.09365118  0.10099043 -0.19141199]
 [-7.83031882 -7.84026447  0.          0.        ]]",-3.19714,[-0.38541931 -0.41380537],"[ 1.21550167  2.54508252 -0.18178955  0.52192113  0.88023334 -1.65635405
 -0.02525533 -0.68026419  0.6444005   1.34543766  0.        ]",[-2.08551311 -1.14780903],[-2.28928419 -1.72936687],-0.184534647493
3,"[[ -0.33590575  -0.28861161   0.10099043  -0.19141199]
 [-11.63013532 -11.64309062   0.           0.        ]]",-2.54705,[-0.38541931 -0.41380537],"[ 1.15199925  2.48880659 -0.45909845 -0.25339447  0.88023305 -1.6563529
 -0.0914473  -1.19976209  0.47096446  0.85567564  0.        ]",[-0.6784578  -0.40906322],[-2.28742406 -0.05849179],-0.125277135396
4,"[[ -0.60589883  -0.52146776   0.10099043  -0.19141199]
 [-15.35688375 -11.64248561   0.           0.        ]]",-2.24596,[-0.38541931 -0.41380537],"[ 0.98318951  2.34948274 -0.81120979 -1.1196858   0.88023276 -1.65635174
 -0.15636644 -1.1996789   0.04969072  0.35386159  0.        ]",[ 0.75952089  0.21291012],[ 1.12649305 -0.90259874],-0.0451558697094
5,"[[ -0.87029613  -0.78787333   0.10099043  -0.19141199]
 [-11.09711363 -14.98691774   0.           0.        ]]",-2.18857,[-0.38541931 -0.41380537],"[ 0.73798159  2.10335557 -1.09747455 -1.97449314  0.88023246 -1.65635058
 -0.08216212 -1.65655559 -0.52906365  0.10119409  0.        ]",[ 1.50249219 -0.03720206],[ 0.76646054 -0.15701146],-0.0464435155927
6,"[[ -1.05962648  -1.09087912   0.10099043  -0.19141199]
 [ -7.84670998 -15.31256818   0.           0.        ]]",-2.2858,[-0.38541931 -0.41380537],"[ 0.52316799  1.73257384 -1.25549619 -2.69735239  0.88023217 -1.65634942
 -0.02554075 -1.70104096 -1.0430703   0.15889411  0.        ]",[ 1.95163131 -0.68016171],[ 2.48292555 -0.78607111],-0.11298577155
7,"[[ -1.17531362  -1.42532635   0.10099043  -0.19141199]
 [ -3.73566387 -18.12276785   0.           0.        ]]",-2.45283,[-0.38541931 -0.41380537],"[ 0.3794852   1.25055125 -1.32982613 -3.11279821  0.88023188 -1.65634827
  0.04607284 -2.08493577 -1.38807264  0.41662448  0.        ]",[ 1.81816149 -1.58975291],[ 0.78816516 -2.90666397],-0.16241631777
8,"[[ -1.21800348  -1.82391495   0.10099043  -0.19141199]
 [ -0.54393122 -21.72405216   0.           0.        ]]",-2.81682,[-0.38541931 -0.41380537],"[ 0.32456102  0.6488659  -1.35272543 -3.0263723   0.88023159 -1.65634711
  0.10167216 -2.5768975  -1.5366317   0.79181966  0.        ]",[ 1.40267301 -2.43726516],[ 1.29882768 -1.59500066],-0.196067174439
9,"[[ -1.18907593  -2.29381198   0.10099043  -0.19141199]
 [  3.42362859 -25.25382035   0.           0.        ]]",-2.9062,[-0.38541931 -0.41380537],"[ 0.36187989  0.02307173 -1.3374789  -2.1406477   0.8802313  -1.65634595
  0.17078624 -3.05908678 -1.47064519  1.20666492  0.        ]",[ 0.80869472 -2.8955946 ],[ 0.20831985 -3.91033637],-0.215317701024
