timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.38442808 -0.4153339 ],-5.36434,"[[ 0.08146647 -0.04570035 -0.16012277  0.00713012]
 [ 0.00152844  0.00328711  0.          0.        ]]","[ 1.2234766   2.54539422  0.14307829  0.72316822 -1.3991776   0.06284899
  0.10644399  0.39146513  2.7167454   0.09900672  0.        ]",[-4.8909688  -2.58887625],[-4.82079849 -2.50579886],-0.369753783665
1,[-0.38442808 -0.4153339 ],-5.45639,"[[ 0.04182163 -0.08534766 -0.16012277  0.00713012]
 [-3.95285541 -3.95483157  0.          0.        ]]","[ 1.22685178  2.54144541  0.084987    0.5622916  -1.39917684  0.06284897
  0.0377254  -0.14925777  2.71837876 -0.00830971  0.        ]",[-4.6962471  -2.35456824],[-4.55519683 -3.15161079],-0.370012000758
2,[-0.38442808 -0.4153339 ],-5.40064,"[[ -7.61270415e-02  -2.03371312e-01  -1.60122775e-01   7.13011724e-03]
 [ -7.82914069e+00  -7.83460298e+00   0.00000000e+00   0.00000000e+00]]","[ 1.22405644  2.51565144 -0.08805666  0.08759493 -1.39917608  0.06284896
 -0.02963602 -0.67927751  2.68440872 -0.32460741  0.        ]",[-4.30587244 -2.18160987],[-4.70067475 -2.09884917],-0.368334213098
3,[-0.38442808 -0.4153339 ],-5.50019,"[[ -2.70835591e-01  -3.98219430e-01  -1.60122775e-01   7.13011724e-03]
 [ -1.16291767e+01  -1.16375184e+01   0.00000000e+00   0.00000000e+00]]","[ 1.17767219  2.42804533 -0.36918771 -0.66801666 -1.39917532  0.06284895
 -0.09567238 -1.19879756  2.50701079 -0.80761254  0.        ]",[-3.70587015 -1.9723804 ],[-3.84251782 -3.26234644],-0.357650099502
4,[-0.38442808 -0.4153339 ],-5.0937,"[[ -5.40800278e-01  -6.68368952e-01  -1.60122775e-01   7.13011724e-03]
 [ -1.53551497e+01  -1.53649659e+01   0.00000000e+00   0.00000000e+00]]","[ 1.03080395  2.21994266 -0.73224655 -1.61119751 -1.39917456  0.06284894
 -0.16042169 -1.70800711  2.05582389 -1.31059511  0.        ]",[-2.87271428 -1.5296886 ],[-2.23794897 -1.92738107],-0.32737897591
5,[-0.38442808 -0.4153339 ],-4.36931,"[[ -8.84564487e-01  -1.01232361e+00  -1.60122775e-01   7.13011724e-03]
 [ -1.90095590e+01  -1.90182450e+01   0.00000000e+00   0.00000000e+00]]","[ 0.7216294   1.83246196 -1.11223518 -2.53985634 -1.39917381  0.06284893
 -0.22392738 -2.20708312  1.3048563  -1.54097702  0.        ]",[-1.73498118 -0.80204725],[-0.88878666 -1.73446586],-0.266543572965
6,[-0.38442808 -0.4153339 ],-3.3782,"[[ -1.29630654e+00  -1.42861440e+00  -1.60122775e-01   7.13011724e-03]
 [ -2.21547374e+01  -2.25988159e+01   0.00000000e+00   0.00000000e+00]]","[ 0.22045658  1.24246497 -1.38960911 -3.11668324 -1.39917305  0.06284892
 -0.27858373 -2.69622432  0.51430682 -1.19551869  0.        ]",[-1.22062826 -0.52718639],[-0.93885975 -1.22030372],-0.171416646961
7,[-0.38442808 -0.4153339 ],-2.58748,"[[ -1.77234918e+00  -1.91580060e+00  -1.60122775e-01   7.13011724e-03]
 [ -2.54390588e+01  -2.61080767e+01   0.00000000e+00   0.00000000e+00]]","[-0.43093678  0.51307217 -1.4148511  -2.91808157 -1.39917229  0.0628489
 -0.33565809 -3.17562085  0.19909746 -0.34882588  0.        ]",[-1.58946431 -1.0988667 ],[-0.82049334 -1.25171939],-0.0665259907217
8,[-0.38442808 -0.4153339 ],-2.68231,"[[ -2.30874442e+00  -2.47247628e+00  -1.60122775e-01   7.13011724e-03]
 [ -2.81912168e+01  -2.95481550e+01   0.00000000e+00   0.00000000e+00]]","[-1.084173   -0.16504817 -1.06262581 -1.61357169 -1.39917153  0.06284889
 -0.38348458 -3.64556244  0.62141682  0.29958601  0.        ]",[-1.90769196 -0.39024967],[-1.1169488  -0.51920732],-0.104409405436
9,[-0.38442808 -0.4153339 ],-3.05904,"[[ -2.90674423e+00  -3.07818112e+00  -1.60122775e-01   7.13011724e-03]
 [ -3.15962098e+01  -2.54071375e+01   0.00000000e+00   0.00000000e+00]]","[-1.4985488  -0.48972331 -0.31803255  0.65125202 -1.39917077  0.06284888
 -0.44265594 -3.07985094  1.14737532  0.07346862  0.        ]",[-1.51877069  1.04037976],[-2.70563397  0.84485508],-0.168021937969
