timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[-0.00516639 -0.06094761  0.18906698 -0.08566017]
 [-0.00283163 -0.00137545  0.          0.        ]]",-1.08941,[-0.30819431 -0.32283261],"[ 1.20935564  2.49690061  0.02057083  0.63511583  1.64412005 -0.73312448
  0.04696528  0.38476687 -0.02194323  0.70973617  0.        ]",[ 0.71996504 -1.98155069],[ 0.64440209 -2.38957955],-0.0805782190458
1,"[[ 0.02036963 -0.10071262  0.18906698 -0.08566017]
 [ 2.5479363  -3.9619225   0.          0.        ]]",-1.20207,[-0.30819431 -0.32283261],"[ 1.20908652  2.49206706  0.05823005  0.48260867  1.64411782 -0.73312406
  0.09812001 -0.15703119 -0.02297278  0.71806973  0.        ]",[ 0.75312692 -1.83460009],[ 1.6883499  -0.94246215],-0.0815035469461
2,"[[ 0.11052763 -0.21662114  0.18906698 -0.08566017]
 [ 6.45485941 -7.61673504  0.          0.        ]]",-1.14949,[-0.30819431 -0.32283261],"[ 1.20094613  2.46454147  0.19086833  0.04243922  1.64411559 -0.73312365
  0.17647196 -0.65700503 -0.0295341   0.76991786  0.        ]",[ 0.76710045 -1.79594982],[ 1.1631203  -1.78473542],-0.087293304346
3,"[[  0.27805024  -0.40718459   0.18906698  -0.08566017]
 [ 10.28467586 -11.42687514   0.           0.        ]]",-1.11,[-0.30819431 -0.32283261],"[ 1.15633657  2.3767472   0.43300414 -0.65441705  1.64411336 -0.73312324
  0.25327755 -1.17822692 -0.05666888  0.88669614  0.        ]",[ 0.79291511 -1.83390534],[ 1.15286339 -1.84865828],-0.100255158169
4,"[[  0.52141153  -0.673191     0.18906698  -0.08566017]
 [ 14.03902511 -15.1612385    0.           0.        ]]",-1.02385,[-0.30819431 -0.32283261],"[ 1.02588114  2.171662    0.76281087 -1.52968016  1.64411113 -0.73312283
  0.32856967 -1.68908122 -0.13201862  1.0538364   0.        ]",[ 0.79516542 -1.97714078],[ 0.14454743 -2.057657  ],-0.119008766284
5,"[[  0.80516135  -1.01312686   0.18906698  -0.08566017]
 [ 14.33496526 -18.82011228   0.           0.        ]]",-1.12439,[-0.30819431 -0.32283261],"[ 0.78544761  1.79183993  1.09145883 -2.39550516  1.6441089  -0.73312241
  0.33450451 -2.18960602 -0.2744592   1.18998179  0.        ]",[ 0.85762018 -2.10271263],[ 1.44091728 -1.07367831],-0.13558851649
6,"[[  1.12873399  -1.42551854   0.18906698  -0.08566017]
 [ 18.01021406 -22.4069394    0.           0.        ]]",-0.91317,[-0.30819431 -0.32283261],"[ 0.41926423  1.2138351   1.36124704 -2.93796863  1.64410668 -0.733122
  0.4082103  -2.68027087 -0.49719437  1.26418641  0.        ]",[ 0.94721198 -2.24295282],[ 0.74316281 -3.00710569],-0.149631104858
7,"[[  1.5148924   -1.90892326   0.18906698  -0.08566017]
 [ 20.59708935 -25.92171381   0.           0.        ]]",-1.13279,[-0.30819431 -0.32283261],"[-0.09430785  0.49744298  1.50071503 -2.7606128   1.64410445 -0.73312159
  0.46008909 -3.16107323 -0.81112964  1.25911388  0.        ]",[ 1.12328839 -2.34935021],[ 0.61931624 -2.59768277],-0.165034097445
8,"[[  1.94735881  -2.46192072   0.18906698  -0.08566017]
 [ 22.64268856 -29.36657323   0.           0.        ]]",-1.81136,[-0.30819431 -0.32283261],"[-0.67922897 -0.17319851  1.39968219 -1.54910904  1.64410222 -0.73312118
  0.50111273 -3.63230363 -1.18168794  1.10154789  0.        ]",[ 1.4889847  -2.21429348],[ 1.57217659 -1.12517079],-0.180072466882
9,"[[  2.4354478   -3.08313497   0.18906698  -0.08566017]
 [ 26.15462809 -26.67538901   0.           0.        ]]",-1.82762,[-0.30819431 -0.32283261],"[-1.22209258 -0.50473599  0.9852111   0.64468343  1.64409999 -0.73312076
  0.57154336 -3.26414321 -1.54588116  0.76271808  0.        ]",[ 2.29928136 -1.61586452],[ 2.68470006 -2.28729851],-0.196388291656
