timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.327962445088,[-0.65926582 -0.62841761],[-3.67940736 -5.21828651],-5.59088,"[ 0.89695674  1.21972247 -0.08507106  1.41619543 -0.51077999 -1.61566044
 -0.31545761  0.33222661  2.32843891  3.01836018  0.        ]","[[-0.04094671  0.06831014 -0.06011343 -0.18727096]
 [ 0.00279241  0.00025315  0.          0.        ]]",[-3.68259727 -5.06431431]
1,-0.32064563614,[-0.65926582 -0.62841761],[-2.79106688 -3.67206144],-5.55328,"[ 0.8930001   1.22219135 -0.14578918  1.31510065 -0.51077979 -1.61565863
 -0.56421019 -0.41507519  2.32455295  2.8367321   0.        ]","[[-0.0805665   0.02860274 -0.06011343 -0.18727096]
 [-3.95160811 -3.95780786  0.          0.        ]]",[-2.64539545 -3.53930009]
2,-0.296780384079,[-0.65926582 -0.62841761],[-1.74251688 -1.78877294],-5.34221,"[ 0.86604326  1.21757796 -0.32499154  1.01440688 -0.51077959 -1.61565683
 -0.80804552 -1.1475858   2.257325    2.30359234  0.        ]","[[-0.19848988 -0.08947993 -0.06011343 -0.18727096]
 [-7.82784175 -7.83753037  0.          0.        ]]",[-2.06017433 -1.7085787 ]
3,-0.251265310292,[-0.65926582 -0.62841761],[-0.27436703  0.56684309],-4.80717,"[ 0.77284875  1.17113278 -0.6104788   0.5269943  -0.51077939 -1.61565503
 -1.0470762  -1.86558659  1.97326688  1.49652921  0.        ]","[[ -0.39317092  -0.28438623  -0.06011343  -0.18727096]
 [-11.62770008 -11.64041177   0.           0.        ]]",[-0.14731445  0.34309003]
4,-0.190049679712,[-0.65926582 -0.62841761],[ 0.52951533  1.31474173],-3.95633,"[ 0.58331581  1.06473323 -0.92592298  0.01729056 -0.51077919 -1.61565322
 -1.06934321 -1.56551432  1.41095031  0.76415269  0.        ]","[[ -0.62927626  -0.50124856  -0.06011343  -0.18727096]
 [-11.98168776 -10.05109642   0.           0.        ]]",[ 0.2608518   0.67517307]
5,-0.13018073317,[-0.65926582 -0.62841761],[ 1.25990987  1.72928333],-3.38306,"[ 0.3314653   0.9423333  -1.18202804 -0.34766073 -0.51077899 -1.61565142
 -0.98962081 -1.02321645  0.76686321  0.37608522  0.        ]","[[ -0.85619501  -0.67345221  -0.06011343  -0.18727096]
 [-10.71435811  -7.17883341   0.           0.        ]]",[ 1.59518782  2.5087923 ]
6,-0.086391191893,[-0.65926582 -0.62841761],[ 0.93191749  1.0982182 ],-2.97333,"[ 0.10226443  0.85516896 -1.33751248 -0.54307907 -0.51077879 -1.61564961
 -0.72752142 -0.24901341  0.27606461  0.27250546  0.        ]","[[-1.02867884 -0.7758866  -0.06011343 -0.18727096]
 [-6.54779467 -3.07828768  0.          0.        ]]",[ 0.67456746  1.50169849]
7,-0.0644052904026,[-0.65926582 -0.62841761],[ 0.65228468  0.06486865],-2.85431,"[-0.04692288  0.83586482 -1.41192476 -0.58131119 -0.5107786  -1.61564781
 -0.55157277  0.50992749  0.02899178  0.26007008  0.        ]","[[-1.13157162 -0.79712118 -0.06011343 -0.18727096]
 [-3.7507598   0.94142285  0.          0.        ]]",[ 0.23010976  0.61995535]
8,-0.0564415772389,[-0.65926582 -0.62841761],[ 0.68934119 -0.61889571],-2.81184,"[-0.14530484  0.87476098 -1.45148029 -0.50255707 -0.5107784  -1.61564601
 -0.48968433  0.96982589 -0.06286154  0.23557834  0.        ]","[[-1.19671573 -0.75385309 -0.06011343 -0.18727096]
 [-2.7669286   3.37726456  0.          0.        ]]",[ 0.02355637 -0.55360342]
9,-0.0507855409586,[-0.65926582 -0.62841761],[ 0.87492627  0.16942386],-2.8608,"[-0.2285682   0.91325413 -1.47960497 -0.41741907 -0.5107782  -1.6156442
 -0.48033004  0.543328   -0.12958628  0.21461191  0.        ]","[[-1.25056232 -0.70897241 -0.06011343 -0.18727096]
 [-2.61822731  1.11833199  0.          0.        ]]",[ 0.10991594  0.84974556]
