timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.403548304878,"[[ 0.09271833  0.0058075  -0.19083006 -0.03430462]
 [-0.00292453 -0.00169202  0.          0.        ]]",[-1.32381201 -4.27312374],-6.68685,"[ 0.89533174  1.21589035  0.13906039  1.26834306 -1.65544588 -0.28950641
 -0.30738608  0.33158406  3.80919366  1.16627061  0.        ]",[-0.66377586 -0.63472611],[-1.23232572 -3.77270187]
1,-0.402833854859,"[[ 0.05298536 -0.0339384  -0.19083006 -0.03430462]
 [-3.95721245 -3.95971187  0.          0.        ]]",[-0.84448636 -3.32786775],-6.75665,"[ 0.9001157   1.21516962  0.07849541  1.16680185 -1.65544401 -0.28950631
 -0.56259844 -0.42050435  3.81816962  0.98133025  0.        ]",[-0.66377586 -0.63472611],[-0.45101914 -2.42497108]
2,-0.398738782668,"[[-0.04325989 -0.15206721 -0.19083006 -0.03430462]
 [-5.66166078 -7.84023612  0.          0.        ]]",[-0.76806927 -2.34759688],-6.70049,"[ 0.90088921  1.20105001 -0.06855257  0.86644263 -1.65544214 -0.28950622
 -0.67260449 -1.15786684  3.79546618  0.49913105  0.        ]",[-0.66377586 -0.63472611],[-0.8534889 -2.2406723]
3,-0.385759014405,"[[ -0.18923259  -0.34702938  -0.19083006  -0.03430462]
 [ -8.9248344  -11.6432994    0.           0.        ]]",[-1.02599871 -1.52237821],-6.5929,"[ 0.87290284  1.13914472 -0.28996273  0.38447823 -1.65544027 -0.28950613
 -0.88321166 -1.88050865  3.62690613 -0.22031995  0.        ]",[-0.66377586 -0.63472611],[-1.79132136 -1.15277565]
4,-0.354147579654,"[[ -0.40564434  -0.61729445  -0.19083006  -0.03430462]
 [-12.70399089 -15.37075925   0.           0.        ]]",[-1.2654047  -0.34902719],-6.23439,"[ 0.76817501  0.97825651 -0.60559721 -0.22550296 -1.6554384  -0.28950603
 -1.12712048 -2.58878057  3.13837251 -1.07120053  0.        ]",[-0.66377586 -0.63472611],[-1.22303867 -0.65662865]
5,-0.29457052594,"[[ -0.69691048  -0.94772474  -0.19083006  -0.03430462]
 [-16.41062827 -17.6645688    0.           0.        ]]",[-0.73371875  1.2226578 ],-5.45709,"[ 0.51666652  0.67961384 -0.98349318 -0.82151644 -1.65543653 -0.28950594
 -1.36634842 -3.02463164  2.23499522 -1.66216022  0.        ]",[-0.66377586 -0.63472611],[-0.41219837  1.0088499 ]
6,-0.215495031004,"[[ -1.03827209  -1.257765    -0.19083006  -0.03430462]
 [-17.72107032 -13.3537799    0.           0.        ]]",[ 0.96275473  2.23459053],-4.33021,"[ 0.08796716  0.32473253 -1.31925813 -1.17748667 -1.65543465 -0.28950584
 -1.45092394 -2.20551121  1.21782318 -1.58318858  0.        ]",[-0.66377586 -0.63472611],[ 0.03124865  1.69330058]
7,-0.139125716611,"[[ -1.38796797  -1.48244819  -0.19083006  -0.03430462]
 [-17.24987844  -9.12861855   0.           0.        ]]",[ 2.09507155  2.60226965],-3.29935,"[-0.45121447  0.04180586 -1.50543042 -1.29168949 -1.65543278 -0.28950575
 -1.42051159 -1.40266493  0.48261324 -0.99008925  0.        ]",[-0.66377586 -0.63472611],[ 2.46797821  1.79547786]
8,-0.084339205422,"[[ -1.68985446  -1.62347626  -0.19083006  -0.03430462]
 [-12.95283944  -4.98805725   0.           0.        ]]",[ 2.09057927  2.38277531],-2.90303,"[-0.94852246 -0.13961991 -1.52008304 -1.29810928 -1.65543091 -0.28950565
 -1.14317696 -0.61589518  0.11884009 -0.30024666  0.        ]",[-0.66377586 -0.63472611],[ 2.73048038  2.49308708]
9,-0.0600239924409,"[[-1.90664103 -1.68251947 -0.19083006 -0.03430462]
 [-8.73972348 -0.92984399  0.          0.        ]]",[ 1.9294014   1.90360153],-3.02664,"[-1.29726233 -0.21538344 -1.44551041 -1.28572269 -1.65542904 -0.28950556
 -0.87125913  0.15522704 -0.01408424  0.1909661   0.        ]",[-0.66377586 -0.63472611],[ 2.23317503  2.0582244 ]
10,-0.0525098763195,"[[-2.03999634 -1.66120755 -0.19083006 -0.03430462]
 [-4.60954778  3.04773863  0.          0.        ]]",[ 1.81713927  1.27787447],-3.05009,"[-1.50010639 -0.18808007 -1.36572094 -1.29121583 -1.65542717 -0.28950546
 -0.60469452  0.91102797 -0.08486103  0.42441728  0.        ]",[-0.66377586 -0.63472611],[ 2.46998283  0.9896751 ]
11,-0.0451773415697,"[[-2.09156908 -1.56154644 -0.19083006 -0.03430462]
 [-0.56129504  6.90548729  0.          0.        ]]",[ 0.68918002 -0.41294643],-3.0471,"[-1.57517979 -0.05990273 -1.32827983 -1.30154152 -1.6554253  -0.28950537
 -0.34341736  1.64405732 -0.16596426  0.39380905  0.        ]",[-0.66377586 -0.63472611],[ 0.31801288  0.30044966]
12,-0.0406598390915,"[[-2.09006043 -1.41287452 -0.19083006 -0.03430462]
 [ 0.70788857  7.95819043  0.          0.        ]]",[ 0.13273019 -1.17156422],-2.9043,"[-1.57301211  0.1307017  -1.32942451 -1.26985407 -1.65542343 -0.28950527
 -0.26150326  1.84408445 -0.24268428  0.17456339  0.        ]",[-0.66377586 -0.63472611],[ 0.39710667 -1.22458231]
13,-0.0475051395017,"[[-2.06027    -1.29502266 -0.19083006 -0.03430462]
 [ 2.26599721  3.84071596  0.          0.        ]]",[-0.26506406 -0.47602844],-2.82376,"[-1.52986267  0.2788225  -1.35142672 -1.20510185 -1.65542156 -0.28950518
 -0.16094174  1.06170167 -0.26503026 -0.07335832  0.        ]",[-0.66377586 -0.63472611],[-0.29645071 -1.0090696 ]
14,-0.0548528861904,"[[-2.02716099 -1.25869608 -0.19083006 -0.03430462]
 [ 1.048985   -0.19461135  0.          0.        ]]",[ 0.06801669  0.6084348 ],-2.83346,"[-1.48109859  0.3235923  -1.37447464 -1.1782104  -1.65541969 -0.28950508
 -0.23948855  0.29492871 -0.24722506 -0.20495154  0.        ]",[-0.66377586 -0.63472611],[ 0.09949818  0.43622845]
15,-0.0598577232943,"[[-2.00244341 -1.24522008 -0.19083006 -0.03430462]
 [ 1.42152782  1.53644367  0.          0.        ]]",[-0.16165972  0.04261191],-2.79214,"[-1.44416944  0.34007085 -1.39070162 -1.16741606 -1.65541782 -0.28950499
 -0.21544428  0.62385502 -0.22809069 -0.28116251  0.        ]",[-0.66377586 -0.63472611],[-0.0890241   0.05561151]
16,-0.0665735588875,"[[-1.97783022 -1.21258608 -0.19083006 -0.03430462]
 [ 1.0410594   1.72632286  0.          0.        ]]",[-0.19794738 -0.13883588],-2.7263,"[-1.40697612  0.37966036 -1.40601729 -1.13945991 -1.65541595 -0.28950489
 -0.23999993  0.65993465 -0.20835539 -0.38733276  0.        ]",[-0.66377586 -0.63472611],[ 0.31594433 -0.40233125]
17,-0.0738376058727,"[[-1.94466832 -1.19438928 -0.19083006 -0.03430462]
 [ 2.27103572  0.09878421  0.          0.        ]]",[-0.5944854  -0.00976859],-2.70514,"[-1.35624205  0.40152941 -1.42530669 -1.12276255 -1.65541407 -0.2895048
 -0.16061622  0.35067752 -0.17546281 -0.48808592  0.        ]",[-0.66377586 -0.63472611],[-1.29506647 -0.26128021]
18,-0.0740137312201,"[[-1.93939724 -1.20280315 -0.19083006 -0.03430462]
 [-1.73060544 -0.93672592  0.          0.        ]]",[ 0.37023294  0.67018926],-2.76938,"[-1.34811425  0.3914364  -1.42822805 -1.13058011 -1.6554122  -0.2895047
 -0.41888529  0.1539148  -0.16993897 -0.48587559  0.        ]",[-0.66377586 -0.63472611],[ 0.56181824  1.0495218 ]
19,-0.0738023734818,"[[-1.95137079 -1.18162937 -0.19083006 -0.03430462]
 [ 0.52572704  3.04084586  0.          0.        ]]",[-0.24906819 -0.63029194],-2.67815,"[-1.3665489   0.41677113 -1.42153067 -1.11058344 -1.65541033 -0.28950461
 -0.27325961  0.90971365 -0.18240895 -0.49415488  0.        ]",[-0.66377586 -0.63472611],[-0.65276395 -1.02060391]
20,-0.0729424765834,"[[-1.96686577 -1.16113762 -0.19083006 -0.03430462]
 [-2.06658394 -0.97827365  0.          0.        ]]",[ 0.49912277  0.70504385],-2.77911,"[-1.39027433  0.44108134 -1.41256213 -1.0902216  -1.65540846 -0.28950451
 -0.44056942  0.14601951 -0.19839031 -0.49371149  0.        ]",[-0.66377586 -0.63472611],[ 0.75997745  1.27134712]
21,-0.0728986875079,"[[-1.97762583 -1.14078876 -0.19083006 -0.03430462]
 [ 0.98042005  2.99989898  0.          0.        ]]",[-0.33623791 -0.69799346],-2.6719,"[-1.40665955  0.46500892 -1.4061345  -1.0690279  -1.65540659 -0.28950442
 -0.24391305  0.9019328  -0.2092982  -0.50285342  0.        ]",[-0.66377586 -0.63472611],[-0.89103428 -1.0901788 ]
22,-0.0719022302312,"[[-1.99357591 -1.12110507 -0.19083006 -0.03430462]
 [-2.56361591 -1.01813525  0.          0.        ]]",[ 0.66700864  0.75913668],-2.68538,"[-1.4308086   0.48794297 -1.3963084  -1.04761185 -1.65540472 -0.28950432
 -0.47264811  0.13844462 -0.22551124 -0.49958095  0.        ]",[-0.66377586 -0.63472611],[ 0.81291258 -0.74904107]
23,-0.0641722228658,"[[-2.01205894 -1.17103186 -0.19083006 -0.03430462]
 [ 0.70442963 -3.96471941  0.          0.        ]]",[ 0.08612575  1.19206583],-2.81146,"[-1.45857635  0.42936904 -1.38447872 -1.10017408 -1.65540285 -0.28950423
 -0.26172541 -0.42145159 -0.24373603 -0.3785164   0.        ]",[-0.66377586 -0.63472611],[ 0.42363392  1.28848754]
24,-0.0662068743696,"[[-1.98130164 -1.209815   -0.19083006 -0.03430462]
 [ 2.36578667  0.07295592  0.          0.        ]]",[-0.48017922  0.14691338],-2.74637,"[-1.41223622  0.3829992  -1.40389813 -1.13696239 -1.65540098 -0.28950413
 -0.15449984  0.34576896 -0.21188948 -0.3841527   0.        ]",[-0.66377586 -0.63472611],[-0.41588101  0.02037316]
25,-0.0716051527617,"[[-1.95096691 -1.20755663 -0.19083006 -0.03430462]
 [ 0.67332406  0.15261069  0.          0.        ]]",[-0.1802264   0.19371362],-2.7078,"[-1.3659209   0.38571865 -1.42175226 -1.13491742 -1.65539911 -0.28950404
 -0.26373289  0.36090448 -0.18183972 -0.45349468  0.        ]",[-0.66377586 -0.63472611],[-0.18710445 -0.36361829]
26,-0.0716432278677,"[[-1.94505885 -1.21897861 -0.19083006 -0.03430462]
 [-0.08001218 -1.29000206  0.          0.        ]]",[ 0.01540106  0.64560384],-2.72552,"[-1.35683242  0.37194027 -1.42507707 -1.14513013 -1.65539724 -0.28950394
 -0.31235383  0.08678561 -0.17555464 -0.44782668  0.        ]",[-0.66377586 -0.63472611],[ 0.37612802  0.00058864]
27,-0.0717763748299,"[[-1.93171029 -1.24450267 -0.19083006 -0.03430462]
 [ 1.40991107 -1.26249172  0.          0.        ]]",[-0.35634121  0.50713468],-2.76194,"[-1.33622237  0.34094411 -1.43240768 -1.16681997 -1.65539537 -0.28950385
 -0.21619265  0.09201297 -0.16117593 -0.43526971  0.        ]",[-0.66377586 -0.63472611],[-0.98600945  0.6228236 ]
