timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.381380960154,[-0.71895687 -6.11434156],-3.63533,"[[ 0.06946597 -0.0135795  -0.12526658  0.1956352 ]
 [ 0.00105013 -0.00049976  0.          0.        ]]","[ 1.02068711  0.85614897  0.72214508 -0.49466613 -1.08851745  1.68665906
 -0.60569885  0.13542926  2.09453935 -1.55249029  0.        ]",[-0.05790022 -6.56767178],[-0.93649966 -0.77457333]
1,-0.38671618918,[ 0.9747395  -6.14638722],-3.53108,"[[ 0.04096644 -0.05330613 -0.12526658  0.1956352 ]
 [-2.84154538 -3.95897453  0.          0.        ]]","[ 1.02336522  0.85461876  0.67491052 -0.5975183  -1.08851708  1.68665805
 -0.67962121 -0.57166479  2.09741264 -1.68664544  0.        ]",[ 0.67820871 -6.10193205],[-0.93649966 -0.77457333]
2,-0.394308865715,[ 1.63466169 -5.35091583],-3.45104,"[[ 0.02340235 -0.17144229 -0.12526658  0.1956352 ]
 [ 1.07209849 -7.84169433  0.          0.        ]]","[ 1.0243274   0.83936774  0.64577015 -0.90145681 -1.08851671  1.68665703
 -0.57784565 -1.26522657  2.08720451 -1.90233857  0.        ]",[ 0.92746353 -6.06042862],[-0.93649966 -0.77457333]
3,-0.395884460112,[ 1.152292   -5.30066142],-3.28143,"[[  0.08433677  -0.3664614   -0.12526658   0.1956352 ]
 [  5.00824038 -11.6475148    0.           0.        ]]","[ 1.01874056  0.77977048  0.74675639 -1.38774248 -1.08851634  1.68665602
 -0.47548505 -1.94505097  2.05605628 -2.01019096  0.        ]",[ 1.31252575 -5.88137913],[-0.93649966 -0.77457333]
4,-0.389945387879,[ 1.9209207  -5.59459231],-2.98196,"[[  0.22321358  -0.6368393   -0.12526658   0.1956352 ]
 [  8.86662757 -15.37779266   0.           0.        ]]","[ 0.98254382  0.63046059  0.97438292 -2.00001641 -1.08851596  1.68665501
 -0.37514649 -2.61137934  1.99281252 -2.00858086  0.        ]",[ 1.76177883 -5.67804861],[-0.93649966 -0.77457333]
5,-0.374426774668,[ 1.43051645 -4.57130647],-2.75134,"[[  0.43849541  -0.98107783  -0.12526658   0.1956352 ]
 [ 12.64904846 -19.03377474   0.           0.        ]]","[ 0.8636756   0.34496263  1.31170825 -2.61253907 -1.08851559  1.686654
 -0.27678347 -3.26443306  1.87174316 -1.90824221  0.        ]",[ 1.9340055  -5.62712049],[-0.93649966 -0.77457333]
6,-0.34756834194,[ 2.25994438 -5.19048365],-2.28296,"[[  0.7286813   -1.39770268  -0.12526658   0.1956352 ]
 [ 16.35733308 -22.61661874   0.           0.        ]]","[ 0.59232398 -0.09724305  1.71227025 -3.01138407 -1.08851522  1.68665299
 -0.18034838 -3.90441737  1.65790145 -1.74343907  0.        ]",[ 2.12276387 -5.68180752],[-0.93649966 -0.77457333]
7,-0.30994468059,[ 2.28727476 -4.69596517],-1.69441,"[[  1.09230575  -1.88526337  -0.12526658   0.1956352 ]
 [ 19.99315317 -26.12759646   0.           0.        ]]","[ 0.10592744 -0.65192337  2.08045533 -2.92305199 -1.08851485  1.68665198
 -0.08579776 -4.53155768  1.32023862 -1.58730177  0.        ]",[ 2.32469583 -5.33052874],[-0.93649966 -0.77457333]
8,-0.268560757303,[ 2.28685093 -4.79835251],-1.31807,"[[  1.52793239  -2.4423387   -0.12526658   0.1956352 ]
 [ 23.55768972 -29.56842355   0.           0.        ]]","[-0.60522218 -1.17719875  2.265357   -2.12691823 -1.08851448  1.68665096
  0.00689911 -5.14615847  0.85556116 -1.55662317  0.        ]",[ 2.46466136 -4.42866421],[-0.93649966 -0.77457333]
9,-0.242912700172,[ 1.50159252 -3.68776713],-1.59519,"[[  2.03414105  -3.06754864  -0.12526658   0.1956352 ]
 [ 27.05163299 -26.90543832   0.           0.        ]]","[-1.43933482 -1.44436397  2.09185822 -0.6511247  -1.08851411  1.68664995
  0.09776018 -4.67046404  0.3193438  -1.78756151  0.        ]",[ 2.37304425 -3.72790718],[-0.93649966 -0.77457333]
