timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.370515708151,[-4.76174906 -0.41178693],-3.30679,"[[ 0.0279797  -0.06141167 -0.15770582 -0.04722894]
 [-0.00397785 -0.00291279  0.          0.        ]]","[ 1.03145113  0.85516872  0.65789054 -0.62002776 -1.37149338 -0.40010138
 -0.6037797   0.13364637  2.38534068  1.39985925  0.        ]",[-4.89830685 -0.32333413],[-0.90516376 -0.76478088]
1,-0.369038902419,[-2.95919297 -0.26089256],-3.60392,"[[-0.01178326 -0.07781332 -0.15770582 -0.04722894]
 [-3.95915219 -1.63182772  0.          0.        ]]","[ 1.03199942  0.85385213  0.59199037 -0.66217377 -1.37149274 -0.4001013
 -0.70709966 -0.15743248  2.38223235  1.2687682   0.        ]",[-3.64652348 -0.05826861],[-0.90516376 -0.76478088]
2,-0.363503547335,[-1.210349    0.19250396],-3.60064,"[[-0.12986738 -0.12047521 -0.15770582 -0.04722894]
 [-7.83635584 -2.63103208  0.          0.        ]]","[ 1.01776885  0.84897978  0.3968716  -0.77151826 -1.37149209 -0.40010123
 -0.80838278 -0.33598522  2.34804859  0.89141519  0.        ]",[-1.48652709  0.18276209],[-0.90516376 -0.76478088]
3,-0.351446560407,[ 0.93033101  0.06357563],-3.48789,"[[ -0.32473345  -0.16491019  -0.15770582  -0.04722894]
 [-11.63759656  -1.81518006   0.           0.        ]]","[ 0.94306342  0.84168883  0.08268918 -0.88480535 -1.37149145 -0.40010115
 -0.90768149 -0.1901965   2.22392659  0.32967439  0.        ]",[ 0.6882621   0.13118549],[-0.90516376 -0.76478088]
4,-0.335897365682,[ 1.76154663 -0.99880835],-3.31141,"[[-0.51825171 -0.19834182 -0.15770582 -0.04722894]
 [-7.72724537 -1.52893906  0.          0.        ]]","[ 0.80837012  0.83472106 -0.20953563 -0.96950106 -1.37149081 -0.40010108
 -0.80553202 -0.13904664  2.02685247 -0.16368974  0.        ]",[ 1.37315714 -0.46435142],[-0.90516376 -0.76478088]
5,-0.322066335351,[ 1.02754039 -1.79947178],-3.19508,"[[-0.63155751 -0.26831286 -0.15770582 -0.04722894]
 [-3.61703219 -5.45507782  0.          0.        ]]","[ 0.70344702  0.81605698 -0.36706373 -1.14481907 -1.37149016 -0.400101
 -0.69816165 -0.84062801  1.84162084 -0.46640983  0.        ]",[ 1.82031548 -0.81361866],[-0.90516376 -0.76478088]
6,-0.309131097852,[ 1.60006056  0.01148863],-3.28555,"[[-0.66347538 -0.41607389 -0.15770582 -0.04722894]
 [ 0.41182301 -9.30817406  0.          0.        ]]","[ 0.67064264  0.75889822 -0.40925684 -1.50304162 -1.37148952 -0.40010093
 -0.59291659 -1.52915649  1.6768681  -0.63943864  0.        ]",[ 2.00937533 -0.85958111],[-0.90516376 -0.76478088]
7,-0.299966185282,[ 2.02236602 -1.72533877],-3.45669,"[[-0.61563008 -0.59994634 -0.15770582 -0.04722894]
 [ 4.35961037 -9.07980716  0.          0.        ]]","[ 0.71929449  0.65583864 -0.34563308 -1.91628039 -1.37148887 -0.40010085
 -0.48978928 -1.48834768  1.58048127 -0.66921718  0.        ]",[ 1.95204926 -1.28713536],[-0.90516376 -0.76478088]
8,-0.294199282372,[ 2.34674986 -1.27002995],-3.6985,"[[ -0.48959564  -0.81947911  -0.15770582  -0.04722894]
 [  8.23098444 -12.8608164    0.           0.        ]]","[ 0.83194569  0.49110856 -0.1679438  -2.34437167 -1.37148823 -0.40010077
 -0.38865811 -2.1639931   1.55202124 -0.57094252  0.        ]",[ 1.75851154 -1.23199236],[-0.90516376 -0.76478088]
9,-0.286560243786,[ 1.79890803 -1.16255938],-3.8831,"[[ -0.28689874  -1.11387706  -0.15770582  -0.04722894]
 [ 12.02615336 -16.56653248   0.           0.        ]]","[ 0.96247028  0.21254707  0.14248704 -2.77357752 -1.37148758 -0.4001007
 -0.28951764 -2.82618149  1.53244624 -0.35667994  0.        ]",[ 1.6058538  -1.12819123],[-0.90516376 -0.76478088]
