timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.13687946294,"[[ 0.00252623 -0.08645585  0.08156933  0.03941447]
 [-0.00049596 -0.00229207  0.          0.        ]]",[ 0.83187371 -1.12868142],-3.77439,"[ 0.99025832  1.08530204  0.27900943  0.91947915  0.71029709  0.34002613
 -0.22407882  0.30993108  0.78181327 -0.12930269  0.        ]",[-0.72446907 -0.64303118],[ 0.91080684 -0.59491797]
1,-0.135230335916,"[[ 0.03867603 -0.11015007  0.08156933  0.03941447]
 [ 3.6034742  -2.35926874  0.          0.        ]]",[-0.15542327 -0.97302681],-3.7349,"[  9.88894184e-01   1.08250629e+00   3.32508797e-01   8.53417137e-01
   7.10296904e-01   3.40026061e-01  -5.82433219e-04  -1.33557887e-01
   7.82181207e-01  -6.28466153e-02   0.00000000e+00]",[-0.72446907 -0.64303118],[-0.18699843 -2.74867595]
2,-0.133398208268,"[[ 0.10262354 -0.19659143  0.08156933  0.03941447]
 [ 2.79396353 -6.27182904  0.          0.        ]]",[ 0.08647427 -0.27954635],-3.69545,"[ 0.98062763  1.06663646  0.42692002  0.61415264  0.71029672  0.340026
 -0.05078338 -0.86974553  0.77461608 -0.01056086  0.        ]",[-0.72446907 -0.64303118],[ 0.81065467 -0.12012663]
3,-0.130506330094,"[[ 0.19012548 -0.32556649  0.08156933  0.03941447]
 [ 5.94575109 -6.62448698  0.          0.        ]]",[-1.02323973 -0.41175225],-3.65,"[ 0.95726045  1.02664458  0.55502578  0.26529203  0.71029653  0.34002593
  0.14467143 -0.9361014   0.75386937  0.04440267  0.        ]",[-0.72446907 -0.64303118],[-0.30480811 -0.95352387]
4,-0.12604865293,"[[  0.29577618  -0.49461635   0.08156933   0.03941447]
 [  4.6236894  -10.26836054   0.           0.        ]]",[-0.55872947  0.42209506],-3.57369,"[ 0.91073202  0.94572114  0.70676011 -0.16854496  0.71029635  0.34002586
  0.06268512 -1.6217322   0.71117413  0.08952344  0.        ]",[-0.72446907 -0.64303118],[-0.40485655  0.30244503]
5,-0.122019052652,"[[ 0.37125691 -0.68592196  0.08156933  0.03941447]
 [ 2.93000861 -8.8668826   0.          0.        ]]",[-0.16916536  0.51121449],-3.51489,"[ 0.86548611  0.81792033  0.81231437 -0.61315232  0.71029616  0.3400258
 -0.04234676 -1.35802929  0.64535261  0.02026626  0.        ]",[-0.72446907 -0.64303118],[-0.26637095  0.82802148]
6,-0.118593537397,"[[ 0.41868985 -0.82859889  0.08156933  0.03941447]
 [ 1.81700786 -5.41233165  0.          0.        ]]",[ 0.12165632  0.16625547],-3.47116,"[ 0.83206145  0.70020398  0.87711837 -0.90340237  0.71029597  0.34002573
 -0.11136837 -0.70802054  0.5814626  -0.05204822  0.        ]",[-0.72446907 -0.64303118],[ 0.99611581  0.76830745]
7,-0.113160618771,"[[ 0.49420197 -0.90525917  0.08156933  0.03941447]
 [ 5.72124628 -2.26415831  0.          0.        ]]",[-1.30893326 -0.60645473],-3.46724,"[ 0.7711182   0.62996908  0.97743343 -1.04236614  0.71029579  0.34002566
  0.13074907 -0.11565993  0.5424879   0.03682279  0.        ]",[-0.72446907 -0.64303118],[-1.61178018 -0.80694042]
8,-0.107671182339,"[[ 0.56780404 -0.98213754  0.08156933  0.03941447]
 [ 1.6524625  -5.41321478  0.          0.        ]]",[-0.30194825  0.37992269],-3.41564,"[ 0.70286966  0.55515614  1.07136414 -1.1687244   0.7102956   0.3400256
 -0.12157253 -0.7081866   0.49783426  0.11724438  0.        ]",[-0.72446907 -0.64303118],[ 0.61094451 -0.14585964]
9,-0.10233264613,"[[ 0.62478021 -1.09512785  0.08156933  0.03941447]
 [ 4.03724242 -5.8842265   0.          0.        ]]",[-0.94120115  0.39222381],-3.38803,"[ 0.64427555  0.43817692  1.1411422  -1.32926239  0.71029542  0.34002553
  0.02631727 -0.79681201  0.43048849  0.10576139  0.        ]",[-0.72446907 -0.64303118],[-1.83100478  0.49812377]
