timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.140675883949,"[[ 0.02850389 -0.06219571  0.07137734  0.02368073]
 [-0.00491357 -0.00330297  0.          0.        ]]",[ 0.25051701 -1.74806046],-3.48629,"[ 1.23014719  2.11444518  0.39259538  1.01522431  0.62256082  0.21283445
 -0.76022064  0.39194177  1.07501878 -0.01119938  0.        ]",[-0.57149953 -0.6008901 ],[ 0.42949057 -2.30174052]
1,-0.14064703944,"[[ 0.04546873 -0.10199558  0.07137734  0.02368073]
 [ 1.69572973 -3.96348306  0.          0.        ]]",[ 0.47068882 -1.45960653],-3.20063,"[ 1.22919728  2.10970737  0.41732097  0.90515113  0.62256046  0.21283435
 -0.69294005 -0.23358243  1.07358438 -0.01917485  0.        ]",[-0.57149953 -0.6008901 ],[ 0.90417658 -1.28448556]
2,-0.139395703686,"[[ 0.11494926 -0.22021948  0.07137734  0.02368073]
 [ 5.24052027 -7.845957    0.          0.        ]]",[ 0.62796658 -1.14554596],-2.99495,"[ 1.2207796   2.08221544  0.51831113  0.58149562  0.62256009  0.21283426
 -0.55270215 -0.8468324   1.06551837 -0.00369688  0.        ]",[-0.57149953 -0.6008901 ],[ 0.59704307  0.12544601]
3,-0.135494780913,"[[ 0.24241488 -0.37060461  0.07137734  0.02368073]
 [ 7.49854421 -7.19470927  0.          0.        ]]",[ 0.62827396 -1.11843884],-3.09644,"[ 1.18654428  2.01877583  0.70113422  0.18260441  0.62255972  0.21283416
 -0.46337085 -0.74396499  1.04467555  0.0946256   0.        ]",[-0.57149953 -0.6008901 ],[ 1.31005617 -1.35235134]
4,-0.128758324596,"[[  0.43060521  -0.55281019   0.07137734   0.02368073]
 [ 11.30784493 -11.01307317   0.           0.        ]]",[ 0.81091553 -0.63546592],-3.09946,"[ 1.09271818  1.90122068  0.95983045 -0.26947755  0.62255935  0.21283407
 -0.31266857 -1.34708774  0.99478871  0.27490766  0.        ]",[-0.57149953 -0.6008901 ],[ 0.908386   -1.91515119]
5,-0.118013222164,"[[  0.69059222  -0.81061956   0.07137734   0.02368073]
 [ 14.67970653 -14.75530405   0.           0.        ]]",[ 1.08660889 -0.23123698],-2.5732,"[ 0.88427735  1.66627453  1.28007391 -0.82349568  0.62255898  0.21283397
 -0.17927211 -1.93818249  0.88270085  0.49248178  0.        ]",[-0.57149953 -0.6008901 ],[ 0.90063576  0.33562263]
6,-0.105451384028,"[[  1.01702875  -1.08946257   0.07137734   0.02368073]
 [ 17.95319347 -13.13427433   0.           0.        ]]",[ 1.11909771 -0.31936082],-2.4113,"[ 0.51384263  1.33839085  1.59153973 -1.27214134  0.62255862  0.21283388
 -0.04976752 -1.68213264  0.68717837  0.75287792  0.        ]",[-0.57149953 -0.6008901 ],[ 0.43025476  0.33965734]
7,-0.0983990794503,"[[  1.38961847  -1.33603511   0.07137734   0.02368073]
 [ 19.30135392 -11.52826306   0.           0.        ]]",[ 1.04896486 -0.55764568],-2.36106,"[-0.00891562  1.00432523  1.78563642 -1.51133677  0.62255825  0.21283378
  0.00356796 -1.4284561   0.40653305  1.01913366  0.        ]",[-0.57149953 -0.6008901 ],[ 0.09989855  0.00585107]
8,-0.0986176243249,"[[  1.77579301  -1.564062     0.07137734   0.02368073]
 [ 19.31605783 -11.27526192   0.           0.        ]]",[ 1.12278652 -0.58781874],-2.35653,"[-0.58920323  0.67674922  1.77896728 -1.58739489  0.62255788  0.21283369
  0.00414967 -1.38849203  0.07509001  1.18351894  0.        ]",[-0.57149953 -0.6008901 ],[ 0.69103603 -0.47969742]
9,-0.10233249805,"[[  2.18573656  -1.80637106   0.07137734   0.02368073]
 [ 21.67053386 -12.94997889   0.           0.        ]]",[ 1.28528214 -0.34574389],-2.17504,"[-1.15375423  0.32849343  1.54232035 -1.51080628  0.62255751  0.2128336
  0.09729672 -1.65301617 -0.27284509  1.1971892   0.        ]",[-0.57149953 -0.6008901 ],[ 1.68533569  0.50029217]
