timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.297539488942,"[[ 0.03659279 -0.05569623 -0.02608004  0.18276714]
 [ 0.00336636  0.00418798  0.          0.        ]]",[ 5.55311441  1.16200042],-3.73109,"[ 1.04434675  1.13162387  0.1095282  -1.03867639 -0.23428377  1.57890189
 -0.54331566 -0.33052626  1.61409154 -2.21483976  0.        ]",[-0.38318935 -0.44541815],[ 5.69046436  0.45328015]
1,-0.291135127968,"[[ 0.07634297 -0.03762089 -0.02608004  0.18276714]
 [ 3.95848436  1.7973755   0.          0.        ]]",[ 4.40974426  0.32901222],-3.63751,"[ 1.04110923  1.132566    0.16918911 -0.98513149 -0.23428369  1.57890015
 -0.39240071 -0.01397097  1.61136476 -2.09200496  0.        ]",[-0.38318935 -0.44541815],[ 4.33174808 -0.21038722]
2,-0.272988841322,"[[ 0.19442096 -0.01040375 -0.02608004  0.18276714]
 [ 7.83640176  0.92724387  0.          0.        ]]",[ 3.35920501  0.13198152],-3.48332,"[ 1.01812651  1.13329609  0.34498019 -0.90444288 -0.23428361  1.57889841
 -0.24443151 -0.16757719  1.57933575 -1.7640509   0.        ]",[-0.38318935 -0.44541815],[ 3.41983689  0.54029491]
3,-0.24088156837,"[[  0.38927607   0.02940685  -0.02608004   0.18276714]
 [ 11.63646146   3.04675388   0.           0.        ]]",[ 1.19152761 -1.03918242],-3.03737,"[ 0.93735816  1.13287222  0.62509273 -0.78639523 -0.23428354  1.57889666
 -0.09943312  0.20658469  1.45339495 -1.24976845  0.        ]",[-0.38318935 -0.44541815],[ 1.62231373 -1.29827167]
4,-0.195058006218,"[[  0.65940228   0.04999402  -0.02608004   0.18276714]
 [ 15.36374107  -0.97463531   0.           0.        ]]",[-0.37214112 -0.63661993],-2.67165,"[ 0.74281683  1.13195749  0.9755721  -0.72539173 -0.23428346  1.57889492
  0.04278821 -0.50332035  1.16310584 -0.65195247  0.        ]",[-0.38318935 -0.44541815],[-0.20900274 -0.10043023]
5,-0.145218433446,"[[  0.95533412   0.02670903  -0.02608004   0.18276714]
 [ 14.23320682  -1.35260073   0.           0.        ]]",[-1.3533268  -0.53034198],-2.21122,"[  4.35444335e-01   1.13295524e+00   1.28205617e+00  -7.94391843e-01
  -2.34283379e-01   1.57889318e+00  -3.49461040e-04  -5.70043246e-01
   7.47620715e-01  -1.73461463e-01   0.00000000e+00]",[-0.38318935 -0.44541815],[-1.05409611 -0.52871746]
6,-0.105483722547,"[[ 1.19749117 -0.02106267 -0.02608004  0.18276714]
 [ 9.99660365 -3.41768766  0.          0.        ]]",[-1.13215983  0.32807302],-2.05698,"[ 0.12862241  1.13310526  1.45437431 -0.93604677 -0.2342833   1.57889144
 -0.16200505 -0.93459748  0.36631135  0.08281719  0.        ]",[-0.38318935 -0.44541815],[-1.45704705  1.8082564 ]
7,-0.0790034894632,"[[ 1.35573323 -0.04899337 -0.02608004  0.18276714]
 [ 5.84144025  0.61118448  0.          0.        ]]",[-1.14146507 -0.25848535],-1.78379,"[-0.08966951  1.13201041  1.52328206 -1.01882258 -0.23428322  1.5788897
 -0.32055313 -0.22337084  0.09350747  0.19243461  0.        ]",[-0.38318935 -0.44541815],[-1.47039909 -0.24320475]
8,-0.0649860347122,"[[ 1.43171606 -0.04653716 -0.02608004  0.18276714]
 [ 1.77039697 -0.36232496  0.          0.        ]]",[-0.49528396  0.28155014],-1.86407,"[-0.19756563  1.13214077  1.54339729 -1.01154621 -0.23428315  1.57888796
 -0.47589142 -0.39522673 -0.05762259  0.2312401   0.        ]",[-0.38318935 -0.44541815],[-0.75266664  2.06153617]
9,-0.0610534791275,"[[ 1.43688346 -0.01397209 -0.02608004  0.18276714]
 [-1.24361599  3.6056043   0.          0.        ]]",[-0.13749222 -0.37786445],-1.60161,"[-0.20495231  1.13324173  1.54445274 -0.9150207  -0.23428307  1.57888622
 -0.59089665  0.30524173 -0.10139103  0.24026606  0.        ]",[-0.38318935 -0.44541815],[-1.22130723 -1.37004772]
