timestep,human_obs,obs,original_rewards,actions,rewards,avg_action_dist,logstd_action_dist
0,"[[ 0.04216259 -0.04546826 -0.16204593  0.04194365]
 [-0.00134072 -0.00309004  0.          0.        ]]","[ 1.13193912  2.13731539  0.39281889 -1.1002781  -1.40073191  0.35580787
 -0.45765463 -0.37221635  2.95771626 -0.47040004  0.        ]",-0.373901892555,[ 3.08789505  4.40557131],-3.51892,[ 2.71149135  4.06133795],[-0.33696851 -0.21080323]
1,"[[ 0.0818111  -0.00581704 -0.16204593  0.04194365]
 [ 3.95303006  3.95502578  0.          0.        ]]","[ 1.12813339  2.13873725  0.45110541 -0.98156553 -1.40073072  0.35580776
 -0.27780074  0.19612894  2.95263258 -0.35368093  0.        ]",-0.372263696752,[ 2.53740851  3.26725673],-3.48203,[ 2.68226886  3.38022113],[-0.33696851 -0.21080323]
2,"[[ 0.19976273  0.11221052 -0.16204593  0.04194365]
 [ 7.82924824  7.83480049  0.          0.        ]]","[ 1.1025048   2.12994039  0.62303037 -0.62876745 -1.40072954  0.35580765
 -0.10150142  0.75322512  2.8926159  -0.0119654   0.        ]",-0.364935248348,[ 1.87456254  3.61055039],-3.42699,[ 2.86610436  2.78013682],[-0.33696851 -0.21080323]
3,"[[  0.39447195   0.30706271  -0.16204593   0.04194365]
 [ 11.62911705  11.63773022   0.           0.        ]]","[ 1.01432756  2.07317639  0.89683895 -0.05884771 -1.40072836  0.35580753
  0.07132536  1.29928654  2.65460799  0.50239062  0.        ]",-0.345054624538,[ 2.27522553  0.80040027],-3.26017,[ 2.82822371  2.19549131],[-0.33696851 -0.21080323]
4,"[[  0.66443539   0.56928705  -0.16204593   0.04194365]
 [ 15.35503473  14.57487169   0.           0.        ]]","[ 0.80372445  1.91763553  1.23900955  0.65030391 -1.40072717  0.35580742
  0.24078867  1.72102845  2.10163464  1.01885741  0.        ]",-0.303437192141,[ 3.09933299  1.80257644],-3.00741,[ 2.55508852  1.81620049],[-0.33696851 -0.21080323]
5,"[[  1.00819144   0.89759714  -0.16204593   0.04194365]
 [ 19.00882099  18.24382985   0.           0.        ]]","[ 0.41039911  1.61088258  1.57670125  1.37750827 -1.40072599  0.3558073
  0.40697125  2.24784962  1.21731159  1.23082588  0.        ]",-0.231500672365,[ 2.82055271  1.72026231],-2.46688,[ 1.93965769  1.27980304],[-0.33696851 -0.21080323]
6,"[[  1.42432665   1.29855221  -0.16204593   0.04194365]
 [ 22.59335017  21.8395887    0.           0.        ]]","[-0.18986739  1.11373644  1.78796395  1.92063156 -1.40072481  0.35580719
  0.57000382  2.76415658  0.28649208  0.81785843  0.        ]",-0.127057823309,[ 0.36837416  0.09424333],-1.70852,[ 0.9311915   0.34949401],[-0.33696851 -0.21080323]
7,"[[  1.8863982    1.73472526  -0.16204593   0.04194365]
 [ 23.61050077  21.77789622   0.           0.        ]]","[-0.89686514  0.50794626  1.73098195  1.99078509 -1.40072362  0.35580707
  0.61626598  2.75529144 -0.09938116 -0.09757402  0.        ]",-0.0334977917518,[-0.15869441  0.88809716],-1.35099,[ 0.52135915 -0.23960525],[-0.33696851 -0.21080323]
8,"[[  2.34767938   2.20121834  -0.16204593   0.04194365]
 [ 22.52120644  24.86122074   0.           0.        ]]","[-1.50212943 -0.08971318  1.38113026  1.45521833 -1.40072244  0.35580696
  0.56672209  3.19801303  0.26742732 -0.84889081  0.        ]",-0.108390523755,[ 2.38495868 -1.53011567],-1.56934,[ 1.06803751 -0.21664631],[-0.33696851 -0.21080323]
9,"[[  2.83340208   2.65375886  -0.16204593   0.04194365]
 [ 26.03884819  20.40777854   0.           0.        ]]","[-1.89227651 -0.50171186  0.77753969  0.43968971 -1.40072125  0.35580684
  0.72671245  2.55854339  0.89659398 -0.95067155  0.        ]",-0.169677825141,[ 0.64715221  0.34262971],-1.91695,[ 1.26413429  0.24181934],[-0.33696851 -0.21080323]
