timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[ 0.06095258 -0.0226548  -0.19640878  0.05323926]
 [-0.00403382  0.00186089  0.          0.        ]]","[ 1.10594983  1.85807273  0.3208459  -1.1645576  -1.69485306  0.46961226
 -0.44978193 -0.36519399  3.49261569 -0.68103448  0.        ]",-0.408405637341,[-0.66934979 -0.53258693],-4.67473,[ 4.7015686   5.16384411],[ 4.25545385  5.31779686]
1,"[[ 0.10054776  0.01709445 -0.19640878  0.05323926]
 [ 3.95039061  3.95987773  0.          0.        ]]","[ 1.10086529  1.85821983  0.37740782 -1.05674659 -1.69485185  0.46961216
 -0.28089947  0.24624341  3.48278385 -0.55082003  0.        ]",-0.406275150855,[-0.66934979 -0.53258693],-4.68584,[ 4.73942566  4.37557507],[ 5.60523331  4.12846487]
2,"[[ 0.21844723  0.13521806 -0.19640878  0.05323926]
 [ 7.82667517  7.83955391  0.          0.        ]]","[ 1.0710729   1.84613871  0.54414813 -0.73745559 -1.69485065  0.46961205
 -0.11535416  0.84557857  3.40486995 -0.1715112   0.        ]",-0.397279508859,[-0.66934979 -0.53258693],-4.52761,[ 4.76200342  3.38475943],[ 4.67344191  3.04282618]
3,"[[  0.41310585   0.33016433  -0.19640878   0.05323926]
 [ 11.62663519  11.64238425   0.           0.        ]]","[ 0.97498793  1.7857753   0.80893304 -0.22373762 -1.69484944  0.46961195
  0.04693154  1.43304202  3.12703232  0.39316951  0.        ]",-0.374051818202,[-0.66934979 -0.53258693],-4.33181,[ 4.50769615  2.13688922],[ 4.03597927  1.47079152]
4,"[[  0.68301818   0.6004104   -0.19640878   0.05323926]
 [ 15.35243973  15.36975686   0.           0.        ]]","[ 0.75178591  1.62319822  1.13812799  0.42937501 -1.69484824  0.46961184
  0.20605027  2.00884753  2.49899829  0.94968657  0.        ]",-0.326235000066,[-0.66934979 -0.53258693],-3.96813,[ 3.67578125  1.07130122],[ 3.93522575  2.73878229]
5,"[[  1.02672586   0.94446016  -0.19640878   0.05323926]
 [ 19.00660917  19.02296283   0.           0.        ]]","[ 0.34098705  1.30187462  1.45985613  1.09446778 -1.69484703  0.46961173
  0.36210965  2.57319367  1.51650256  1.13779993  0.        ]",-0.244954944144,[-0.66934979 -0.53258693],-3.32723,[  2.23958898e+00  -8.42511654e-05],[ 1.99865145  1.11710824]
6,"[[  1.44282201   1.36084302  -0.19640878   0.05323926]
 [ 22.59167221  22.60329185   0.           0.        ]]","[-0.27986785  0.79382509  1.65508607  1.54978008 -1.69484583  0.46961163
  0.51521767  3.12627857  0.53354065  0.61027737  0.        ]",-0.133791778902,[-0.66934979 -0.53258693],-2.48846,[-0.02488932 -1.51749563],[-0.81505971 -1.7079969 ]
7,"[[  1.85787354   1.76867825  -0.19640878   0.05323926]
 [ 18.92515022  18.19497576   0.           0.        ]]","[-0.93379979  0.24913968  1.60814984  1.55640978 -1.69484462  0.46961152
  0.35863055  2.44527758  0.19294219 -0.32746592  0.        ]",-0.0712999993572,[-0.66934979 -0.53258693],-2.1714,[-0.63523579 -2.10203266],[-0.8685546  -2.17373092]
8,"[[  2.19816647   2.08922681  -0.19640878   0.05323926]
 [ 15.11635773  13.87434829   0.           0.        ]]","[-1.41753942 -0.15287726  1.39387309  1.25292003 -1.69484342  0.46961142
  0.19596746  1.77782513  0.40523335 -0.98557889  0.        ]",-0.117411143124,[-0.66934979 -0.53258693],-2.3994,[-0.34106395 -1.69289148],[-0.20277884 -0.50895927]
9,"[[  2.48945889   2.3437307   -0.19640878   0.05323926]
 [ 14.01636761  11.58370897   0.           0.        ]]","[-1.74830124 -0.4255128   1.1033626   0.83863792 -1.69484221  0.46961131
  0.14898987  1.42396622  0.77746607 -1.28690788  0.        ]",-0.165231763368,[-0.66934979 -0.53258693],-2.66011,[ 0.46289986 -0.43907565],[ 0.34203921 -0.72735042]
10,"[[  2.78060085   2.54420179  -0.19640878   0.05323926]
 [ 15.09412683   8.47377917   0.           0.        ]]","[-1.97237571 -0.59841991  0.73976852  0.42260747 -1.69484101  0.46961121
  0.19501798  0.94354382  1.13069582 -1.35054607  0.        ]",-0.198074255431,[-0.66934979 -0.53258693],-2.88957,[ 1.23749149  0.98284662],[ 2.10535205  1.05224442]
