timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.00254584 -0.14442161],"[ 1.07458982  1.50991285 -0.01788861  0.4191617   0.45064055 -0.88478237
  0.3699307   0.25541853  0.80845455  0.7234816   0.        ]",[-1.65941852 -2.19196298],-0.445051,-0.181714016693,"[[ -5.24345163e-02  -2.60954131e-02   5.24535463e-02  -1.05243308e-01]
 [ -4.99712926e-03   8.27027537e-05   0.00000000e+00   0.00000000e+00]]",[-0.36999938 -0.9022668 ]
1,[-0.00254584 -0.14442161],"[ 1.07059735  1.50766895 -0.07854075  0.33451546  0.45063821 -0.88477556
  0.03355315 -0.29322267  0.79963888  0.63068246  0.        ]",[-1.22791773 -1.73722865],-0.449511,-0.174520188299,"[[-0.09220855 -0.06580617  0.05245355 -0.10524331]
 [-3.95924814 -3.9579722   0.          0.        ]]",[-0.31093085 -0.85960555]
2,[-0.00254584 -0.14442161],"[ 1.04594823  1.4897405  -0.25691538  0.08463479  0.45063587 -0.88476875
 -0.29617989 -0.83100162  0.74053286  0.36200015  0.        ]",[ 1.53917027 -0.9548183 ],-0.532797,-0.152831172285,"[[-0.21028368 -0.18389202  0.05245355 -0.10524331]
 [-7.83539174 -7.83768238  0.          0.        ]]",[-0.21143439 -0.78956097]
3,[-0.00254584 -0.14442161],"[ 1.0035956   1.42467681 -0.42704401 -0.31080369  0.45063353 -0.88476194
  0.0536246  -1.33374738  0.60226     0.06848652  0.        ]",[-2.01542904 -1.92109588],-0.213631,-0.126241563114,"[[ -0.3257337   -0.37703703   0.05245355  -0.10524331]
 [ -3.72333109 -11.46472156   0.           0.        ]]",[-0.14636753 -0.74416089]
4,[-0.00254584 -0.14442161],"[ 0.94496706  1.26635259 -0.5878384  -0.80597095  0.45063118 -0.88475513
 -0.27659404 -1.85090156  0.35763264 -0.20003691  0.        ]",[ 0.58210502 -1.29390209],-0.274043,-0.0960130159269,"[[ -0.43914574  -0.64376716   0.05245355  -0.10524331]
 [ -7.6051498  -15.19585869   0.           0.        ]]",[-0.03196761 -0.65146172]
5,[-0.00254584 -0.14442161],"[ 0.85986795  0.96600577 -0.75852012 -1.30258503  0.45062884 -0.88474833
 -0.06791372 -2.3580753  -0.01356053 -0.37606014  0.        ]",[-0.55870416 -0.4292801 ],-0.187467,-0.0676358027861,"[[ -0.56663503  -0.98440045   0.05245355  -0.10524331]
 [ -5.15207305 -18.8552593    0.           0.        ]]",[ 0.0416161  -0.58291352]
6,[-0.00254584 -0.14442161],"[ 0.75868517  0.52900854 -0.91202901 -1.61820235  0.4506265  -0.88474152
 -0.24749164 -2.54176082 -0.42605607 -0.35303982  0.        ]",[-0.04267718 -2.50330901],-0.236483,-0.0617967626722,"[[ -0.69085418  -1.3748076    0.05245355  -0.10524331]
 [ -7.26305273 -20.18104401   0.           0.        ]]",[ 0.0543371 -0.5530268]
7,[-0.00254584 -0.14442161],"[  6.19326539e-01  -1.89225443e-03  -1.07262439e+00  -1.59615764e+00
   4.50624164e-01  -8.84734708e-01  -2.49875316e-01  -3.03504193e+00
  -7.92465988e-01  -1.00316075e-01   0.00000000e+00]",[ 0.53928177 -1.9069013 ],-0.238857,-0.0850367951024,"[[ -0.83639446  -1.81414523   0.05245355  -0.10524331]
 [ -7.2910866  -23.74085605   0.           0.        ]]",[ 0.01011218 -0.55573857]
8,[-0.00254584 -0.14442161],"[ 0.48611981 -0.54170706 -1.18974824 -1.08183622  0.45062182 -0.8847279
 -0.05628936 -3.51850177 -0.93622132  0.3383129   0.        ]",[-0.15307523 -0.68974807],-0.357415,-0.110988949016,"[[ -0.95938545  -2.32397458   0.05245355  -0.10524331]
 [ -5.01547496 -27.23043581   0.           0.        ]]",[-0.03499024 -0.56143588]
9,[-0.00254584 -0.14442161],"[ 0.36229583 -0.88861683 -1.27514045 -0.05514703  0.45061948 -0.88472109
 -0.09960287 -3.82203924 -0.77299382  0.77017233  0.        ]",[ 0.96253125  0.20914559],-0.508931,-0.126001367597,"[[ -1.06480638  -2.89057579   0.05245355  -0.10524331]
 [ -5.52463071 -29.42239347   0.           0.        ]]",[-0.05783745 -0.56453353]
