timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.70453066 -0.59014952],"[ 0.99861918  1.1912369  -0.1206365   0.87002127 -0.08956768 -0.27639085
  0.26765592  0.32765755  1.6129885   0.41721289  0.        ]",[ 0.84456852 -3.63657195],-3.18806,-0.22494188705,"[[ 0.09150713 -0.04572508 -0.01074252 -0.0317288 ]
 [ 0.00404083  0.00047948  0.          0.        ]]",[-0.29937923 -3.2248497 ]
1,[-0.70453066 -0.59014952],"[ 0.99322278  1.18810761 -0.06865998  0.76957202 -0.08956765 -0.27639076
  0.42614982 -0.39127236  1.60941844  0.45166189  0.        ]",[ 0.35256652 -3.00507181],-3.19426,-0.225174956581,"[[ 0.12512395 -0.08545645 -0.01074252 -0.0317288 ]
 [ 3.34650784 -3.96041126  0.          0.        ]]",[-0.56914502 -3.13819933]
2,[-0.70453066 -0.59014952],"[ 0.97361861  1.16767306  0.05445988  0.47348413 -0.08956763 -0.27639068
  0.48921726 -1.09582494  1.59625342  0.50009523  0.        ]",[-0.77311888 -1.99034063],-3.198,-0.224813730014,"[[ 0.20539871 -0.20361092 -0.01074252 -0.0317288 ]
 [ 4.67653475 -7.8420934   0.          0.        ]]",[-0.50930303 -2.68585873]
3,[-0.70453066 -0.59014952],"[ 0.95208779  1.0983004   0.14809001  0.00236829 -0.0895676  -0.27639059
  0.33987118 -1.78611773  1.57068753  0.38943909  0.        ]",[ 0.06283035 -1.2470313 ],-3.26321,-0.220625224409,"[[  2.67329665e-01  -3.98610675e-01  -1.07425227e-02  -3.17287969e-02]
 [  1.52699245e+00  -1.16452206e+01   0.00000000e+00   0.00000000e+00]]",[ 0.02622455 -1.62806547]
4,[-0.70453066 -0.59014952],"[ 0.93847966  0.93356641  0.19697646 -0.58549981 -0.08956757 -0.2763905
  0.3502738  -2.46297229  1.49208606  0.10389079  0.        ]",[-0.61534677 -0.56864481],-3.21973,-0.209992780448,"[[  3.00071389e-01  -6.68930476e-01  -1.07425227e-02  -3.17287969e-02]
 [  1.74637447e+00  -1.53743292e+01   0.00000000e+00   0.00000000e+00]]",[-0.12641501 -0.89329946]
5,[-0.70453066 -0.59014952],"[ 0.93394958  0.64429301  0.2120393  -1.14072529 -0.08956755 -0.27639042
  0.23318242 -2.81625603  1.30251829 -0.27077862  0.        ]",[ 0.4188952  -0.61313345],-3.17599,-0.191248969729,"[[  3.10225181e-01  -9.95946016e-01  -1.07425227e-02  -3.17287969e-02]
 [ -7.22951183e-01  -1.73207633e+01   0.00000000e+00   0.00000000e+00]]",[-0.24552315 -0.45693266]
6,[-0.70453066 -0.59014952],"[ 0.93289939  0.23859458  0.21545548 -1.49361542 -0.08956752 -0.27639033
  0.31242074 -3.19473441  0.97666106 -0.60104913  0.        ]",[-1.0412411  -0.18353425],-2.90396,-0.163912486712,"[[  3.12532611e-01  -1.36328364e+00  -1.07425227e-02  -3.17287969e-02]
 [  9.48098648e-01  -1.94060268e+01   0.00000000e+00   0.00000000e+00]]",[-0.82588643 -0.13958362]
7,[-0.70453066 -0.59014952],"[ 0.94215235 -0.22878926  0.18434823 -1.50518482 -0.08956749 -0.27639024
  0.12378575 -3.25676554  0.52616799 -0.8063512   0.        ]",[-1.18884145  1.04872217],-2.6878,-0.128031240769,"[[  2.91583494e-01  -1.75483322e+00  -1.07425227e-02  -3.17287969e-02]
 [ -3.03000119e+00  -1.97478454e+01   0.00000000e+00   0.00000000e+00]]",[-0.4867928   0.31914562]
8,[-0.70453066 -0.59014952],"[ 0.9775859  -0.62181226  0.0337968  -1.19348197 -0.08956747 -0.27639016
 -0.06117371 -2.46702592  0.03045674 -0.85655962  0.        ]",[-0.21970153 -0.34827362],-2.41516,-0.0891600481653,"[[  1.91847210e-01  -2.10613465e+00  -1.07425227e-02  -3.17287969e-02]
 [ -6.93058818e+00  -1.53968217e+01   0.00000000e+00   0.00000000e+00]]",[ 0.13352208  0.34134799]
9,[-0.70453066 -0.59014952],"[ 1.00326494 -0.91473647 -0.19144537 -0.67870845 -0.08956744 -0.27639007
 -0.09598459 -2.66195511 -0.40433377 -0.68744841  0.        ]",[-0.40671867  0.90291297],-2.20538,-0.0504148116794,"[[  4.58696738e-02  -2.42484672e+00  -1.07425227e-02  -3.17287969e-02]
 [ -7.66471075e+00  -1.64708155e+01   0.00000000e+00   0.00000000e+00]]",[ 0.21729778  0.2096675 ]
10,[-0.70453066 -0.59014952],"[ 0.99377706 -1.10273721 -0.4521513  -0.06230257 -0.08956742 -0.27638999
 -0.16519204 -1.95383003 -0.68221844 -0.34847425  0.        ]",[ 0.46888011 -1.27596231],-2.09853,-0.0143367650268,"[[ -1.22069646e-01  -2.71511894e+00  -1.07425227e-02  -3.17287969e-02]
 [ -9.12421810e+00  -1.25694195e+01   0.00000000e+00   0.00000000e+00]]",[ 0.64219338 -0.27679339]
11,[-0.70453066 -0.59014952],"[ 0.94529493 -1.19894945 -0.6987485   0.63764661 -0.08956739 -0.2763899
 -0.06862459 -2.07923034 -0.75846869  0.07935832  0.        ]",[ 0.9441571  -1.28129986],-2.25148,-0.0198383710843,"[[ -2.84123189e-01  -3.00373667e+00  -1.07425227e-02  -3.17287969e-02]
 [ -7.08772154e+00  -1.32603301e+01   0.00000000e+00   0.00000000e+00]]",[ 0.08965883 -1.16349196]
