timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.66351861 -0.54414868],"[ 1.00565953  1.21229369 -0.14756086  0.9853567  -0.35130386  1.11487485
  0.27207065  0.32896977  1.89361825 -1.57316042  0.        ]",[ 3.45547942  0.28117854],-3.84677,-0.275005673108,"[[ 0.06939723  0.00736991 -0.04095005  0.12910362]
 [-0.00455596  0.00056792  0.          0.        ]]",[ 3.5518961   0.41449842]
1,[-0.66351861 -0.54414868],"[ 1.00043752  1.21212067 -0.0863723   1.0140484  -0.35130373  1.11487404
  0.45935383  0.52671027  1.88403774 -1.45502512  0.        ]",[ 2.47645743  0.63782416],-3.77258,-0.270366601234,"[[ 0.10899318  0.01853633 -0.04095005  0.12910362]
 [ 3.95098161  1.11237324  0.          0.        ]]",[ 3.06594539  0.02888992]
2,[-0.66351861 -0.54414868],"[ 0.97127218  1.20974312  0.09390694  1.13560739 -0.35130361  1.11487322
  0.64290748  0.97170218  1.82419647 -1.08947002  0.        ]",[ 2.01463633 -1.10304502],-3.44639,-0.254945255351,"[[ 0.22690951  0.06588703 -0.04095005  0.12910362]
 [ 7.82775082  3.61436135  0.          0.        ]]",[ 2.40774035 -0.58431298]
3,[-0.66351861 -0.54414868],"[ 0.87957499  1.20664901  0.37981809  1.21711523 -0.35130348  1.11487241
  0.82295059  0.25447219  1.65773532 -0.57589279  0.        ]",[ 2.25779845 -0.21215465],-3.19854,-0.230154242449,"[[  0.4216175    0.09771334  -0.04095005   0.12910362]
 [ 11.63037771  -0.41829212   0.           0.        ]]",[ 2.00647664 -0.41900367]
4,[-0.66351861 -0.54414868],"[ 0.66904121  1.20842336  0.73442166  1.17430362 -0.35130335  1.11487159
  0.99937285  0.10626918  1.33611581 -0.01544556  0.        ]",[ 1.34505937 -1.06506927],-2.74667,-0.197077944178,"[[  0.69161071   0.08098695  -0.04095005   0.12910362]
 [ 15.35653405  -1.25156896   0.           0.        ]]",[ 0.67516983 -0.9685061 ]
5,[-0.66351861 -0.54414868],"[ 0.28406699  1.21215998  1.079321    1.00871364 -0.35130322  1.11487078
  1.17236143 -0.59382257  0.81416811  0.49433851  0.        ]",[-0.97956973 -2.07304954],-2.03267,-0.15561936303,"[[  1.03539951e+00   1.64613278e-02  -4.09500517e-02   1.29103622e-01]
 [  1.90101744e+01  -5.18786149e+00   0.00000000e+00   0.00000000e+00]]",[-1.41534662 -0.96393013]
6,[-0.66351861 -0.54414868],"[-0.18026349  1.20289398  1.26617691  0.64354138 -0.35130309  1.11486996
  0.97115721 -1.27948717  0.28488512  0.7532868   0.        ]",[-1.99149537  0.11174137],-1.9436,-0.120423605787,"[[  1.37296599  -0.12597636  -0.04095005   0.12910362]
 [ 14.76063462  -9.04304076   0.           0.        ]]",[-1.8847971  -0.22801463]
7,[-0.66351861 -0.54414868],"[-0.55226701  1.15898683  1.29411326  0.20556693 -0.35130296  1.11486914
  0.77002664 -1.16863767 -0.06179204  0.80566054  0.        ]",[-1.32046513 -0.14363324],-2.00128,-0.0993531067728,"[[  1.6255574   -0.30058382  -0.04095005   0.12910362]
 [ 10.512646    -8.41979053   0.           0.        ]]",[-2.2941041  -0.08316627]
8,[-0.66351861 -0.54414868],"[-0.7989931   1.08172054  1.2579361  -0.20425174 -0.35130283  1.11486833
  0.57288764 -1.23984517 -0.23064207  0.77532493  0.        ]",[-1.81360052  0.49122049],-1.96265,-0.0879825920075,"[[ 1.79403514 -0.47299644 -0.04095005  0.12910362]
 [ 6.34895899 -8.82016311  0.          0.        ]]",[-1.90947914  0.32496712]
9,[-0.66351861 -0.54414868],"[-0.92181506  0.98528519  1.22282908 -0.54363024 -0.3513027   1.11486751
  0.37959455 -0.86258705 -0.24103921  0.72064113  0.        ]",[-0.66562211  0.46648861],-1.97208,-0.0837258123032,"[[ 1.88005411 -0.62811728 -0.04095005  0.12910362]
 [ 2.26649862 -6.69901788  0.          0.        ]]",[-1.23964119  0.22391847]
10,[-0.66351861 -0.54414868],"[-0.94775702  0.89944009  1.21386367 -0.77055711 -0.35130258  1.1148667
  0.25275404 -0.51031892 -0.15718987  0.66652766  0.        ]",[ 0.06524824  1.17633975],-1.95191,-0.0848877123049,"[[ 1.89850557 -0.74222511 -0.04095005  0.12910362]
 [-0.41244489 -4.7183784   0.          0.        ]]",[-0.52299756  0.07082316]
11,[-0.66351861 -0.54414868],"[-0.93991263  0.85501827  1.21663185 -0.86970819 -0.35130245  1.11486588
  0.26529881  0.21051508 -0.0904483   0.63387092  0.        ]",[-1.07922507  0.64363798],-1.76514,-0.0871078549187,"[[ 1.89291481 -0.79592846 -0.04095005  0.12910362]
 [-0.14749003 -0.66546299  0.          0.        ]]",[-0.80841488 -0.73320854]
12,[-0.66351861 -0.54414868],"[-0.87964639  0.86549764  1.23622474 -0.8472624  -0.35130232  1.11486507
  0.07807422  0.66636104 -0.01768374  0.63016772  0.        ]",[ 0.10118215 -2.06954642],-1.78995,-0.0918256065147,"[[ 1.85029033 -0.78352224 -0.04095005  0.12910362]
 [-4.10177926  1.8975482   0.          0.        ]]",[ 0.04204232 -1.00663435]
13,[-0.66351861 -0.54414868],"[-0.76869418  0.8636861   1.26479073 -0.85118071 -0.35130219  1.11486425
  0.10093102 -0.04457593  0.13782944  0.59692245  0.        ]",[ 1.75229651  0.10094624],-1.94111,-0.101558865038,"[[ 1.77309852 -0.78567715 -0.04095005  0.12910362]
 [-3.61903004 -2.09971848  0.          0.        ]]",[ 0.98088861 -0.0716646 ]
14,[-0.66351861 -0.54414868],"[-0.72218698  0.83148221  1.27397761 -0.91814765 -0.35130206  1.11486343
  0.29163727  0.03367945  0.23530904  0.54911016  0.        ]",[ 0.12482525  1.68499515],-1.83867,-0.107138205374,"[[ 1.7411301  -0.82325694 -0.04095005  0.12910362]
 [ 0.40879378 -1.65972513  0.          0.        ]]",[ 0.37009013 -0.2672101 ]
15,[-0.66351861 -0.54414868],"[-0.7411862   0.83744816  1.27041778 -0.90611575 -0.35130193  1.11486262
  0.31457691  0.74373206  0.20374988  0.56258319  0.        ]",[-0.79264849 -0.74717078],-1.71438,-0.105168606113,"[[ 1.75416712 -0.81639546 -0.04095005  0.12910362]
 [ 0.89329387  2.3325687   0.          0.        ]]",[-0.3549214  -1.16850281]
16,[-0.66351861 -0.54414868],"[-0.72112167  0.85165035  1.27416692 -0.87679683 -0.3513018   1.1148618
  0.16530288  0.20951508  0.21524307  0.56784437  0.        ]",[ 0.46834099 -0.14052845],-1.82081,-0.106324852918,"[[ 1.7404005  -0.79988069 -0.04095005  0.12910362]
 [-2.25945326 -0.67108115  0.          0.        ]]",[ 0.77759576 -0.36828116]
17,[-0.66351861 -0.54414868],"[-0.68288495  0.83539722  1.28049027 -0.91026723 -0.35130167  1.11486099
  0.25515889  0.11280564  0.28302427  0.5354644   0.        ]",[ 0.23264226  0.12920314],-1.81098,-0.110499984076,"[[ 1.71425271 -0.81875795 -0.04095005  0.12910362]
 [-0.36164445 -1.21483239  0.          0.        ]]",[ 0.66447663 -0.28076762]
18,[-0.66351861 -0.54414868],"[-0.68592034  0.81881205  1.28002623 -0.94315154 -0.35130155  1.11486017
  0.2990694   0.20802045  0.29582559  0.52052007  0.        ]",[-0.35860625 -0.86650023],-1.74165,-0.110970326304,"[[ 1.71632482 -0.83768329 -0.04095005  0.12910362]
 [ 0.56577093 -0.67948434  0.          0.        ]]",[ 0.44407386 -0.41080412]
19,[-0.66351861 -0.54414868],"[-0.68149303  0.77559924  1.28069798 -1.02325842 -0.35130142  1.11485936
  0.23141169 -0.39972838  0.34273312  0.47527679  0.        ]",[ 1.9233789  -0.03830045],-1.95094,-0.11324282008,"[[ 1.71330327 -0.88555766 -0.04095005  0.12910362]
 [-0.86319346 -4.0965671   0.          0.        ]]",[ 1.40797615  0.49233064]
20,[-0.66351861 -0.54414868],"[-0.71456187  0.69699484  1.27532373 -1.15072745 -0.35130129  1.11485854
  0.41955252 -0.41248731  0.36869976  0.41354937  0.        ]",[ 0.73644169 -0.72325618],-1.8268,-0.113381679128,"[[ 1.7359077  -0.96820896 -0.04095005  0.12910362]
 [ 3.11044127 -4.16830533  0.          0.        ]]",[ 0.67366934  0.42544821]
21,[-0.66351861 -0.54414868],"[-0.84602557  0.58399684  1.24587962 -1.29937258 -0.35130116  1.11485773
  0.55464398 -0.90728359  0.29244922  0.36962203  0.        ]",[ 0.49221137  1.48689325],-1.80399,-0.10524429758,"[[ 1.82674335 -1.07948813 -0.04095005  0.12910362]
 [ 5.96364687 -6.95031043  0.          0.        ]]",[ 0.18719985  0.98353362]
22,[-0.66351861 -0.54414868],"[-1.03896455  0.47879498  1.17779932 -1.40702306 -0.35130103  1.11485691
  0.64122845 -0.17862508  0.12550081  0.35413739  0.        ]",[-1.58276479  0.11219107],-1.6028,-0.0901986430541,"[[ 1.96436403 -1.17738909 -0.04095005  0.12910362]
 [ 7.79236073 -2.85341386  0.          0.        ]]",[-1.24925041  0.00138649]
23,[-0.66351861 -0.54414868],"[-1.19158498  0.42103928  1.10036081 -1.45504244 -0.3513009   1.11485609
  0.44657481 -0.08936203 -0.03390388  0.35058182  0.        ]",[-0.38697984  0.335283  ],-1.67748,-0.0767172856533,"[[ 2.07896283 -1.22942139 -0.04095005  0.12910362]
 [ 3.68118208 -2.35153092  0.          0.        ]]",[-0.90551704  0.08844677]
24,[-0.66351861 -0.54414868],"[-1.2647546   0.38356969  1.05471162 -1.48229404 -0.35130077  1.11485528
  0.37060905  0.15511162 -0.10632202  0.33561199  0.        ]",[-0.41265419 -0.23985134],-1.66382,-0.0702312313946,"[[ 2.13648878 -1.26266053 -0.04095005  0.12910362]
 [ 2.0767504  -0.97697355  0.          0.        ]]",[-0.93233269 -0.10428005]
25,[-0.66351861 -0.54414868],"[-1.29543022  0.35070027  1.03373574 -1.50376916 -0.35130064  1.11485446
  0.29135994 -0.01028963 -0.12425373  0.31516246  0.        ]",[-0.67901726  0.31131153],-1.6651,-0.0678803294633,"[[ 2.16123035 -1.29153064 -0.04095005  0.12910362]
 [ 0.40297259 -1.90694448  0.          0.        ]]",[-0.48373657  0.21486327]
26,[-0.66351861 -0.54414868],"[-1.27193675  0.32157075  1.04989917 -1.52095197 -0.35130052  1.11485365
  0.16374699  0.21577278 -0.06973853  0.28792763  0.        ]",[-0.03229393  0.65202315],-1.72167,-0.0711583847613,"[[ 2.14224761 -1.31691677 -0.04095005  0.12910362]
 [-2.29227342 -0.63590532  0.          0.        ]]",[ 0.22300568  0.19921759]
27,[-0.66351861 -0.54414868],"[ -1.21295885e+00   3.36870845e-01   1.08763434e+00  -1.51213830e+00
  -3.51300387e-01   1.11485283e+00   1.59816394e-01   6.77198651e-01
  -7.20093954e-04   2.86649356e-01   0.00000000e+00]",[-0.31426429 -0.4153996 ],-1.66478,-0.0769205895274,"[[ 2.09556916 -1.30360468 -0.04095005  0.12910362]
 [-2.37528834  1.95846851  0.          0.        ]]",[ 0.17161889 -0.30528766]
28,[-0.66351861 -0.54414868],"[-1.13544658  0.36235288  1.13148869 -1.49640602 -0.35130026  1.11485202
  0.10318057  0.37781788  0.08340055  0.28537967  0.        ]",[ 1.41733938  0.69340064],-1.82107,-0.084128955142,"[[ 2.03606181 -1.28132416 -0.04095005  0.12910362]
 [-3.57146291  0.27519794  0.          0.        ]]",[ 0.93910956  0.14590308]
29,[-0.66351861 -0.54414868],"[-1.0940853   0.39976707  1.15241395 -1.47087198 -0.35130013  1.1148512
  0.29385338  0.86500192  0.11094955  0.30408904  0.        ]",[ 0.29455953 -1.09635754],-1.70499,-0.087167278431,"[[ 2.00503788 -1.24833682 -0.04095005  0.12910362]
 [ 0.45563735  3.01439706  0.          0.        ]]",[-0.24998826 -0.69318461]
30,[-0.66351861 -0.54414868],"[-1.12178554  0.42220739  1.13858174 -1.45413286 -0.3513      1.11485039
  0.34865916  0.15009973  0.05884739  0.33273248  0.        ]",[-0.11260159  0.36224002],-1.6978,-0.0837186904585,"[[ 2.02576436 -1.22837829 -0.04095005  0.12910362]
 [ 1.61316321 -1.00514585  0.          0.        ]]",[-0.25283414 -0.00217932]
