timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.17251317 -0.22187705],"[[ 0.0498265  -0.02262069 -0.01566112  0.15936393]
 [ 0.00320315  0.00175911  0.          0.        ]]",[ 2.39036108  0.61122024],"[ 1.09225146  1.77924687 -0.13716048  0.73808678 -0.11655497  1.38206307
  0.22659761  0.37330822  1.47837083 -1.5473776   0.        ]",-1.71106,-0.271602351267,[ 3.17536473  0.44451869]
1,[-0.17251317 -0.22187705],"[[  8.95709881e-02   1.68116058e-03  -1.56611152e-02   1.59363926e-01]
 [  3.95808056e+00   2.42037060e+00   0.00000000e+00   0.00000000e+00]]",[ 3.31029474  0.42450506],"[ 1.08828813  1.77954961 -0.07713471  0.8151576  -0.11655476  1.38205587
  0.39900922  0.73128913  1.47248762 -1.43865164  0.        ]",-1.64918,-0.265044180447,[ 2.83670139  0.13257307]
2,[-0.17251317 -0.22187705],"[[ 0.20763129  0.06645729 -0.01566112  0.15936393]
 [ 7.83504738  4.05180799  0.          0.        ]]",[ 3.48590386 -0.38838924],"[ 1.06329526  1.77679622  0.09954361  1.02045249 -0.11655454  1.38204867
  0.56802407  0.97275785  1.42676757 -1.12787423  0.        ]",-1.41704,-0.244982938764,[ 2.15780997 -0.34322542]
3,[-0.17251317 -0.22187705],"[[  0.40247451   0.13124359  -0.01566112   0.15936393]
 [ 11.63661889   2.43221536   0.           0.        ]]",[ 1.62759846  1.34619614],"[ 0.97971461  1.76884288  0.38048393  1.22489409 -0.11655433  1.38204146
  0.73375159  0.73303687  1.282413   -0.68530091  0.        ]",-1.19566,-0.212322990722,[ 1.30685616 -0.68676347]
4,[-0.17251317 -0.22187705],"[[  0.6725739    0.21911703  -0.01566112   0.15936393]
 [ 15.36096093   6.34208023   0.           0.        ]]",[-0.32196467 -1.12166891],"[ 0.78249131  1.74981349  0.73069434  1.49924379 -0.11655412  1.38203426
  0.89611156  1.31173744  0.94859105 -0.16341683  0.        ]",-0.509135,-0.163380857082,[-0.16336626 -1.55998504]
5,[-0.17251317 -0.22187705],"[[  0.96398305   0.30497465  -0.01566112   0.15936393]
 [ 13.78516618   2.25728842   0.           0.        ]]",[-0.55443827 -1.11151856],"[ 0.47928112  1.72218314  1.03118553  1.76217177 -0.11655391  1.38202706
  0.82741219  0.70713807  0.46056711  0.22514044  0.        ]",-0.152911,-0.108991725703,[-0.74825776 -1.49903846]
6,[-0.17251317 -0.22187705],"[[  1.21495976   0.3099513   -0.01566112   0.15936393]
 [ 11.32068254  -1.74627013   0.           0.        ]]",[-0.31357848 -1.32795491],"[ 0.16189585  1.72030019  1.20663997  1.77720288 -0.1165537   1.38201985
  0.71997086  0.11456334  0.03821635  0.38779991  0.        ]",-0.143883,-0.0710164917887,[-0.93913651 -1.17871714]
7,[-0.17251317 -0.22187705],"[[ 1.4266947   0.23564905 -0.01566112  0.15936393]
 [ 9.85767738 -5.67086461  0.          0.        ]]",[-1.96779298 -0.37747015],"[-0.13101915  1.74514729  1.28578941  1.55029482 -0.11655349  1.38201265
  0.65618929 -0.46632356 -0.26325549  0.4360925   0.        ]",-0.163683,-0.0530388135253,[-1.05371881 -0.73423696]
8,[-0.17251317 -0.22187705],"[[ 1.58220588  0.10837753 -0.01566112  0.15936393]
 [ 5.70727736 -7.051673    0.          0.        ]]",[-1.96030202 -0.09740855],"[-0.35275697  1.77217402  1.30137744  1.15284753 -0.11655327  1.38200545
  0.47525087 -0.67069861 -0.42079011  0.44303666  0.        ]",-0.210935,-0.0498598393801,[-0.93461108 -0.40766877]
9,[-0.17251317 -0.22187705],"[[ 1.65552917 -0.03510922 -0.01566112  0.15936393]
 [ 1.63860167 -7.2961893   0.          0.        ]]",[-2.30575077  0.36117526],"[-0.45749708  1.77868267  1.29603777  0.6984432  -0.11655306  1.38199825
  0.29787545 -0.7068882  -0.41767854  0.4460096   0.        ]",-0.196214,-0.0501717626918,[-0.72088969 -0.18342662]
