timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.46169162 -0.40526131],"[ 1.01369614  1.28709925 -0.36775364  1.03448855 -1.40329645 -0.27386511
  0.27946291  0.33431838  2.96102519  0.07903458  0.        ]",[-0.95999771 -1.65467433],-3.29452,-0.372362319302,"[[-0.09214532  0.04424968 -0.1625433  -0.03105006]
 [ 0.00297963  0.00494805  0.          0.        ]]",[-0.49136201 -1.88484442]
1,[-0.46169162 -0.40526131],"[ 1.00752043  1.28822835 -0.42607093  0.92838648 -1.40329459 -0.27386498
  0.09640929 -0.33100383  2.94982451 -0.05960519  0.        ]",[ 0.26132991 -2.10812087],-3.27762,-0.370857174012,"[[-0.13017367  0.00463464 -0.1625433  -0.03105006]
 [-3.79317937 -3.9532658   0.          0.        ]]",[-0.1295422  -1.41411078]
2,[-0.46169162 -0.40526131],"[ 0.99219068  1.28074129 -0.5246147   0.61284835 -1.40329274 -0.27386485
  0.14994881 -0.98347292  2.89807583 -0.35304846  0.        ]",[-0.38462304 -0.35504927],-3.32002,-0.366107949306,"[[-0.19489713 -0.11337756 -0.1625433  -0.03105006]
 [-2.68287767 -7.83501494  0.          0.        ]]",[-0.30247489 -1.45481312]
3,[-0.46169162 -0.40526131],"[ 0.96946075  1.24190626 -0.62736839  0.16878659 -1.40329088 -0.27386472
  0.07915571 -1.1936064   2.7789827  -0.69616955  0.        ]",[-0.52592784 -1.84722196],-3.11582,-0.356931132435,"[[-0.2632843  -0.2826211  -0.1625433  -0.03105006]
 [-4.15098062 -9.08517281  0.          0.        ]]",[-0.55873489 -1.76400924]
4,[-0.46169162 -0.40526131],"[ 0.9227679   1.14401335 -0.77852093 -0.37381213 -1.40328902 -0.27386459
 -0.01716352 -1.82879056  2.52691096 -1.11002376  0.        ]",[-0.97455357 -2.09946649],-2.94538,-0.338789261936,"[[ -0.36634395  -0.50223983  -0.1625433   -0.03105006]
 [ -6.14844311 -12.86410503   0.           0.        ]]",[-0.80700386 -2.24030519]
5,[-0.46169162 -0.40526131],"[ 0.82145677  0.93680806 -1.00156947 -0.99982402 -1.40328716 -0.27386445
 -0.1972134  -2.45128161  2.03495798 -1.5292093   0.        ]",[-1.77008317 -3.33597098],-2.60467,-0.303277703553,"[[ -0.52677303  -0.7966799   -0.1625433   -0.03105006]
 [ -9.88230712 -16.5675504    0.           0.        ]]",[-0.77758372 -2.58573866]
6,[-0.46169162 -0.40526131],"[ 0.61491962  0.58197532 -1.29128605 -1.54514458 -1.4032853  -0.27386432
 -0.37866145 -3.06141615  1.27001263 -1.70118876  0.        ]",[ 0.07107801 -1.51670553],-2.41272,-0.241967220069,"[[ -0.76216851  -1.16445197  -0.1625433   -0.03105006]
 [-13.64516651 -20.19752965   0.           0.        ]]",[-0.05868244 -2.30052423]
7,[-0.46169162 -0.40526131],"[ 0.31021156  0.08147167 -1.54835471 -1.76182376 -1.40328344 -0.27386419
 -0.35226087 -3.659622    0.51226422 -1.32918908  0.        ]",[-0.2567631  -2.10904401],-1.63996,-0.160030384744,"[[ -1.02957605  -1.60411207  -0.1625433   -0.03105006]
 [-13.09767721 -23.75660996   0.           0.        ]]",[ 0.62359548 -1.70172644]
8,[-0.46169162 -0.40526131],"[-0.05119154 -0.48351824 -1.7123209  -1.37730643 -1.40328158 -0.27386406
 -0.38901395 -4.24593568  0.1793729  -0.51176943  0.        ]",[-0.71854259 -2.17304992],-0.832068,-0.0907503223444,"[[ -1.2991752   -2.11424458  -0.1625433   -0.03105006]
 [-13.85986324 -27.24503343   0.           0.        ]]",[-0.52007556 -2.2252841 ]
9,[-0.46169162 -0.40526131],"[-0.48990586 -0.9321693  -1.76813214 -0.24493058 -1.40327972 -0.27386393
 -0.51318715 -4.82064441  0.48266062  0.24953686  0.        ]",[-1.65583537 -3.30677304],-0.632152,-0.119165902837,"[[ -1.60221119  -2.69345354  -0.1625433   -0.03105006]
 [-16.43496048 -30.66453615   0.           0.        ]]",[-1.65186501 -3.34754896]
