timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.65969926 -0.53654569],"[ 1.00876041  1.21534775 -0.2909267   0.89753326  0.21395744 -0.79966095
  0.27358901  0.32963043  1.21304649  0.88676024  0.        ]",[-1.63608717 -3.91313505],-2.45594,-0.20357598547,"[[-0.0247553  -0.02555596  0.02451529 -0.09227803]
 [ 0.00273862  0.00383255  0.          0.        ]]",[-1.87045264 -3.7638011 ]
1,[-0.65969926 -0.53654569],"[ 1.00614714  1.21321239 -0.35230478  0.79543564  0.21395736 -0.79966052
  0.08653669 -0.37148129  1.20313178  0.73065458  0.        ]",[-0.93948472 -4.38995466],-2.36278,-0.197785461635,"[[-0.06437616 -0.06519246  0.02451529 -0.09227803]
 [-3.95166526 -3.95429654  0.          0.        ]]",[-1.05378675 -2.6635108 ]
2,[-0.65969926 -0.53654569],"[ 0.98532477  1.19586438 -0.53002206  0.49363676  0.21395729 -0.79966008
 -0.08549698 -1.05873153  1.12397005  0.28189747  0.        ]",[ 1.01030215 -0.91001723],-2.46787,-0.180195614384,"[[-0.17989924 -0.18320646  0.02451529 -0.09227803]
 [-7.58856537 -7.83417292  0.          0.        ]]",[ 0.2771233  -1.28126526]
3,[-0.65969926 -0.53654569],"[ 0.94720884  1.13344434 -0.69667604  0.02012781  0.21395722 -0.79965964
  0.10877928 -1.66978525  0.92914873 -0.20688728  0.        ]",[ 0.70009115  1.27113234],-2.39155,-0.15791529075,"[[ -0.29046231  -0.37450214   0.02451529  -0.09227803]
 [ -3.48144414 -11.28388956   0.           0.        ]]",[ 0.90140212 -0.27455014]
4,[-0.65969926 -0.53654569],"[ 0.92855959  1.0355063  -0.7574503  -0.40243445  0.21395714 -0.79965921
  0.24296236 -0.92902504  0.73706183 -0.47273035  0.        ]",[ 1.09628773 -0.22012562],-2.25504,-0.141641657034,"[[-0.33163028 -0.55822103  0.02451529 -0.09227803]
 [-0.64472995 -7.10192742  0.          0.        ]]",[ 0.52604306 -0.76525187]
5,[-0.65969926 -0.53654569],"[ 0.94102766  0.93069586 -0.71778691 -0.71274955  0.21395707 -0.79965877
  0.43071124 -1.05875007  0.63247226 -0.53773038  0.        ]",[ 0.22951509 -0.73009751],-2.11537,-0.132836617334,"[[-0.30470183 -0.70760788  0.02451529 -0.09227803]
 [ 3.32439864 -7.83429487  0.          0.        ]]",[-0.07617059 -0.61208057]
6,[-0.65969926 -0.53654569],"[ 0.9703141   0.77414031 -0.60571107 -1.04320747  0.21395699 -0.79965833
  0.47059264 -1.54338348  0.54425467 -0.52002309  0.        ]",[-0.86272562  1.32000972],-2.04815,-0.12420748709,"[[ -0.22975441  -0.89174516   0.02451529  -0.09227803]
 [  4.1675194  -10.57030501   0.           0.        ]]",[-0.39231977  0.05004141]
7,[-0.65969926 -0.53654569],"[ 0.98489778  0.60753524 -0.53245163 -1.28773478  0.21395692 -0.79965789
  0.30516363 -0.80476041  0.42683042 -0.52407528  0.        ]",[ 0.81928529  0.60740678],-2.08216,-0.113296177256,"[[-0.18149296 -1.06131298  0.02451529 -0.09227803]
 [ 0.67025412 -6.40040541  0.          0.        ]]",[-0.02826491 -0.09002754]
8,[-0.65969926 -0.53654569],"[ 0.99560073  0.49831963 -0.46233806 -1.40472156  0.21395684 -0.79965746
  0.45784746 -0.35644623  0.37253547 -0.49104156  0.        ]",[-0.04767418  0.04218249],-1.99578,-0.107532332067,"[[-0.13570271 -1.16392738  0.02451529 -0.09227803]
 [ 3.89808399 -3.86944541  0.          0.        ]]",[-0.68072581 -0.65569484]
9,[-0.65969926 -0.53654569],"[ 1.00650838  0.41536463 -0.34615988 -1.4744784   0.21395677 -0.79965702
  0.44527563 -0.31326914  0.38056924 -0.39831665  0.        ]",[ 0.35581253 -0.46715019],-1.96681,-0.106644508538,"[[-0.06040759 -1.23887058  0.02451529 -0.09227803]
 [ 3.63231196 -3.62568958  0.          0.        ]]",[-0.80005991 -0.66581941]
