timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.48963523 -0.43129176],"[ 1.01877648  1.27386459 -0.24665713  0.93799295 -0.96972368 -0.41382173
  0.27823011  0.33270725  2.50465567  0.40828671  0.        ]",[ 0.073526   -2.89243881],-2.88278,-0.325356673031,"[[-0.00941808  0.00548028 -0.11213577 -0.0470796 ]
 [-0.00310301  0.00060755  0.          0.        ]]",[-1.16681433 -2.66984248]
1,[-0.48963523 -0.43129176],"[ 1.01880922  1.27319525 -0.24222193  0.8322383  -0.96972288 -0.41382152
  0.29229745 -0.33847769  2.50378727  0.36520395  0.        ]",[-0.64797677 -1.44207138],-2.96213,-0.324761932241,"[[-0.00654579 -0.03423667 -0.11213577 -0.0470796 ]
 [ 0.28935215 -3.95910523  0.          0.        ]]",[-0.8352623  -2.16822028]
2,[-0.48963523 -0.43129176],"[ 1.01832394  1.26033048 -0.27305986  0.51923469 -0.96972208 -0.41382132
  0.16879395 -0.99618637  2.48723918  0.16964018  0.        ]",[-0.87520676 -1.58906299],-2.86806,-0.321309400044,"[[-0.02651973 -0.15235016 -0.11213577 -0.0470796 ]
 [-2.27821532 -7.83931623  0.          0.        ]]",[-0.38834304 -1.56816423]
3,[-0.48963523 -0.43129176],"[ 1.01054981  1.2040417  -0.39603505  0.01698429 -0.96972128 -0.41382111
  0.00448245 -1.64081655  2.39068613 -0.24940655  0.        ]",[-1.16146977 -1.80666327],-2.74061,-0.310668062874,"[[ -0.10635642  -0.34729384  -0.11213577  -0.0470796 ]
 [ -5.69415837 -11.64237981   0.           0.        ]]",[-0.51476306 -1.68463266]
4,[-0.48963523 -0.43129176],"[ 0.96998715  1.05783252 -0.62728576 -0.61864972 -0.96972047 -0.4138209
 -0.18036567 -2.2726471   2.08601788 -0.83667798  0.        ]",[-0.89593122 -3.02329969],-2.49413,-0.286232060187,"[[ -0.25879431  -0.61754148  -0.11213577  -0.0470796 ]
 [ -9.53704635 -15.36995363   0.           0.        ]]",[-0.70634508 -2.08561349]
5,[-0.48963523 -0.43129176],"[ 0.85088053  0.77347376 -0.94956673 -1.26066933 -0.96971967 -0.4138207
 -0.34183795 -2.89196833  1.45511281 -1.35736503  0.        ]",[ 0.36038508 -0.84813606],-2.35801,-0.240394757775,"[[ -0.48321237  -0.96160074  -0.11213577  -0.0470796 ]
 [-12.89396423 -19.02376701   0.           0.        ]]",[ 0.02674806 -1.74192083]
6,[-0.48963523 -0.43129176],"[ 0.65062335  0.33516355 -1.25522854 -1.68728806 -0.96971887 -0.41382049
 -0.26111124 -3.39732154  0.6490763  -1.42411471  0.        ]",[-0.22288572 -1.2510154 ],-1.90322,-0.174529427299,"[[ -0.7242513   -1.37199056  -0.11213577  -0.0470796 ]
 [-11.21570598 -22.00526348   0.           0.        ]]",[ 0.75435174 -0.99212754]
7,[-0.48963523 -0.43129176],"[ 0.39893129 -0.21535164 -1.49282666 -1.6384777  -0.96971807 -0.41382028
 -0.29306825 -3.99448949  0.00813308 -0.92948187  0.        ]",[ 1.26920771 -0.51534768],-1.23838,-0.0971319367153,"[[ -0.95522853  -1.8474457   -0.11213577  -0.0470796 ]
 [-11.88007605 -25.52851064   0.           0.        ]]",[ 0.29906854 -0.76802564]
8,[-0.48963523 -0.43129176],"[ 0.15003596 -0.73710657 -1.6420596  -0.9270132  -0.96971726 -0.41382008
 -0.09155943 -4.25464628 -0.14079768 -0.15117409  0.        ]",[-0.41280911 -1.69339513],-0.775705,-0.0509626416373,"[[ -1.15080216  -2.37341753  -0.11213577  -0.0470796 ]
 [ -7.69083074 -27.06355666   0.           0.        ]]",[-1.27376008 -1.7722348 ]
9,[-0.48963523 -0.43129176],"[-0.0833775  -1.04397272 -1.72776354  0.41376726 -0.96971646 -0.41381987
 -0.16297681 -4.83490697  0.23855718  0.45245108  0.        ]",[-2.14913608 -3.11173991],-0.750257,-0.102537677682,"[[ -1.31951861  -2.94903918  -0.11213577  -0.0470796 ]
 [ -9.17555568 -30.48723001   0.           0.        ]]",[-1.91797078 -3.29377794]
10,[-0.48963523 -0.43129176],"[-0.40430485 -1.0613351  -1.77556453  1.15033956 -0.96971566 -0.41381966
 -0.3446307   0.17822577  0.56068925  0.535971    0.        ]",[ 0.17065889 -2.99518818],-1.06793,-0.135320166136,"[[ -1.54092002  -3.22691082  -0.11213577  -0.0470796 ]
 [-12.95202996  -0.91085765   0.           0.        ]]",[-0.20888627 -2.33064842]
11,[-0.48963523 -0.43129176],"[-0.76798731 -1.06495657 -1.73909698  1.01095544 -0.96971486 -0.41381946
 -0.29978538  1.0246852   0.51580153  0.52500449  0.        ]",[-1.4291044  -2.83481209],-0.902242,-0.130745243214,"[[ -1.79060556  -3.1744754   -0.11213577  -0.0470796 ]
 [-12.01972692   4.08306856   0.           0.        ]]",[ 0.22374731 -2.12145042]
12,[-0.48963523 -0.43129176],"[-1.14825756 -1.06454408 -1.58903349  0.81091538 -0.96971405 -0.41381925
 -0.47879003  0.86312439  0.4635241   0.54874124  0.        ]",[-0.45579745 -1.53321617],-1.12531,-0.126854106092,"[[ -2.068338    -3.09934283  -0.11213577  -0.0470796 ]
 [-15.74112411   3.12989973   0.           0.        ]]",[ -1.33830309e-03  -2.14529300e+00]
13,[-0.48963523 -0.43129176],"[-1.52800848 -1.06080291 -1.27722945  0.68278527 -0.96971325 -0.41381904
 -0.55060826  0.62953507  0.45964214  0.5818493   0.        ]",[-1.08876016 -2.38033224],-1.01274,-0.127851235463,"[[ -2.39814089  -3.05111982  -0.11213577  -0.0470796 ]
 [-17.23418503   1.75177746   0.           0.        ]]",[-0.24486333 -2.08884621]
