timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.68425226 -0.57639074],"[[ 0.05535799 -0.01626288  0.13737944  0.05569545]
 [-0.00296971 -0.00254623  0.          0.        ]]",[ 1.70427362  0.29707473],"[ 1.00048681  1.20076814 -0.16703107  0.94243119  1.19376766  0.48348608
  0.2698308   0.3280626   0.03117551 -0.74539484  0.        ]",-2.21654,-0.0856899698517,[ 1.81628823 -0.61984503]
1,[-0.68425226 -0.57639074],"[[ 0.09498509 -0.0045266   0.13737944  0.05569545]
 [ 3.95251176  1.17226366  0.          0.        ]]",[-0.29855106 -2.16066957],"[ 0.99604952  1.20091333 -0.10579241  0.97235927  1.19376678  0.4834859
  0.4570815   0.53973033  0.02417644 -0.62320088  0.        ]",-2.01154,-0.0803737347024,[ 0.35500166 -1.31105757]
2,[-0.68425226 -0.57639074],"[[ 0.16141684 -0.02103711  0.13737944  0.05569545]
 [ 2.69484511 -2.81004405  0.          0.        ]]",[ 1.13097367 -1.20364062],"[ 0.98338855  1.20065974 -0.00369683  0.93025672  1.1937659   0.48348572
  0.39754392 -0.17777045  0.00852604 -0.46959644  0.        ]",-1.91608,-0.0742999003298,[ 0.68022245 -0.54800254]
3,[-0.68425226 -0.57639074],"[[ 0.25448472 -0.11642284  0.13737944  0.05569545]
 [ 6.59894338 -6.71550307  0.          0.        ]]",[-0.63064361  0.09307568],"[ 0.95475155  1.19281758  0.13738603  0.68766517  1.19376502  0.48348554
  0.58236218 -0.88142502 -0.01137117 -0.35682069  0.        ]",-1.78821,-0.0700633527976,[-0.46049136 -0.08101153]
4,[-0.68425226 -0.57639074],"[[ 0.36012157 -0.24569084  0.13737944  0.05569545]
 [ 3.97347816 -6.21297918  0.          0.        ]]",[ 0.47289427  0.32185099],"[ 0.90713279  1.16496245  0.29336494  0.36361356  1.19376414  0.48348536
  0.45807349 -0.7908838  -0.04164715 -0.26134501  0.        ]",-1.82464,-0.0659602205854,[ 0.03203511  0.27974403]
5,[-0.68425226 -0.57639074],"[[ 0.45756723 -0.35593642  0.13737944  0.05569545]
 [ 5.7651359  -4.81622315  0.          0.        ]]",[-0.37896158 -0.13982502],"[ 0.84939835  1.12586561  0.43188884  0.09522048  1.19376325  0.48348518
  0.54288969 -0.53922697 -0.08091968 -0.16529595  0.        ]",-1.79815,-0.0617674870916,[-0.86593741  0.02245665]
6,[-0.68425226 -0.57639074],"[[ 0.5566863  -0.45685265  0.13737944  0.05569545]
 [ 4.15213272 -5.27388238  0.          0.        ]]",[-1.00628923  0.41562741],"[ 0.77765676  1.07811554  0.56611952 -0.14107952  1.19376237  0.48348499
  0.46653052 -0.6216842  -0.1315248  -0.05734149  0.        ]",-1.78435,-0.0575473770359,[-0.59422785  0.36451656]
7,[-0.68425226 -0.57639074],"[[ 0.5992061  -0.54475581  0.13737944  0.05569545]
 [ 0.1132787  -3.52228808  0.          0.        ]]",[ 0.05165681  0.54026075],"[ 0.7430271   1.02759198  0.62131157 -0.337662    1.19376149  0.48348481
  0.27533248 -0.30609536 -0.15199257 -0.07537895  0.        ]",-1.84071,-0.0554402908501,[ 0.44148177  0.58090746]
8,[-0.68425226 -0.57639074],"[[ 0.60349158 -0.59303924  0.13737944  0.05569545]
 [ 0.31460826 -1.31341544  0.          0.        ]]",[ 0.25015087  0.43884824],"[ 0.73941201  0.99644772  0.62678801 -0.44139245  1.19376061  0.48348463
  0.28486326  0.09188235 -0.15288331 -0.13258365  0.        ]",-1.86597,-0.0549947533155,[ 0.3792384   0.29229277]
9,[-0.68425226 -0.57639074],"[[ 0.61964446 -0.60161561  0.13737944  0.05569545]
 [ 1.29740955  0.44990326  0.          0.        ]]",[-0.39439617 -0.31466301],"[ 0.72558485  0.99067097  0.64728455 -0.45947686  1.19375973  0.48348445
  0.33138865  0.40958354 -0.16279822 -0.10510482  0.        ]",-1.84986,-0.0541871872114,[-0.05023748 -0.10594133]
