timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.66982102 -0.54262447],"[[-0.05496176  0.08085428  0.08365594 -0.13359299]
 [ 0.00125486  0.00150954  0.          0.        ]]",[-2.45326034 -3.98997283],"[ 0.99422934  1.13629998 -0.43637083  1.1861714   0.73539219 -1.15673017
  0.25863157  0.32618685  0.59273963  1.56597933  0.        ]",-2.56133,-0.181831284778,[-2.32761574 -3.3977704 ]
1,[-0.66982102 -0.54262447],"[[-0.09461201  0.04117175  0.08365594 -0.13359299]
 [-3.95311635 -3.9565773   0.          0.        ]]",[-0.63377933 -1.79924664],"[ 0.98977171  1.13918594 -0.4992027   1.08426573  0.73539176 -1.15672915
  0.08584868 -0.40496027  0.58790725  1.38535532  0.        ]",-2.58331,-0.172625860969,[-1.02702892 -2.03339744]
2,[-0.66982102 -0.54262447],"[[-0.19802972 -0.07689223  0.08365594 -0.13359299]
 [-6.38058733 -7.83688898  0.          0.        ]]",[ 0.56965833 -1.00475698],"[ 0.9670958   1.13667051 -0.66172556  0.7807166   0.73539133 -1.15672813
 -0.02021762 -1.12174002  0.52425675  0.89766907  0.        ]",-2.24544,-0.146726533944,[ 0.39525884 -0.52927375]
3,[-0.66982102 -0.54262447],"[[ -0.30175145  -0.2718102    0.08365594  -0.13359299]
 [ -3.99955314 -11.64221939   0.           0.        ]]",[ 1.12442614  0.48199759],"[ 0.92852155  1.09638854 -0.8213687   0.28758578  0.73539091 -1.15672711
  0.08381967 -1.82466695  0.3380018   0.32927375  0.        ]",-1.97517,-0.113201933716,[ 1.28449202  0.94982111]
4,[-0.66982102 -0.54262447],"[[-0.34126785 -0.48320838  0.08365594 -0.13359299]
 [ 0.03452795 -9.50470903  0.          0.        ]]",[ 0.8912024   1.31768993],"[ 0.90973513  1.00358323 -0.880946   -0.21709207  0.73539048 -1.15672609
  0.26008548 -1.42981954  0.11773979 -0.02456477  0.        ]",-1.90501,-0.0874285933366,[ 1.01217687  1.02165163]
5,[-0.66982102 -0.54262447],"[[-0.30522562 -0.63169933  0.08365594 -0.13359299]
 [ 3.55803413 -5.35818515  0.          0.        ]]",[-0.19122227 -0.03948151],"[ 0.92695821  0.90993574 -0.82663643 -0.5410129   0.73539005 -1.15672508
  0.41404211 -0.66386415  0.02029802 -0.08803581  0.        ]",-1.79692,-0.0783003888364,[-0.03594461  0.3156518 ]
6,[-0.66982102 -0.54262447],"[[-0.24236118 -0.73936407  0.08365594 -0.13359299]
 [ 2.73115533 -5.40812738  0.          0.        ]]",[ 0.75221803  0.39624758],"[ 0.95252639  0.82864471 -0.73046855 -0.75534293  0.73538963 -1.15672406
  0.37791212 -0.67308922 -0.00678151 -0.04204568  0.        ]",-1.85466,-0.0767107869555,[-0.04655552  0.5115875 ]
7,[-0.66982102 -0.54262447],"[[-0.15842569 -0.83071945  0.08365594 -0.13359299]
 [ 5.65269938 -3.73297024  0.          0.        ]]",[-0.33241352 -0.19808326],"[ 0.97765527  0.75161999 -0.59978522 -0.92155179  0.7353892  -1.15672304
  0.50556651 -0.36365022  0.00468888  0.06869645  0.        ]",-1.79148,-0.0798428588568,[-1.08208048  0.01910216]
8,[-0.66982102 -0.54262447],"[[-0.05968624 -0.91250139  0.08365594 -0.13359299]
 [ 4.22598319 -4.44286873  0.          0.        ]]",[-1.29228771  0.41546109],"[ 0.99381661  0.67695409 -0.44386323 -1.05693949  0.73538877 -1.15672202
  0.44322702 -0.4947841   0.03519788  0.22339001  0.        ]",-1.79453,-0.086363127093,[-1.07460082  0.17347857]
9,[-0.66982102 -0.54262447],"[[-0.01570788 -0.98395838  0.08365594 -0.13359299]
 [ 0.1852829  -2.70863306  0.          0.        ]]",[-0.63619014 -0.27692768],"[ 0.99630932  0.60770238 -0.37402765 -1.16412611  0.73538835 -1.156721
  0.26667151 -0.17443187  0.0078538   0.26225641  0.        ]",-1.81708,-0.0854635819722,[-0.46088457  0.0621379 ]
10,[-0.66982102 -0.54262447],"[[-0.03729227 -1.04858741  0.08365594 -0.13359299]
 [-2.33535662 -3.75080087  0.          0.        ]]",[ 0.43332987  0.83530609],"[ 0.99544813  0.54215358 -0.40831683 -1.25166659  0.73538792 -1.15671998
  0.15653393 -0.36694351 -0.08791666  0.1634113   0.        ]",-1.87257,-0.074983206905,[ 0.25375584  0.71328068]
11,[-0.66982102 -0.54262447],"[[-0.06634293 -1.08967823  0.08365594 -0.13359299]
 [-0.57553777 -0.36954913  0.          0.        ]]",[-1.40889044  0.07089394],"[ 0.99318369  0.4991679  -0.45442056 -1.30250322  0.73538749 -1.15671897
  0.23342787  0.25764973 -0.17038596  0.07419936  0.        ]",-1.7381,-0.0659191528944,[-0.00135684  0.08578601]
12,[-0.66982102 -0.54262447],"[[-0.11744005 -1.0941684   0.08365594 -0.13359299]
 [-4.52103577 -0.08042286  0.          0.        ]]",[ 1.634212    0.52193884],"[ 0.98612941  0.49441264 -0.53527287 -1.30782528  0.73538707 -1.15671795
  0.06103205  0.31105775 -0.24154128 -0.03115085  0.        ]",-1.90782,-0.0575168457843,[ 1.01265204  0.41538474]
13,[-0.66982102 -0.54262447],"[[-0.16726911 -1.075036    0.08365594 -0.13359299]
 [-0.47534938  1.98676124  0.          0.        ]]",[ 0.81848432  0.10788015],"[ 0.97549373  0.51459549 -0.61365219 -1.28482239  0.73538664 -1.15671693
  0.23780548  0.69291309 -0.28672591 -0.11774336  0.        ]",-1.83956,-0.0520377668611,[ 0.28485733 -0.17649812]
