timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
0,[-0.32634836 -0.35998413],-0.290582781682,-3.46532,"[ 1.25892389  1.83290928  0.20966439 -0.86551804 -0.50942683  1.0129057
  1.63154904 -0.34029007  1.70023814 -0.73341799  0.        ]",[-3.08631849  2.21084976],[-3.50049693  1.52419492],"[[ 0.07443093 -0.09304758 -0.05969749  0.11429744]
 [-0.00148817 -0.00338626  0.          0.        ]]"
1,[-0.32634836 -0.35998413],-0.292294469403,-3.42447,"[ 1.26191221  1.83662072  0.15139953 -0.76234087 -0.509426    1.01290304
  1.52167489  0.24535859  1.70174032 -0.76353775  0.        ]",[-3.09494209  1.9195435 ],[-3.13895463  1.62875811],"[[ 0.03469549 -0.05337137 -0.05969749  0.11429744]
 [-3.95887278  3.95780177  0.          0.        ]]"
2,[-0.32634836 -0.35998413],-0.296789398302,-3.26991,"[ 1.25793875  1.83574964 -0.021886   -0.45453341 -0.50942517  1.01290039
  1.4139759   0.8194072   1.69972783 -0.85299773  0.        ]",[-3.06758547  1.64364266],[-2.9306717   1.62955486],"[[-0.08340194  0.06474148 -0.05969749  0.11429744]
 [-7.83795349  7.84053491  0.          0.        ]]"
3,[-0.32634836 -0.35998413],-0.302238474162,-3.11827,"[ 1.20959367  1.79540696 -0.30301561  0.04646464 -0.50942434  1.01289773
  1.30840669  1.38207155  1.67529817 -0.99808309  0.        ]",[-3.00776386  1.3610425 ],[-1.40298327  2.49286447],"[[ -0.27831144   0.25973688  -0.05969749   0.11429744]
 [-11.64035734  11.64628932   0.           0.        ]]"
4,[-0.32634836 -0.35998413],-0.305631163568,-2.94025,"[ 1.06013173  1.66240484 -0.66530316  0.69519209 -0.50942351  1.01289507
  1.20491908  1.93354149  1.5997804  -1.18502291  0.        ]",[-2.90302753  1.03966427],[-2.31413631  0.23601862],"[[ -0.54851656   0.53008865  -0.05969749   0.11429744]
 [-15.36781398  15.37637693   0.           0.        ]]"
5,[-0.32634836 -0.35998413],-0.304921409778,-1.02936,"[ 0.74821894  1.40814631 -1.04307968  1.32534084 -0.50942268  1.01289242
  1.10349091  2.02674926  1.44140761 -1.40520964  0.        ]",[-2.73437071  0.90675282],[-3.58318393  1.78889639],"[[ -0.89252598   0.84394389  -0.05969749   0.11429744]
 [-19.02111559  16.00690432   0.           0.        ]]"
6,[-0.32634836 -0.35998413],-0.296027295,-1.29187,"[ 0.2392617   1.01985822 -1.31805695  1.80772717 -0.50942185  1.01288976
  1.00401521  2.56519315  1.18066387 -1.5968276   0.        ]",[-2.60366201  0.5321666 ],[-1.71236906  0.30663352],"[[ -1.30889572   1.2006263   -0.05969749   0.11429744]
 [-22.60411134  19.6490045    0.           0.        ]]"
7,[-0.32634836 -0.35998413],-0.274589188123,-0.221483,"[-0.42700349  0.51602153 -1.3309759   1.98307897 -0.50942102  1.01288711
  0.90649264  2.68689017  0.83407445 -1.67444808  0.        ]",[-2.45785189  0.25928104],[-2.40411007  0.18939496],"[[ -1.79621934   1.60186921  -0.05969749   0.11429744]
 [-26.11677238  20.47233877   0.           0.        ]]"
8,[-0.32634836 -0.35998413],-0.240440658728,-0.368514,"[-1.09184201  0.00500242 -0.94118474  1.73155481 -0.50942019  1.01288445
  0.81087103  2.73739164  0.46908882 -1.58897085  0.        ]",[-2.3514719   0.03133866],[-1.78827082 -0.78224382],"[[ -2.35311009   2.01474659  -0.05969749   0.11429744]
 [-29.56097515  20.81412963   0.           0.        ]]"
9,[-0.32634836 -0.35998413],-0.198254286688,-0.0745022,"[-1.48095894 -0.38621185 -0.1384155   1.14615755 -0.50941936  1.0128818
  0.71713759  2.21805577  0.18946398 -1.35638286  0.        ]",[-2.28121376  0.03667623],[-2.5189886  -0.29423195],"[[ -2.97820406   2.39578555  -0.05969749   0.11429744]
 [-32.93717701  17.30147435   0.           0.        ]]"
10,[-0.32634836 -0.35998413],-0.157554992879,-0.322723,"[-1.31088395 -0.61784201  0.84106758  0.42793624 -0.50941853  1.01287914
  0.62526777  1.99474314  0.0849027  -1.06715559  0.        ]",[-2.29326534  0.01285294],[-1.42720872  1.02347892],"[[ -3.67014969   2.72665941  -0.05969749   0.11429744]
 [-36.24625968  15.79107459   0.           0.        ]]"
11,[-0.32634836 -0.35998413],-0.137474814223,-0.811416,"[-0.50629886 -0.72416599  1.50991613 -0.46028278 -0.5094177   1.01287649
  0.53523884  1.96380766  0.21005504 -0.86009731  0.        ]",[-2.40590239 -0.14530236],[-1.16069629  0.35048885],"[[ -4.427611     3.07905302  -0.05969749   0.11429744]
 [-39.48904011  15.58190962   0.           0.        ]]"
12,[-0.32634836 -0.35998413],-0.13792316687,-1.07068,"[ 0.58806056 -0.72605277  1.36242987 -0.7042653  -0.50941687  1.01287383
  0.44699869 -0.54666227  0.22709796 -0.8553965   0.        ]",[-2.35634947  0.79886919],[-3.00414994  1.23270644],"[[ -5.24928371   3.17266587  -0.05969749   0.11429744]
 [-42.66739312  -1.39904441   0.           0.        ]]"
13,[-0.32634836 -0.35998413],-0.123687040038,-1.42186,"[ 1.24737505 -0.72630394  0.31891219 -0.56091632 -0.50941604  1.01287117
  0.36052526 -0.79704473  0.16556881 -0.76714391  0.        ]",[-2.26563263  0.9121443 ],[-1.18168612  0.48173469],"[[ -6.13388311   3.11768509  -0.05969749   0.11429744]
 [-45.78211259  -3.09265413   0.           0.        ]]"
14,[-0.32634836 -0.35998413],-0.117364936178,-0.459416,"[ 0.84687198 -0.72284198 -0.94994221 -0.4219595  -0.50941521  1.01286852
  0.27576881 -0.65410359  0.23199543 -0.67690291  0.        ]",[-2.13409877  0.79422927],[-3.34678006  0.92592214],"[[ -7.08015599   3.06432129  -0.05969749   0.11429744]
 [-48.83498874  -2.12580242   0.           0.        ]]"
15,[-0.32634836 -0.35998413],-0.130608906634,-0.486338,"[-0.43705134 -0.71906637 -1.32848303 -0.33977514 -0.50941438  1.01286586
  0.19269063 -0.50451561  0.33323303 -0.72621328  0.        ]",[-2.0556078   0.72066349],[-2.57787176 -0.63552654],"[[ -8.0868797    3.03266571  -0.05969749   0.11429744]
 [-51.82741534  -1.11398929   0.           0.        ]]"
16,[-0.32634836 -0.35998413],-0.147572988531,-0.423363,"[-1.44860613 -0.71104205 -0.2939706  -0.21747152 -0.50941355  1.01286321
  0.11125532 -0.87353611  0.32720894 -0.8816152   0.        ]",[-2.08624601  0.87398893],[-2.50515377  0.32649278],"[[ -9.15285866   2.9853432   -0.05969749   0.11429744]
 [-54.76066719  -3.61006876   0.           0.        ]]"
17,[-0.32634836 -0.35998413],-0.143275904457,-0.703004,"[-1.02754703 -0.69719393  1.20586502 -0.06746716 -0.50941272  1.01286055
  0.03144039 -0.67223985  0.14810717 -0.93392974  0.        ]",[-2.19189906  0.88169068],[-2.02682851  1.11054079],"[[-10.27691664   2.9268046   -0.05969749   0.11429744]
 [-57.63555357  -2.24850363   0.           0.        ]]"
18,[-0.32634836 -0.35998413],-0.115607687371,-1.05522,"[ 0.49768921 -0.6958577   1.41488031 -0.05516895 -0.50941189  1.0128579
 -0.04679815 -0.080782    0.06434554 -0.74310364  0.        ]",[-2.2710216   0.68635541],[-1.75204341  0.48379188],"[[ -1.14579019e+01   2.92197484e+00  -5.96974855e-02   1.14297443e-01]
 [ -6.04536594e+01   1.75213061e+00   0.00000000e+00   0.00000000e+00]]"
19,[-0.32634836 -0.35998413],-0.109260416826,-0.53452,"[ 1.25138487 -0.70908732 -0.08747824 -0.19305014 -0.50941106  1.01285524
 -0.12349856  0.19680392  0.1943524  -0.62949599  0.        ]",[-2.17075872  0.48061764],[-2.87090468  0.68317668],"[[ -1.26946940e+01   2.97585502e+00  -5.96974855e-02   1.14297443e-01]
 [ -6.32163629e+01   3.62972771e+00   0.00000000e+00   0.00000000e+00]]"
