timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
0,[-0.28657559 -0.2861535 ],-0.39439520303,-2.9593,"[ 1.24086415  1.48927948  0.15595604 -0.62015714 -1.53088955  0.50408922
  1.44901284 -0.25783238  2.38285218 -0.28854182  0.        ]",[-2.36181712  0.79604495],[-2.01673417  1.6017718 ],"[[ 0.03471912 -0.04103498 -0.18083871  0.05608221]
 [-0.00354525 -0.00470351  0.          0.        ]]"
1,[-0.28657559 -0.2861535 ],-0.395012426537,-2.09573,"[ 1.24166961  1.49029912  0.09725022 -0.53659363 -1.53087699  0.50408767
  1.33011953  0.31626015  2.38319985 -0.31672622  0.        ]",[-2.34363842  0.62349135],[-3.36497868  0.85209217],"[[ -5.05702519e-03  -1.38483355e-03  -1.80838706e-01   5.60822055e-02]
 [ -3.96088797e+00   3.95651179e+00   0.00000000e+00   0.00000000e+00]]"
2,[-0.28657559 -0.2861535 ],-0.39625590928,-2.67341,"[ 1.2312316   1.48276345 -0.07667661 -0.30051907 -1.53086443  0.50408612
  1.21358696  0.79410152  2.37815523 -0.40457632  0.        ]",[-2.31614733  0.51418138],[-1.9627426   1.04819944],"[[-0.12319215  0.11082635 -0.18083871  0.05608221]
 [-7.83971077  7.25360769  0.          0.        ]]"
3,[-0.28657559 -0.2861535 ],-0.396147026179,-2.57237,"[ 1.17249306  1.43757607 -0.35702388  0.07761945 -1.53085188  0.50408457
  1.09935193  1.34733748  2.35000077 -0.54775568  0.        ]",[-2.27336192  0.39414665],[-1.72039888  1.872243  ],"[[ -0.31813669   0.29419959  -0.18083871   0.05608221]
 [-11.64210585  11.07096019   0.           0.        ]]"
4,[-0.28657559 -0.2861535 ],-0.391372876704,-1.83698,"[ 1.00984137  1.30734452 -0.7145703   0.57387286 -1.53083933  0.50408302
  0.98736942  1.88955978  2.2722789  -0.72765645  0.        ]",[-2.21004391  0.25334179],[-2.47473803  0.04492292],"[[ -0.58837676   0.55315877  -0.18083871   0.05608221]
 [-15.36956106  14.81240857   0.           0.        ]]"
5,[-0.28657559 -0.2861535 ],-0.379126660879,-1.61419,"[ 0.68455284  1.07480473 -1.08073161  1.0476641  -1.53082677  0.50408147
  0.87762365  1.87287395  2.11525251 -0.9408756   0.        ]",[-2.12158871  0.28984937],[-2.08249211  0.35673451],"[[ -0.93241845   0.84825459  -0.18083871   0.05608221]
 [-19.02259295  14.69741947   0.           0.        ]]"
6,[-0.28657559 -0.2861535 ],-0.356640899655,-0.50821,"[ 0.16656668  0.76084164 -1.33521191  1.39347058 -1.53081422  0.50407992
  0.7700086   2.03530951  1.85740537 -1.1482212   0.        ]",[-2.02095747  0.17144331],[-2.74020434 -0.6787972 ],"[[ -1.34880913   1.15345201  -0.18083871   0.05608221]
 [-22.6047231   15.8184065    0.           0.        ]]"
7,[-0.28657559 -0.2861535 ],-0.321911237854,0.0871087,"[-0.49848586  0.42400423 -1.31976652  1.55630847 -1.53080166  0.50407837
  0.6645237   1.60014009  1.49845474 -1.29005467  0.        ]",[-1.93385303  0.21999593],[-2.65269519  0.70004058],"[[ -1.83613137   1.4396959   -0.18083871   0.05608221]
 [-26.11596468  12.81579871   0.           0.        ]]"
8,[-0.28657559 -0.2861535 ],-0.27314133283,-0.0812302,"[-1.14701141  0.07980242 -0.89994502  1.55057069 -1.53078911  0.50407682
  0.56106588  1.96465844  1.08874823 -1.27272176  0.        ]",[-1.88936496 -0.0061689 ],[-1.65749543 -0.47210361],"[[ -2.39300154   1.72125123  -0.18083871   0.05608221]
 [-29.55974332  15.33117606   0.           0.        ]]"
9,[-0.28657559 -0.2861535 ],-0.213812034997,0.102402,"[-1.50507439 -0.25351772 -0.07713979  1.37783501 -1.53077656  0.50407527
  0.45965398  1.64921157  0.73585462 -1.05418293  0.        ]",[-1.85489583  0.01717301],[-1.93709913  0.87865586],"[[ -3.01806507   2.00603814  -0.18083871   0.05608221]
 [-32.93542752  13.15464739   0.           0.        ]]"
10,[-0.28657559 -0.2861535 ],-0.159215283389,-0.302542,"[-1.29880867 -0.55486696  0.89932366  1.03635059 -1.53076401  0.50407372
  0.36022412  2.11504567  0.56783996 -0.69481691  0.        ]",[-1.86261868 -0.12362003],[-1.95497106 -0.43584308],"[[ -3.70998032   2.30138388  -0.18083871   0.05608221]
 [-36.24514113  16.36918464   0.           0.        ]]"
11,[-0.28657559 -0.2861535 ],-0.14093229159,-1.14877,"[-0.47127865 -0.79253215  1.53682999  0.53822772 -1.53075145  0.50407217
  0.26276942  1.81739768  0.6398478  -0.36775824  0.        ]",[-1.86169362 -0.08431214],[-0.74648847  0.85419525],"[[ -4.46743188   2.60816088  -0.18083871   0.05608221]
 [-39.48910995  14.31547338   0.           0.        ]]"
12,[-0.28657559 -0.2861535 ],-0.164627854807,-0.314043,"[ 0.60312082 -0.93442568  1.35016717 -0.081777   -1.5307389   0.50407061
  0.19741926  2.266065    0.84762507 -0.26303422  0.        ]",[-1.88558006 -0.22516456],[-2.36561419 -0.31883845],"[[ -5.27904116   2.92553223  -0.18083871   0.05608221]
 [-41.6644107   17.41163991   0.           0.        ]]"
13,[-0.28657559 -0.2861535 ],-0.178387956208,-0.546889,"[ 1.22830928 -0.96141164  0.30982641 -0.4284979  -1.53072635  0.50406906
  0.10322223 -0.06894344  0.93584078 -0.2851539   0.        ]",[-1.79896426  0.41661876],[-2.69411308 -0.0035325 ],"[[ -6.14379161   3.09166068  -0.18083871   0.05608221]
 [-44.79994106   1.29925736   0.           0.        ]]"
14,[-0.28657559 -0.2861535 ],-0.184234941624,-0.523317,"[ 0.83590013 -0.96036787 -0.94120024 -0.39737433 -1.5307138   0.50406751
  0.01091763 -0.50037971  0.9913217  -0.22465126  0.        ]",[-1.73859835  0.52740347],[-1.35535151  0.91662001],"[[ -7.07061882   3.07687295  -0.18083871   0.05608221]
 [-47.87247826  -1.67780833   0.           0.        ]]"
15,[-0.28657559 -0.2861535 ],-0.199208984865,0.503787,"[-0.41665507 -0.95723282 -1.34072735 -0.33074451 -1.53070125  0.50406596
 -0.07955396 -0.4519984   1.08498664 -0.25758406  0.        ]",[-1.73458803  0.41733375],[-2.30526954  1.26190126],"[[ -8.05828405   3.0451626   -0.18083871   0.05608221]
 [-50.88400029  -1.34397083   0.           0.        ]]"
16,[-0.28657559 -0.2861535 ],-0.204397635078,0.616161,"[-1.4459379  -0.95451278 -0.35848945 -0.2872164  -1.5306887   0.50406441
 -0.16823424 -0.3668348   1.08857569 -0.3739188   0.        ]",[-1.75147963  0.34242132],[-3.09486717  0.42337551],"[[ -9.10558135   3.02439625  -0.18083871   0.05608221]
 [-53.83589548  -0.75632271   0.           0.        ]]"
17,[-0.28657559 -0.2861535 ],-0.191509248,-0.789405,"[-1.1106518  -0.95276831  1.14974148 -0.26302151 -1.53067615  0.50406286
 -0.25515969 -0.31768507  0.98093881 -0.42407399  0.        ]",[-1.78320527  0.36394632],[-1.88502944  0.65965483],"[[ -1.02113305e+01   3.01283212e+00  -1.80838706e-01   5.60822055e-02]
 [ -5.67293789e+01  -4.17180975e-01   0.00000000e+00   0.00000000e+00]]"
18,[-0.28657559 -0.2861535 ],-0.174096608886,-0.645603,"[ 0.37288608 -0.95183623  1.47623738 -0.25098027 -1.5306636   0.50406131
 -0.34036479 -0.28439304  0.89257065 -0.32867375  0.        ]",[-1.80687881  0.42903745],[-2.94268069  1.34144615],"[[ -1.13743748e+01   3.00707072e+00  -1.80838706e-01   5.60822055e-02]
 [ -5.95656002e+01  -1.87461856e-01   0.00000000e+00   0.00000000e+00]]"
19,[-0.28657559 -0.2861535 ],-0.177053229843,-0.530089,"[ 1.24117405 -0.95146876  0.06456274 -0.24640724 -1.53065105  0.50405976
 -0.42388345 -0.2654287   0.94823059 -0.20047242  0.        ]",[-1.75623     0.53802335],[-2.44079154 -0.27497975],"[[ -1.25935803e+01   3.00488167e+00  -1.80838706e-01   5.60822055e-02]
 [ -6.23456893e+01  -5.66077194e-02   0.00000000e+00   0.00000000e+00]]"
20,[-0.28657559 -0.2861535 ],-0.198981236341,0.206521,"[ 0.22988811 -0.94935802 -1.3182142  -0.22121942 -1.5306385   0.50405821
 -0.50574889 -0.42343292  1.09226253 -0.2176219   0.        ]",[-1.71536016  0.52047724],[-2.18138808  0.33837564],"[[ -1.38678357e+01   2.99281112e+00  -1.80838706e-01   5.60822055e-02]
 [ -6.50707542e+01  -1.14688451e+00   0.00000000e+00   0.00000000e+00]]"
21,[-0.28657559 -0.2861535 ],-0.207918513937,-0.00782859,"[-1.33884497 -0.94761075 -0.61836009 -0.20184962 -1.53062595  0.50405666
 -0.58599042 -0.22641673  1.10949103 -0.3849172   0.        ]",[-1.73272765  0.35892606],[-1.19286917  0.49331767],"[[ -1.51960498e+01   2.98351397e+00  -1.80838706e-01   5.60822055e-02]
 [ -6.77417722e+01   2.12569316e-01   0.00000000e+00   0.00000000e+00]]"
22,[-0.28657559 -0.2861535 ],-0.189784840618,-0.567829,"[-1.02676647 -0.95185441  1.23223005 -0.25143447 -1.5306134   0.50405511
 -0.66464743 -0.0230443   0.96873731 -0.42390782  0.        ]",[-1.77032518  0.31703022],[-2.01728075  0.40764206],"[[ -1.65771548e+01   3.00728918e+00  -1.80838706e-01   5.60822055e-02]
 [ -7.03600567e+01   1.61588316e+00   0.00000000e+00   0.00000000e+00]]"
23,[-0.28657559 -0.2861535 ],-0.173246627757,-0.82133,"[ 0.78381152 -0.95348351  1.20339    -0.27305424 -1.53060085  0.50405356
 -0.74174917 -0.27190015  0.89818469 -0.29252592  0.        ]",[-1.77652502  0.45620739],[-2.07081911  1.45908424],"[[ -1.80101072e+01   3.01763106e+00  -1.80838706e-01   5.60822055e-02]
 [ -7.29265841e+01  -1.01277336e-01   0.00000000e+00   0.00000000e+00]]"
24,[-0.28657559 -0.2861535 ],-0.186221387311,-0.308019,"[ 0.96528129 -0.95280654 -0.78194188 -0.26393934 -1.5305883   0.50405201
 -0.81732026 -0.29345148  1.01210578 -0.19006337  0.        ]",[-1.71278334  0.55632222],[-1.39451467  0.83686054],"[[ -1.94938787e+01   3.01327310e+00  -1.80838706e-01   5.60822055e-02]
 [ -7.54421768e+01  -2.49990904e-01   0.00000000e+00   0.00000000e+00]]"
25,[-0.28657559 -0.2861535 ],-0.205985163127,0.502543,"[-0.92344615 -0.95208904 -1.10764064 -0.2546051  -1.53057575  0.50405046
 -0.89139438 -0.28364459  1.1167337  -0.31438532  0.        ]",[-1.71125054  0.40672699],[-1.73273966  0.81685035],"[[ -2.10274622e+01   3.00880771e+00  -1.80838706e-01   5.60822055e-02]
 [ -7.79079580e+01  -1.82326837e-01   0.00000000e+00   0.00000000e+00]]"
26,[-0.28657559 -0.2861535 ],-0.193966362602,-0.597837,"[-1.25999506 -0.95162402  0.96089205 -0.24874082 -1.53056321  0.50404891
 -0.96400158 -0.27198448  0.99586249 -0.43053896  0.        ]",[-1.74275219  0.38428912],[-1.54495568 -0.16089293],"[[ -2.26098716e+01   3.00600107e+00  -1.80838706e-01   5.60822055e-02]
 [ -8.03249308e+01  -1.01875230e-01   0.00000000e+00   0.00000000e+00]]"
27,[-0.28657559 -0.2861535 ],-0.171408574072,-1.15257,"[ 0.72800123 -0.95017522  1.25421294 -0.23110141 -1.53055066  0.50404736
 -1.03517068 -0.36461052  0.88718789 -0.28686543  0.        ]",[-1.76028228  0.48491517],[-1.26368632  0.7598172 ],"[[ -2.42401406e+01   2.99755166e+00  -1.80838706e-01   5.60822055e-02]
 [ -8.26940577e+01  -7.41014822e-01   0.00000000e+00   0.00000000e+00]]"
28,[-0.28657559 -0.2861535 ],-0.189668304873,0.397723,"[ 0.83869711 -0.95151119 -0.93822328 -0.24743321 -1.53053811  0.50404581
 -1.10492971 -0.14829927  1.03618953 -0.18513149  0.        ]",[-1.70141387  0.52346873],[-2.71778305  0.23715054],"[[ -2.59173207e+01   3.00537561e+00  -1.80838706e-01   5.60822055e-02]
 [ -8.50162742e+01   7.51557193e-01   0.00000000e+00   0.00000000e+00]]"
29,[-0.28657559 -0.2861535 ],-0.206318262908,0.274729,"[-1.24777507 -0.95221711 -0.76952826 -0.25648574 -1.53052557  0.50404426
 -1.17330926 -0.26882007  1.10833349 -0.35234854  0.        ]",[-1.70469403  0.39067054],[-1.35434923 -0.41816388],"[[ -2.76404855e+01   3.00970883e+00  -1.80838706e-01   5.60822055e-02]
 [ -8.72926015e+01  -8.00542031e-02   0.00000000e+00   0.00000000e+00]]"
30,[-0.28657559 -0.2861535 ],-0.183883824679,-0.802985,"[-0.7196609  -0.94906762  1.44252669 -0.21840522 -1.53051302  0.50404271
 -1.24033148 -0.50924134  0.93082147 -0.41335131  0.        ]",[-1.74304867  0.44198814],[-1.92554401 -0.73297302],"[[ -2.94087240e+01   2.99146449e+00  -1.80838706e-01   5.60822055e-02]
 [ -8.95237799e+01  -1.73899399e+00   0.00000000e+00   0.00000000e+00]]"
31,[-0.28657559 -0.2861535 ],-0.172481973936,-1.03735,"[ 1.21562278 -0.93494757  0.39043938 -0.08653195 -1.53050047  0.50404116
 -1.3060161  -0.9257855   0.9264446  -0.15661479  0.        ]",[-1.72921467  0.68001437],[-1.37673161  0.16463995],"[[ -3.12211404e+01   2.92785090e+00  -1.80838706e-01   5.60822055e-02]
 [ -9.17104688e+01  -4.61321100e+00   0.00000000e+00   0.00000000e+00]]"
32,[-0.28657559 -0.2861535 ],-0.220227647698,0.663449,"[-0.26102132 -0.90856341 -1.36544018  0.08655367 -1.53048793  0.50403961
 -1.37038147 -0.81945806  1.21899842 -0.29257403  0.        ]",[-1.68285084  0.65486348],[-2.69558105  1.20558964],"[[ -3.30768496e+01   2.84295345e+00  -1.80838706e-01   5.60822055e-02]
 [ -9.38532819e+01  -3.87956663e+00   0.00000000e+00   0.00000000e+00]]"
