timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
16,[-0.29179877 -0.31319767],-0.218822084467,-0.458799,"[-1.43406977 -0.84928454 -0.38067388 -0.0550639  -0.53428205  1.62556597
  0.01024489 -0.57630186  0.35064261 -1.39615296  0.        ]",[-1.87951398  0.72872162],[-2.46768592  2.80824301],"[[ -9.08955774   2.91777511  -0.06173909   0.18430012]
 [-51.36715458  -1.99613272   0.           0.        ]]"
17,[-0.29179877 -0.31319767],-0.213607874538,-1.66565,"[-1.16705541 -0.84932894  1.07839119 -0.05544229 -0.53428065  1.62555382
 -0.07490781  0.00856579  0.17963892 -1.41382586  0.        ]",[-1.92942047  0.50635666],[-1.24553891  0.67882623],"[[-10.14642042   2.9179484   -0.06173909   0.18430012]
 [-54.30937879   2.00009284   0.           0.        ]]"
18,[-0.29179877 -0.31319767],-0.192938557308,-1.7794,"[ 0.23071851 -0.86484573  1.52692362 -0.20178551 -0.53427924  1.62554167
 -0.15838499  0.39575607  0.12468612 -1.27424906  0.        ]",[-1.95804739  0.41857761],[-1.52335636  0.08145507],"[[-11.26154717   2.98449296  -0.06173909   0.18430012]
 [-57.19370989   4.645649     0.           0.        ]]"
19,[-0.29179877 -0.31319767],-0.180750334354,-1.11474,"[ 1.23518895 -0.87213291  0.29926659 -0.29920436 -0.53427783  1.62552953
 -0.24021424 -0.24362834  0.17839896 -1.16806903  0.        ]",[-1.91827047  0.73856103],[-2.72981881  0.40264119],"[[-12.43379031   3.02838638  -0.06173909   0.18430012]
 [-60.02110267   0.27693976   0.           0.        ]]"
20,[-0.29179877 -0.31319767],-0.183631562013,-0.389296,"[ 0.49911135 -0.87140781 -1.20671137 -0.28791991 -0.53427642  1.62551738
 -0.32041442 -0.35590874  0.29968115 -1.14442524  0.        ]",[-1.8278954   0.70564109],[-2.25985485  0.02834445],"[[ -1.36620160e+01   3.02331518e+00  -6.17390861e-02   1.84300120e-01]
 [ -6.27922089e+01  -4.90239788e-01   0.00000000e+00   0.00000000e+00]]"
21,[-0.29179877 -0.31319767],-0.203701508659,-0.393671,"[-1.12865064 -0.86992097 -0.9144233  -0.26614215 -0.53427501  1.62550524
 -0.39902524 -0.34884257  0.36000962 -1.27458561  0.        ]",[-1.82828939  0.63537896],[-1.53463069  0.22533686],"[[ -1.49451126e+01   3.01351928e+00  -6.17390861e-02   1.84300120e-01]
 [ -6.55084023e+01  -4.41964591e-01   0.00000000e+00   0.00000000e+00]]"
22,[-0.29179877 -0.31319767],-0.210700095359,-1.18349,"[-1.28978721 -0.86885434  0.90500039 -0.25151554 -0.5342736   1.62549309
 -0.47607971 -0.3181018   0.24795221 -1.37168909  0.        ]",[-1.90171838  0.56827402],[-2.43526912  1.06184443],"[[ -1.62819936e+01   3.00693324e+00  -6.17390861e-02   1.84300120e-01]
 [ -6.81708250e+01  -2.31928997e-01   0.00000000e+00   0.00000000e+00]]"
23,[-0.29179877 -0.31319767],-0.192029930046,-2.24725,"[ 0.39615324 -0.86843724  1.46645548 -0.24601377 -0.53427219  1.62548095
 -0.55160905 -0.29208475  0.13503876 -1.26486272  0.        ]",[-1.95724046  0.6995663 ],[-0.92084159  0.39629869],"[[ -1.76715943e+01   3.00445457e+00  -6.17390861e-02   1.84300120e-01]
 [ -7.07805568e+01  -5.41687434e-02   0.00000000e+00   0.00000000e+00]]"
24,[-0.29179877 -0.31319767],-0.176783694993,-1.50626,"[ 1.20088234 -0.86823799 -0.27492388 -0.24344194 -0.53427078  1.6254688
 -0.6165726  -0.29187257  0.21924708 -1.12395786  0.        ]",[-1.86791682  0.73545396],[-0.92685953  1.01866038],"[[ -1.91097270e+01   3.00329574e+00  -6.17390861e-02   1.84300120e-01]
 [ -7.30252267e+01  -5.27234426e-02   0.00000000e+00   0.00000000e+00]]"
25,[-0.29179877 -0.31319767],-0.194516297932,0.0333646,"[-0.36806302 -0.86820073 -1.34823344 -0.24299601 -0.53426937  1.62545666
 -0.68093948 -0.28228976  0.36143842 -1.2016615   0.        ]",[-1.80709863  0.66720366],[-2.63318892 -0.49162957],"[[ -2.05925462e+01   3.00309498e+00  -6.17390861e-02   1.84300120e-01]
 [ -7.52492880e+01   1.27478106e-02   0.00000000e+00   0.00000000e+00]]"
