timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
0,[-0.46166927 -0.38804743],-0.131095661865,-2.09556,"[ 1.281321    2.24897262  0.15456574 -0.47638142  1.49978373 -0.91028144
  1.82218605 -0.37813159  0.07163258  1.08632634  0.        ]",[-2.04992986  1.75873387],[-3.18251971  1.57301491],"[[ 0.04259957  0.07799001  0.17077133 -0.10787281]
 [ 0.0038589   0.00187071  0.          0.        ]]"
1,[-0.46166927 -0.38804743],-0.127356345749,-1.71329,"[ 1.28257014  2.24348241  0.09675324 -0.34531222  1.49978115 -0.91028056
  1.71325219  0.18494607  0.07227438  1.05479731  0.        ]",[-1.93319345  1.42785871],[-1.4833303  1.5038585],"[[  2.96999390e-03   1.17770298e-01   1.70771328e-01  -1.07872812e-01]
 [ -3.95363616e+00   3.96294996e+00   0.00000000e+00   0.00000000e+00]]"
2,[-0.46166927 -0.38804743],-0.115990460493,-1.50239,"[ 1.27341851  2.21415277 -0.07506505  0.0397519   1.49977856 -0.91027968
  1.60647342  0.73686641  0.0674534   0.96085753  0.        ]",[-1.86146379  1.14591801],[-1.18021263  2.30816136],"[[-0.11502405  0.23598479  0.17077133 -0.10787281]
 [-7.83285915  7.84554244  0.          0.        ]]"
3,[-0.46166927 -0.38804743],-0.096733746367,-1.56561,"[ 1.21659688  2.12419916 -0.35252025  0.64912157  1.49977598 -0.91027879
  1.50180405  1.27783431  0.03761368  0.80909979  0.        ]",[-1.80292201  0.8987174 ],[-2.21899794  1.02309216],"[[ -0.30983358   0.43107843   0.17077133  -0.10787281]
 [-11.63546607  11.65109528   0.           0.        ]]"
4,[-0.46166927 -0.38804743],-0.0699871805721,-1.34018,"[ 1.05601821  1.92015451 -0.70724066  1.40245147  1.4997734  -0.91027791
  1.39919597  1.80803265 -0.04667388  0.61505606  0.        ]",[-1.718014    0.58495659],[-1.47255027  1.22762777],"[[ -0.57994354   0.70152368   0.17077133  -0.10787281]
 [-15.36320196  15.38090505   0.           0.        ]]"
5,[-0.46166927 -0.38804743],-0.0414806668003,-1.21893,"[ 0.73212027  1.54965843 -1.07201466  2.13068271  1.49977082 -0.91027703
  1.29859893  2.3276241  -0.21666098  0.41552671  0.        ]",[-1.57289517  0.20229614],[-1.30414363  0.02501494],"[[ -0.92387468   1.04581741   0.17077133  -0.10787281]
 [-19.01788994  19.03612997   0.           0.        ]]"
6,[-0.46166927 -0.38804743],-0.0430676602005,-1.47354,"[ 0.21370086  1.04938532 -1.3282381   2.54080162  1.49976824 -0.91027615
  1.19999074  2.28799384 -0.48553622  0.24159794  0.        ]",[-1.3867538   0.06881855],[-2.21031239  0.44297265],"[[ -1.34017396   1.42374528   0.17077133  -0.10787281]
 [-22.60033351  18.75739556   0.           0.        ]]"
7,[-0.46166927 -0.38804743],-0.0866898879738,-1.55819,"[-0.45471883  0.50475835 -1.31908107  2.48008707  1.49976566 -0.91027527
  1.10329101  2.48424507 -0.83356127  0.16028308  0.        ]",[-1.28832233  0.0583079 ],[-2.04331633 -0.51978752],"[[ -1.82742705   1.81274728   0.17077133  -0.10787281]
 [-26.11345214  20.13803654   0.           0.        ]]"
8,[-0.46166927 -0.38804743],-0.136682013768,-1.74264,"[-1.10988375  0.02311478 -0.91010125  1.96022956  1.49976308 -0.91027439
  1.00849431  2.13460597 -1.19216317  0.22822161  0.        ]",[-1.07593548  0.16383353],[-1.06208963  0.70546223],"[[ -2.38424977   2.19083104   0.17077133  -0.10787281]
 [-29.55744034  17.678457     0.           0.        ]]"
9,[-0.46166927 -0.38804743],-0.176966365038,-1.92863,"[-1.47650232 -0.34273619 -0.10010419  1.05984184  1.4997605  -0.9102735
  0.91556259  2.48151645 -1.44593543  0.46610703  0.        ]",[-1.04695332  0.04046516],[-0.94833778 -0.86397287],"[[ -3.00927376   2.56888595   0.17077133  -0.10787281]
 [-32.93367949  20.1189563    0.           0.        ]]"
