timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
0,[-0.50009739 -0.51696533],-0.454316029219,-7.202,"[ 1.28989537  2.47619323  0.12606261 -0.58927744 -1.70891411 -1.61387737
  1.79229429 -0.39415683  2.80031681  1.74153072  0.        ]",[-4.63587379  1.17738259],[-4.69722259  1.01008625],"[[ 0.02435194  0.06851998 -0.19799265 -0.18825135]
 [ 0.00176257 -0.00292521  0.          0.        ]]"
1,[-0.50009739 -0.51696533],-0.452593409998,-7.23514,"[ 1.29014321  2.47094634  0.06832402 -0.44178918 -1.70891254 -1.61387601
  1.68542092  0.16286719  2.8004423   1.70889449  0.        ]",[-4.53954029  0.90762442],[-4.64374958  1.82997686],"[[-0.01531914  0.10820531 -0.19799265 -0.18825135]
 [-3.95569014  3.95824989  0.          0.        ]]"
2,[-0.50009739 -0.51696533],-0.446806002717,-7.26729,"[ 1.27798324  2.44151764 -0.10290661 -0.00745326 -1.70891097 -1.61387465
  1.5806616   0.70885424  2.79396796  1.61211054  0.        ]",[-4.39744186  0.76714772],[-4.48588334  0.92673093],"[[-0.13335384  0.22632676 -0.19799265 -0.18825135]
 [-7.83486975  7.84093821  0.          0.        ]]"
3,[-0.50009739 -0.51696533],-0.435090670505,-7.25895,"[ 1.21622554  2.35054257 -0.37856105  0.67132067 -1.7089094  -1.61387328
  1.47797458  1.20321156  2.76134098  1.45369362  0.        ]",[-4.22007942  0.77649927],[-5.17286794  1.28982834],"[[ -0.32820201   0.41841847  -0.19799265  -0.18825135]
 [-11.63732066  11.35647391   0.           0.        ]]"
4,[-0.50009739 -0.51696533],-0.414996242881,-7.12789,"[ 1.04918749  2.14383531 -0.72925535  1.51021593 -1.70890783 -1.61387192
  1.37730685  1.72852196  2.6729391   1.25031799  0.        ]",[-4.0138588   0.92447394],[-3.08773087  0.9449274 ],"[[ -0.59834856   0.68302996  -0.19799265  -0.18825135]
 [-15.36500466  15.09213369   0.           0.        ]]"
5,[-0.50009739 -0.51696533],-0.38432978282,-6.9248,"[ 0.71839228  1.76685778 -1.08679781  2.33353753 -1.70890626 -1.61387056
  1.27861418  2.21266374  2.49759447  1.04122238  0.        ]",[-3.73961186  0.8222723 ],[-3.42752412 -0.06314591],"[[ -0.94231442   1.019418    -0.19799265  -0.18825135]
 [-19.01955849  18.53504223   0.           0.        ]]"
6,[-0.50009739 -0.51696533],-0.341981542276,-6.5594,"[ 0.19467889  1.26072457 -1.33228786  2.82152679 -1.70890469 -1.61386919
  1.18187438  2.12577828  2.22135587  0.85549231  0.        ]",[-3.37389588  0.6097998 ],[-4.16629599  0.2234076 ],"[[ -1.35864511   1.38392164  -0.19799265  -0.18825135]
 [-22.60180268  17.917191     0.           0.        ]]"
7,[-0.50009739 -0.51696533],-0.291823183844,-6.16015,"[-0.47459245  0.7193132  -1.31017754  2.82833987 -1.70890312 -1.61386783
  1.08700941  2.20001181  1.86192965  0.75615682  0.        ]",[-2.98275852  0.14647618],[-3.41632847  0.31925869],"[[ -1.84592458   1.74756398  -0.19799265  -0.18825135]
 [-26.11462671  18.44511167   0.           0.        ]]"
8,[-0.50009739 -0.51696533],-0.247146808614,-5.79512,"[-1.12354516  0.19411507 -0.88956201  2.32708738 -1.70890156 -1.61386647
  0.99399665  2.32602789  1.48988335  0.8350649   0.        ]",[-2.66582751 -0.24549659],[-2.4887221  -0.31506828],"[[ -2.4027732    2.12545875  -0.19799265  -0.18825135]
 [-29.55886696  19.34127943   0.           0.        ]]"
9,[-0.50009739 -0.51696533],-0.228225406672,-5.60208,"[-1.47643643 -0.21313464 -0.0746129   1.40054    -1.70889999 -1.61386511
  0.90282153  2.0963282   1.22117543  1.0846513   0.        ]",[-2.62352586 -0.05602446],[-2.03909934  0.58658589],"[[ -3.02782518   2.49589503  -0.19799265  -0.18825135]
 [-32.93506215  17.70782441   0.           0.        ]]"
