timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,-2.81958,[ 0.89700954  1.58882173],[ 1.08218873  2.33699632],-0.113744923276,[-0.40779305 -0.42185566],"[[-0.01157418 -0.00788977  0.11871963  0.06460478]
 [ 0.00158815  0.00051746  0.          0.        ]]","[ 1.02005857  1.88575349  0.22174196 -1.07070389  1.0287684   0.55541045
 -0.67513257 -0.32362358  0.37440393 -0.74582736  0.        ]"
1,-2.74412,[ 0.73747496  2.28518684],[ 0.01549518  1.49000216],-0.106950986503,[-0.40779305 -0.42185566],"[[ 0.02404458  0.03183447  0.11871963  0.06460478]
 [ 3.54848447  3.95871867  0.          0.        ]]","[ 1.01972074  1.88511836  0.27581439 -0.95819279  1.02876785  0.55541026
 -0.57084888  0.22647637  0.37279963 -0.63590875  0.        ]"
2,-2.55655,[-0.85494695  0.7881272 ],[-1.40204811  0.45021355],-0.0893289995245,[-0.40779305 -0.42185566],"[[ 0.12356597  0.14993916  0.11871963  0.06460478]
 [ 6.39420414  7.83881985  0.          0.        ]]","[ 1.00857901  1.87085812  0.4264342  -0.62521403  1.0287673   0.55541008
 -0.48718073  0.76572208  0.32964144 -0.32502679  0.        ]"
3,-2.41246,[-1.75261819 -0.0856289 ],[-1.78970861 -0.26391193],-0.0740266804995,[-0.40779305 -0.42185566],"[[  0.2162376    0.33648234   0.11871963   0.06460478]
 [  2.88466662  10.80560364   0.           0.        ]]","[ 0.98478822  1.81115466  0.56505274 -0.11309126  1.02876675  0.55540989
 -0.59036567  1.17803703  0.20101407  0.02005988  0.        ]"
4,-2.31031,[-2.75969327 -0.42265711],[-1.58264995 -0.53374672],-0.0671517174025,[-0.40779305 -0.42185566],"[[  0.23367103   0.54706104   0.11871963   0.06460478]
 [ -1.12800348  10.25408754   0.           0.        ]]","[ 0.97888157  1.69155256  0.5908528   0.42514856  1.02876621  0.5554097
 -0.70834334  1.10138817  0.05373733  0.21841821  0.        ]"
5,-2.21286,[-1.14481088  0.30559196],[-0.89501369 -0.53980786],-0.0616474230039,[-0.40779305 -0.42185566],"[[ 0.17164889  0.73332829  0.11871963  0.06460478]
 [-5.06119399  8.37885447  0.          0.        ]]","[ 0.99783808  1.54368099  0.49863237  0.84769004  1.02876566  0.55540951
 -0.82398413  0.84077297 -0.02932287  0.24638799  0.        ]"
6,-2.24155,[ 0.73442762 -1.41808276],[ 0.03902006 -0.76530695],-0.0534991257658,[-0.40779305 -0.42185566],"[[ 0.03172942  0.91139278  0.11871963  0.06460478]
 [-8.91797855  9.42405614  0.          0.        ]]","[ 1.01939271  1.37025812  0.28747601  1.19047712  1.02876511  0.55540932
 -0.93737839  0.98603179 -0.04721676  0.14074112  0.        ]"
7,-2.20871,[ 0.43775735 -0.88080094],[ 0.21688128 -0.43900222],-0.0470479960435,[-0.40779305 -0.42185566],"[[-0.11569471  1.05826272  0.11871963  0.06460478]
 [-5.83467291  5.27680069  0.          0.        ]]","[ 1.01000319  1.20754457  0.06405603  1.42033994  1.02876456  0.55540914
 -0.84672463  0.40965724 -0.05249176  0.00377106  0.        ]"
8,-2.15742,[ 0.65708562  0.42397117],[ 0.4988606   0.30785155],-0.0461916056783,[-0.40779305 -0.42185566],"[[-0.21384231  1.12775213  0.11871963  0.06460478]
 [-3.98623224  1.68413053  0.          0.        ]]","[ 0.98556193  1.12543452 -0.0828748   1.51083144  1.02876402  0.55540895
 -0.79237761 -0.0896425  -0.04400678 -0.10359597  0.        ]"
9,-2.15757,[ 0.0733392   0.58846696],[ 0.16879284 -0.11889791],-0.0453301605237,[-0.40779305 -0.42185566],"[[-0.26669366  1.17793623  0.11871963  0.06460478]
 [-1.30780071  3.32881382  0.          0.        ]]","[ 0.96646218  1.06439997 -0.16079983  1.56852346  1.02876347  0.55540876
 -0.71362779  0.13893124 -0.05350513 -0.1529269   0.        ]"
10,-2.23209,[ 0.2637392  -1.42451648],[-0.0576354 -0.7707234],-0.0386613423536,[-0.40779305 -0.42185566],"[[-0.28968376  1.26722894  0.11871963  0.06460478]
 [-0.99223711  5.59291351  0.          0.        ]]","[ 0.95687308  0.95273016 -0.19436079  1.65480041  1.02876292  0.55540857
 -0.70434951  0.45358982 -0.11419989 -0.13375112  0.        ]"
11,-2.18926,[-0.28833241 -0.42335077],[-0.06208947 -0.01191531],-0.0325975972916,[-0.40779305 -0.42185566],"[[-0.29885032  1.33824592  0.11871963  0.06460478]
 [ 0.07201594  1.52235502  0.          0.        ]]","[ 0.95283464  0.86160865 -0.20767919  1.70806896  1.02876237  0.55540838
 -0.67305875 -0.11212596 -0.17010493 -0.10821798  0.        ]"
12,-2.11374,[-0.69304307  1.23393465],[ 0.23566759  0.37802297],-0.0319745353081,[-0.40779305 -0.42185566],"[[-0.30886842  1.35157433  0.11871963  0.06460478]
 [-1.0700264  -0.18383008  0.          0.        ]]","[ 0.94828163  0.8443204  -0.22219182  1.71652316  1.02876182  0.5554082
 -0.7066361  -0.34924717 -0.17580046 -0.11537563  0.        ]"
13,-2.2209,[ 1.03114905 -1.65934015],[ 0.58405006 -0.4572314 ],-0.0320190639348,[-0.40779305 -0.42185566],"[[-0.35758197  1.38766785  0.11871963  0.06460478]
 [-3.79227167  3.77995652  0.          0.        ]]","[ 0.92408319  0.79725492 -0.29207375  1.73695019  1.02876128  0.55540801
 -0.78667355  0.20162998 -0.1794825  -0.16467042  0.        ]"
14,-2.13784,[ 1.01380119  0.56152412],[ 0.30954874  0.35159791],-0.0315032288792,[-0.40779305 -0.42185566],"[[-0.39296153  1.42277961  0.11871963  0.06460478]
 [ 0.24089414 -0.2553139   0.          0.        ]]","[ 0.90438868  0.75116619 -0.34204645  1.75334024  1.02876073  0.55540782
 -0.66809263 -0.3591819  -0.19129784 -0.19538781  0.        ]"
15,-2.16672,[-0.28165244 -0.09333428],[-0.66374856 -0.33427876],-0.0260204101726,[-0.40779305 -0.42185566],"[[-0.34849066  1.44002397  0.11871963  0.06460478]
 [ 4.19305223  1.97231893  0.          0.        ]]","[ 0.92885638  0.72843844 -0.27912237  1.76012536  1.02876018  0.55540763
 -0.5518935  -0.04959087 -0.23130036 -0.12616026  0.        ]"
16,-2.14756,[ 0.4140601   0.01186379],[-0.83734971 -0.39275479],-0.0204094999374,[-0.40779305 -0.42185566],"[[-0.2766437   1.47537235  0.11871963  0.06460478]
 [ 2.99562152  1.56388394  0.          0.        ]]","[ 0.96240381  0.68169638 -0.17535135  1.77142331  1.02875963  0.55540744
 -0.58709943 -0.10635416 -0.31045306 -0.01750091  0.        ]"
17,-2.24396,[-1.52904505 -1.47819194],[-1.46070099 -0.61631662],-0.0230613870314,[-0.40779305 -0.42185566],"[[-0.20088466  1.50680715  0.11871963  0.06460478]
 [ 4.57502956  1.57953738  0.          0.        ]]","[ 0.98960948  0.63999444 -0.06362316  1.77851101  1.02875909  0.55540726
 -0.54066244 -0.10417866 -0.39770709  0.08505491  0.        ]"
18,-2.19324,[-0.90805756 -0.53028574],[-0.816948   0.2882404],-0.0280947631686,[-0.40779305 -0.42185566],"[[-0.14999149  1.49836332  0.11871963  0.06460478]
 [ 0.52776047 -2.41060846  0.          0.        ]]","[ 1.00309885  0.65120584  0.01244894  1.77687886  1.02875854  0.55540707
 -0.6596576  -0.65871964 -0.43155668  0.14205501  0.        ]"
