timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,-4.46728,[-0.09679523  3.23482704],[-0.08017471  3.01199389],-0.186696072683,[-0.57097101 -0.4794668 ],"[[ 0.02320931  0.06150181  0.0228851   0.01260227]
 [ 0.00022844  0.00130534  0.          0.        ]]","[ 0.98616472  1.76168581  0.28230921 -0.9852418   0.2032688   0.11652902
 -0.65287899 -0.31660695  1.26931018 -0.16066242  0.        ]"
1,-4.42504,[-0.00405586  3.31756428],[-0.25301144  2.63367844],-0.18631490251,[-0.57097101 -0.4794668 ],"[[ 0.01935656  0.10125699  0.0228851   0.01260227]
 [-0.38421696  3.96101568  0.          0.        ]]","[ 0.98629101  1.75744822  0.27639745 -0.87433465  0.20326876  0.11652899
 -0.66384675  0.24419398  1.26540548 -0.12589684  0.        ]"
2,-4.40929,[-1.9437358   1.98627638],[-0.65529788  2.24384713],-0.184698562031,[-0.57097101 -0.4794668 ],"[[ 0.01157258  0.21941837  0.0228851   0.01260227]
 [-0.39413261  7.8421868   0.          0.        ]]","[ 0.98647657  1.73273128  0.26445231 -0.54801037  0.20326872  0.11652897
 -0.66412945  0.79387154  1.24461746 -0.01625087  0.        ]"
3,-4.27551,[-1.14208378  1.84149638],[-0.30956542  1.8797574 ],-0.180924598786,[-0.57097101 -0.4794668 ],"[[ -0.03593694   0.41444721   0.0228851    0.01260227]
 [ -4.34367196  11.6479941    0.           0.        ]]","[ 0.98558223  1.65317695  0.19154875 -0.03009787  0.20326868  0.11652895
 -0.77680662  1.33287515  1.19612218  0.08896706  0.        ]"
4,-4.10541,[-0.51057594  0.85976378],[ 0.34902412  1.28913832],-0.173101305818,[-0.57097101 -0.4794668 ],"[[ -1.61654103e-01   6.84834548e-01   2.28850954e-02   1.26022747e-02]
 [ -8.21518611e+00   1.53782584e+01   0.00000000e+00   0.00000000e+00]]","[  9.66439067e-01   1.46857901e+00  -3.29847292e-04   6.13327228e-01
   2.03268641e-01   1.16528925e-01  -8.87257743e-01   1.86117886e+00
   1.11566944e+00   1.06723558e-01   0.00000000e+00]"
5,-3.83361,[ 2.26939189  0.4894474 ],[ 0.94265056  0.66186416],-0.158477981844,[-0.57097101 -0.4794668 ],"[[ -3.44605658e-01   1.02350515e+00   2.28850954e-02   1.26022747e-02]
 [ -1.00737942e+01   1.84784185e+01   0.00000000e+00   0.00000000e+00]]","[ 0.89575944  1.13541235 -0.27179017  1.23304701  0.2032686   0.1165289
 -0.94028211  2.30024155  0.97527673  0.07162127  0.        ]"
6,-3.49091,[ 0.25057903 -0.11944128],[ 0.57331586 -0.05529302],-0.13509201716,[-0.57097101 -0.4794668 ],"[[ -5.04383913e-01   1.40883382e+00   2.28850954e-02   1.26022747e-02]
 [ -5.91760435e+00   2.00493095e+01   0.00000000e+00   0.00000000e+00]]","[ 0.794211    0.66463545 -0.49500989  1.60527005  0.20326856  0.11652888
 -0.82170882  2.52271789  0.73699136  0.09958495  0.        ]"
7,-3.10329,[ 1.32496254 -1.13834959],[ 0.5044055  -0.20079261],-0.104945652633,[-0.57097101 -0.4794668 ],"[[ -6.11602386e-01   1.80108897e+00   2.28850954e-02   1.26022747e-02]
 [ -4.80790898e+00   1.91791309e+01   0.00000000e+00   0.00000000e+00]]","[ 0.70655481  0.15401057 -0.63453797  1.5680031   0.20326852  0.11652886
 -0.79004979  2.39947443  0.41453432  0.16380034  0.        ]"
8,-2.81495,[-0.20471586 -0.84376618],[-0.23421291 -0.25267231],-0.0749792687752,[-0.57097101 -0.4794668 ],"[[ -6.67080219e-01   2.14112954e+00   2.28850954e-02   1.26022747e-02]
 [ -7.53350167e-01   1.48394519e+01   0.00000000e+00   0.00000000e+00]]","[ 0.65542621 -0.25453636 -0.70285717  1.19884914  0.20326848  0.11652883
 -0.67437602  1.78486022  0.08334429  0.19259807  0.        ]"
9,-2.73338,[ 0.24600902  0.07249941],[-0.31288555  0.04435496],-0.0507267249372,[-0.57097101 -0.4794668 ],"[[ -0.69012172   2.40145014   0.0228851    0.01260227]
 [ -1.54826609  11.20471565   0.           0.        ]]","[ 0.63308398 -0.51470047 -0.73038491  0.73046572  0.20326844  0.11652881
 -0.69705419  1.27008549 -0.18736076  0.16940812  0.        ]"
