timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.317064754461,"[[-0.07319518 -0.09303125 -0.02987874  0.18386849]
 [-0.00482845 -0.00204843  0.          0.        ]]",[ 2.24650908  1.21786284],-2.25182,"[ 1.04641682  1.99200012 -0.14241756 -0.08403334 -0.24806579  1.59666746
 -0.72394765  0.04753622  1.49810615 -1.77479047  0.        ]",[-0.12974536 -0.21849529],[ 2.37017395  1.29854296]
1,-0.309905686538,"[[-0.03361567 -0.05335937 -0.02987874  0.18386849]
 [ 3.94961492  3.9560501   0.          0.        ]]",[ 2.06114697  1.38075757],-2.08165,"[ 1.04939139  1.99588686 -0.08222358  0.0031914  -0.24806551  1.59666136
 -0.53762632  0.51597706  1.50757844 -1.66724273  0.        ]",[-0.12974536 -0.21849529],[ 3.87306148  1.37558774]
2,-0.286553643497,"[[ 0.08426815  0.06468852 -0.02987874  0.18386849]
 [ 7.82587562  7.83581102  0.          0.        ]]",[ 1.77792883  1.60185933],-1.96367,"[ 1.04518491  1.99497833  0.0971645   0.26329653 -0.24806523  1.59665527
 -0.35498889  0.97514565  1.49962574 -1.34563567  0.        ]",[-0.12974536 -0.21849529],[ 3.65716193  3.01103111]
3,-0.242043235721,"[[  0.27890991   0.25956084  -0.02987874   0.18386849]
 [ 11.62573206  11.63873322   0.           0.        ]]",[ 1.38150597  1.73181295],-1.71709,"[ 0.99572905  1.95277571  0.38829009  0.68662708 -0.24806494  1.59664917
 -0.17595145  1.42521777  1.37057007 -0.8400544   0.        ]",[-0.12974536 -0.21849529],[ 2.076001    2.85665965]
4,-0.170761906828,"[[  0.54880229   0.52973488  -0.02987874   0.18386849]
 [ 15.35133172  15.36620559   0.           0.        ]]",[ 0.97699827  1.77940476],-1.23175,"[  8.43251775e-01   1.81363580e+00   7.63519037e-01   1.23482087e+00
  -2.48064659e-01   1.59664307e+00  -4.12764672e-04   1.86635555e+00
   9.85591645e-01  -2.83526100e-01   0.00000000e+00]",[-0.12974536 -0.21849529],[ 0.93489955  1.7900421 ]
5,-0.0717752349375,"[[  0.88990084   0.8737156   -0.02987874   0.18386849]
 [ 18.74764159  19.01961179   0.           0.        ]]",[ 0.86075711  1.74797308],-0.516181,"[ 0.5280855   1.5167806   1.15243266  1.81115585 -0.24806438  1.59663698
  0.1596108   2.2987199   0.29585027  0.02869339  0.        ]",[-0.12974536 -0.21849529],[ 1.20750731  2.25215226]
6,-0.0477351802012,"[[  1.30086535   1.29003262  -0.02987874   0.18386849]
 [ 22.33746849  22.60005436   0.           0.        ]]",[ 0.89886665  1.70960712],-0.58598,"[ 0.01682139  1.02655976  1.43691441  2.23912791 -0.24806409  1.59663088
  0.32875226  2.72243796 -0.49153147 -0.24220081  0.        ]",[-0.12974536 -0.21849529],[ 0.30480821  1.49393975]
7,-0.156152814097,"[[  1.75534605   1.77724886  -0.02987874   0.18386849]
 [ 23.10841219  26.109854     0.           0.        ]]",[ 0.9296788   1.63319957],-1.33375,"[-0.61752191  0.37890612  1.46619832  2.27862115 -0.24806381  1.59662478
  0.3650764   3.13778065 -0.87444923 -1.07538459  0.        ]",[-0.12974536 -0.21849529],[-0.13510927  1.40968794]
8,-0.217302387824,"[[  2.20763587   2.33396749  -0.02987874   0.18386849]
 [ 22.12368174  29.55064717   0.           0.        ]]",[ 0.94585782  1.3532294 ],-1.40605,"[-1.19688595 -0.2743212   1.19349848  1.71395841 -0.24806353  1.59661869
  0.3186784   3.54493753 -0.57171277 -1.79601921  0.        ]",[-0.12974536 -0.21849529],[ 3.57690892  0.23374977]
9,-0.209736477817,"[[  2.68549281e+00   2.92838384e+00  -2.98787385e-02   1.83868489e-01]
 [  2.56495624e+01   2.98900495e+01   0.00000000e+00   0.00000000e+00]]",[ 0.95871431  0.68461013],-1.79861,"[-1.62401322 -0.65873904  0.6398041   0.58725621 -0.24806324  1.59661259
  0.48480713  3.58505096 -0.0321642  -1.76357674  0.        ]",[-0.12974536 -0.21849529],[ 0.0470697   1.07290167]
10,-0.179094164496,"[[  3.19525092   3.20592315  -0.02987874   0.18386849]
 [ 25.32720685   1.29354771   0.           0.        ]]",[ 1.02589524  0.33797494],-1.52719,"[-1.76602187 -0.68637909 -0.11273626 -0.02097771 -0.24806296  1.5966065
  0.46961803  0.20081693  0.0596337  -1.47925732  0.        ]",[-0.12974536 -0.21849529],[ 0.34447329 -0.87666877]
11,-0.180821364483,"[[  3.71044545   3.15760574  -0.02987874   0.18386849]
 [ 26.18944842  -4.56098054   0.           0.        ]]",[ 1.0576129   0.29255876],-1.52394,"[-1.54613543 -0.6889847  -0.85149308  0.08545039 -0.24806268  1.5966004
  0.51024375 -0.49203334  0.04681352 -1.49763556  0.        ]",[-0.12974536 -0.21849529],[ 1.60852994  0.94240652]
12,-0.182159799944,"[[  4.26875822   3.08338279  -0.02987874   0.18386849]
 [ 29.63035342  -2.82574538   0.           0.        ]]",[ 1.06105733  0.27445716],-1.5054,"[-0.96374808 -0.68688041 -1.40671258  0.24901422 -0.24806239  1.5965943
  0.67236867 -0.28667739  0.06534494 -1.50456488  0.        ]",[-0.12974536 -0.21849529],[ 1.1140714  -0.84161902]
13,-0.177846596675,"[[  4.89520259e+00   2.99399156e+00  -2.98787385e-02   1.83868489e-01]
 [  3.30028114e+01  -6.10253734e+00   0.00000000e+00   0.00000000e+00]]",[ 1.13917136  0.36409   ],-1.50895,"[-0.10275086 -0.67454693 -1.52876413  0.44498535 -0.24806211  1.59658821
  0.83126818 -0.67446717  0.09660424 -1.45780457  0.        ]",[-0.12974536 -0.21849529],[ 1.52315963 -0.06190324]
14,-0.163488644882,"[[  5.58842520e+00   2.87068557e+00  -2.98787385e-02   1.83868489e-01]
 [  3.63083865e+01  -6.22778862e+00   0.00000000e+00   0.00000000e+00]]",[ 1.20289421  0.54665083],-1.47047,"[ 0.72356996 -0.64015568 -1.00613141  0.7107368  -0.24806183  1.59658211
  0.98701581 -0.68928891  0.09616878 -1.33099019  0.        ]",[-0.12974536 -0.21849529],[ 1.57786133  0.35447183]
15,-0.145457780565,"[[  6.34710083e+00   2.76143182e+00  -2.98787385e-02   1.83868489e-01]
 [  3.95483552e+01  -4.70283977e+00   0.00000000e+00   0.00000000e+00]]",[ 1.23550975  0.76178908],-1.42511,"[ 1.04731402 -0.59323613  0.06624599  0.93884142 -0.24806154  1.59657602
  1.13967154 -0.50881845 -0.04111217 -1.21013503  0.        ]",[-0.12974536 -0.21849529],[ 0.73232552  0.15144136]
16,-0.150934339642,"[[  7.15929781e+00   2.67429807e+00  -2.98787385e-02   1.83868489e-01]
 [  4.16642754e+01  -4.01298443e+00   0.00000000e+00   0.00000000e+00]]",[ 1.23717666  1.03628826],-1.33139,"[ 0.54310833 -0.54511947  1.13909539  1.11389707 -0.24806126  1.59656992
  1.23936455 -0.42717705 -0.27363883 -1.27417743  0.        ]",[-0.12974536 -0.21849529],[ 2.5592948  1.1584607]
17,-0.190565978427,"[[  8.02402758e+00   2.63452681e+00  -2.98787385e-02   1.83868489e-01]
 [  4.47983568e+01   2.22666791e-02   0.00000000e+00   0.00000000e+00]]",[ 1.20514369  1.23506665],-1.56181,"[-0.59739122 -0.52010722  1.47009315  1.19137071 -0.24806098  1.59656382
  1.38702947  0.05037468 -0.39201438 -1.60169415  0.        ]",[-0.12974536 -0.21849529],[ 1.0413409  -1.71127734]
18,-0.231983443725,"[[  8.95081666e+00   2.59519553e+00  -2.98787385e-02   1.83868489e-01]
 [  4.78701765e+01  -3.94234063e+00   0.00000000e+00   0.00000000e+00]]",[ 1.21328616  1.40209568],-2.04919,"[-1.61271311 -0.49354485  0.66412241  1.26632193 -0.24806069  1.59655773
  1.5317595  -0.41881674 -0.23402004 -1.96768312  0.        ]",[-0.12974536 -0.21849529],[ 0.00221614  2.01181241]
19,-0.246841128886,"[[  9.89879559e+00   2.55680684e+00  -2.98787385e-02   1.83868489e-01]
 [  4.69309855e+01   9.00155130e-02   0.00000000e+00   0.00000000e+00]]",[ 1.18472028  1.36423099],-1.84216,"[-1.61267064 -0.46590659 -0.72628738  1.33776847 -0.24806041  1.59655163
  1.48750238  0.05839331  0.14030413 -2.05049375  0.        ]",[-0.12974536 -0.21849529],[ 2.17372891  0.06496359]
20,-0.218334011493,"[[  1.08678169e+01   2.56111533e+00  -2.98787385e-02   1.83868489e-01]
 [  4.99610565e+01   3.39888752e-01   0.00000000e+00   0.00000000e+00]]",[ 1.16868186  1.16003656],-1.92813,"[-0.53845576 -0.46909085 -1.54173068  1.32983281 -0.24806013  1.59654554
  1.63026403  0.08796456  0.41828851 -1.69037059  0.        ]",[-0.12974536 -0.21849529],[ 0.2963968   1.26946322]
21,-0.160407478374,"[[  1.18688931e+01   2.60751460e+00  -2.98787385e-02   1.83868489e-01]
 [  5.01461102e+01   4.28694867e+00   0.00000000e+00   0.00000000e+00]]",[ 1.17605162  0.92001563],-1.36825,"[ 0.72111839 -0.50205544 -1.00930653  1.24301909 -0.24805984  1.59653944
  1.6389767   0.55508049  0.28262675 -1.21945313  0.        ]",[-0.12974536 -0.21849529],[ 2.78199516  1.77299861]
22,-0.143549841737,"[[  1.29015917e+01   2.73207609e+00  -2.98787385e-02   1.83868489e-01]
 [  5.31139803e+01   8.15642419e+00   0.00000000e+00   0.00000000e+00]]",[ 1.19823933  0.80348086],-1.37692,"[ 0.97176027 -0.57806182  0.47002908  0.99855798 -0.24805956  1.59653335
  1.77880557  1.01301358 -0.11710101 -1.20611094  0.        ]",[-0.12974536 -0.21849529],[ 1.40590992  0.42019135]
23,-0.187282255437,"[[  1.39930613e+01   2.91023486e+00  -2.98787385e-02   1.83868489e-01]
 [  5.60232276e+01   9.65475829e+00   0.00000000e+00   0.00000000e+00]]",[ 1.26554155  0.77916431],-1.77857,"[-0.15656359 -0.65335258  1.47627374  0.62626018 -0.24805928  1.59652725
  1.91587035  1.19033168 -0.19454609 -1.58560251  0.        ]",[-0.12974536 -0.21849529],[-0.35789938  0.37932293]
