timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.6214844  -0.62581062],[ 0.75540519 -2.26935673],"[ 0.90846762  1.15855685  0.09885078  0.75120836 -1.4267205   0.46115877
 -0.29936812  0.29658956  3.36040133 -0.32003743  0.        ]",-0.376373750837,-2.25189,[ 0.21679464 -2.23776249],"[[ 0.09132276 -0.07522286 -0.164507    0.05241539]
 [-0.00296729 -0.00165038  0.          0.        ]]"
1,[-0.6214844  -0.62581062],[ 0.67638582 -1.86287582],"[ 0.90708769  1.15382583  0.11171399  0.66117264 -1.42671937  0.46115862
 -0.21700639 -0.44771013  3.35947688 -0.35900211  0.        ]",-0.376587586783,-2.23393,[ 1.30132232 -2.55410376],"[[ 0.09988411 -0.11498672 -0.164507    0.05241539]
 [ 0.85623572 -3.96153743  0.          0.        ]]"
2,[-0.6214844  -0.62581062],[ 0.42414409 -1.47164965],"[ 0.89485977  1.12819487  0.19652259  0.39655202 -1.42671824  0.46115847
  0.16071919 -1.17749477  3.34764561 -0.37628186  0.        ]",-0.375696302044,-2.22265,[-0.1032826  -1.24563762],"[[ 0.15654462 -0.23317364 -0.164507    0.05241539]
 [ 4.79669583 -7.84420261  0.          0.        ]]"
3,[-0.6214844  -0.62581062],[ 0.32185417 -1.31815517],"[ 0.86408789  1.04897473  0.33088459 -0.02242289 -1.4267171   0.46115833
  0.11259396 -1.89250529  3.31000885 -0.41332196  0.        ]",-0.372733485496,-2.18039,[ 0.26218007 -1.85457232],"[[  0.24744165  -0.42822518  -0.164507     0.05241539]
 [  4.2946505  -11.64827382   0.           0.        ]]"
4,[-0.6214844  -0.62581062],[ 0.1325528  -1.08817542],"[ 0.81723056  0.86861339  0.46868547 -0.54081234 -1.42671597  0.46115818
  0.20399132 -2.59345095  3.220082   -0.55537128  0.        ]",-0.366278117367,-2.08416,[ 0.66485953 -0.94268394],"[[  0.34290143  -0.69860768  -0.164507     0.05241539]
 [  5.24811425 -15.37753434   0.           0.        ]]"
5,[-0.6214844  -0.62581062],[-0.14320277 -0.66298819],"[ 0.72999658  0.54288095  0.64911079 -1.04018726 -1.42671484  0.46115803
  0.44627565 -3.23792396  3.04278429 -0.68913173  0.        ]",-0.352509599137,-1.97049,[ 0.515659   -0.19682046],"[[  0.47322307  -1.04056155  -0.164507     0.05241539]
 [  7.77564091 -18.8063731    0.           0.        ]]"
6,[-0.6214844  -0.62581062],[-0.41080815 -0.40360159],"[ 0.57367418  0.09653638  0.87184549 -1.32697726 -1.42671371  0.46115789
  0.62712311 -3.31444058  2.77656907 -0.7337203   0.        ]",-0.330256135883,-1.83348,[-0.70529649  0.64379765],"[[  0.64766402  -1.42077461  -0.164507     0.05241539]
 [  9.6622548  -19.2135205    0.           0.        ]]"
7,[-0.6214844  -0.62581062],[-0.36287946 -0.43834382],"[ 0.3901786  -0.34554933  1.05544106 -1.30496722 -1.42671257  0.46115774
  0.34116805 -2.76365173  2.46876033 -0.75515279  0.        ]",-0.304288685538,-1.68795,[-0.3119893  -0.44930734],"[[  0.81097949  -1.77564319  -0.164507     0.05241539]
 [  6.67915601 -16.2831792    0.           0.        ]]"
8,[-0.6214844  -0.62581062],[-0.50512034  0.05505824],"[ 0.2355046  -0.74031543  1.17190768 -1.02284091 -1.42671144  0.4611576
  0.21009941 -3.03739081  2.12089279 -0.81252968  0.        ]",-0.27575650654,-1.5072,[ 0.3529559   0.53699261],"[[  0.93084485  -2.11591927  -0.164507     0.05241539]
 [  5.31184123 -17.73960526   0.           0.        ]]"
9,[-0.6214844  -0.62581062],[-0.45295686  0.46464851],"[ 0.06734486 -1.05233463  1.27049792 -0.53580717 -1.42671031  0.46115745
  0.33392721 -2.57171029  1.7529583  -0.81059098  0.        ]",-0.244856623891,-1.40156,[-1.32592982  0.33062039],"[[  1.05004141  -2.44585342  -0.164507     0.05241539]
 [  6.60362047 -15.26205217   0.           0.        ]]"
10,[-0.6214844  -0.62581062],[-0.18676706  0.70702243],"[-0.06924925 -1.24133821  1.33334693  0.0224103  -1.42670917  0.4611573
 -0.05812541 -2.268855    1.41270023 -0.77259556  0.        ]",-0.215812762718,-1.2589,[-0.53286341  0.40045221],"[[  1.14107895  -2.73492758  -0.164507     0.05241539]
 [  2.51370747 -13.65077506   0.           0.        ]]"
11,[-0.6214844  -0.62581062],[-0.01536706  0.8301059 ],"[-0.11342803 -1.32901396  1.35077052  0.57712996 -1.42670804  0.46115716
 -0.26513857 -1.92004018  1.10219932 -0.70440634  0.        ]",-0.188738307858,-1.1368,[-0.41133878  0.96844542],"[[  1.16968528  -2.9893231   -0.164507     0.05241539]
 [  0.35413549 -11.79496815   0.           0.        ]]"
12,[-0.6214844  -0.62581062],[ 0.80104941  0.06061295],"[-0.09896989 -1.34183889  1.34521539  0.80475319 -1.42670691  0.46115701
 -0.42187877  0.27842722  0.97360366 -0.65203528  0.        ]",-0.176988478987,-1.07651,[ 0.27070024  0.58376786],"[[ 1.16036298 -3.08995609 -0.164507    0.05241539]
 [-1.28098678 -0.09832781  0.          0.        ]]"
13,[-0.6214844  -0.62581062],[ 0.87923449 -0.23580992],"[-0.07642863 -1.33952827  1.33626789  0.74099792 -1.42670577  0.46115686
 -0.31669657  0.78556699  1.01133208 -0.67200127  0.        ]",-0.180544555201,-1.09296,[ 0.21974782  0.50323431],"[[ 1.14575259 -3.06186655 -0.164507    0.05241539]
 [-0.1837225   2.59983989  0.          0.        ]]"
14,[-0.6214844  -0.62581062],[ 0.91381198 -0.58503926],"[-0.08426853 -1.32921372  1.33941856  0.57953566 -1.42670464  0.46115672
 -0.23293907  1.15042273  1.09774171 -0.7072995   0.        ]",-0.188441944379,-1.12603,[ 1.03932804 -0.4902577 ],"[[ 1.15084491 -2.99039338 -0.164507    0.05241539]
 [ 0.69003846  4.54100716  0.          0.        ]]"
15,[-0.6214844  -0.62581062],[ 0.64428538 -0.31716695],"[-0.1674969  -1.31285943  1.37029266  0.42210878 -1.42670351  0.46115657
  0.14527128  0.76869077  1.19365139 -0.71864134  0.        ]",-0.196565165713,-1.17272,[ 0.9315225  -1.16510481],"[[ 1.20423226 -2.91995043 -0.164507    0.05241539]
 [ 4.63554375  2.5100576   0.          0.        ]]"
16,[-0.6214844  -0.62581062],[ 0.29861486  0.35751626],"[-0.37490468 -1.31005013  1.42810206  0.39999563 -1.42670237  0.46115643
  0.48999853  0.01515211  1.22704659 -0.67816017  0.        ]",-0.198413557704,-1.14018,[ 0.16781823  0.75905589],"[[ 1.33302497 -2.90997393 -0.164507    0.05241539]
 [ 8.23175226 -1.49903853  0.          0.        ]]"
17,[-0.6214844  -0.62581062],[ 0.29725164 -0.01112711],"[-0.65762002 -1.30991288  1.46706765  0.39894719 -1.42670124  0.46115628
  0.53808078  0.58566171  1.24856375 -0.61688497  0.        ]",-0.198908580796,-1.17934,[-0.83898181 -0.37407453],"[[ 1.5026928  -2.90950039 -0.164507    0.05241539]
 [ 8.73334985  1.53627761  0.          0.        ]]"
18,[-0.6214844  -0.62581062],[ 0.42859307  0.23981526],"[-0.89307742 -1.30528122  1.4667089   0.36457015 -1.42670011  0.46115613
  0.20308335  0.30153007  1.27837242 -0.55559794  0.        ]",-0.200197744834,-1.13045,[ 0.72612972 -0.06954297],"[[ 1.64229624 -2.89394196 -0.164507    0.05241539]
 [ 5.23864665  0.02459643  0.          0.        ]]"
19,[-0.6214844  -0.62581062],[ 0.1360838   0.35292956],"[-1.11458306 -1.30597557  1.43924231  0.36958687 -1.42669897  0.46115599
  0.46872828  0.24971139  1.28014704 -0.50196821  0.        ]",-0.199363825082,-1.11943,[ 0.45209114  0.1116801 ],"[[ 1.77487369 -2.89621622 -0.164507    0.05241539]
 [ 8.00986379 -0.251097    0.          0.        ]]"
20,[-0.6214844  -0.62581062],[-0.05217145  0.33940366],"[-1.39960573 -1.30613694  1.3625313   0.37076479 -1.42669784  0.46115584
  0.6251115   0.33378915  1.27701852 -0.42916575  0.        ]",-0.19785829389,-1.09987,[ 0.53879058  0.06736326],"[[ 1.95143931 -2.89675006 -0.164507    0.05241539]
 [ 9.64126015  0.19622695  0.          0.        ]]"
21,[-0.6214844  -0.62581062],[-0.15439852  0.34908345],"[-1.71576085 -1.30411658  1.21290079  0.3562917  -1.42669671  0.46115569
  0.81130223  0.38322964  1.2666951  -0.33551059  0.        ]",-0.195541208587,-1.0619,[ 0.39819951  1.92820337],"[[  2.16375276  -2.89018641  -0.164507     0.05241539]
 [ 11.5836102    0.45926842   0.           0.        ]]"
22,[-0.6214844  -0.62581062],[-0.40333569 -0.33554047],"[-2.02734411 -1.28745946  0.97072039  0.24944031 -1.42669557  0.46115555
  0.94045457  1.12579634  1.2573827  -0.17053371  0.        ]",-0.192655190675,-1.08379,[ 0.39357403 -0.48116145],"[[  2.40894341  -2.84136229  -0.164507     0.05241539]
 [ 12.93093534   4.40998793   0.           0.        ]]"
23,[-0.6214844  -0.62581062],[-0.50478625 -0.1133921 ],"[-2.28428237 -1.25942263  0.63257965  0.10290081 -1.42669444  0.4611554
  1.0652664   0.75134708  1.19377578  0.03395954  0.        ]",-0.185359946541,-1.06997,[ 0.35532969  0.14220893],"[[  2.68062588  -2.77315109  -0.164507     0.05241539]
 [ 14.23298155   2.41778768   0.           0.        ]]"
24,[-0.6214844  -0.62581062],[-0.58946902 -0.31437993],"[-2.43753393 -1.23360644  0.20913745 -0.00946185 -1.42669331  0.46115525
  1.1730998   0.84826121  1.05413899  0.18599891  0.        ]",-0.172441658487,-1.06126,[-0.94725129 -0.71384177],"[[  2.9765724   -2.71962212  -0.164507     0.05241539]
 [ 15.35790972   2.93340694   0.           0.        ]]"
25,[-0.6214844  -0.62581062],[-0.36903137  0.42074546],"[-2.45178033 -1.21784923 -0.1916856  -0.07073288 -1.42669218  0.46115511
  0.78444297  0.30612316  0.89828888  0.23559572  0.        ]",-0.158686604355,-0.99093,[-0.42445979 -0.01373483],"[[  3.24305039  -2.68989347  -0.164507     0.05241539]
 [ 11.30343535   0.04904272   0.           0.        ]]"
26,[-0.6214844  -0.62581062],[-0.33859003  0.45879915],"[-2.38080774 -1.21761475 -0.49698668 -0.07160699 -1.42669104  0.46115496
  0.60190347  0.29574835  0.78745142  0.2024369   0.        ]",-0.149077612799,-0.921612,[ 0.90217091 -0.4428915 ],"[[  3.45001310e+00  -2.68946631e+00  -1.64506999e-01   5.24153862e-02]
 [  9.39918113e+00  -6.15448101e-03   0.00000000e+00   0.00000000e+00]]"
27,[-0.6214844  -0.62581062],[-0.15058459  0.6475116 ],"[-2.22855443 -1.22713195 -0.80233592 -0.03520766 -1.42668991  0.46115482
  0.92645656 -0.03378492  0.69586032  0.1171854   0.        ]",-0.141461478548,-0.882034,[-0.43577642 -0.22017757],"[[  3.6719669   -2.70718037  -0.164507     0.05241539]
 [ 12.7849309   -1.75938633   0.           0.        ]]"
28,[-0.6214844  -0.62581062],[-0.09515293  0.8306483 ],"[-1.98871811 -1.2490251  -1.08543784  0.0556034  -1.42668878  0.46115467
  0.73681527 -0.19106601  0.64760553 -0.01050087  0.        ]",-0.138287147345,-0.793701,[ 1.31089659  0.87935224],"[[  3.90781622  -2.7507637   -0.164507     0.05241539]
 [ 10.80659194  -2.59617663   0.           0.        ]]"
29,[-0.6214844  -0.62581062],[-0.15140502 -0.0027394 ],"[-1.65599489 -1.25672709 -1.3249058   0.09035762 -1.42668764  0.46115452
  1.09584317  0.47310915  0.58823229 -0.13579694  0.        ]",-0.134713390152,-0.825115,[-0.37119177 -1.05464211],"[[  4.16152699  -2.76723329  -0.164507     0.05241539]
 [ 14.55198503   0.9374657    0.           0.        ]]"
