timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.2609199  -0.19583863],-0.759987,"[ 0.90070383  1.45670215 -0.07269294  0.54986377  1.58031079  1.20799549
 -0.41528245  0.3261471  -0.31943437 -1.34816701  0.        ]",-0.149460057296,[ 2.25121737  0.99427819],[ 2.00397223  1.39825379],"[[ 0.00339871 -0.0857483   0.18208843  0.13819282]
 [ 0.00030888  0.00218572  0.          0.        ]]"
1,[-0.2609199  -0.19583863],-0.818983,"[ 0.89928023  1.45980115 -0.01029297  0.65330519  1.58030609  1.20799296
 -0.11099348  0.93846385 -0.31700213 -1.22070471  0.        ]",-0.137064519425,[ 1.33767343  0.18557194],[ 1.77427706 -0.58551067],"[[ 0.04307994 -0.04599259  0.18208843  0.13819282]
 [ 3.95464973  3.96019981  0.          0.        ]]"
2,[-0.2609199  -0.19583863],-0.656512,"[ 0.8807398   1.46100159  0.17426702  0.79705713  1.58030138  1.20799043
  0.18746595  0.56743998 -0.34123076 -0.91241673  0.        ]",-0.106502531634,[ 0.21238232  0.13848177],[ 0.08571349  0.089972  ],"[[ 0.16108793  0.00914857  0.18208843  0.13819282]
 [ 7.83323386  1.56191263  0.          0.        ]]"
3,[-0.2609199  -0.19583863],-0.489373,"[ 0.82259879  1.45991781  0.41619343  0.88699241  1.58029667  1.2079879
  0.20162571  0.61775671 -0.4224556  -0.55251592  0.        ]",-0.0694802079801,[-0.60507166 -0.13808101],[-0.35494689  0.18677001],"[[ 0.31959885  0.04365018  0.18208843  0.13819282]
 [ 8.01724691  1.88716354  0.          0.        ]]"
4,[-0.2609199  -0.19583863],-0.314104,"[ 0.73743721  1.45640848  0.62631824  1.00353981  1.58029196  1.20798536
  0.0813542   0.72647546 -0.55025008 -0.23084904  0.        ]",-0.0356789887443,[-1.10094762 -0.43117264],[-1.65524284 -0.53152245],"[[ 0.46426207  0.08844451  0.18208843  0.13819282]
 [ 6.45428121  2.58992482  0.          0.        ]]"
5,[-0.2609199  -0.19583863],-0.329406,"[ 0.67129901  1.45270561  0.74737341  1.08182531  1.58028725  1.20798283
 -0.2328136   0.39319459 -0.65233623 -0.04658096  0.        ]",-0.0204191614764,[-0.9041909  -0.17630398],[-1.12960205 -0.56180086],"[[ 0.55238472  0.11862809  0.18208843  0.13819282]
 [ 2.37157103  0.43560926  0.          0.        ]]"
6,[-0.2609199  -0.19583863],-0.449001,"[ 0.6653721   1.45451112  0.75709762  1.04637742  1.58028254  1.2079803
 -0.54076557  0.04796101 -0.65188631 -0.04592274  0.        ]",-0.0203361818319,[-0.22636701  0.33183971],[-0.45238017  0.64620014],"[[ 0.55966356  0.10495017  0.18208843  0.13819282]
 [-1.63036432 -1.79596886  0.          0.        ]]"
7,[-0.2609199  -0.19583863],-0.379313,"[ 0.70485382  1.45567741  0.68908541  1.02073016  1.58027783  1.20797777
 -0.67606902  0.44940477 -0.59561139 -0.14288422  0.        ]",-0.0272469318909,[ 0.22417259  0.13025758],[-0.8377791  0.3676138],"[[ 0.50941452  0.0950665   0.18208843  0.13819282]
 [-3.38868278  0.79895103  0.          0.        ]]"
8,[-0.2609199  -0.19583863],-0.483768,"[ 0.77344286  1.45170126  0.54763002  1.09961661  1.58027313  1.20797524
 -0.92598107  0.67233616 -0.52102404 -0.29824188  0.        ]",-0.0425947879603,[ 1.11508274  0.144456  ],[ 1.21567641  0.15965724],"[[ 0.40905576  0.12550387  0.18208843  0.13819282]
 [-6.63637988  2.23997535  0.          0.        ]]"
9,[-0.2609199  -0.19583863],-0.491485,"[ 0.82368742  1.44266725  0.4128038   1.23026472  1.58026842  1.20797271
 -0.61148734  0.76302901 -0.47345802 -0.42387198  0.        ]",-0.055749921261,[ 0.74044126 -0.146898  ],[ 1.12280252 -1.40873114],"[[ 0.31733345  0.17618523  0.18208843  0.13819282]
 [-2.54945436  2.82621635  0.          0.        ]]"
