timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
35,"[-0.53412385  1.21275072  1.54189894  1.13403656 -0.97736857  1.19094738
 -0.18938652  0.14181289 -0.15550452  0.17391637  0.        ]",[-2.00137366  1.19474005],-0.0475525938206,-0.0475525938206,"[[ 1.53719959  0.89853069 -0.11243874  0.13620037]
 [-4.58025534  3.21588764  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.30293635  0.41860893]
36,"[-0.33381351  1.10599391  1.52244039  1.29766906 -0.97736692  1.19094489
 -0.57118186  0.73947258 -0.02036865  0.18359667  0.        ]",[ 1.52106981 -1.21746454],-0.0592351991411,-0.0592351991411,"[[ 1.40679324  1.00194797 -0.11243874  0.13620037]
 [-8.44754046  7.11280561  0.          0.        ]]",[-0.22935538 -0.29722205],[ 1.03916788  0.23111565]
37,"[-0.14198751  0.99455596  1.47886768  1.43395668 -0.97736527  1.1909424
 -0.16395631  0.11040352  0.11001764  0.17601784  0.        ]",[ 1.63580087  1.5123962 ],-0.0708284241005,-0.0708284241005,"[[ 1.27922801  1.10304983 -0.11243874  0.13620037]
 [-4.3226784   3.01109828  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.82037365  0.54640388]
38,"[-0.0745628   0.87935956  1.45737232  1.54370449 -0.97736362  1.19093992
  0.2350311   0.70836733  0.1139718   0.1169062   0.        ]",[-0.81696052  0.40117473],-0.0685227470184,-0.0685227470184,"[[ 1.23332237  1.2023904  -0.11243874  0.13620037]
 [-0.28126174  6.90999388  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.15002245 -0.39427149]
39,"[ -1.95490733e-02   6.93818703e-01   1.43729609e+00   1.66331283e+00
  -9.77361965e-01   1.19093743e+00  -8.35977523e-02   9.31120137e-01
   7.71598231e-02   6.10027428e-04   0.00000000e+00]",[ 0.71300946 -0.56804315],-0.0605528903943,-0.0605528903943,"[[ 1.19531565  1.35516316 -0.11243874  0.13620037]
 [-3.50870819  8.36241307  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.30256447 -0.58435524]
40,"[ 0.03910625  0.51431089  1.41326081  1.71917729 -0.97736031  1.19093494
  0.20187802  0.56067822  0.05941542 -0.11372171  0.        ]",[ 0.14363497 -0.57298222],-0.0562444182245,-0.0562444182245,"[[ 1.15415384  1.49817688 -0.11243874  0.13620037]
 [-0.61707625  5.94703464  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.10401875 -0.69584429]
41,"[ 0.04828905  0.39380652  1.40924035  1.72566487 -0.97735866  1.19093245
  0.25925261  0.19464794  0.02685495 -0.20615331  0.        ]",[-0.38561547 -1.08462735],-0.0522614613255,-0.0522614613255,"[[ 1.14764343  1.59317186 -0.11243874  0.13620037]
 [-0.0359179   3.56041974  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.10143569 -0.62110615]
42,"[ 0.07076502  0.3547685   1.39910615  1.722496   -0.97735701  1.19092996
  0.10871992 -0.42339923  0.03438326 -0.22832104  0.        ]",[-1.09821808 -0.93924649],-0.053222387031,-0.053222387031,"[[ 1.13162679  1.62394766 -0.11243874  0.13620037]
 [-1.56068432 -0.46941383  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.49500307 -0.00944249]
43,"[ 0.16775979  0.41389501  1.35029267  1.7262761  -0.97735536  1.19092747
 -0.27887984 -0.99226344  0.14142709 -0.14243593  0.        ]",[ 1.90484359  0.4085756 ],-0.0650016948773,-0.0650016948773,"[[ 1.06102117  1.57734439 -0.11243874  0.13620037]
 [-5.48673752 -4.17856714  0.          0.        ]]",[-0.22935538 -0.29722205],[ 1.67478216  1.01833951]
44,"[ 0.25884455  0.49828673  1.29627802  1.72143494 -0.97735371  1.19092498
  0.12253285 -0.73157676  0.26775415 -0.05088699  0.        ]",[ 1.73426864  2.09447749],-0.0798996516435,-0.0798996516435,"[[ 0.99208206  1.51082695 -0.11243874  0.13620037]
 [-1.420776   -2.47882873  0.          0.        ]]",[-0.22935538 -0.29722205],[ 1.09301949  0.80749601]
45,"[ 0.24383186  0.51014788  1.30576391  1.71978218 -0.97735206  1.19092249
  0.51593773 -0.11689042  0.25765192 -0.04646156  0.        ]",[ 0.56273753 -1.03199509],-0.0788725974859,-0.0788725974859,"[[ 1.00364782  1.50146309 -0.11243874  0.13620037]
 [ 2.56407458  1.52908336  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.07884631 -0.03772666]
46,"[ 0.1464297   0.52211596  1.36175152  1.71787193 -0.9773504   1.19092
  0.73086279 -0.72887878  0.16446724 -0.06755226  0.        ]",[-1.2719954   0.16083652],-0.0683818867634,-0.0683818867634,"[[ 1.07677215  1.49200864 -0.11243874  0.13620037]
 [ 4.74108465 -2.46124076  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.20586099  0.17635159]
47,"[ 0.07171726  0.57558864  1.39865044  1.70636536 -0.97734875  1.19091751
  0.33088704 -0.62361847  0.1143095  -0.05385581  0.        ]",[ 0.28864558 -0.61927056],-0.0631865415828,-0.0631865415828,"[[ 1.1309447   1.44966969 -0.11243874  0.13620037]
 [ 0.68968996 -1.77492223  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.31433663  0.37019885]
48,"[ 0.03640073  0.65056168  1.41440283  1.68189527 -0.9773471   1.19091502
  0.44235931 -0.99433172  0.11248049 -0.01063964  0.        ]",[ 1.18650364 -0.65864808],-0.0639828483343,-0.0639828483343,"[[ 1.1560673   1.3899192  -0.11243874  0.13620037]
 [ 1.81880848 -4.19207465  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.28300586  0.69877207]
49,"[-0.07233478  0.78526928  1.45656449  1.61258163 -0.97734545  1.19091254
  0.82953151 -1.3817235   0.06790525  0.04859337  0.        ]",[-1.5799829   0.96189974],-0.0611723169094,-0.0611723169094,"[[ 1.23179171  1.28073473 -0.11243874  0.13620037]
 [ 5.7405243  -6.71798662  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.25816131  0.80130303]
