timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.403644229977,[ 0.12734046  2.32346957],-0.403644229977,[-0.54192841  1.85017705],"[[ 0.05448588 -0.02586919 -0.13765167 -0.19683659]
 [-0.00253667  0.00404437  0.          0.        ]]","[ 0.95303065  1.7384609   0.12772333 -1.02794989 -1.18225057 -1.69180608
  0.27577571 -0.35483748  2.60066877  1.83820535  0.        ]",[-0.22220953 -0.28499141]
1,-0.406188658734,[-0.32516358  1.48949521],-0.406188658734,[-0.61547208  1.65345609],"[[ 0.05947441  0.01393677 -0.13765167 -0.19683659]
 [ 0.49972274  3.96335684  0.          0.        ]]","[ 0.95259803  1.73875492  0.13534189 -0.91546829 -1.18224773 -1.69179955
  0.32333916  0.24170886  2.59821407  1.89086797  0.        ]",[-0.22220953 -0.28499141]
2,-0.411306843916,[-0.72321887  1.1138845 ],-0.411306843916,[-0.54339606  1.59013784],"[[ 0.05644872  0.13214953 -0.13765167 -0.19683659]
 [-0.79796123  7.84498034  0.          0.        ]]","[ 0.952862    1.72781895  0.13072105 -0.58248975 -1.1822449  -1.69179302
  0.20044859  0.82654928  2.5839371   2.01002747  0.        ]",[-0.22220953 -0.28499141]
3,-0.414232880096,[-0.30729516  1.14304236],-0.414232880096,[-0.38406366  1.60170889],"[[  0.01192844   0.32722961  -0.13765167  -0.19683659]
 [ -3.6445798   11.65033473   0.           0.        ]]","[ 0.95516767  1.67160203  0.06266236 -0.04653334 -1.18224206 -1.69178649
 -0.0691257   1.39989571  2.54765007  2.12209519  0.        ]",[-0.22220953 -0.28499141]
4,-0.412918558572,[-0.4199655   1.15508504],-0.412918558572,[-0.19970292  1.60592377],"[[ -0.07244975   0.5976539   -0.13765167  -0.19683659]
 [ -4.78939156  15.37965245   0.           0.        ]]","[ 0.95129564  1.5191338  -0.06631624  0.63532086 -1.18223923 -1.69177995
 -0.17753914  1.96177983  2.47085321  2.22053015  0.        ]",[-0.22220953 -0.28499141]
5,-0.4054139292,[-0.60613391  0.48056005],-0.4054139292,[ 0.01603308  1.55638325],"[[ -0.18396693   0.94192427  -0.13765167  -0.19683659]
 [ -6.35706291  19.03517187   0.           0.        ]]","[ 0.92968342  1.21690689 -0.23541981  1.33046368 -1.18223639 -1.69177342
 -0.32599731  2.51253439  2.32525687  2.31203635  0.        ]",[-0.22220953 -0.28499141]
6,-0.388290876451,[-0.03188044  0.97582799],-0.388290876451,[ 0.17372912  1.46067274],"[[ -0.33390985   1.33794252  -0.13765167  -0.19683659]
 [ -8.62972146  20.56150514   0.           0.        ]]","[ 0.87151532  0.76377274 -0.45693782  1.79481658 -1.18223356 -1.69176689
 -0.54121766  2.74248069  2.11040633  2.33830276  0.        ]",[-0.22220953 -0.28499141]
7,-0.36103119597,[ 0.19834097  0.66591371],-0.36103119597,[ 0.26975775  1.18435037],"[[ -0.50605926   1.78385255  -0.13765167  -0.19683659]
 [ -8.58523832  24.0179798    0.           0.        ]]","[ 0.76520235  0.20324264 -0.69709741  1.8071792  -1.18223073 -1.69176036
 -0.53700441  3.2632196   1.81164152  2.30726928  0.        ]",[-0.22220953 -0.28499141]
8,-0.323146409854,[ 0.77123712  1.89222822],-0.323146409854,[ 0.35814726  1.14635837],"[[ -0.66817621   2.28589291  -0.13765167  -0.19683659]
 [ -7.62953332  26.17889058   0.           0.        ]]","[ 0.62916469 -0.35987208 -0.90333681  1.17880353 -1.18222789 -1.69175382
 -0.44649836  3.58874476  1.41180022  2.22056609  0.        ]",[-0.22220953 -0.28499141]
9,-0.272854148731,[-0.18421875  0.10874327],-0.272854148731,[ 0.3531388   1.01190829],"[[ -0.78860717   2.84399707  -0.13765167  -0.19683659]
 [ -4.42415749  29.62012011   0.           0.        ]]","[ 0.50766934 -0.74059556 -1.04073079 -0.12623372 -1.18222506 -1.69174729
 -0.14294805  4.10714021  0.94058936  2.0112445   0.        ]",[-0.22220953 -0.28499141]
10,-0.226571652369,[ 0.67216722  0.3464036 ],-0.226571652369,[-0.57510531  0.5823617 ],"[[-0.88353382  3.27236159 -0.13765167 -0.19683659]
 [-5.06685522  5.21874829  0.          0.        ]]","[ 0.40089613 -0.78548923 -1.13803996 -1.32334989 -1.18222222 -1.69174076
 -0.20381159  0.4307939   0.61076492  1.71515488  0.        ]",[-0.22220953 -0.28499141]
11,-0.233100883165,[-0.68361757  1.28292897],-0.233100883165,[-0.88147199  0.62093496],"[[-0.95716884  3.23875425 -0.13765167 -0.19683659]
 [-2.30569541 -4.95719327  0.          0.        ]]","[ 0.31205319 -0.79033216 -1.20623102 -1.22899521 -1.18221939 -1.69173423
  0.05767162 -1.10232691  0.64517155  1.76604085  0.        ]",[-0.22220953 -0.28499141]
12,-0.244476331821,[-0.44421501  1.31616774],-0.244476331821,[-0.83242321  0.67308593],"[[-1.02998158  3.14016952 -0.13765167 -0.19683659]
 [-4.9666817  -4.30903446  0.          0.        ]]","[ 0.21954695 -0.79630813 -1.26699641 -0.95083141 -1.18221656 -1.6917277
 -0.19432521 -1.0046723   0.72844584  1.83809561  0.        ]",[-0.22220953 -0.28499141]
13,-0.251736679181,[-1.24382685  0.46352023],-0.251736679181,[-0.77780795  0.65931457],"[[-1.14597425  3.0724779  -0.13765167 -0.19683659]
 [-6.62705142 -2.50165428  0.          0.        ]]","[ 0.0638454  -0.79328178 -1.34932689 -0.75969372 -1.18221372 -1.69172116
 -0.351563   -0.73236851  0.79831453  1.87123323  0.        ]",[-0.22220953 -0.28499141]
