timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.09206282  0.05185783 -0.12810473 -0.01930476]
 [-0.00454737  0.00246691  0.          0.        ]]",[-2.11120033 -3.13702488],-0.339443819292,[-2.17263774 -3.15102096],-2.79598,"[ 0.86896884  1.60848918  0.13288861  1.12167166 -1.12384169 -0.17151951
  0.72995196  0.34032768  2.76501735  0.65229217  0.        ]",[-0.51152724 -0.35652533]
1,"[[ 0.05229771  0.01219426 -0.12810473 -0.01930476]
 [-3.95880184 -3.95563695  0.          0.        ]]",[-2.01758885 -2.87335134],-0.33921656731,[-1.02531534 -3.27423602],-2.79413,"[ 0.87322407  1.61004242  0.06834821  1.00769958 -1.1238404  -0.17151942
  0.60995668 -0.25237579  2.77669918  0.53142444  0.        ]",[-0.51152724 -0.35652533]
2,"[[-0.06576818 -0.1058454  -0.12810473 -0.01930476]
 [-7.83490219 -7.83540036  0.          0.        ]]",[-2.08112931 -2.66882706],-0.336327768989,[-1.19287372 -2.32767021],-2.71543,"[ 0.87204375  1.60327293 -0.12367445  0.66889119 -1.12383911 -0.17151933
  0.49233313 -0.83334791  2.76234508  0.17140669  0.        ]",[-0.51152724 -0.35652533]
3,"[[ -0.26058927  -0.30070948  -0.12810473  -0.01930476]
 [-11.63464842 -11.63831971   0.           0.        ]]",[-2.29056048 -2.52726173],-0.324432455507,[-1.96801645 -3.12812694],-2.60061,"[ 0.82514321  1.55514118 -0.43601705  0.12103918 -1.12383781 -0.17151924
  0.37702664 -1.40281175  2.58207827 -0.39202669  0.        ]",[-0.51152724 -0.35652533]
4,"[[ -0.5306594   -0.57087518  -0.12810473  -0.01930476]
 [-15.36020086 -15.36578327   0.           0.        ]]",[-2.31014204 -2.26574659],-0.294103297785,[-2.72512748 -3.18294739],-2.34198,"[ 0.67113658  1.41581629 -0.84034408 -0.58097795 -1.12383652 -0.17151915
  0.26397165 -1.96097351  2.0560755  -1.00748871  0.        ]",[-0.51152724 -0.35652533]
5,"[[ -0.87451951  -0.91484636  -0.12810473  -0.01930476]
 [-19.01408706 -19.01907864   0.           0.        ]]",[-2.25630331 -2.12984228],-0.235618476336,[-1.91081536 -1.6193395 ],-1.97826,"[ 0.34297121  1.13212155 -1.26530721 -1.30579214 -1.12383523 -0.17151906
  0.15309145 -2.50802375  1.11952154 -1.34567701  0.        ]",[-0.51152724 -0.35652533]
6,"[[ -1.29076237e+00  -1.33115236e+00  -1.28104726e-01  -1.93047569e-02]
 [ -2.25988714e+01  -2.25994856e+01   0.00000000e+00   0.00000000e+00]]",[-1.82455409 -1.81212294],-0.144588156163,[-1.83040561 -1.24925854],-1.37179,"[-0.19872289  0.67560176 -1.58070917 -1.82029944 -1.12383393 -0.17151897
  0.04430819 -3.04415135  0.0614495  -1.02675551  0.        ]",[-0.51152724 -0.35652533]
7,"[[ -1.77802594e+00  -1.81834968e+00  -1.28104726e-01  -1.93047569e-02]
 [ -2.61163235e+01  -2.61084940e+01   0.00000000e+00   0.00000000e+00]]",[-1.52079868 -1.45202994],-0.0314689896688,[-2.75734645 -1.52135504],-0.619608,"[-0.91430464  0.08449485 -1.60928087 -1.8148106  -1.12383264 -0.17151888
 -0.06243181 -3.56957619 -0.44308027 -0.05977542  0.        ]",[-0.51152724 -0.35652533]
8,"[[ -2.33496557e+00  -2.37502928e+00  -1.28104726e-01  -1.93047569e-02]
 [ -2.95662132e+01  -2.95481007e+01   0.00000000e+00   0.00000000e+00]]",[-1.77806842 -1.47032058],-0.0818570970958,[-1.29878177 -2.01323055],-0.983703,"[-1.63589526 -0.49788331 -1.19161586 -1.02170997 -1.12383135 -0.17151879
 -0.16712157 -4.08459374  0.04556487  0.77493001  0.        ]",[-0.51152724 -0.35652533]
9,"[[ -2.96020435e+00  -2.99982864e+00  -1.28104726e-01  -1.93047569e-02]
 [ -3.29455139e+01  -3.29209584e+01   0.00000000e+00   0.00000000e+00]]",[-2.53155804 -1.95499873],-0.138852202282,[-3.17253284 -3.18884693],-1.15424,"[-2.06876242 -0.82832858 -0.31028642  0.56642232 -1.12383005 -0.17151871
 -0.26966924 -4.58959735  0.7834537   0.57511296  0.        ]",[-0.51152724 -0.35652533]
10,"[[ -3.65228045e+00  -3.28682703e+00  -1.28104726e-01  -1.93047569e-02]
 [ -3.62511260e+01   3.30834950e-02   0.00000000e+00   0.00000000e+00]]",[-2.05073476 -2.01391482],-0.126929870195,[-2.95121341 -1.14858503],-1.04584,"[-1.90373806 -0.82771974  0.77871393  1.38874008 -1.12382876 -0.17151862
 -0.36998074  0.34492361  0.71376565  0.2261275   0.        ]",[-0.51152724 -0.35652533]
11,"[[ -4.40982533e+00  -3.21158493e+00  -1.28104726e-01  -1.93047569e-02]
 [ -3.94926796e+01   5.18235276e+00   0.00000000e+00   0.00000000e+00]]",[-1.82237339 -1.95544648],-0.123490901756,[-2.42922986 -1.26946616],-1.12809,"[-1.05116369 -0.83761946  1.53674429  1.17371206 -1.12382747 -0.17151853
 -0.4683483   1.11597159  0.67780872  0.30209634  0.        ]",[-0.51152724 -0.35652533]
12,"[[ -5.23156077e+00  -3.11855478e+00  -1.28104726e-01  -1.93047569e-02]
 [ -4.26702640e+01   3.81154349e+00   0.00000000e+00   0.00000000e+00]]",[-1.45798647 -1.70930445],-0.125655583494,[-1.25531663 -1.53631565],-1.30207,"[ 0.12746836 -0.84029384  1.39622523  0.90641024 -1.12382617 -0.17151844
 -0.56477461  0.91070641  0.69783821  0.3192235   0.        ]",[-0.51152724 -0.35652533]
13,"[[ -6.11621596e+00  -3.06024114e+00  -1.28104726e-01  -1.93047569e-02]
 [ -4.57848648e+01   2.10485046e+00   0.00000000e+00   0.00000000e+00]]",[-1.42546618 -1.50209033],-0.120418440312,[-1.18015658 -0.59598769],-1.32179,"[ 0.85461537 -0.83656571  0.2537443   0.73900404 -1.12382488 -0.17151835
 -0.65928955  0.65514649  0.64684174  0.31404886  0.        ]",[-0.51152724 -0.35652533]
14,"[[ -7.06254405e+00  -3.02947127e+00  -1.28104726e-01  -1.93047569e-02]
 [ -4.88377691e+01   1.06336666e+00   0.00000000e+00   0.00000000e+00]]",[-1.40098882 -1.40061152],-0.114109941351,[-1.16130649 -2.22622698],-1.1167,"[ 0.44686786 -0.83292341 -1.16047973  0.65095413 -1.12382358 -0.17151826
 -0.75193217  0.49919482  0.57573431  0.39243307  0.        ]",[-0.51152724 -0.35652533]
15,"[[ -8.06932383e+00  -3.01492262e+00  -1.28104726e-01  -1.93047569e-02]
 [ -5.18302360e+01   4.68374446e-01   0.00000000e+00   0.00000000e+00]]",[-1.66289043 -1.66951156],-0.120567660384,[-2.75280168 -1.44300135],-1.09811,"[-0.92606859 -0.83079924 -1.60650984  0.60942298 -1.12382229 -0.17151817
 -0.84274064  0.41010066  0.61136486  0.52718937  0.        ]",[-0.51152724 -0.35652533]
16,"[[ -9.13535858e+00  -3.00859275e+00  -1.28104726e-01  -1.93047569e-02]
 [ -5.47634651e+01   2.00893276e-01   0.00000000e+00   0.00000000e+00]]",[-1.92058611 -1.95521414],-0.137357630999,[-2.55025204 -1.93873791],-1.21991,"[-2.03137574 -0.8297943  -0.48116282  0.59137675 -1.123821   -0.17151808
 -0.93175135  0.37004789  0.76917566  0.57194923  0.        ]",[-0.51152724 -0.35652533]
17,"[[ -1.02594753e+01  -3.00590181e+00  -1.28104726e-01  -1.93047569e-02]
 [ -5.76386294e+01   8.45058401e-02   0.00000000e+00   0.00000000e+00]]",[-1.74716127 -1.88820338],-0.14692338748,[-1.39601387 -1.68628651],-1.35173,"[-1.60540154 -0.82935192  1.18932608  0.58370933 -1.1238197  -0.17151799
 -1.01899986  0.35261986  0.89224971  0.44550969  0.        ]",[-0.51152724 -0.35652533]
18,"[[ -1.14405243e+01  -3.00477743e+00  -1.28104726e-01  -1.93047569e-02]
 [ -6.04568774e+01   3.50255736e-02   0.00000000e+00   0.00000000e+00]]",[-1.3707099  -1.66738534],-0.137868079247,[-1.65504413 -2.10768968],-1.35817,"[ 0.02988895 -0.82916406  1.45220914  0.58050618 -1.12381841 -0.1715179
 -1.10452099  0.3452105   0.82000234  0.27457382  0.        ]",[-0.51152724 -0.35652533]
19,"[[ -1.26773785e+01  -3.00431381e+00  -1.28104726e-01  -1.93047569e-02]
 [ -6.32193348e+01   1.43517044e-02   0.00000000e+00   0.00000000e+00]]",[-1.44169867 -1.52434134],-0.117648452642,[-1.49487497  0.07550601],-1.27421,"[ 0.86612289 -0.82908574 -0.19699864  0.57918533 -1.12381712 -0.17151781
 -1.1883489   0.3421146   0.62175495  0.28019299  0.        ]",[-0.51152724 -0.35652533]
20,"[[ -1.39689329e+01  -3.00100654e+00  -1.28104726e-01  -1.93047569e-02]
 [ -6.59270800e+01   3.15417466e-01   0.00000000e+00   0.00000000e+00]]",[-1.68398547 -1.65402222],-0.114299796104,[-1.74631882 -1.29295108],-1.08583,"[-0.36040837 -0.82852379 -1.62112074  0.56976781 -1.12381582 -0.17151772
 -1.27051626  0.38719595  0.56195202  0.47299896  0.        ]",[-0.51152724 -0.35652533]
21,"[[ -1.53141051e+01  -3.00349839e+00  -1.28104726e-01  -1.93047569e-02]
 [ -6.85812781e+01  -1.57632104e-01   0.00000000e+00   0.00000000e+00]]",[-1.99864173 -1.99966466],-0.135633568736,[-2.62120341 -2.97586271],-1.16977,"[-1.97946194 -0.82894717 -0.64122892  0.57686233 -1.12381453 -0.17151763
 -1.3510584   0.31636132  0.74941829  0.579929    0.        ]",[-0.51152724 -0.35652533]
22,"[[ -1.67118336e+01  -3.00478582e+00  -1.28104726e-01  -1.93047569e-02]
 [ -7.11829009e+01  -9.36666820e-03   0.00000000e+00   0.00000000e+00]]",[-1.68495739 -1.85981381],-0.146911832402,[-1.56116479 -3.42163365],-1.29128,"[-1.40598233 -0.82916262  1.3560699   0.58052852 -1.12381324 -0.17151754
 -1.43000479  0.33856241  0.89619846  0.4182989   0.        ]",[-0.51152724 -0.35652533]
23,"[[ -1.81610778e+01  -3.00464511e+00  -1.28104726e-01  -1.93047569e-02]
 [ -7.37330204e+01   1.44533897e-02   0.00000000e+00   0.00000000e+00]]",[-1.38446653 -1.64481461],-0.130733703088,[-2.25543182 -1.72837081],-1.3321,"[ 0.53718505 -0.82913838  1.01725946  0.58012735 -1.12381194 -0.17151745
 -1.50738794  0.34212903  0.75083429  0.24840242  0.        ]",[-0.51152724 -0.35652533]
24,"[[ -1.96608179e+01  -3.00436707e+00  -1.28104726e-01  -1.93047569e-02]
 [ -7.62326570e+01   1.19157488e-02   0.00000000e+00   0.00000000e+00]]",[-1.61131835 -1.63815129],-0.112088574829,[-2.35996451 -0.9278307 ],-1.07268,"[ 0.41306301 -0.82909111 -1.19682157  0.57933506 -1.12381065 -0.17151736
 -1.58323877  0.34174885  0.55806709  0.37678973  0.        ]",[-0.51152724 -0.35652533]
25,"[[ -2.12100542e+01  -3.00410476e+00  -1.28104726e-01  -1.93047569e-02]
 [ -7.86828096e+01   1.21101660e-02   0.00000000e+00   0.00000000e+00]]",[-2.02359843 -2.00342369],-0.129070410687,[-1.88433327 -1.37004143],-1.18726,"[-1.6628955  -0.82904639 -1.16248297  0.57858759 -1.12380936 -0.17151727
 -1.65758757  0.34177777  0.68366959  0.5762794   0.        ]",[-0.51152724 -0.35652533]
26,"[[ -2.28078069e+01  -3.00398705e+00  -1.28104726e-01  -1.93047569e-02]
 [ -8.10844589e+01   2.01981922e-03   0.00000000e+00   0.00000000e+00]]",[-1.76164556 -1.89895117],-0.14706374191,[-2.6377239  -1.40946965],-1.29336,"[-1.62507148 -0.8290259   1.16941888  0.57825199 -1.12380806 -0.17151718
 -1.73046408  0.34026664  0.89291204  0.4499921   0.        ]",[-0.51152724 -0.35652533]
27,"[[ -2.44531156e+01  -3.00397446e+00  -1.28104726e-01  -1.93047569e-02]
 [ -8.34385642e+01  -1.47952731e-04   0.00000000e+00   0.00000000e+00]]",[-1.40225637 -1.68199527],-0.130634412922,[-1.78339499 -1.1725277 ],-1.36475,"[ 0.5454897  -0.82902307  1.00609389  0.57821572 -1.12380677 -0.17151709
 -1.80189738  0.33994185  0.74987129  0.24769275  0.        ]",[-0.51152724 -0.35652533]
28,"[[ -2.61450388e+01  -3.00398103e+00  -1.28104726e-01  -1.93047569e-02]
 [ -8.57460667e+01  -3.77759642e-04   0.00000000e+00   0.00000000e+00]]",[-1.71910655 -1.73707819],-0.112164924817,[-1.49738858 -1.95913826],-1.07445,"[ 0.17757048 -0.82902346 -1.39681666  0.57823404 -1.12380548 -0.171517
 -1.871916    0.33990724  0.55356862  0.40987251  0.        ]",[-0.51152724 -0.35652533]
29,"[[ -2.78826537e+01  -3.00398747e+00  -1.28104726e-01  -1.93047569e-02]
 [ -8.80078887e+01  -2.53393516e-04   0.00000000e+00   0.00000000e+00]]",[-2.09412599 -2.07380509],-0.135676033193,[-2.02709309 -3.28734357],-1.18195,"[-1.98068997 -0.82902384 -0.63795377  0.57825201 -1.12380418 -0.17151691
 -1.94054791  0.33992567  0.74992999  0.57963335  0.        ]",[-0.51152724 -0.35652533]
