timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.01160886  0.09409536 -0.0043236  -0.0588093 ]
 [-0.00037451 -0.00092085  0.          0.        ]]",[-1.76739097 -2.38670349],-0.225370911839,[-2.37395988 -1.91344372],-1.83651,"[ 0.90178876  1.71433491 -0.01277253  1.20465752 -0.05080187 -0.51611131
  0.73567899  0.34513612  1.53064928  0.85342222  0.        ]",[-0.40204784 -0.34134018]
1,"[[-0.02807368  0.05436468 -0.0043236  -0.0588093 ]
 [-3.95471513 -3.95896073  0.          0.        ]]",[-0.78599578 -1.77292001],-0.22219479558,[-1.67133629  0.01647198],-1.837,"[ 0.90130931  1.71801509 -0.07665829  1.0892038  -0.05080184 -0.51611088
  0.60905021 -0.23327861  1.53569967  0.73724473  0.        ]",[-0.40204784 -0.34134018]
2,"[[ -1.46074166e-01  -2.33586206e-02  -4.32359569e-03  -5.88092989e-02]
 [ -7.83242482e+00  -3.81385665e+00   0.00000000e+00   0.00000000e+00]]",[ 0.23568481 -1.48130846],-0.213239400341,[ 1.1069041  -1.93407033],-1.65347,"[ 0.88628931  1.71951708 -0.26581916  0.8627947  -0.05080181 -0.51611045
  0.48487545 -0.21207342  1.51186059  0.43306492  0.        ]",[-0.40204784 -0.34134018]
3,"[[ -2.61462861e-01  -1.38621959e-01  -4.32359569e-03  -5.88092989e-02]
 [ -3.72015104e+00  -7.69952022e+00   0.00000000e+00   0.00000000e+00]]",[ 0.24837878 -1.183146  ],-0.202478980984,[-0.17048796 -1.03166542],-1.51238,"[ 0.85211252  1.70785733 -0.44765971  0.52819333 -0.05080177 -0.51611002
  0.61656067 -0.77991137  1.42397571  0.10685155  0.        ]",[-0.40204784 -0.34134018]
4,"[[ -3.41881065e-01  -3.30808326e-01  -4.32359569e-03  -5.88092989e-02]
 [ -4.31972864e+00  -1.15064277e+01   0.00000000e+00   0.00000000e+00]]",[ 0.4031426  -0.88765836],-0.189574538443,[-1.12909636 -1.34760518],-1.39316,"[ 0.81713046  1.65204276 -0.57125888 -0.0156604  -0.05080174 -0.51610959
  0.59736009 -1.33623867  1.25964721 -0.19895709  0.        ]",[-0.40204784 -0.34134018]
5,"[[ -4.67101987e-01  -5.98364115e-01  -4.32359569e-03  -5.88092989e-02]
 [ -8.18967397e+00  -1.52367176e+01   0.00000000e+00   0.00000000e+00]]",[ 0.60530865 -0.48624   ],-0.168436047853,[-0.23695666 -0.61445926],-1.29441,"[ 0.74500835  1.50256647 -0.75648357 -0.71062307 -0.05080171 -0.51610916
  0.47343381 -1.88136586  0.90884284 -0.55833997  0.        ]",[-0.40204784 -0.34134018]
6,"[[ -6.38683514e-01  -9.24478359e-01  -4.32359569e-03  -5.88092989e-02]
 [ -8.96608511e+00  -1.73675929e+01   0.00000000e+00   0.00000000e+00]]",[ 0.5872463 -0.3037771],-0.139925364421,[-0.07882685  0.51384499],-1.21444,"[ 0.61321506  1.22242332 -0.99129466 -1.39547562 -0.05080167 -0.51610873
  0.44857071 -2.19275637  0.33751435 -0.81798943  0.        ]",[-0.40204784 -0.34134018]
7,"[[ -8.19382901e-01  -1.24796296e+00  -4.32359569e-03  -5.88092989e-02]
 [ -9.10335881e+00  -1.49887866e+01   0.00000000e+00   0.00000000e+00]]",[ 0.78202748 -0.05106787],-0.112799106917,[ 1.38606517  0.01675068],-1.09783,"[ 0.43717665  0.86600881 -1.20798735 -1.83268152 -0.05080164 -0.5161083
  0.44417448 -1.84512122 -0.26966612 -0.8196104   0.        ]",[-0.40204784 -0.34134018]
8,"[[ -9.59958784e-01  -1.54410244e+00  -4.32359569e-03  -5.88092989e-02]
 [ -4.96782967e+00  -1.46263618e+01   0.00000000e+00   0.00000000e+00]]",[ 0.89857769  0.29484674],-0.0925214718693,[ 1.64945815  0.01735263],-1.08166,"[ 0.27737956  0.50263175 -1.35038606 -1.98217752 -0.05080161 -0.51610787
  0.57660477 -1.79215295 -0.70600591 -0.61434292  0.        ]",[-0.40204784 -0.34134018]
9,"[[ -1.01863430e+00  -1.83304069e+00  -4.32359569e-03  -5.88092989e-02]
 [ -9.13040211e-01  -1.42686287e+01   0.00000000e+00   0.00000000e+00]]",[ 0.92018384  0.61376011],-0.0755202014529,[ 0.63729386 -0.23619052],-1.03326,"[ 0.20558613  0.14503825 -1.40226758 -1.88357938 -0.05080157 -0.51610744
  0.70644943 -1.73987073 -0.90991818 -0.33202359  0.        ]",[-0.40204784 -0.34134018]
10,"[[ -1.01141243e+00  -2.12496472e+00  -4.32359569e-03  -5.88092989e-02]
 [  1.62686213e+00  -1.49215715e+01   0.00000000e+00   0.00000000e+00]]",[ 0.88685614  0.84033585],-0.0589167405749,[ 1.20314944  0.39286204],-0.841289,"[ 0.21457017 -0.18885397 -1.39613005 -1.54708148 -0.05080154 -0.51610701
  0.78778317 -1.83528364 -0.94689219 -0.04560507  0.        ]",[-0.40204784 -0.34134018]
11,"[[ -9.39485102e-01  -2.40482586e+00  -4.32359569e-03  -5.88092989e-02]
 [  5.55296038e+00  -1.30706660e+01   0.00000000e+00   0.00000000e+00]]",[ 0.725043    0.97013068],-0.04440493573,[ 1.04021964  1.79824558],-0.656176,"[ 0.30176203 -0.45699122 -1.33119634 -1.02708877 -0.05080151 -0.51610658
  0.91350645 -1.56479733 -0.87055851  0.19958893  0.        ]",[-0.40204784 -0.34134018]
12,"[[ -7.89806858e-01  -2.62391375e+00  -4.32359569e-03  -5.88092989e-02]
 [  9.40213662e+00  -8.85214785e+00   0.00000000e+00   0.00000000e+00]]",[ 0.55605632  1.04412329],-0.035729112601,[ 1.27022098  1.34534013],-0.719172,"[ 0.46838355 -0.61747346 -1.17495696 -0.5112039  -0.05080147 -0.51610615
  1.03676618 -0.94832202 -0.7479993   0.35652288  0.        ]",[-0.40204784 -0.34134018]
13,"[[ -5.63905499e-01  -2.75946744e+00  -4.32359569e-03  -5.88092989e-02]
 [  1.31754453e+01  -4.71697888e+00   0.00000000e+00   0.00000000e+00]]",[ 0.1430494  1.0282439],-0.0318084057785,[ 1.42607555  0.6460332 ],-0.755874,"[ 0.67514933 -0.69113788 -0.89202229 -0.1557708  -0.05080144 -0.51610572
  1.15759605 -0.34402784 -0.63744352  0.42885289  0.        ]",[-0.40204784 -0.34134018]
14,"[[ -2.63287293e-01  -2.82720021e+00  -4.32359569e-03  -5.88092989e-02]
 [  1.68740451e+01  -2.06511728e+00   0.00000000e+00   0.00000000e+00]]",[-0.7891562   0.68603778],-0.0286115555547,[-1.3737051   0.87050666],-0.804636,"[ 0.85141639 -0.72003862 -0.45048085  0.02972306 -0.05080141 -0.51610529
  1.27603308  0.04350279 -0.54099404  0.44642742  0.        ]",[-0.40204784 -0.34134018]
15,"[[  3.11194814e-02  -2.83350739e+00  -4.32359569e-03  -5.88092989e-02]
 [  1.25809153e+01   1.42274722e+00   0.00000000e+00   0.00000000e+00]]",[-1.18105984  0.19228595],-0.0253269205168,[-1.33765816  0.70550749],-0.817958,"[ 0.90117135 -0.72245341  0.01864969  0.04721953 -0.05080137 -0.51610486
  1.13855371  0.55320287 -0.45240494  0.42951915  0.        ]",[-0.40204784 -0.34134018]
16,"[[  2.40515008e-01  -2.77730650e+00  -4.32359569e-03  -5.88092989e-02]
 [  8.37265018e+00   4.18811167e+00   0.00000000e+00   0.00000000e+00]]",[-1.36086726 -0.2593776 ],-0.0228794420633,[-1.58724075  0.10450805],-0.796049,"[ 0.85972615 -0.6992697   0.35207913 -0.1073657  -0.05080134 -0.51610443
  1.00379236  0.95731955 -0.35551871  0.38153107  0.        ]",[-0.40204784 -0.34134018]
17,"[[  3.66580162e-01  -2.69022470e+00  -4.32359569e-03  -5.88092989e-02]
 [  4.24762538e+00   4.51895933e+00   0.00000000e+00   0.00000000e+00]]",[-1.2468816  -0.41604653],-0.0266783674368,[-2.14197609  0.54959347],-0.800146,"[ 0.80457906 -0.65608968  0.54564641 -0.34024269 -0.05080131 -0.516104
  0.8716969   1.00566681 -0.248407    0.3292502   0.        ]",[-0.40204784 -0.34134018]
18,"[[  4.10965303e-01  -2.57890964e+00  -4.32359569e-03  -5.88092989e-02]
 [  2.04374369e-01   6.60559446e+00   0.00000000e+00   0.00000000e+00]]",[-0.92613614 -0.74342799],-0.0350244219441,[-2.07919359  0.51236721],-0.784475,"[ 0.77994204 -0.58852652  0.61177132 -0.62366732 -0.05080127 -0.51610357
  0.74222029  1.31059593 -0.13979433  0.26890791  0.        ]",[-0.40204784 -0.34134018]
19,"[[  3.75289565e-01  -2.42775483e+00  -4.32359569e-03  -5.88092989e-02]
 [ -3.75870863e+00   8.50358024e+00   0.00000000e+00   0.00000000e+00]]",[-0.37986988 -0.99709332],-0.0464494524414,[ 0.52008637 -0.95164158],-0.591027,"[ 0.79995409 -0.47600723  0.55871449 -0.97709159 -0.05080124 -0.51610314
  0.61531104  1.58795521 -0.02573972  0.17894713  0.        ]",[-0.40204784 -0.34134018]
20,"[[  3.21520163e-01  -2.29717907e+00  -4.32359569e-03  -5.88092989e-02]
 [ -1.62534077e+00   4.56710307e+00   0.00000000e+00   0.00000000e+00]]",[-0.49597871 -0.73967838],-0.0568870861147,[-0.79973059 -1.60930178],-0.665443,"[ 0.82683241 -0.36134612  0.47735195 -1.2476397  -0.0508012  -0.51610271
  0.68362665  1.01269567  0.06232925  0.09941383  0.        ]",[-0.40204784 -0.34134018]
21,"[[  2.57573141e-01  -2.24647081e+00  -4.32359569e-03  -5.88092989e-02]
 [ -4.75890032e+00   5.17235784e-01   0.00000000e+00   0.00000000e+00]]",[ 0.03518696 -0.28875512],-0.0586580344198,[-1.02168844 -1.11384664],-0.677101,"[ 0.85356466 -0.31289018  0.37869404 -1.34293797 -0.05080117 -0.51610228
  0.58328096  0.42086686  0.06691046  0.04860562  0.        ]",[-0.40204784 -0.34134018]
22,"[[  1.23622604e-01  -2.27595404e+00  -4.32359569e-03  -5.88092989e-02]
 [ -8.62332995e+00  -3.45230427e+00   0.00000000e+00   0.00000000e+00]]",[ 0.700948    0.25121525],-0.0478827633219,[ 0.17120836  0.77451838],-0.559558,"[ 0.89069807 -0.34131627  0.16708552 -1.2882211  -0.05080114 -0.51610185
  0.4595309  -0.15922319 -0.05612465  0.00703059  0.        ]",[-0.40204784 -0.34134018]
23,"[[ -4.03335911e-02  -2.31354239e+00  -4.32359569e-03  -5.88092989e-02]
 [ -7.77507391e+00  -3.16988026e-01   0.00000000e+00   0.00000000e+00]]",[ 0.87033385  0.06209373],-0.035315291983,[ 0.75852252 -0.50551205],-0.514796,"[ 0.90068194 -0.376532   -0.09637442 -1.21567256 -0.0508011  -0.51610142
  0.48669402  0.29895745 -0.20962402 -0.01501388  0.        ]",[-0.40204784 -0.34134018]
