timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.01618895  0.02499584  0.03855514 -0.08360187]
 [ 0.00448723  0.00046232  0.          0.        ]]",[-2.79427075 -4.13517761],-0.190442601447,[-2.34903726 -3.79125732],-3.08463,"[ 0.84374337  1.39781478  0.02691936  1.10927214  0.33038159 -0.73405424
  0.68115378  0.32641338  1.1980552   1.25614764  0.        ]",[-0.8951779  -0.75319725]
1,"[[-0.05577515 -0.0147074   0.03855514 -0.08360187]
 [-3.94994606 -3.95760059  0.          0.        ]]",[-1.6219461  -3.24282265],-0.184896666551,[-1.56775097 -3.44384518],-2.99993,"[ 0.8415132   1.39805904 -0.03737641  1.0009907   0.3303815  -0.73405394
  0.57091536 -0.30915003  1.19352618  1.11795072  0.        ]",[-0.8951779  -0.75319725]
2,"[[-0.17366581 -0.13278592  0.03855514 -0.08360187]
 [-7.82623783 -7.83732209  0.          0.        ]]",[ 0.07476365 -1.80971336],-0.168116427917,[-0.02526587 -2.15302221],-2.70544,"[ 0.82039381  1.38761311 -0.22762081  0.67999655  0.3303814  -0.73405365
  0.46285534 -0.9321336   1.12520494  0.71268855  0.        ]",[-0.8951779  -0.75319725]
3,"[[ -0.32962748  -0.32770311   0.03855514  -0.08360187]
 [ -7.77018312 -11.6417096    0.           0.        ]]",[ 1.05724454 -0.23834057],-0.144029906252,[ 1.22945044 -0.3274578 ],-2.29254,"[ 0.75964529  1.33426106 -0.472881    0.16321375  0.33038131 -0.73405336
  0.46441784 -1.54301957  0.88632642  0.1767529   0.        ]",[-0.8951779  -0.75319725]
4,"[[ -0.44379825  -0.57124861   0.03855514  -0.08360187]
 [ -3.66057732 -12.70926989   0.           0.        ]]",[ 1.0605824   1.00338411],-0.121818741124,[ 0.72862064  0.94107836],-2.04183,"[ 0.69225638  1.20745862 -0.64465207 -0.43359423  0.33038121 -0.73405306
  0.57898169 -1.71444063  0.51877931 -0.22484115  0.        ]",[-0.8951779  -0.75319725]
5,"[[-0.48738011 -0.78553246  0.03855514 -0.08360187]
 [-0.70733411 -8.73235658  0.          0.        ]]",[ 0.52156496  0.6740694 ],-0.106837646059,[ 0.96990332  1.48194053],-1.90925,"[ 0.66162049  1.04623188 -0.70794285 -0.88776966  0.33038112 -0.73405277
  0.66130942 -1.07585002  0.21343567 -0.39509099  0.        ]",[-0.8951779  -0.75319725]
6,"[[-0.4628996  -0.91872938  0.03855514 -0.08360187]
 [ 3.14266261 -4.60108084  0.          0.        ]]",[-0.30921647 -0.15118994],-0.0995012475733,[-0.38842731  0.0616543 ],-1.89019,"[ 0.67915595  0.92588817 -0.67256146 -1.12677606  0.33038102 -0.73405247
  0.76863603 -0.41247327  0.09793029 -0.40278784  0.        ]",[-0.8951779  -0.75319725]
7,"[[-0.41609068 -1.00738262  0.03855514 -0.08360187]
 [ 1.54353926 -4.26537189  0.          0.        ]]",[-0.13064754 -0.11365026],-0.0952676057672,[-0.63732879 -0.81522919],-1.89071,"[ 0.71033948  0.83849022 -0.60371661 -1.26480076  0.33038093 -0.73405218
  0.72405674 -0.35856693  0.06992803 -0.36495132  0.        ]",[-0.8951779  -0.75319725]
8,"[[-0.41081959 -1.12422284  0.03855514 -0.08360187]
 [-1.00800887 -7.40818856  0.          0.        ]]",[ 0.44961539  0.74182838],-0.0874444769691,[ 0.35705025  0.39993248],-1.77835,"[ 0.71365541  0.71572427 -0.5958709  -1.41888921  0.33038083 -0.73405189
  0.6529266  -0.86322228 -0.06232666 -0.37191458  0.        ]",[-0.8951779  -0.75319725]
9,"[[-0.41661103 -1.25503027  0.03855514 -0.08360187]
 [ 0.4241444  -5.67831281  0.          0.        ]]",[ 0.33504152  0.58115208],-0.0783902635571,[ 0.16938126  0.93189304],-1.71608,"[ 0.7100094   0.56997229 -0.60448967 -1.55151535  0.33038073 -0.73405159
  0.6928507  -0.58544839 -0.23031895 -0.37238563  0.        ]",[-0.8951779  -0.75319725]
10,"[[-0.4014969  -1.33044802  0.03855514 -0.08360187]
 [ 1.08510297 -1.87613108  0.          0.        ]]",[ 0.18326306 -0.10825549],-0.0733981033156,[-0.0306616  -0.00972644],-1.70588,"[ 0.71942234  0.4828765  -0.58195057 -1.60796257  0.33038064 -0.7340513
  0.71127607  0.02508461 -0.29616428 -0.34779764  0.        ]",[-0.8951779  -0.75319725]
