timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.00138684  0.0563439  -0.0910118   0.08860849]
 [-0.00470057 -0.00438779  0.          0.        ]]",[-2.02839017 -3.77642989],-0.311836385408,[-2.69442124 -3.38116092],-3.398,"[ 0.84457166  1.42263764  0.04606249  1.18671402 -0.79476141  0.76663809
  0.69074185  0.32749222  2.59215153 -0.55046936  0.        ]",[-0.83821321 -0.6797449 ]
1,"[[-0.03838132  0.0165446  -0.0910118   0.08860849]
 [-3.95895222 -3.9623562   0.          0.        ]]",[-1.96811509 -3.47064996],-0.315504548068,[-1.79077162 -3.5695392 ],-3.45063,"[ 0.84342982  1.4243789  -0.01874955  1.07736115 -0.79476104  0.76663774
  0.57969616 -0.30080995  2.59305278 -0.68642048  0.        ]",[-0.83821321 -0.6797449 ]
2,"[[-0.15645016 -0.10162812 -0.0910118   0.08860849]
 [-7.83504726 -7.84198711  0.          0.        ]]",[-2.13558888 -3.15445495],-0.324340155452,[-2.09261717 -3.46823976],-3.51521,"[ 0.82561872  1.4183418  -0.21019378  0.75291615 -0.79476066  0.76663739
  0.47084534 -0.9166763   2.54138214 -1.0863555   0.        ]",[-0.83821321 -0.6797449 ]
3,"[[ -0.35127406  -0.29662264  -0.0910118    0.08860849]
 [-11.63478386 -11.64477709   0.           0.        ]]",[-2.28230309 -2.74079347],-0.331952286955,[-2.62503089 -2.80324257],-3.51222,"[ 0.749807    1.37206231 -0.517118    0.22818613 -0.79476029  0.76663704
  0.36413888 -1.52034371  2.28614724 -1.69710707  0.        ]",[-0.83821321 -0.6797449 ]
4,"[[ -0.62134677  -0.56691621  -0.0910118    0.08860849]
 [-15.36032163 -15.37211436   0.           0.        ]]",[-2.58182907 -2.71916461],-0.327824323801,[-2.74120243 -2.53296232],-3.395,"[ 0.55451926  1.23654967 -0.90514895 -0.44475407 -0.79475992  0.76663669
  0.25951612 -2.11203139  1.64370318 -2.33273934  0.        ]",[-0.83821321 -0.6797449 ]
5,"[[ -0.96520911  -0.91101278  -0.0910118    0.08860849]
 [-19.01418962 -19.02528598   0.           0.        ]]",[-2.7987659  -2.46199679],-0.298702561663,[-3.30309556 -1.83695484],-3.08776,"[ 0.17609449  0.95942214 -1.29644104 -1.14065422 -0.79475955  0.76663634
  0.15690605 -2.69194212  0.57511415 -2.61989384  0.        ]",[-0.83821321 -0.6797449 ]
6,"[[ -1.38145385  -1.32744169  -0.0910118    0.08860849]
 [-22.59895701 -22.6055705    0.           0.        ]]",[-2.9813056  -2.10286784],-0.233162677302,[-2.94569453 -2.00352848],-2.44566,"[-0.41521869  0.51241166 -1.55719624 -1.63670829 -0.79475918  0.76663599
  0.0562365  -3.26027696 -0.56254992 -2.16257689  0.        ]",[-0.83821321 -0.6797449 ]
7,"[[ -1.86871903  -1.81475949  -0.0910118    0.08860849]
 [-26.11640193 -26.11445557   0.           0.        ]]",[-3.08109117 -1.85976672],-0.131572011682,[-3.83673624 -1.2717754 ],-1.46003,"[-1.16283059 -0.06741385 -1.51451807 -1.6363029  -0.7947588   0.76663564
 -0.04254247 -3.81726992 -1.02413123 -1.03519399  0.        ]",[-0.83821321 -0.6797449 ]
8,"[[ -2.42566032  -2.37155705  -0.0910118    0.08860849]
 [-29.56630357 -29.55393604   0.           0.        ]]",[-3.53572822 -2.13779306],-0.0511032310282,[-4.63272293 -2.30079295],-1.03953,"[-1.87815926 -0.63981945 -1.02608519 -0.88228729 -0.79475843  0.7666353
 -0.13942464 -4.36323525 -0.40085656 -0.14978893  0.        ]",[-0.83821321 -0.6797449 ]
9,"[[ -3.05090121  -2.99647183  -0.0910118    0.08860849]
 [-32.94563895 -32.92666429   0.           0.        ]]",[-4.96197796 -3.26197743],-0.121889414581,[-5.19876154 -3.15304951],-1.27902,"[-2.25279097 -0.96620001 -0.10383074  0.6342496  -0.79475806  0.76663495
 -0.23432512 -4.89859137  0.39630541 -0.44187578  0.        ]",[-0.83821321 -0.6797449 ]
10,"[[ -3.74298008e+00  -3.28430100e+00  -9.10117952e-02   8.86084857e-02]
 [ -3.62512672e+01  -2.87949023e-02   0.00000000e+00   0.00000000e+00]]",[-2.33081102 -1.86376667],-0.13935446381,[-2.249891   -1.54439606],-1.7956,"[-1.9868922  -0.96661525  0.9661139   1.42293319 -0.79475769  0.7666346
 -0.32715571  0.32362445  0.28655473 -0.82536417  0.        ]",[-0.83821321 -0.6797449 ]
