timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.0564857  -0.01639439 -0.10052083 -0.07342211]
 [ 0.00161901  0.00139769  0.          0.        ]]",[-3.40976954 -4.96148014],-0.321306143452,[-3.0771117 -4.2910269],-3.32273,"[ 0.84287016  1.44937299  0.12527564  0.97645932 -0.88048311 -0.63995504
  0.69962243  0.33022567  2.66446291  1.18468944  0.        ]",[-0.80101609 -0.61122435]
1,"[[ 0.01684268 -0.05607911 -0.10052083 -0.07342211]
 [-3.95276132 -3.95668313  0.          0.        ]]",[-2.50984311 -4.31293726],-0.318392922474,[-2.89295929 -4.38900881],-3.28082,"[ 0.84510619  1.4476432   0.0605227   0.86648765 -0.88048262 -0.63995476
  0.58769717 -0.29176557  2.6660495   1.05167207  0.        ]",[-0.80101609 -0.61122435]
2,"[[-0.10110394 -0.17413943 -0.10052083 -0.07342211]
 [-7.82902585 -7.83641941  0.          0.        ]]",[-1.30457914 -3.46190214],-0.307693107936,[-1.43584559 -3.36458321],-3.17831,"[ 0.83746411  1.43134904 -0.13199089  0.54144694 -0.88048213 -0.63995448
  0.47798294 -0.90144513  2.61742185  0.65976472  0.        ]",[-0.80101609 -0.61122435]
3,"[[ -0.29580973  -0.36902356  -0.10052083  -0.07342211]
 [-11.62900949 -11.6393039    0.           0.        ]]",[ 0.06444041 -2.18369508],-0.283734358947,[ 0.32015301 -2.84276866],-2.94639,"[ 0.77847257  1.36859544 -0.44351861  0.02164061 -0.88048164 -0.6399542
  0.37042779 -1.49904687  2.37044369  0.06154745  0.        ]",[-0.80101609 -0.61122435]
4,"[[ -0.51336938  -0.63922863  -0.10052083  -0.07342211]
 [-10.13207911 -15.36875555   0.           0.        ]]",[ 0.23230521 -0.82614815],-0.244484950353,[-0.26755857 -1.62369853],-2.61287,"[ 0.64691796  1.21215389 -0.76978684 -0.63246088 -0.88048116 -0.63995392
  0.41279688 -2.08510683  1.83150329 -0.49048693  0.        ]",[-0.80101609 -0.61122435]
5,"[[ -0.72462711  -0.98327268  -0.10052083  -0.07342211]
 [-10.99112151 -19.02344898   0.           0.        ]]",[ 0.59569025  0.38571221],-0.189963388134,[ 0.17803778  1.5814715 ],-2.3124,"[ 0.45860495  0.91369078 -1.05051567 -1.28619474 -0.88048067 -0.63995363
  0.38848233 -2.6594151   1.0629766  -0.75926481  0.        ]",[-0.80101609 -0.61122435]
6,"[[ -0.93523782  -1.32023309  -0.10052083  -0.07342211]
 [-10.07282081 -14.68703551   0.           0.        ]]",[ 0.82600105  0.77819204],-0.129106952944,[ 0.80845969  0.39028638],-1.9343,"[ 0.21985146  0.54538068 -1.28243928 -1.66460533 -0.88048018 -0.63995335
  0.41447385 -1.9779698   0.31465727 -0.65885072  0.        ]",[-0.80101609 -0.61122435]
7,"[[ -1.10261763  -1.59555471  -0.10052083  -0.07342211]
 [ -6.67627021 -12.85124759   0.           0.        ]]",[ 1.03531301  1.14525342],-0.0781808195072,[ 1.05669171  1.10650075],-1.63549,"[  7.28765337e-04   2.17521945e-01  -1.42571352e+00  -1.75034978e+00
  -8.80479688e-01  -6.39953068e-01   5.10609960e-01  -1.68948459e+00
  -1.55733444e-01  -3.52002395e-01   0.00000000e+00]",[-0.80101609 -0.61122435]
8,"[[-1.1951253  -1.81030393 -0.10052083 -0.07342211]
 [-2.58785693 -8.63771168  0.          0.        ]]",[ 0.88038534  1.2226783 ],-0.0446009544985,[ 0.3267285   1.76167702],-1.41511,"[-0.12912207 -0.03791715 -1.48761455 -1.67203862 -0.8804792  -0.63995279
  0.62632858 -1.02735216 -0.34862665 -0.05327379  0.        ]",[-0.80101609 -0.61122435]
9,"[[-1.23340141 -1.94161583 -0.10052083 -0.07342211]
 [-1.24413595 -4.50724046  0.          0.        ]]",[ 0.67810088  1.07344568],-0.0293075667704,[ 0.69996293  0.87425097],-1.40055,"[-0.18432676 -0.18838412 -1.50944905 -1.56270884 -0.88047871 -0.6399525
  0.66436111 -0.37827339 -0.39714558  0.12790703  0.        ]",[-0.80101609 -0.61122435]
