timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[-0.01917074  0.06046478 -0.04143353 -0.04495618]
 [ 0.00447989  0.00039309  0.          0.        ]]","[ 0.8392472   1.35924956  0.03898392  1.22081685 -0.35076702 -0.38743434
  0.66674466  0.32311169  2.07923504  0.89685434  0.        ]",-0.255785695527,[-0.92428225 -0.79824817],-3.58831,[-2.41014671 -4.62217236],[-2.16707682 -4.99364003]
1,"[[-0.05875711  0.02076015 -0.04143353 -0.04495618]
 [-3.94995351 -3.95767016  0.          0.        ]]","[ 0.83680745  1.36118386 -0.02532327  1.11329559 -0.35076693 -0.38743423
  0.55658128 -0.32197735  2.07767241  0.75569309  0.        ]",-0.25359621266,[-0.92428225 -0.79824817],-3.61421,[-1.34162998 -3.8646605 ],[-1.16780701 -4.17032114]
2,"[[-0.17664775 -0.09731978 -0.04143353 -0.04495618]
 [-7.8262241  -7.83739434  0.          0.        ]]","[ 0.81491813  1.3557609  -0.21555571  0.7936686  -0.35076683 -0.38743413
  0.44859539 -0.95429839  2.01725569  0.34030138  0.        ]",-0.245787623492,[-0.92428225 -0.79824817],-3.53447,[-0.08601396 -2.91948605],[-0.62976851 -2.70956563]
3,"[[ -0.35660204  -0.29222912  -0.04143353  -0.04495618]
 [-10.16150974 -11.6408524    0.           0.        ]]","[ 0.74000873  1.31054292 -0.49741017  0.27619038 -0.35076674 -0.38743402
  0.38353852 -1.57418866  1.76037207 -0.26184619  0.        ]",-0.229823824325,[-0.92428225 -0.79824817],-3.42669,[ 0.78226447 -1.59763885],[ 1.15801823 -1.74279998]
4,"[[ -0.51811616  -0.56247606  -0.04143353  -0.04495618]
 [ -6.00381816 -15.37139454   0.           0.        ]]","[ 0.63190061  1.17648211 -0.73502728 -0.38839226 -0.35076665 -0.38743392
  0.49936405 -2.18219313  1.28320631 -0.76542051  0.        ]",-0.206786244145,[-0.92428225 -0.79824817],-3.13329,[ 0.74006724  0.065558  ],[ 0.86638609  0.39798675]
5,"[[ -0.60262643  -0.85105101  -0.04143353  -0.04495618]
 [ -2.45892101 -13.49234597   0.           0.        ]]","[ 0.56086091  0.9522885  -0.85137674 -0.98113846 -0.35076656 -0.38743381
  0.59811822 -1.87594222  0.7978514  -0.98108299  0.        ]",-0.18251778772,[-0.92428225 -0.79824817],-2.95438,[-0.02778767 -0.17843252],[-0.01734142  0.29490655]
6,"[[ -0.65201766  -1.10650155  -0.04143353  -0.04495618]
 [ -2.48011741 -12.05748901   0.           0.        ]]","[ 0.51499969  0.69849375 -0.91638182 -1.36646257 -0.35076646 -0.38743371
  0.59752753 -1.64208673  0.39239906 -1.01247652  0.        ]",-0.159381021775,[-0.92428225 -0.79824817],-2.81669,[ 0.00664949 -0.03611502],[ 0.16374632  0.83739322]
7,"[[-0.69464255 -1.31198999 -0.04143353 -0.04495618]
 [-1.7845883  -8.503197    0.          0.        ]]","[ 0.47295135  0.46815193 -0.97055281 -1.56312601 -0.35076637 -0.3874336
  0.61690351 -1.06280527  0.07310421 -0.95655542  0.        ]",-0.138798055183,[-0.92428225 -0.79824817],-2.67549,[ 0.12154711 -0.23377842],[ 0.32399791  0.36164312]
8,"[[-0.71712303 -1.46600033 -0.04143353 -0.04495618]
 [-0.46778839 -6.903164    0.          0.        ]]","[ 0.44988053  0.28648349 -0.99836714 -1.63852258 -0.35076628 -0.3874335
  0.65358695 -0.8020305  -0.13079734 -0.86751808  0.        ]",-0.123055477671,[-0.92428225 -0.79824817],-2.54197,[ 0.11979704 -0.17582653],[ 0.59905638 -0.11583901]
9,"[[-0.70260069 -1.60729879 -0.04143353 -0.04495618]
 [ 1.91213956 -7.22559122  0.          0.        ]]","[ 0.46485366  0.11708923 -0.98045925 -1.6515852  -0.35076618 -0.38743339
  0.71988717 -0.85457957 -0.24174492 -0.75813763  0.        ]",-0.10999418875,[-0.92428225 -0.79824817],-2.47159,[-0.05730617  0.13814507],[-0.31138343  0.74088468]
10,"[[-0.67710794 -1.72093952 -0.04143353 -0.04495618]
 [ 0.64138162 -4.14874375  0.          0.        ]]","[ 0.49052011 -0.01867401 -0.9484903  -1.62289617 -0.35076609 -0.38743329
  0.68448592 -0.35311272 -0.3003729  -0.66002169  0.        ]",-0.0998379858091,[-0.92428225 -0.79824817],-2.36398,[ 0.14620249 -0.09075289],[-0.32283503 -0.46504635]
11,"[[-0.67722625 -1.82156385 -0.04143353 -0.04495618]
 [-0.6489528  -5.90783218  0.          0.        ]]","[ 0.49040268 -0.13700843 -0.9486398  -1.56861211 -0.350766   -0.38743318
  0.64853931 -0.63981003 -0.37954503 -0.56521005  0.        ]",-0.0893177805538,[-0.92428225 -0.79824817],-2.26459,[ 0.36740544  0.54557914],[ 0.51214431  0.38408933]
12,"[[-0.66974087 -1.92329018 -0.04143353 -0.04495618]
 [ 1.39074254 -4.27024887  0.          0.        ]]","[ 0.49778862 -0.25357086 -0.93912677 -1.48673568 -0.35076591 -0.38743308
  0.7053613  -0.37291537 -0.43933663 -0.46310395  0.        ]",-0.0788797229307,[-0.92428225 -0.79824817],-2.23345,[ 0.16761287  0.47484797],[-0.18827679  0.61277766]
