timestep,human_obs,obs,original_rewards,actions,rewards,avg_action_dist,logstd_action_dist
0,"[[ 0.05015167  0.00465397  0.06172625 -0.07748327]
 [-0.00070958  0.00100115  0.          0.        ]]","[ 1.08786135  2.05746883  0.09821137  0.69757805  0.5164864  -0.67667474
  0.73519037  0.34787895  0.89602568  0.80205186  0.        ]",-0.172438565098,[-0.37253594 -0.37762815],-1.09173,[-0.37134117 -1.42611313],[-0.14119539 -0.18143457]
1,"[[ 0.03535732 -0.0103228   0.06172625 -0.07748327]
 [-1.47382315 -1.49369897  0.          0.        ]]","[ 1.0887428   2.05738724  0.07596888  0.65273384  0.51648491 -0.67667248
  0.6595514   0.14242311  0.89745548  0.76465178  0.        ]",-0.170218633276,[ 0.40652104 -2.2606498 ],-1.01546,[-0.28093296 -1.38605857],[-0.14119539 -0.18143457]
2,"[[ 0.02232367 -0.07963431  0.06172625 -0.07748327]
 [ 0.1649954  -5.42434936  0.          0.        ]]","[ 1.0892645   2.05317643  0.0563637   0.44545475  0.51648342 -0.67667023
  0.74369378 -0.39786854  0.89665015  0.68306329  0.        ]",-0.165269479543,[-0.08251452 -1.9962444 ],-0.979346,[-0.26932138 -1.34636927],[-0.14119539 -0.18143457]
3,"[[ 0.02233048 -0.22677037  0.06172625 -0.07748327]
 [-0.16324277 -9.27641929  0.          0.        ]]","[ 1.08925885  2.0230125   0.05637381  0.01045862  0.51648192 -0.67666798
  0.72683787 -0.92735694  0.88104579  0.55681473  0.        ]",-0.156834397975,[-0.21877934 -1.28798256],-0.914488,[-0.16522278 -1.2539978 ],[-0.14119539 -0.18143457]
4,"[[  1.04271698e-02  -4.50180647e-01   6.17262515e-02  -7.74832682e-02]
 [ -1.02428832e+00  -1.30520286e+01   0.00000000e+00   0.00000000e+00]]","[ 1.08952685  1.92353008  0.03846376 -0.61920173  0.51648043 -0.67666573
  0.68262517 -1.44632923  0.82074305  0.35450162  0.        ]",-0.141402416015,[-0.45604364  0.49397043],-0.836794,[ 0.02019886 -1.10671377],[-0.14119539 -0.18143457]
5,"[[ -0.02796919  -0.68899771   0.06172625  -0.07748327]
 [ -2.80942689 -10.83706676   0.           0.        ]]","[ 1.08904911  1.750889   -0.01931061 -1.21993199  0.51647894 -0.67666348
  0.59096523 -1.14186282  0.69762232  0.1237823   0.        ]",-0.121176663579,[ 0.71558924 -1.57538549],-0.54554,[ 0.21523477 -0.98676604],[-0.14119539 -0.18143457]
6,"[[ -0.05518799  -0.9433236    0.06172625  -0.07748327]
 [  0.07789991 -14.58301959   0.           0.        ]]","[ 1.08745691  1.5026155  -0.0602337  -1.74015241  0.51647745 -0.67666123
  0.73921292 -1.65675303  0.52415234 -0.05668583  0.        ]",-0.0998218622666,[ 0.44967514 -2.81833332],-0.418258,[ 0.27015007 -0.84396803],[-0.14119539 -0.18143457]
7,"[[ -0.03579202  -1.27182005   0.06172625  -0.07748327]
 [  1.85570977 -18.25436618   0.           0.        ]]","[ 1.08868853  1.10954793 -0.03107643 -2.17764338  0.51647595 -0.67665898
  0.83049178 -2.16137234  0.29592902 -0.14963296  0.        ]",-0.0742277042649,[-0.03353115 -1.12006595],-0.346712,[ 0.35092789 -0.65999371],[-0.14119539 -0.18143457]
8,"[[ -3.83263230e-04  -1.67300868e+00   6.17262515e-02  -7.74832682e-02]
 [  1.68556465e+00  -2.18525084e+01   0.00000000e+00   0.00000000e+00]]","[  1.08958128e+00   5.76733314e-01   2.21967276e-02  -2.29480771e+00
   5.16474461e-01  -6.76656729e-01   8.21752490e-01  -2.65590430e+00
   1.50530453e-03  -1.47023700e-01   0.00000000e+00]",-0.0418573573979,[-0.0741997  -0.37694379],-0.275428,[ 0.34337598 -0.54085732],[-0.14119539 -0.18143457]
9,"[[  0.03003028  -2.12069275   0.06172625  -0.07748327]
 [  1.35686241 -22.9123724    0.           0.        ]]","[ 1.08894358  0.01169104  0.06795755 -1.86902125  0.51647297 -0.67665448
  0.80487215 -2.8015288  -0.31958588 -0.01316678  0.        ]",-0.0222238549032,[ 1.21799168  1.49057871],-0.190782,[ 0.30777794 -0.48686945],[-0.14119539 -0.18143457]
10,"[[  0.09660356  -2.53466213   0.06172625  -0.07748327]
 [  5.28772875 -18.4992194    0.           0.        ]]","[ 1.08303121 -0.38976141  0.16792089 -1.02399775  0.51647148 -0.67665223
  1.00669921 -2.19490986 -0.53891042  0.23060959  0.        ]",-0.0487652790268,[-1.54794602 -2.23973871],-0.357273,[ 0.17457342 -0.4860746 ],[-0.14119539 -0.18143457]
11,"[[  0.16157973  -2.94070016   0.06172625  -0.07748327]
 [  1.22335929 -22.0926427    0.           0.        ]]","[ 1.07129628 -0.60269205  0.26486932  0.08622178  0.51646998 -0.67664998
  0.79800979 -2.68877267 -0.68534371  0.53459935  0.        ]",-0.0855426629991,[-0.76395432  0.57790594],-0.498769,[ 0.17489341 -0.4635753 ],[-0.14119539 -0.18143457]
12,"[[ 0.15546543 -3.14268955  0.06172625 -0.07748327]
 [-1.82471103 -0.98855723  0.          0.        ]]","[ 1.07264475 -0.62970934  0.25578294  0.68695565  0.51646849 -0.67664773
  0.64150338  0.21192608 -0.72902105  0.71240104  0.        ]",-0.105375312813,[-0.79766771 -0.13436224],-0.673665,[ 0.25825587 -0.4976019 ],[-0.14119539 -0.18143457]
13,"[[ 0.08764859 -3.11223929  0.06172625 -0.07748327]
 [-4.94663527  2.60317595  0.          0.        ]]","[ 1.08417075 -0.62912938  0.15450006  0.59579558  0.516467   -0.67664548
  0.48120541  0.70559872 -0.72606125  0.68492249  0.        ]",-0.102570303907,[ 1.06289714  0.18892665],-0.634738,[ 0.4026202  -0.48142737],[-0.14119539 -0.18143457]
14,"[[ 0.02942372 -3.05318535  0.06172625 -0.07748327]
 [-0.8893736   3.29989474  0.          0.        ]]","[ 1.08894215 -0.62445911  0.06704177  0.41931338  0.5164655  -0.67664322
  0.68952539  0.80135814 -0.72324382  0.63642819  0.        ]",-0.0979666667299,[-0.43715308 -3.56814506],-0.718282,[ 0.32856819 -0.50243294],[-0.14119539 -0.18143457]
15,"[[-0.00555423 -3.0159057   0.06172625 -0.07748327]
 [-2.60268972  0.90609931  0.          0.        ]]","[ 1.08952217 -0.61910604  0.01441094  0.30833895  0.51646401 -0.67664097
  0.60155227  0.47233478 -0.72263469  0.60624934  0.        ]",-0.0953064265762,[-0.02528162 -1.51494956],-0.598726,[ 0.40981245 -0.47544754],[-0.14119539 -0.18143457]
16,"[[-0.05809573 -3.00610732  0.06172625 -0.07748327]
 [-2.65129156  0.2195462   0.          0.        ]]","[ 1.08717219 -0.61738987 -0.06460801  0.27925075  0.51646252 -0.67663872
  0.59905492  0.37796837 -0.72735582  0.60218954  0.        ]",-0.0954411154505,[ 0.8653781   0.02246536],-0.545232,[ 0.43998557 -0.4686248 ],[-0.14119539 -0.18143457]
17,"[[-0.0762179  -3.00086596  0.06172625 -0.07748327]
 [ 0.82748087  0.30430519  0.          0.        ]]","[ 1.08546116 -0.61641848 -0.09181757  0.26370635  0.51646103 -0.67663647
  0.77767227  0.38961733 -0.72901112  0.59927579  0.        ]",-0.095365570561,[ 0.14499295  0.38241533],-0.528361,[ 0.35103744 -0.48694736],[-0.14119539 -0.18143457]
18,"[[-0.05407218 -2.97964753  0.06172625 -0.07748327]
 [ 1.38523077  1.81251231  0.          0.        ]]","[ 1.0874777  -0.61211879 -0.05856218  0.20090262  0.51645953 -0.67663422
  0.80630735  0.59691649 -0.72490578  0.5792553   0.        ]",-0.0932876168766,[ 0.14263635 -0.22813167],-0.519928,[ 0.32501969 -0.49775106],[-0.14119539 -0.18143457]
19,"[[-0.02097697 -2.95282025  0.06172625 -0.07748327]
 [ 1.9225011   0.87334574  0.          0.        ]]","[ 1.08921358 -0.60582882 -0.00879509  0.1218123   0.51645804 -0.67663197
  0.83389072  0.46782784 -0.71728849  0.55387549  0.        ]",-0.0904385807529,[-1.27275808 -1.41399833],-0.532754,[ 0.29396534 -0.50076735],[-0.14119539 -0.18143457]
20,"[[-0.02263518 -2.97525631  0.06172625 -0.07748327]
 [-2.07500444 -3.10369798  0.          0.        ]]","[ 1.08915743 -0.61115093 -0.01128989  0.18793093  0.51645655 -0.67662972
  0.62863329 -0.07881298 -0.72034868  0.57317791  0.        ]",-0.092319782798,[ 0.636083   -1.00475283],-0.546764,[ 0.40730447 -0.46451014],[-0.14119539 -0.18143457]
21,"[[-0.03845499 -3.03821376  0.06172625 -0.07748327]
 [ 0.48459591 -0.98755915  0.          0.        ]]","[ 1.08847439 -0.62251974 -0.03508552  0.37469096  0.51645506 -0.67662747
  0.76005566  0.21204851 -0.72756093  0.63167588  0.        ]",-0.0979805600291,[ 0.15615116  0.05369788],-0.573689,[ 0.33255559 -0.48625484],[-0.14119539 -0.18143457]
22,"[[-0.02265523 -3.03526144  0.06172625 -0.07748327]
 [ 1.09332577  0.702628    0.          0.        ]]","[ 1.08914594 -0.62210261 -0.01131989  0.3658989   0.51645356 -0.67662522
  0.79130857  0.444363   -0.72594966  0.62564692  0.        ]",-0.0973000490253,[ 0.49662504 -0.18565035],-0.574456,[ 0.30686986 -0.496629  ],[-0.14119539 -0.18143457]
23,"[[ 0.0187225  -3.02095796  0.06172625 -0.07748327]
 [ 3.03796191  0.63357264  0.          0.        ]]","[ 1.08925461 -0.61992448  0.0509446   0.32334713  0.51645207 -0.67662297
  0.89115429  0.43487016 -0.72080316  0.60962724  0.        ]",-0.0954130731093,[ 0.00163168 -1.4336509 ],-0.59717,[ 0.22518292 -0.51364338],[-0.14119539 -0.18143457]
24,"[[ 0.07894297 -3.01181725  0.06172625 -0.07748327]
 [ 2.98426564  0.31170402  0.          0.        ]]","[ 1.08512699 -0.61838889  0.14144832  0.29619201  0.51645058 -0.67662072
  0.88839357  0.39062823 -0.7131802   0.5976411   0.        ]",-0.0936285581957,[ 0.49633364  0.21680632],-0.52719,[ 0.18859994 -0.51908022],[-0.14119539 -0.18143457]
25,"[[ 0.15775266 -2.99703093  0.06172625 -0.07748327]
 [ 4.89034964  1.16408869  0.          0.        ]]","[ 1.07207422 -0.61567047  0.25918853  0.25233497  0.51644909 -0.67661847
  0.9862591   0.50778744 -0.70083143  0.58087177  0.        ]",-0.0909649943547,[-1.05487535 -1.11601392],-0.543918,[ 0.06957078 -0.55054438],[-0.14119539 -0.18143457]
26,"[[ 0.21486203 -3.0073352   0.06172625 -0.07748327]
 [ 0.83414222 -1.3425556   0.          0.        ]]","[ 1.05723445 -0.61759232  0.34363314  0.28288755  0.51644759 -0.67661622
  0.77798584  0.16324706 -0.69821889  0.59182892  0.        ]",-0.0916345704047,[ 0.28875995  0.82605406],-0.509946,[ 0.15881753 -0.51491785],[-0.14119539 -0.18143457]
27,"[[ 0.24285159 -3.00110178  0.06172625 -0.07748327]
 [ 1.96105594  1.95490768  0.          0.        ]]","[ 1.04832384 -0.61644349  0.38465426  0.26439882  0.5164461  -0.67661397
  0.83584527  0.61648474 -0.69119718  0.5804438   0.        ]",-0.0899597651488,[-0.59114566 -0.97810258],-0.532433,[ 0.0973397  -0.54407001],[-0.14119539 -0.18143457]
28,"[[ 0.25819832 -3.00125087  0.06172625 -0.07748327]
 [-0.41842394 -1.31891415  0.          0.        ]]","[ 1.04298277 -0.61646958  0.40702746  0.26484018  0.51644461 -0.67661172
  0.71366562  0.16649363 -0.68928648  0.57995382  0.        ]",-0.0897269573179,[-1.56325051 -0.86353721],-0.551164,[ 0.16657633 -0.5121904 ],[-0.14119539 -0.18143457]
29,"[[ 0.21018879 -3.01150173  0.06172625 -0.07748327]
 [-4.36937705 -0.04237581  0.          0.        ]]","[ 1.05860185 -0.61832426  0.3367554   0.29525215  0.51644312 -0.67660947
  0.51079759  0.34195487 -0.69830394  0.59068776  0.        ]",-0.0915465197294,[-1.53827318 -0.19098736],-0.551904,[ 0.32161981 -0.48481232],[-0.14119539 -0.18143457]
