timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.04866969  0.06318414 -0.03111666 -0.05298695]
 [ 0.00367843 -0.00220494  0.          0.        ]]",[-2.50619817 -3.99623823],-0.246061971881,[-2.09454565 -4.17804451],-2.68332,"[ 0.845508    1.46177254 -0.05470649  1.18995139 -0.28119422 -0.46380305
  0.70494185  0.33072218  1.91402745  0.8131965   0.        ]",[-0.79676378 -0.58752066]
1,"[[-0.08827193  0.02342806 -0.03111666 -0.05298695]
 [-3.95073929 -3.96021693  0.          0.        ]]",[-1.43434167 -3.25822687],-0.243333475856,[-1.3146282  -3.09029023],-2.69838,"[ 0.8413597   1.46384044 -0.11933201  1.07923473 -0.28119412 -0.46380286
  0.59235142 -0.28764679  1.90883772  0.68185676  0.        ]",[-0.79676378 -0.58752066]
2,"[[-0.20617812 -0.09470231 -0.03111666 -0.05298695]
 [-7.82699293 -7.83989104  0.          0.        ]]",[-0.0149167  -2.26067448],-0.234058465601,[ 0.53395857 -3.18695773],-2.53714,"[ 0.81489503  1.45878091 -0.31000662  0.75032549 -0.28119402 -0.46380268
  0.48198651 -0.8937766   1.84070578  0.296969    0.        ]",[-0.79676378 -0.58752066]
3,"[[ -0.33995819  -0.28967913  -0.03111666  -0.05298695]
 [ -5.55861328 -11.64510123   0.           0.        ]]",[ 0.29286492 -1.42193353],-0.219000990922,[ 0.06028918 -1.23575781],-2.40424,"[ 0.7597008   1.41406893 -0.52057926  0.21764515 -0.28119392 -0.46380249
  0.54657161 -1.48827174  1.6316166  -0.17005653  0.        ]",[-0.79676378 -0.58752066]
4,"[[ -0.44762529  -0.55999666  -0.03111666  -0.05298695]
 [ -5.20937426 -15.37421768   0.           0.        ]]",[ 0.46167299 -0.33830455],-0.19833576337,[ 0.40625449 -0.23511944],-2.17933,"[ 0.69648555  1.28050346 -0.68314273 -0.46683728 -0.28119382 -0.4638023
  0.5565149  -2.07087631  1.26855521 -0.56579515  0.        ]",[-0.79676378 -0.58752066]
5,"[[ -0.53466109  -0.87377318  -0.03111666  -0.05298695]
 [ -3.49993008 -16.00133377   0.           0.        ]]",[ 0.28742567  0.00594576],-0.171918930382,[ 0.07819794 -1.10880465],-1.99544,"[ 0.63366076  1.03362123 -0.80864709 -1.12353874 -0.28119372 -0.46380212
  0.60518597 -2.16884786  0.79182221 -0.80644918  0.        ]",[-0.79676378 -0.58752066]
6,"[[ -0.60086502  -1.2303499   -0.03111666  -0.05298695]
 [ -3.12190204 -19.6441925    0.           0.        ]]",[ 0.39079645  0.71806693],-0.139059139638,[ 0.15282942  1.563612  ],-1.85568,"[ 0.57916688  0.6632364  -0.89993565 -1.6137477  -0.28119362 -0.46380193
  0.61594891 -2.7379708   0.26628631 -0.84084695  0.        ]",[-0.79676378 -0.58752066]
7,"[[ -0.65664334  -1.5796049   -0.03111666  -0.05298695]
 [ -2.45794214 -15.29579378   0.           0.        ]]",[ 0.72042489  1.15180266],-0.103658068805,[ 1.2671192   1.39526179],-1.54316,"[ 0.52894961  0.25114386 -0.97371891 -1.7736339  -0.28119352 -0.46380174
  0.63485291 -2.05861023 -0.18743391 -0.68273784  0.        ]",[-0.79676378 -0.58752066]
8,"[[ -0.6656208   -1.84276051  -0.03111666  -0.05298695]
 [  1.54713685 -11.03393323   0.           0.        ]]",[ 0.58570063  1.33759558],-0.0768098670125,[ 1.81037883  1.59026331],-1.29948,"[ 0.52051039 -0.06126613 -0.98530938 -1.67127932 -0.28119342 -0.46380156
  0.7488853  -1.39277257 -0.41295566 -0.46783135  0.        ]",[-0.79676378 -0.58752066]
9,"[[-0.59527766 -2.02152313 -0.03111666 -0.05298695]
 [ 5.47424777 -6.85620853  0.          0.        ]]",[ 0.15743206  1.18017185],-0.0611340952935,[ 0.06213127  0.75807401],-1.2875,"[ 0.58398253 -0.26206706 -0.89238048 -1.4953354  -0.28119332 -0.46380137
  0.86069769 -0.74008075 -0.43810158 -0.30551021  0.        ]",[-0.79676378 -0.58752066]
