timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.07661432 -0.0301779   0.0443952  -0.19926288]
 [ 0.00323474  0.00040787  0.          0.        ]]",[-0.76949632 -1.63918447],-0.243883945404,[-0.1194724 -0.4721968],-1.4669,"[ 1.10039321  2.02436011 -0.06793675  0.57306652  0.39259391 -1.75615711
  0.74466121  0.3466815   1.01192455  1.53950635  0.        ]",[-0.0906015  -0.19199708]
1,"[[-0.08128489 -0.04892734  0.0443952  -0.19926288]
 [-0.4687238  -1.86912168  0.          0.        ]]",[-0.72637904 -1.61182952],-0.241430872785,[ 0.17660704 -2.61653326],-1.42525,"[ 1.09987445  2.02334475 -0.07495594  0.51861613  0.39259275 -1.75613887
  0.71858897  0.08919643  1.00937562  1.51531928  0.        ]",[-0.0906015  -0.19199708]
2,"[[-0.08354148 -0.12566909  0.0443952  -0.19926288]
 [ 0.24069483 -5.79197885  0.          0.        ]]",[-0.68650448 -1.56899714],-0.234033145543,[-0.07353896 -1.78815692],-1.39637,"[ 1.09960977  2.01439426 -0.07834621  0.29648158  0.3925916  -1.75612062
  0.75777199 -0.45108722  0.99829519  1.44502049  0.        ]",[-0.0906015  -0.19199708]
3,"[[-0.08167968 -0.28008485  0.0443952  -0.19926288]
 [-0.05356064 -9.63678411  0.          0.        ]]",[-0.60008359 -1.49451733],-0.219474568359,[-0.7531048  -2.87523357],-1.30099,"[ 1.09981737  1.97290153 -0.07554874 -0.14266295  0.39259045 -1.75610238
  0.7415153  -0.98061853  0.9632134   1.31783959  0.        ]",[-0.0906015  -0.19199708]
4,"[[ -0.11262021  -0.51062288   0.0443952   -0.19926288]
 [ -3.03068829 -13.40447198   0.           0.        ]]",[-0.36317509 -1.34101117],-0.19013870595,[-1.10879269 -1.77011945],-1.15883,"[ 1.0956352   1.85468659 -0.12197261 -0.75963101  0.3925893  -1.75608414
  0.57706582 -1.4995212   0.85989187  1.09108474  0.        ]",[-0.0906015  -0.19199708]
5,"[[ -0.21232176  -0.81576332   0.0443952   -0.19926288]
 [ -6.92676349 -17.09727322   0.           0.        ]]",[ 0.03145012 -1.09538066],-0.138542155881,[-0.41052981 -2.05439147],-0.848777,"[ 1.0731967   1.60501871 -0.27024157 -1.45577369  0.39258814 -1.75606589
  0.361857   -2.00809497  0.60555461  0.77254492  0.        ]",[-0.0906015  -0.19199708]
6,"[[ -0.36578961  -1.19403401   0.0443952   -0.19926288]
 [ -8.41539149 -20.71772564   0.           0.        ]]",[ 0.39018682 -0.80952704],-0.0733640501095,[-0.63967619 -1.49152211],-0.505993,"[ 1.01237765  1.1815578  -0.49179326 -2.04170087  0.39258699 -1.75604765
  0.27962861 -2.50667975  0.158482    0.52861453  0.        ]",[-0.0906015  -0.19199708]
7,"[[ -0.55785379  -1.64399214   0.0443952   -0.19926288]
 [-10.78355908 -24.26626464   0.           0.        ]]",[ 0.61882675 -0.56176621],-0.0624930138351,[ 1.59085616 -0.95645522],-0.41698,"[ 0.89346902  0.59314909 -0.75061684 -2.23773228  0.39258584 -1.75602941
  0.14881699 -2.99532406 -0.39799232  0.56067868  0.        ]",[-0.0906015  -0.19199708]
8,"[[ -0.73171489  -2.16249638   0.0443952   -0.19926288]
 [ -6.61621816 -27.57312117   0.           0.        ]]",[ 0.50248635 -0.50431955],-0.130411684392,[-0.38690679 -0.74817853],-0.699929,"[ 0.74824043 -0.05342661 -0.95983871 -1.75140741  0.39258468 -1.75601117
  0.3790092  -3.45063626 -0.78705101  0.94460661  0.        ]",[-0.0906015  -0.19199708]
9,"[[ -0.8781294   -2.73820341   0.0443952   -0.19926288]
 [ -8.02033891 -29.98955465   0.           0.        ]]",[ 0.37272906 -0.50894922],-0.18954959759,[ 0.21475775 -0.61002794],-1.11909,"[ 0.60151745 -0.5363317  -1.11270313 -0.48003676  0.39258353 -1.75599293
  0.30144814 -3.78327468 -0.7999207   1.48109789  0.        ]",[-0.0906015  -0.19199708]
