timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.0252427   0.04121478  0.02103714  0.05000414]
 [-0.00386903  0.00048445  0.          0.        ]]",[-0.43484855 -2.94979548],-0.195620411212,[-0.52463025 -2.91958438],-2.99331,"[ 0.84469978  1.3735388   0.02798378  1.16532388  0.18309644  0.42774815
  0.67195385  0.32440468  1.40428724 -0.19203948  0.        ]",[-0.92833811 -0.79425877]
1,"[[ -4.61267093e-02   1.50462757e-03   2.10371422e-02   5.00041434e-02]
 [ -2.07763177e+00  -3.95830849e+00   0.00000000e+00   0.00000000e+00]]",[ 0.16487111 -2.37668538],-0.197908878518,[-0.01141158 -2.04524482],-3.09159,"[ 0.84352305  1.37455769 -0.00582265  1.05785633  0.1830964   0.42774803
  0.61449332 -0.3180202   1.40238577 -0.28939006  0.        ]",[-0.92833811 -0.79425877]
2,"[[-0.08770492 -0.11660309  0.02103714  0.05000414]
 [-2.08019411 -7.83952753  0.          0.        ]]",[ 0.42799801 -1.70866871],-0.203170461135,[ 0.34189436 -1.93021296],-3.13727,"[ 0.83913342  1.36639251 -0.07301678  0.7388437   0.18309635  0.42774791
  0.61442212 -0.94785634  1.37489569 -0.52935587  0.        ]",[-0.92833811 -0.79425877]
3,"[[ -0.11531209  -0.31156962   0.02103714   0.05000414]
 [ -0.68520068 -11.64444089   0.           0.        ]]",[ 0.36505875 -0.84722209],-0.208079045764,[ 0.96618935 -0.25122697],-3.18096,"[ 0.83471616  1.31666038 -0.11750415  0.22391881  0.18309631  0.42774779
  0.65307474 -1.5653089   1.28688984 -0.81843073  0.        ]",[-0.92833811 -0.79425877]
4,"[[ -0.09052951  -0.55214041   0.02103714   0.05000414]
 [  3.15071542 -12.41006442   0.           0.        ]]",[ 0.06954556 -0.86978942],-0.208270330972,[ 0.11397461 -0.59167459],-3.11901,"[ 0.83873583  1.19586718 -0.07757394 -0.36611052  0.18309626  0.42774767
  0.75936102 -1.6895512   1.15459132 -1.01788415  0.        ]",[-0.92833811 -0.79425877]
5,"[[ -0.02361139  -0.82138359   0.02103714   0.05000414]
 [  3.53976203 -14.50725892   0.           0.        ]]",[ 0.1904373 -0.6590479],-0.203017138096,[-0.37905764 -1.34706613],-3.1124,"[ 0.844761    0.99120457  0.03062558 -0.92804161  0.18309622  0.42774755
  0.77014054 -2.02987707  0.99050636 -1.1254716   0.        ]",[-0.92833811 -0.79425877]
6,"[[  0.03143939  -1.14836982   0.02103714   0.05000414]
 [  1.97035708 -18.17914764   0.           0.        ]]",[ 0.45776802 -0.04492547],-0.193392688761,[ 0.8249111   0.03799122],-3.07337,"[ 0.8444205   0.66504087  0.11978672 -1.41533653  0.18309617  0.42774743
  0.72665479 -2.62573814  0.71291935 -1.24880127  0.        ]",[-0.92833811 -0.79425877]
7,"[[  0.10319648  -1.5068396    0.02103714   0.05000414]
 [  5.19477975 -17.66946886   0.           0.        ]]",[ 0.18905476  0.22436394],-0.17695069528,[ 0.33053894  0.04959329],-2.88797,"[ 0.8368006   0.24889578  0.23573308 -1.64776148  0.18309613  0.42774731
  0.81599764 -2.54302423  0.37252751 -1.27605394  0.        ]",[-0.92833811 -0.79425877]
8,"[[  0.2191803   -1.85474948   0.02103714   0.05000414]
 [  6.3996679  -17.12331388   0.           0.        ]]",[-0.05163179  0.65296644],-0.154517984294,[ 0.21361197  1.24461789],-2.62748,"[ 0.80742644 -0.16484916  0.42106825 -1.54489115  0.18309608  0.42774719
  0.84938266 -2.45439158  0.06719724 -1.16319608  0.        ]",[-0.92833811 -0.79425877]
9,"[[  0.35438088  -2.15408543   0.02103714   0.05000414]
 [  7.11811665 -12.82459894   0.           0.        ]]",[-0.12021001  0.79147887],-0.131428686495,[ 0.3426119  0.9469369],-2.45255,"[ 0.74708918 -0.49027365  0.6309665  -1.20569376  0.18309604  0.42774707
  0.86928928 -1.75680666 -0.1752617  -0.98960357  0.        ]",[-0.92833811 -0.79425877]
10,"[[ 0.50893738 -2.37040872  0.02103714  0.05000414]
 [ 8.333547   -8.82106079  0.          0.        ]]",[-0.47362131  0.75465196],-0.112185818644,[-0.32374194  0.67246012],-2.31027,"[ 0.6450938  -0.69026867  0.85813146 -0.83300729  0.183096    0.42774695
  0.90296637 -1.10712361 -0.32103955 -0.81410119  0.        ]",[-0.92833811 -0.79425877]
11,"[[ 0.66109551 -2.51836046  0.02103714  0.05000414]
 [ 6.88707072 -5.98358954  0.          0.        ]]",[-0.59216493  0.72749215],-0.0978668074826,[-0.51498504  0.45225015],-2.22381,"[ 0.51255626 -0.80439955  1.06341643 -0.5262355   0.18309595  0.42774683
  0.86288665 -0.64666688 -0.41001244 -0.67451456  0.        ]",[-0.92833811 -0.79425877]
12,"[[ 0.77701387 -2.61887603  0.02103714  0.05000414]
 [ 4.71199649 -4.07434703  0.          0.        ]]",[-0.57015407  0.67181915],-0.0883571983821,[-0.90245403  0.32258266],-2.19412,"[ 0.39207059 -0.86990028  1.20461914 -0.29768502  0.18309591  0.42774671
  0.80261878 -0.33684048 -0.47718287 -0.58268575  0.        ]",[-0.92833811 -0.79425877]
13,"[[ 0.83447036 -2.68673857  0.02103714  0.05000414]
 [ 1.04585392 -2.71644408  0.          0.        ]]",[-0.24225427  0.63992143],-0.0830521428261,[-0.10515316  0.80036002],-2.16688,"[ 0.32664034 -0.9082109   1.26906756 -0.13551839  0.18309586  0.42774659
  0.70103602 -0.11648387 -0.53588378 -0.53492761  0.        ]",[-0.92833811 -0.79425877]
14,"[[ 0.85100348 -2.70873138  0.02103714  0.05000414]
 [ 0.60891438  0.50642169  0.          0.        ]]",[ 0.07225542  0.31306261],-0.0814813634411,[ 0.44611868  0.02632373],-2.18424,"[ 0.30715455 -0.9195672   1.28688717 -0.08175208  0.18309582  0.42774647
  0.68892894  0.40651353 -0.55616203 -0.52081207  0.        ]",[-0.92833811 -0.79425877]
15,"[[ 0.88078216 -2.69765728  0.02103714  0.05000414]
 [ 2.36310712  0.6006751   0.          0.        ]]",[-0.19637813  0.23536666],-0.0811246517162,[-0.41844294  0.939646  ],-2.1654,"[ 0.27134364 -0.91391399  1.31814052 -0.10889542  0.18309577  0.42774635
  0.73753434  0.42180859 -0.53301788 -0.51251694  0.        ]",[-0.92833811 -0.79425877]
16,"[[ 0.91095372 -2.64843334  0.02103714  0.05000414]
 [ 0.65971725  4.30935951  0.          0.        ]]",[ 0.17804836 -0.38342455],-0.0824618303093,[-0.12695184 -0.10940312],-2.15723,"[ 0.23415152 -0.88718545  1.34867629 -0.22777533  0.18309573  0.42774624
  0.69033608  1.02364311 -0.4637482  -0.5114391   0.        ]",[-0.92833811 -0.79425877]
17,"[[ 0.91897362 -2.56744858  0.02103714  0.05000414]
 [ 0.14399609  3.79084446  0.          0.        ]]",[ 0.29342872 -0.46897495],-0.0859916856284,[ 0.24263704 -0.3939224 ],-2.129,"[ 0.22411581 -0.83766047  1.35659747 -0.416473    0.18309568  0.42774612
  0.6760461   0.93949951 -0.36211843 -0.51927721  0.        ]",[-0.92833811 -0.79425877]
18,"[[ 0.93146252 -2.50803431  0.02103714  0.05000414]
 [ 1.10170384  2.15603108  0.          0.        ]]",[ 0.06022416 -0.396193  ],-0.088341044395,[ 0.50980222 -1.02287948],-2.12446,"[ 0.20836544 -0.79709747  1.36876801 -0.54884914  0.18309564  0.427746
  0.7025823   0.67420629 -0.28485321 -0.51458928  0.        ]",[-0.92833811 -0.79425877]
19,"[[ 0.97352774 -2.50506966  0.02103714  0.05000414]
 [ 3.09817374 -1.84622416  0.          0.        ]]",[-0.58518827  0.18023445],-0.0867563460106,[-0.55243979  0.74582926],-2.12688,"[ 0.15424852 -0.79498234  1.40826079 -0.55530992  0.18309559  0.42774588
  0.75790081  0.02473132 -0.26777778 -0.48653318  0.        ]",[-0.92833811 -0.79425877]
20,"[[ 1.01293226 -2.51199717  0.02103714  0.05000414]
 [ 0.84976485  1.14350507  0.          0.        ]]",[-0.17034553 -0.20446542],-0.0847938623391,[-0.34498607  0.08272547],-2.1146,"[ 0.10212764 -0.79991044  1.44310711 -0.54019043  0.18309555  0.42774576
  0.69560097  0.50989632 -0.26483433 -0.46037482  0.        ]",[-0.92833811 -0.79425877]
21,"[[ 1.01605533 -2.48606774  0.02103714  0.05000414]
 [-0.53284811  1.44842206  0.          0.        ]]",[ 0.05539438 -0.25556517],-0.0858202473495,[ 0.06350085 -0.14937618],-2.1066,"[ 0.09794012 -0.78122577  1.44577738 -0.5963828   0.1830955   0.42774564
  0.65729088  0.55937725 -0.2321566  -0.45547653  0.        ]",[-0.92833811 -0.79425877]
