timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.02067527 -0.06176074  0.1041793   0.03392174]
 [-0.00386828 -0.00241767  0.          0.        ]]",[ 0.45243305 -0.9129982 ],-0.114646450838,[ 0.5989512  -2.58867855],-0.510123,"[ 1.05041218  2.14328615 -0.04606845  0.53604381  0.91119407  0.29812776
  0.7243438   0.35854856  0.58907223 -0.25641375  0.        ]",[-0.16447151 -0.16636768]
1,"[[  3.03625204e-03  -1.01545692e-01   1.04179304e-01   3.39217382e-02]
 [  2.36712155e+00  -3.96287454e+00   0.00000000e+00   0.00000000e+00]]",[ 0.31696671 -0.88136625],-0.114280328705,[ 0.37987003 -1.56884411],-0.530381,"[ 1.05070483  2.13880191 -0.01014145  0.41252071  0.91119112  0.29812719
  0.8317075  -0.18537544  0.58800654 -0.25145514  0.        ]",[-0.16447151 -0.16636768]
2,"[[ 0.06500128 -0.21974945  0.1041793   0.03392174]
 [ 3.82452302 -7.84455956  0.          0.        ]]",[ 0.19788159 -0.8179639 ],-0.113345041835,[ 0.44328192 -0.83921304],-0.551321,"[ 1.04771246  2.11278965  0.0836826   0.04922925  0.91118816  0.29812661
  0.89770057 -0.71848032  0.58039824 -0.25099321  0.        ]",[-0.16447151 -0.16636768]
3,"[[  0.1583392   -0.4084287    0.1041793    0.03392174]
 [  5.50367403 -11.01279428   0.           0.        ]]",[ 0.03736152 -0.73921311],-0.110860558511,[ 1.38647866 -0.64309708],-0.546443,"[ 1.03296278  2.03271054  0.22418231 -0.50898492  0.9111852   0.29812604
  0.97373474 -1.15359818  0.55625643 -0.25910381  0.        ]",[-0.16447151 -0.16636768]
4,"[[  0.30702189  -0.65205893   0.1041793    0.03392174]
 [  9.35183407 -13.34241326   0.           0.        ]]",[-0.33591595 -0.68368989],-0.103122418842,[ 1.29489621 -2.39430068],-0.520747,"[ 0.98438234  1.86363792  0.44320289 -1.16213251  0.91118225  0.29812546
  1.14798748 -1.47353757  0.50650389 -0.22276047  0.        ]",[-0.16447151 -0.16636768]
5,"[[  0.53191276  -0.95599384   0.1041793    0.03392174]
 [ 13.12477723 -17.03866136   0.           0.        ]]",[-0.85155034 -0.63130546],-0.0870479060957,[-0.69912963  1.29476501],-0.615851,"[ 0.85475756  1.56372571  0.75377381 -1.81653785  0.91117929  0.29812488
  1.31883237 -1.98115845  0.4113889  -0.12163814  0.        ]",[-0.16447151 -0.16636768]
6,"[[  0.76404121  -1.25364071   0.1041793    0.03392174]
 [ 10.09810651 -12.74041553   0.           0.        ]]",[-0.99885035 -0.58227211],-0.0671517650297,[-0.24913162 -0.77496001],-0.477989,"[ 0.6565026   1.19931959  1.03358415 -2.23159768  0.91117633  0.29812431
  1.18176991 -1.39083847  0.27976881 -0.02407724  0.        ]",[-0.16447151 -0.16636768]
7,"[[  0.95411668  -1.53669916   0.1041793    0.03392174]
 [  8.91329216 -15.55607099   0.           0.        ]]",[-1.09383297 -0.55626917],-0.0472911789136,[-1.08150227 -1.07544315],-0.482769,"[ 0.45268325  0.81725182  1.22140948 -2.38513056  0.91117338  0.29812373
  1.12811318 -1.77752138  0.12949046  0.00524648  0.        ]",[-0.16447151 -0.16636768]
8,"[[  1.09090814  -1.88444943   0.1041793    0.03392174]
 [  4.77931908 -19.20688477   0.           0.        ]]",[-0.94478321 -0.49593315],-0.0304034998674,[-2.47048246 -1.33975185],-0.477223,"[ 0.2872502   0.34598564  1.32935612 -2.23493162  0.91117042  0.29812316
  0.94091058 -2.2788893  -0.07280268 -0.0822793   0.        ]",[-0.16447151 -0.16636768]
9,"[[  1.14582235  -2.30449604   0.1041793    0.03392174]
 [  0.72531555 -22.78591805   0.           0.        ]]",[-0.84213686 -0.47192693],-0.0475193068518,[-1.26550262 -1.4855278 ],-0.435403,"[ 0.21721482 -0.1506716   1.3657201  -1.58535625  0.91116746  0.29812258
  0.75733025 -2.77037783 -0.36444439 -0.2446892   0.        ]",[-0.16447151 -0.16636768]
10,"[[  1.12044758  -2.79541588   0.1041793    0.03392174]
 [ -3.24961465 -26.29440994   0.           0.        ]]",[-0.68110776 -0.40793166],-0.0896495382298,[-0.5577289  -1.00504124],-0.515327,"[ 0.24980819 -0.52349431  1.34941799 -0.32866795  0.91116451  0.29812201
  0.57733122 -3.25214863 -0.77250792 -0.3234685   0.        ]",[-0.16447151 -0.16636768]
11,"[[ 1.03394395 -3.19899544  0.1041793   0.03392174]
 [-5.39299795 -5.99194051  0.          0.        ]]",[-0.16836146 -0.21407685],-0.122497035457,[-0.62859851  0.2541046 ],-0.612324,"[ 0.35780987 -0.60282386  1.28732747  0.90707466  0.91116155  0.29812143
  0.48027075 -0.46396221 -1.11323427 -0.19773319  0.        ]",[-0.16447151 -0.16636768]
12,"[[ 0.90218998 -3.18987332  0.1041793   0.03392174]
 [-7.77461533  3.65571417  0.          0.        ]]",[ 0.18431531 -0.15078861],-0.121018585936,[-0.41669355  1.04591711],-0.547697,"[ 0.51162674 -0.6034851   1.17422858  0.87869391  0.91115859  0.29812086
  0.37242241  0.86097186 -1.10087462 -0.19909739  0.        ]",[-0.16447151 -0.16636768]
13,"[[ 0.7316905  -3.0777581   0.1041793   0.03392174]
 [-9.2703436   7.54285961  0.          0.        ]]",[ 0.47542027 -0.15571679],-0.116124969907,[ 0.334077   -1.06339211],-0.581561,"[ 0.68770012 -0.602285    0.99760897  0.52961803  0.91115564  0.29812028
  0.30469014  1.39479631 -1.03848898 -0.26150205  0.        ]",[-0.16447151 -0.16636768]
